0: [[19, 2, 9, 7, 1, 6], [4, 3, 8, 11, 12], [13, 5, 16, 24, 17, 15, 18, 10, 14], [20, 28, 23, 22], [21, 25, 26, 27, 29]]
26: [[19, 2, 9, 7], [1, 6, 4, 3, 8, 11, 13, 10, 12, 14], [5, 17, 15, 16], [18, 23, 21, 20, 22, 24], [25, 26, 27, 29, 28]]
27: [[19, 2, 9, 7], [1, 6, 4, 3, 8, 13, 5, 17, 26], [11, 15, 18, 10], [22, 23, 20, 24, 16, 12, 14], [21, 25, 28, 27, 29]]
28: [[19, 2, 9, 7, 1, 6], [4, 3, 8, 11], [5, 10, 12], [13, 28, 15, 18, 26, 16, 20, 17, 23, 22, 14], [21, 25, 24, 27, 29]]
29: [[19, 2, 9, 7, 1, 6], [4, 3, 8, 13, 5, 11, 15, 17, 12], [18, 25, 26, 10, 14], [28, 22, 16, 23], [21, 29, 20, 27, 24]]
30: [[19, 2, 9, 7, 1, 6], [4, 3, 8, 13, 5, 11, 10, 12, 14], [20, 16, 23, 15, 17], [21, 29, 22, 18], [25, 24, 28, 27, 26]]
31: [[19, 2, 9, 7, 1], [6, 4, 3, 8, 11, 5], [21, 16, 22, 15, 13, 26, 10, 12, 14], [17, 23, 28, 20], [18, 25, 24, 27, 29]]
32: [[19, 2, 9, 7, 1], [6, 4, 3, 8, 13, 5, 25, 10, 14], [11, 15, 18, 16, 26, 12], [17, 24, 22, 29], [21, 20, 23, 27, 28]]
33: [[19, 2, 9, 7, 1, 6, 4, 12], [3, 8, 11, 5], [24, 13, 17, 10], [15, 18, 22, 21, 20, 16, 23, 14], [28, 25, 26, 27, 29]]
34: [[19, 2, 9, 7], [1, 6, 4, 3, 8, 11, 12], [5], [21, 13, 15, 16, 17, 23, 24, 18, 28, 20, 10, 14], [22, 25, 26, 27, 29]]
35: [[19, 2, 9, 7, 1, 6], [4, 3, 8, 11], [5, 17, 10], [13, 15, 16, 20, 18, 22, 29, 28, 21, 12, 14], [23, 24, 26, 27, 25]]
36: [[19, 2, 9, 7, 1, 6, 4, 3, 8, 13, 5, 12], [16, 20, 10], [11, 15, 18, 17], [22, 21, 28, 23, 14], [24, 25, 26, 27, 29]]
37: [[19, 2, 9, 7], [1, 6, 4, 3], [8, 11, 5, 21, 20, 10, 14], [13, 15, 22, 18, 24, 23, 16, 17, 12], [29, 25, 26, 27, 28]]
38: [[19, 2, 9, 7, 1, 6, 4, 3, 8], [13, 17, 11, 5, 12], [26, 24, 27, 15, 16], [20, 18, 25, 10, 14], [23, 21, 22, 28, 29]]
39: [[19, 2, 9, 7], [1, 6, 4, 3], [8, 13, 5, 15, 11, 16, 26, 10, 14, 12], [18, 23, 17, 28, 20, 22], [21, 25, 24, 27, 29]]
40: [[19, 2, 9, 7, 1, 6], [4, 3, 8, 13, 5, 12], [17, 24, 11, 23, 15, 22, 10, 14], [20, 16, 18, 26], [21, 25, 28, 27, 29]]
41: [[19, 2, 9, 7, 1, 6, 4, 3, 8, 12], [13, 5, 26, 16], [11, 15, 18, 17, 10, 14], [20, 28, 22, 23], [21, 25, 24, 27, 29]]
42: [[19, 2, 9, 7, 1], [6, 4, 3, 8, 13, 5, 17, 11, 14], [16, 28, 20, 18, 22, 12], [21, 15, 25, 10], [23, 24, 26, 27, 29]]
43: [[19, 2, 9, 7, 1, 6, 4, 3, 8, 12], [13, 16, 5, 26, 11, 10, 14], [15, 17, 18], [21, 25, 22, 23], [24, 20, 27, 29, 28]]
44: [[19, 2, 9, 7, 1, 6, 4, 3, 13, 12, 5, 8], [15, 11, 20, 16, 18, 10, 14], [21, 17, 22, 23, 24], [28, 25, 26, 27, 29]]
45: [[19, 2, 9, 7, 1, 6, 4, 3, 8, 13, 10, 12], [5, 11], [15, 16, 18, 20, 17, 22, 29, 14], [23, 26], [21, 27, 24, 25, 28]]
46: [[19, 2, 9, 7, 1], [6, 4, 3, 8, 13, 5, 12], [17, 27, 26, 11, 18, 21, 10, 14], [20, 28, 16, 22], [15, 25, 23, 24, 29]]
47: [[19, 2, 9, 7, 1, 6], [4, 3, 8, 13, 5, 28, 15, 11, 10, 12], [16, 18, 20, 14], [21, 17, 24, 22], [23, 25, 26, 27, 29]]
48: [[19, 2, 9, 7, 1, 6, 4, 3, 8, 13, 5, 12], [17, 11, 28, 26, 22, 18, 10], [24, 21, 15, 16, 14], [20, 25, 23, 27, 29]]
49: [[19, 2], [9, 7, 1, 6, 4, 3, 8, 13, 5, 10, 12], [15, 11, 16, 25, 17, 20, 14], [21, 28, 22, 18], [23, 26, 24, 27, 29]]
50: [[19, 2, 9, 7, 1, 6], [4, 3, 8, 13, 5, 18, 24, 11, 10, 12, 14], [26, 17, 23], [20, 28, 15, 16], [21, 25, 22, 27, 29]]
51: [[19, 2, 9, 7, 1, 6, 4, 3, 8, 12], [11, 13, 5, 25], [26, 15, 18, 17, 10, 14], [20, 28, 16, 22], [21, 27, 23, 24, 29]]
52: [[19, 2, 9, 7, 1, 6, 4, 3, 8, 12], [13, 21], [5, 11, 15, 18, 20, 26, 10, 14], [16, 28, 22, 23], [24, 27, 17, 25, 29]]
53: [[19, 2, 9, 7], [1, 6, 4, 3, 8, 13], [5, 17, 28, 11, 10, 21, 12, 15, 22], [23, 20, 24, 16, 14], [18, 25, 26, 27, 29]]
54: [[19, 2, 9, 7, 1, 6, 4, 3, 8, 12], [11, 21, 5], [13, 16, 15, 20, 24, 10, 14], [17, 28, 18, 22], [23, 25, 26, 27, 29]]
55: [[19, 2, 9, 7, 1, 6, 4, 3, 8, 12], [11, 5, 13, 10], [15, 18, 20, 22], [26, 16, 21, 28, 23, 14], [24, 17, 25, 27, 29]]
56: [[19, 2, 9], [7, 1, 6, 4, 3, 10, 12], [8, 13, 11, 5], [21, 18, 25, 15, 16, 22, 28, 17, 20, 14], [29, 24, 26, 27, 23]]
57: [[19, 2, 9, 7, 1, 6, 4, 3, 10], [8], [13, 5, 11], [23, 16, 18, 24, 15, 20, 22, 26, 17, 12, 14], [21, 25, 28, 27, 29]]
58: [[19, 2, 9, 7, 1, 6, 4, 3, 8, 12], [13, 16, 5, 11, 10, 14], [15, 18, 20, 21], [23, 24, 22, 26], [17, 25, 27, 29, 28]]
59: [[19, 2, 9, 7, 1, 6, 4, 3, 8, 12], [13, 5, 16, 27, 11], [15, 24, 20, 22, 10], [17, 18, 23, 14], [21, 25, 26, 28, 29]]
