0: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
31: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
32: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
33: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
34: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
35: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
36: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
37: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
38: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
39: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
40: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
41: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
42: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
43: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
44: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
45: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
46: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
47: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
48: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
49: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
50: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
51: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
52: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
53: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
54: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
55: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
56: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
57: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
58: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
59: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
