0: [[1, 20, 7, 2], [5, 11, 12], [3, 4, 36, 6], [9, 8], [14, 29, 10], [15, 13, 17, 19], [24, 22, 16, 18], [21, 27, 23], [25, 26, 28], [30, 31, 33, 32], [35, 34, 37]]
44: [[1, 20, 7], [2, 5, 11], [12, 3, 4], [36, 6, 9], [8, 14, 29, 10], [15, 13, 17, 19], [24, 22, 16], [18, 21, 27], [23, 25, 26, 28], [30, 31, 33], [32, 35, 34, 37]]
45: [[1, 20], [7, 2, 5, 11], [12, 3], [4, 36, 6], [9, 8, 14], [29, 10, 15], [13, 17, 19], [24, 22, 16], [18, 21, 27], [23, 25, 26, 28], [30, 31, 33, 32], [35, 34, 37]]
46: [[1, 20, 7, 2], [5, 11, 12], [3, 4, 36, 6], [9, 8], [14, 29, 10, 15], [13, 17, 19], [24, 22, 16, 18, 21], [27, 23, 25], [26, 28, 30, 31, 33, 32, 35, 34, 37]]
47: [[1, 20, 7], [2, 5, 11], [12, 3, 4], [36, 6, 9], [8, 14, 29], [10, 15, 13], [17, 19, 24, 22, 16], [18, 21, 27], [23, 25, 26, 28], [30, 31, 33, 32], [35, 34, 37]]
48: [[1, 20, 7], [2, 5, 11], [12, 3, 4], [36, 6, 9, 8], [14, 29, 10], [15, 13, 17, 19], [24, 22], [16], [18, 21, 27, 23, 25, 26, 28, 30, 31, 33, 32, 35, 34, 37]]
49: [[1, 20, 7, 2], [5, 11, 12], [3, 4, 36], [6, 9, 8, 14], [29, 10, 15, 13], [17, 19, 24, 22, 16, 18, 21, 27, 23, 25, 26, 28, 30, 31, 33, 32, 35, 34, 37]]
50: [[1, 20, 7], [2, 5, 11], [12, 3], [4, 36, 6], [9, 8, 14], [29, 10], [15, 13, 17], [19, 24, 22], [16, 18], [21, 27, 23, 25], [26, 28, 30, 31], [33, 32, 35], [34, 37]]
51: [[1, 20, 7, 2], [5, 11, 12], [3, 4, 36, 6], [9, 8, 14, 29], [10, 15, 13], [17, 19, 24, 22, 16, 18, 21], [27, 23, 25, 26], [28, 30, 31], [33, 32, 35, 34, 37]]
52: [[1, 20, 7], [2, 5, 11], [12, 3, 4], [36, 6, 9], [8, 14], [29, 10, 15], [13, 17, 19], [24, 22, 16], [18, 21, 27], [23, 25, 26, 28], [30, 31, 33, 32], [35, 34, 37]]
53: [[1, 20, 7, 2, 5, 11, 12, 3, 4, 36, 6, 9], [8, 14, 29, 10, 15, 13, 17, 19, 24, 22, 16, 18, 21], [27, 23, 25, 26, 28, 30, 31, 33, 32, 35, 34, 37]]
54: [[1, 20, 7], [2, 5], [11, 12, 3], [4, 36], [6, 9, 8], [14, 29, 10, 15], [13, 17, 19, 24], [22, 16], [18, 21, 27, 23], [25, 26, 28], [30, 31], [33], [32, 35, 34, 37]]
55: [[1, 20, 7, 2], [5, 11, 12, 3], [4, 36, 6], [9, 8, 14, 29], [10, 15, 13, 17], [19, 24, 22], [16, 18, 21], [27, 23, 25, 26], [28, 30, 31, 33], [32, 35, 34, 37]]
56: [[1, 20, 7, 2], [5, 11, 12, 3], [4, 36], [6, 9, 8, 14, 29, 10, 15, 13, 17, 19, 24, 22, 16, 18, 21, 27, 23, 25, 26, 28, 30, 31, 33, 32, 35, 34, 37]]
57: [[1, 20, 7], [2, 5, 11], [12, 3, 4], [36, 6, 9], [8, 14], [29, 10, 15], [13, 17, 19], [24, 22, 16], [18, 21, 27], [23, 25, 26, 28], [30, 31, 33], [32, 35, 34, 37]]
58: [[1, 20, 7, 2], [5, 11, 12, 3, 4, 36, 6, 9, 8, 14, 29, 10, 15, 13, 17, 19, 24], [22, 16, 18, 21, 27, 23, 25, 26, 28, 30, 31, 33, 32, 35, 34, 37]]
59: [[1, 20, 7], [2, 5, 11], [12, 3, 4], [36, 6, 9], [8, 14, 29], [10, 15], [13], [17, 19, 24, 22], [16, 18, 21, 27], [23, 25, 26, 28], [30, 31, 33, 32], [35, 34, 37]]
60: [[1, 20, 7], [2, 5, 11], [12, 3, 4], [36, 6], [9, 8, 14, 29], [10, 15, 13, 17], [19, 24, 22, 16], [18, 21], [27], [23, 25, 26, 28, 30, 31, 33, 32, 35, 34, 37]]
61: [[1, 20, 7, 2], [5, 11, 12], [3, 4, 36], [6, 9, 8, 14], [29, 10, 15, 13], [17, 19, 24], [22, 16, 18, 21, 27], [23, 25, 26], [28, 30, 31, 33, 32, 35, 34, 37]]
62: [[1, 20, 7], [2, 5, 11], [12, 3, 4, 36], [6, 9, 8, 14], [29, 10, 15], [13, 17, 19], [24, 22, 16], [18, 21, 27, 23], [25, 26, 28, 30], [31, 33, 32], [35, 34], [37]]
63: [[1, 20, 7], [2, 5], [11, 12, 3, 4], [36, 6, 9], [8, 14, 29, 10], [15, 13, 17], [19, 24, 22, 16], [18, 21, 27], [23, 25, 26, 28], [30, 31, 33], [32, 35, 34, 37]]
64: [[1, 20, 7, 2], [5, 11, 12, 3, 4, 36, 6, 9, 8, 14, 29], [10, 15, 13, 17, 19, 24, 22, 16, 18, 21, 27, 23, 25, 26, 28, 30, 31, 33, 32], [35, 34, 37]]
65: [[1, 20, 7, 2], [5, 11, 12], [3, 4, 36, 6], [9, 8, 14, 29], [10, 15, 13, 17], [19, 24, 22], [16, 18, 21], [27, 23, 25, 26], [28, 30], [31], [33, 32, 35, 34, 37]]
66: [[1, 20, 7], [2, 5, 11, 12, 3, 4, 36, 6, 9, 8, 14], [29, 10, 15, 13, 17, 19, 24, 22, 16, 18, 21, 27, 23, 25, 26, 28, 30, 31, 33, 32, 35, 34, 37]]
67: [[1, 20, 7], [2, 5, 11], [12, 3, 4, 36], [6, 9, 8, 14], [29, 10, 15, 13], [17, 19], [24], [22, 16, 18, 21, 27, 23, 25, 26, 28, 30, 31, 33, 32, 35, 34, 37]]
68: [[1, 20], [7, 2, 5], [11, 12, 3], [4, 36, 6, 9], [8, 14, 29], [10, 15, 13], [17, 19, 24, 22], [16, 18, 21], [27, 23, 25, 26, 28, 30, 31, 33, 32, 35, 34, 37]]
69: [[1, 20, 7], [2, 5, 11], [12, 3, 4], [36, 6], [9, 8], [14, 29], [10, 15, 13, 17], [19, 24, 22, 16], [18, 21, 27], [23, 25, 26], [28, 30, 31, 33], [32, 35, 34], [37]]
70: [[1, 20], [7], [2, 5, 11, 12, 3, 4, 36, 6, 9, 8, 14, 29, 10, 15], [13, 17, 19, 24, 22, 16, 18, 21, 27, 23, 25, 26, 28, 30, 31, 33, 32, 35, 34, 37]]
71: [[1, 20, 7], [2, 5, 11], [12, 3, 4], [36, 6], [9, 8, 14, 29], [10, 15], [13, 17, 19, 24], [22, 16, 18, 21], [27, 23, 25, 26], [28, 30, 31, 33], [32, 35, 34, 37]]
72: [[1, 20], [7, 2, 5], [11, 12, 3], [4, 36, 6], [9, 8, 14], [29, 10, 15, 13], [17, 19, 24], [22, 16, 18, 21, 27, 23, 25, 26, 28, 30, 31, 33, 32, 35, 34, 37]]
73: [[1, 20, 7], [2, 5, 11], [12, 3, 4], [36, 6, 9], [8, 14, 29], [10, 15, 13], [17, 19, 24, 22], [16, 18, 21], [27, 23, 25], [26, 28, 30, 31], [33, 32, 35], [34, 37]]
