0: [[19], [4, 17, 9], [3, 22], [1, 2, 6], [13, 5, 11], [15, 7, 8], [14, 10, 29], [12, 18, 20, 24], [16, 23], [27, 21], [25, 28, 26], [30, 31, 34, 32, 33], [35, 37, 36]]
17: [[19], [4, 17, 9], [3, 22], [1, 2, 6], [13, 5, 11, 15], [7, 8], [14, 10, 29], [12, 18, 20], [24, 16, 23, 27], [21, 25, 28], [26, 30, 31], [34, 32], [33, 35, 37, 36]]
18: [[19], [4, 17, 9], [3, 22, 1], [2, 6], [13, 5, 11], [15, 7], [8], [14, 10], [29, 12, 18], [20, 24, 16], [23, 27, 21], [25, 28, 26], [30, 31, 34, 32, 33, 35, 37, 36]]
19: [[19, 4], [17, 9], [3, 22], [1, 2], [6, 13], [5, 11], [15, 7], [8, 14, 10], [29, 12, 18], [20, 24, 16], [23, 27, 21], [25, 28, 26], [30, 31, 34], [32, 33], [35, 37, 36]]
20: [[19], [4, 17, 9], [3, 22], [1, 2, 6], [13, 5, 11], [15, 7], [8, 14, 10], [29, 12, 18], [20, 24, 16], [23, 27, 21], [25, 28], [26, 30, 31, 34, 32, 33, 35, 37, 36]]
21: [[19], [4, 17, 9], [3, 22], [1, 2, 6], [13, 5, 11], [15, 7], [8, 14, 10], [29, 12, 18], [20, 24, 16], [23, 27, 21], [25, 28], [26, 30, 31, 34, 32, 33, 35, 37, 36]]
22: [[19, 4, 17], [9, 3, 22], [1, 2, 6], [13, 5, 11], [15, 7, 8], [14, 10, 29], [12, 18, 20], [24, 16, 23], [27, 21, 25], [28, 26, 30], [31, 34, 32], [33, 35], [37, 36]]
23: [[19, 4, 17], [9, 3, 22], [1, 2], [6, 13, 5], [11, 15, 7], [8, 14, 10], [29], [12, 18, 20], [24, 16], [23, 27, 21], [25, 28, 26], [30, 31, 34], [32, 33], [35, 37, 36]]
24: [[19, 4], [17, 9], [3, 22], [1, 2, 6], [13, 5, 11], [15, 7], [8, 14, 10], [29, 12, 18], [20, 24, 16], [23, 27, 21], [25, 28], [26, 30], [31, 34, 32], [33, 35], [37, 36]]
25: [[19], [4, 17], [9, 3], [22, 1, 2], [6, 13, 5], [11, 15, 7], [8, 14], [10, 29], [12, 18, 20], [24, 16], [23, 27, 21], [25, 28], [26, 30, 31], [34, 32], [33, 35, 37], [36]]
26: [[19, 4], [17, 9, 3], [22, 1, 2], [6, 13, 5], [11, 15, 7], [8, 14, 10], [29, 12, 18], [20, 24, 16], [23, 27, 21], [25, 28, 26], [30, 31, 34], [32, 33], [35, 37, 36]]
27: [[19, 4], [17, 9, 3], [22, 1, 2], [6, 13, 5], [11, 15, 7], [8, 14, 10], [29, 12, 18], [20, 24, 16], [23, 27, 21], [25, 28, 26], [30, 31, 34], [32, 33], [35, 37, 36]]
28: [[19, 4], [17, 9], [3, 22], [1], [2, 6], [13, 5], [11, 15], [7, 8], [14, 10, 29], [12, 18, 20], [24, 16, 23], [27, 21], [25, 28, 26], [30, 31, 34], [32, 33, 35], [37, 36]]
29: [[19], [4, 17, 9], [3, 22], [1, 2, 6], [13, 5, 11], [15, 7, 8], [14, 10, 29, 12], [18, 20, 24, 16, 23, 27, 21, 25, 28, 26, 30, 31, 34, 32, 33, 35, 37, 36]]
30: [[19, 4], [17, 9], [3, 22], [1], [2, 6], [13, 5], [11, 15], [7, 8], [14, 10, 29], [12, 18, 20], [24, 16, 23], [27, 21], [25, 28, 26], [30, 31, 34], [32, 33, 35, 37, 36]]
31: [[19, 4, 17, 9], [3, 22], [1, 2, 6], [13, 5, 11], [15, 7, 8], [14, 10, 29], [12, 18, 20, 24, 16, 23, 27, 21, 25, 28, 26, 30, 31, 34, 32, 33, 35, 37, 36]]
32: [[19], [4, 17, 9], [3, 22, 1], [2, 6, 13], [5, 11, 15], [7, 8, 14, 10], [29, 12], [18, 20], [24, 16, 23], [27, 21, 25, 28, 26], [30, 31, 34], [32, 33, 35, 37, 36]]
33: [[19], [4, 17, 9], [3, 22], [1, 2, 6], [13, 5], [11, 15], [7, 8, 14], [10, 29, 12], [18, 20, 24, 16], [23, 27], [21, 25, 28], [26, 30, 31], [34, 32, 33], [35, 37, 36]]
34: [[19], [4, 17], [9, 3], [22], [1, 2, 6], [13, 5], [11, 15], [7, 8], [14, 10], [29, 12, 18], [20, 24, 16], [23, 27, 21], [25, 28, 26], [30, 31], [34, 32, 33], [35, 37, 36]]
35: [[19], [4, 17], [9, 3, 22], [1, 2, 6], [13, 5, 11], [15, 7], [8, 14, 10], [29, 12, 18], [20, 24, 16], [23, 27], [21, 25, 28], [26, 30], [31, 34, 32, 33], [35, 37, 36]]
36: [[19], [4, 17, 9], [3, 22], [1, 2, 6], [13, 5], [11, 15, 7], [8, 14, 10], [29, 12, 18], [20, 24, 16, 23, 27], [21, 25, 28], [26, 30, 31], [34, 32, 33, 35, 37, 36]]
37: [[19], [4, 17], [9, 3, 22], [1, 2, 6], [13, 5], [11, 15, 7], [8, 14, 10], [29, 12], [18, 20, 24], [16, 23, 27], [21, 25, 28], [26], [30, 31, 34], [32, 33, 35], [37, 36]]
38: [[19], [4, 17, 9], [3, 22], [1, 2, 6], [13, 5], [11, 15, 7], [8, 14, 10], [29, 12], [18, 20, 24], [16, 23, 27], [21, 25, 28], [26, 30, 31, 34, 32, 33, 35, 37, 36]]
39: [[19, 4, 17], [9, 3, 22], [1, 2], [6, 13, 5], [11, 15], [7, 8, 14], [10, 29, 12], [18, 20, 24], [16, 23, 27], [21, 25, 28], [26, 30], [31, 34], [32, 33, 35], [37, 36]]
40: [[19], [4, 17], [9, 3], [22, 1], [2, 6, 13], [5], [11, 15, 7], [8, 14, 10], [29, 12, 18], [20, 24, 16], [23, 27, 21], [25, 28, 26], [30, 31, 34], [32, 33, 35], [37, 36]]
41: [[19], [4, 17], [9, 3], [22, 1], [2, 6, 13], [5], [11, 15, 7], [8, 14, 10], [29, 12, 18], [20, 24, 16], [23, 27, 21], [25, 28, 26], [30, 31, 34], [32, 33, 35], [37, 36]]
42: [[19, 4, 17], [9, 3, 22], [1, 2, 6], [13, 5, 11], [15, 7, 8], [14, 10], [29, 12, 18], [20, 24, 16], [23, 27], [21, 25], [28, 26], [30, 31], [34, 32], [33, 35, 37], [36]]
43: [[19], [4, 17], [9, 3], [22, 1], [2, 6, 13], [5, 11, 15], [7, 8], [14, 10, 29], [12, 18, 20], [24, 16, 23], [27, 21, 25], [28, 26, 30], [31, 34], [32, 33], [35, 37, 36]]
44: [[19], [4, 17, 9], [3, 22], [1, 2, 6], [13, 5, 11, 15, 7, 8, 14, 10, 29, 12], [18, 20, 24, 16, 23, 27, 21, 25, 28, 26, 30, 31, 34, 32, 33, 35, 37, 36]]
45: [[19], [4, 17], [9, 3], [22, 1, 2], [6, 13], [5, 11], [15, 7], [8, 14], [10], [29, 12, 18], [20, 24, 16], [23, 27], [21, 25, 28], [26, 30, 31], [34, 32], [33, 35, 37], [36]]
46: [[19], [4, 17, 9], [3, 22, 1, 2, 6, 13, 5, 11, 15, 7, 8, 14, 10, 29, 12, 18, 20, 24, 16, 23, 27, 21, 25, 28, 26, 30, 31, 34, 32, 33, 35, 37, 36]]
47: [[19], [4, 17], [9, 3], [22, 1, 2], [6, 13], [5, 11], [15, 7], [8, 14], [10], [29, 12, 18], [20, 24, 16], [23, 27], [21, 25, 28], [26, 30, 31], [34, 32, 33], [35, 37, 36]]
48: [[19, 4], [17, 9], [3, 22, 1], [2], [6, 13], [5, 11], [15, 7], [8, 14], [10, 29, 12], [18, 20, 24], [16, 23, 27], [21, 25, 28], [26, 30, 31], [34, 32, 33], [35, 37, 36]]
49: [[19], [4, 17], [9, 3], [22, 1, 2], [6, 13, 5], [11, 15, 7], [8, 14, 10], [29, 12, 18], [20, 24], [16, 23], [27, 21, 25], [28, 26, 30], [31, 34], [32, 33, 35], [37, 36]]
50: [[19, 4, 17], [9, 3, 22], [1, 2], [6, 13, 5], [11, 15], [7, 8], [14, 10], [29, 12, 18], [20, 24, 16], [23], [27, 21, 25], [28, 26], [30, 31, 34], [32, 33], [35, 37, 36]]
51: [[19, 4], [17, 9, 3], [22, 1, 2], [6, 13], [5, 11], [15], [7, 8, 14], [10, 29, 12], [18, 20, 24], [16, 23, 27], [21, 25, 28], [26, 30, 31], [34, 32, 33], [35, 37], [36]]
52: [[19], [4, 17, 9], [3, 22], [1, 2, 6], [13, 5], [11, 15, 7], [8, 14], [10, 29], [12, 18], [20, 24, 16], [23, 27, 21], [25, 28, 26, 30, 31, 34, 32, 33, 35, 37, 36]]
53: [[19, 4], [17, 9, 3], [22, 1, 2], [6, 13], [5, 11], [15], [7, 8, 14], [10, 29, 12], [18, 20, 24], [16, 23, 27], [21, 25, 28], [26, 30, 31], [34, 32], [33, 35, 37], [36]]
54: [[19], [4, 17, 9], [3, 22], [1], [2, 6, 13], [5, 11], [15, 7, 8], [14, 10], [29, 12, 18], [20, 24, 16], [23, 27, 21, 25], [28, 26], [30, 31], [34, 32, 33], [35, 37, 36]]
55: [[19, 4, 17], [9, 3, 22], [1, 2, 6], [13, 5, 11], [15, 7], [8, 14, 10], [29, 12, 18], [20, 24, 16], [23, 27, 21, 25], [28, 26], [30, 31], [34, 32, 33], [35, 37, 36]]
56: [[19, 4], [17, 9, 3], [22, 1, 2], [6, 13, 5], [11, 15, 7], [8, 14, 10], [29, 12, 18], [20, 24], [16, 23], [27, 21, 25], [28, 26], [30, 31, 34], [32, 33, 35], [37, 36]]
57: [[19], [4, 17, 9], [3, 22], [1, 2, 6], [13, 5, 11], [15, 7], [8, 14, 10], [29, 12, 18], [20, 24], [16, 23], [27, 21, 25], [28], [26, 30, 31, 34, 32, 33, 35, 37, 36]]
58: [[19], [4, 17, 9], [3, 22], [1, 2, 6], [13, 5, 11], [15, 7], [8, 14, 10], [29, 12, 18], [20, 24, 16], [23, 27, 21, 25], [28, 26, 30, 31, 34, 32, 33, 35, 37, 36]]
59: [[19, 4, 17], [9, 3, 22], [1, 2, 6], [13, 5, 11], [15, 7, 8], [14, 10, 29], [12, 18, 20], [24, 16], [23, 27, 21], [25], [28, 26, 30, 31, 34, 32, 33, 35, 37, 36]]
60: [[19], [4, 17], [9, 3], [22, 1], [2, 6], [13, 5], [11], [15, 7], [8, 14, 10], [29, 12], [18, 20, 24], [16, 23, 27], [21, 25, 28], [26, 30, 31], [34, 32, 33, 35], [37, 36]]
61: [[19], [4, 17, 9], [3, 22, 1], [2, 6, 13, 5], [11, 15], [7, 8], [14, 10, 29], [12, 18], [20, 24, 16], [23, 27, 21, 25, 28, 26, 30, 31, 34, 32, 33, 35, 37, 36]]
62: [[19, 4], [17, 9], [3, 22], [1, 2, 6], [13, 5, 11, 15, 7, 8, 14, 10, 29, 12, 18, 20, 24, 16, 23, 27, 21, 25, 28, 26, 30, 31, 34, 32, 33, 35, 37, 36]]
63: [[19], [4, 17], [9], [3, 22], [1, 2, 6], [13, 5], [11, 15, 7], [8, 14, 10], [29, 12, 18], [20, 24], [16, 23, 27], [21, 25, 28], [26, 30, 31], [34, 32], [33, 35, 37, 36]]
64: [[19], [4, 17], [9, 3, 22], [1, 2], [6, 13, 5], [11, 15, 7, 8, 14, 10, 29, 12, 18, 20, 24, 16, 23, 27, 21, 25, 28, 26, 30, 31, 34, 32, 33, 35, 37, 36]]
65: [[19, 4, 17], [9, 3, 22], [1, 2, 6], [13, 5], [11, 15, 7], [8, 14], [10], [29, 12, 18], [20, 24], [16, 23, 27], [21, 25, 28], [26, 30, 31], [34, 32, 33], [35, 37, 36]]
66: [[19, 4, 17], [9, 3], [22, 1], [2], [6, 13, 5], [11, 15, 7], [8, 14, 10], [29, 12, 18], [20, 24, 16], [23, 27], [21, 25, 28], [26, 30, 31], [34, 32], [33, 35, 37], [36]]
67: [[19], [4, 17, 9], [3, 22, 1], [2, 6, 13], [5, 11, 15], [7, 8, 14], [10], [29, 12], [18, 20, 24], [16], [23, 27, 21, 25, 28, 26, 30, 31, 34, 32, 33, 35, 37, 36]]
68: [[19, 4, 17], [9, 3, 22], [1], [2, 6, 13], [5, 11], [15, 7, 8], [14, 10, 29], [12, 18, 20], [24, 16], [23, 27, 21, 25, 28], [26, 30, 31, 34, 32, 33, 35, 37, 36]]
69: [[19], [4, 17], [9, 3], [22, 1], [2, 6, 13], [5], [11, 15, 7], [8, 14], [10, 29], [12, 18, 20], [24], [16, 23, 27, 21, 25, 28, 26, 30, 31, 34, 32, 33, 35, 37, 36]]
70: [[19], [4, 17, 9], [3, 22, 1], [2, 6, 13], [5, 11, 15], [7, 8, 14], [10, 29, 12], [18, 20], [24, 16, 23, 27, 21, 25], [28, 26, 30, 31, 34, 32, 33, 35, 37, 36]]
71: [[19], [4, 17], [9], [3, 22, 1], [2, 6], [13, 5, 11], [15, 7], [8, 14, 10, 29, 12, 18, 20, 24, 16, 23, 27, 21, 25, 28, 26, 30, 31, 34, 32, 33, 35, 37, 36]]
72: [[19, 4, 17], [9, 3], [22, 1], [2, 6, 13], [5], [11, 15, 7, 8, 14, 10, 29, 12, 18, 20, 24, 16, 23, 27, 21, 25, 28, 26, 30, 31, 34, 32, 33, 35, 37, 36]]
73: [[19, 4], [17, 9], [3, 22, 1, 2, 6, 13, 5, 11, 15, 7, 8, 14, 10, 29, 12, 18, 20, 24, 16, 23, 27, 21, 25, 28, 26, 30, 31, 34, 32], [33, 35, 37, 36]]
