0: [[15, 18, 6, 8, 17, 13], [16, 3], [10, 7, 11, 14], [21, 23, 24], [19, 5, 4, 12], [1, 2, 9, 22, 20]]
17: [[15, 18, 13, 6, 8, 17], [16, 3], [10, 7, 11, 14], [21, 23, 24], [19, 5, 4, 12], [1, 2, 9, 22, 20]]
18: [[15, 18, 13, 6, 8, 17], [16, 3], [10, 7, 11, 14], [21, 23, 24], [19, 5, 4, 12], [1, 2, 9, 22, 20]]
19: [[15, 18, 13, 6, 8, 17], [16, 3], [10, 7, 11, 14], [21, 23, 24], [19, 5, 4, 12], [1, 2, 9, 22, 20]]
20: [[15, 18, 13, 6, 8, 17], [16, 3], [10, 7, 11, 14], [21, 23, 24], [19, 5, 4, 12], [1, 2, 9, 22, 20]]
21: [[15, 18, 13, 6, 8, 17], [16, 3], [10, 7, 11, 14], [21, 23, 24], [19, 5, 4, 12], [1, 2, 9, 22, 20]]
22: [[15, 18, 13, 6, 8, 17], [16, 3], [10, 7, 11, 14], [21, 23, 24], [19, 5, 4, 12], [1, 2, 9, 22, 20]]
23: [[15, 18, 13, 6, 8, 17], [16, 3], [10, 7, 11, 14], [21, 23, 24], [19, 5, 4, 12], [1, 2, 9, 22, 20]]
24: [[15, 18, 13, 6, 8, 17], [16, 3], [10, 7, 11, 14], [21, 23, 24], [19, 5, 4, 12], [1, 2, 9, 22, 20]]
25: [[15, 18, 13, 6, 8, 17], [16, 3], [10, 7, 11, 14], [21, 23, 24], [19, 5, 4, 12], [1, 2, 9, 22, 20]]
26: [[15, 18, 13, 6, 8, 17], [16, 3], [10, 7, 11, 14], [21, 23, 24], [19, 5, 4, 12], [1, 2, 9, 22, 20]]
27: [[15, 18, 13, 6, 8, 17], [16, 3], [10, 7, 11, 14], [21, 23, 24], [19, 5, 4, 12], [1, 2, 9, 22, 20]]
28: [[15, 18, 13, 16, 6, 8, 17], [3, 10], [7, 11, 14], [21, 23, 24], [19, 5, 4, 12], [1, 2, 9, 22, 20]]
29: [[15, 18, 13, 6, 8, 17], [16, 3], [10, 7, 11, 14], [21, 23, 24], [19, 5, 4, 12, 1], [2, 9, 22, 20]]
30: [[15, 17, 18, 6, 8], [13, 16], [3, 10, 7, 11, 14], [21, 23, 24], [19, 5, 4, 12], [1, 2, 9, 22, 20]]
31: [[15, 17, 18, 6, 8], [13, 16], [3, 10, 7, 11, 14], [21, 23, 24], [19, 5, 4, 12], [1, 2, 9, 22, 20]]
32: [[15, 17, 18, 6, 8], [13, 16], [3, 10, 7, 11, 14], [21, 23, 24], [19, 5, 4, 12], [1, 2, 9, 22, 20]]
33: [[15, 18, 13, 16, 6, 8, 17], [3, 10], [7, 11, 14, 21], [23, 24], [19, 5, 4, 12], [1, 2, 9, 22, 20]]
34: [[15, 18, 13, 16, 3, 10, 6, 8, 17], [7, 11], [14, 21], [23, 24], [19, 5, 4, 12], [1, 2, 9, 22, 20]]
35: [[15, 18, 13, 6, 8, 17], [16, 3], [10, 7, 11, 14], [21, 23, 24, 19], [5, 4, 12], [1, 2, 9, 22, 20]]
36: [[15, 18, 13, 6, 8, 17], [16, 3], [10, 7, 11, 14], [21, 23], [24, 19, 5, 4, 12], [1, 2, 9, 22, 20]]
37: [[15, 18, 13, 6, 8, 17], [16, 3], [10, 7, 11, 14], [21, 23], [24, 19, 5, 4, 12], [1, 2, 9, 22, 20]]
38: [[15, 18, 13, 6, 8, 17], [16, 3], [10, 7, 11, 14], [21, 23], [24, 19, 5, 4, 12], [1, 2, 9, 22, 20]]
39: [[15, 18, 13, 16, 6, 8, 17], [3, 10], [7, 11, 14, 21], [23, 24], [19, 5, 4], [12, 1, 2, 9, 22, 20]]
40: [[15, 18, 13, 16, 6, 8, 17], [3, 10], [7, 11], [14, 21, 23, 24], [19, 5, 4, 12], [1, 2, 9, 22, 20]]
41: [[15, 18, 13, 6, 8, 17], [16, 3], [10, 7, 11, 14], [21, 23], [24, 19, 5, 4], [12, 1, 2, 9, 22, 20]]
42: [[15, 18, 13, 16, 6, 8, 17], [3, 10], [7, 11, 14], [21, 23], [24, 19, 5, 4], [12, 1, 2, 9, 22, 20]]
43: [[15, 18, 13, 6, 8, 17], [16, 3], [10, 7, 11, 14, 21], [23, 24, 19], [5, 4, 12], [1, 2, 9, 22, 20]]
44: [[15, 18, 13, 6, 8, 17], [16, 3], [10, 7, 11, 14, 21], [23, 24, 19], [5, 4, 12], [1, 2, 9, 22, 20]]
45: [[15, 18, 13, 6, 8, 17], [16, 3], [10, 7, 11, 14, 21], [23, 24, 19], [5, 4, 12], [1, 2, 9, 22, 20]]
46: [[15, 17, 18, 6, 8], [13, 16], [3, 10, 7, 11], [14, 21, 23, 24], [19, 5, 4, 12], [1, 2, 9, 22, 20]]
47: [[15, 18, 13, 16, 6, 8, 17], [3, 10], [7, 11, 14, 21], [23, 24, 19], [5, 4, 12], [1, 2, 9, 22, 20]]
48: [[15, 18, 13, 16, 6, 8, 17], [3, 10], [7, 11, 14, 21], [23, 24, 19], [5, 4, 12, 1], [2, 9, 22, 20]]
49: [[15, 18, 13, 16, 3, 10, 7, 8, 17], [11, 14, 6], [21, 23], [24, 19], [5, 4, 12, 1], [2, 9, 22, 20]]
