0: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11], [6, 5], [2, 24], [4, 8, 13, 12], [9, 19, 17, 16], [15, 18, 28, 10, 14], [25, 20]]
20: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11], [6, 5, 2, 24], [4, 8, 13, 12], [9, 19, 17, 16], [15, 18, 28], [10, 14, 25, 20]]
21: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11], [6, 5, 2, 24], [4, 8, 13, 9], [16, 12], [17, 19], [15, 18], [28, 10, 14], [25, 20]]
22: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11], [6, 5, 2, 24], [4, 8], [13, 12], [9, 19, 17, 16], [15, 18], [28, 25, 20, 10, 14]]
23: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11], [6, 5, 2, 24], [4, 8, 13, 12, 9, 19, 17, 16, 15, 18, 28], [10, 14, 25, 20]]
24: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11, 6, 5], [2, 24], [4, 12, 8], [13, 9, 19, 17], [16, 15, 18, 28, 25, 20, 10, 14]]
25: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11], [6, 5], [2, 24, 4, 8], [13, 12, 9], [19, 17], [16, 15], [18, 28, 10, 14, 25, 20]]
26: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11], [6, 5, 2, 24], [4, 8, 13], [12, 9, 16, 17, 19, 15, 18, 28, 10, 14, 25, 20]]
27: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11, 6, 5], [2, 24, 4, 8, 13, 9, 16, 12, 17], [19, 15, 18, 28, 25, 20, 10, 14]]
28: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11], [6, 5, 2, 24], [4, 12], [8, 13, 9], [19, 17, 16, 15], [18, 28, 25, 20, 10, 14]]
29: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11, 6, 5], [2, 24, 4, 8], [13, 12, 9], [18, 17], [19, 15], [16, 28, 10, 14], [25, 20]]
30: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11], [6, 5, 2], [24, 4, 12, 8], [13, 9], [19, 17], [16, 15], [18], [28, 10, 14, 20, 25]]
31: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11, 6, 5], [2, 24, 4, 8, 13, 12], [9, 19, 17], [16, 15, 18, 28, 25, 14, 10, 20]]
32: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11], [6, 5, 2, 24], [4, 8, 13, 9], [19, 12, 17, 16], [15, 18, 28, 25], [20, 10, 14]]
33: [[26, 29, 21, 27], [1, 23], [7, 22], [3, 11], [6, 5, 2, 24], [4, 8, 13, 12], [9, 19, 17], [16, 15], [18, 28, 10, 14, 20, 25]]
34: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11], [6, 5, 2], [24, 4], [8, 13], [12, 9, 19, 17, 16, 15, 18, 28, 10, 14, 25, 20]]
35: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11, 6, 5, 2, 24, 4, 12, 8, 13, 9, 19], [17, 16, 15, 18, 28, 25, 20, 10, 14]]
36: [[26, 29, 21, 27], [1, 23], [7, 22, 3, 11], [6, 5, 2, 24], [4, 8, 13, 12, 9, 19, 17], [16, 15, 18, 28, 25, 20, 10, 14]]
37: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11], [6, 5, 2, 24, 4, 8, 13, 12, 9], [19, 17, 16, 15], [18, 28, 10, 20], [25, 14]]
38: [[26, 29, 21, 27], [1, 23], [7, 22, 3, 11], [6, 5, 2, 24], [4, 8, 13, 9, 16, 12, 17, 19, 15, 18, 28], [10, 14, 20, 25]]
39: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11], [6, 5, 2, 24], [4, 8, 13, 9, 16], [12, 17], [19, 15], [18, 28, 10, 14, 25, 20]]
40: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11], [6, 5, 2, 24, 4], [8, 13], [12, 9, 19, 17, 16, 15, 18, 28, 10, 14, 25, 20]]
41: [[26, 29, 21, 27], [1, 23, 7], [22, 3, 11, 6, 5, 2, 24, 4, 8, 13, 12, 9], [19, 17, 16, 15], [18, 28, 10, 14, 20, 25]]
42: [[26, 29, 21, 27], [1, 23, 7], [22, 3, 11, 6, 5, 2, 24, 4, 8, 13, 12, 9], [19, 17, 16, 15], [18, 28, 10, 14, 20, 25]]
43: [[26, 29, 21, 27], [1, 23], [7, 22], [3, 11, 6, 5], [2, 24], [4, 8], [13, 12], [9, 16, 17], [19, 15, 18, 28, 10, 14, 25, 20]]
44: [[26, 29, 21, 27], [1, 23], [7, 22, 3, 11, 6, 5, 2, 24, 4, 12, 8, 13, 9, 19, 17], [16, 15, 18, 28, 10, 14, 20, 25]]
45: [[26, 29, 21, 27], [1, 23], [7, 22, 3, 11, 6, 5, 2, 24, 4, 8, 13, 12], [9, 19, 17, 16, 15, 18, 28, 10, 14, 25, 20]]
46: [[26, 29, 21, 27], [1, 23], [7, 22, 3, 11], [6, 5, 2], [24, 4], [8, 13, 12, 9], [19, 17], [16, 15, 18, 28], [10, 14], [25, 20]]
47: [[26, 29, 21, 27], [1, 23, 7], [22, 3], [11, 6], [5, 2, 24, 4, 12, 8, 13, 9, 19, 17, 16, 15, 18, 28, 10, 14, 25, 20]]
48: [[26, 29], [21, 27], [1, 23, 7], [22, 3, 11], [6, 5, 2, 24], [4, 8, 13], [12, 9, 19, 17], [16, 15, 18, 28], [10, 14], [25, 20]]
49: [[26, 29, 21, 27], [1, 23, 7, 22, 3, 11, 6, 5, 2, 24, 4, 8, 13, 9, 16], [12, 17], [19, 15, 18, 28, 10, 14, 20, 25]]
50: [[26, 29, 21, 27], [1, 23], [7, 22], [3, 11, 6, 5, 2, 24, 4, 8, 13, 9, 16, 12, 17, 19, 15], [18, 28], [10, 14, 20, 25]]
51: [[26, 29, 21, 27], [1, 23], [7, 22, 3], [11, 6], [5, 2, 24, 4], [8, 13], [12, 9, 19, 17], [16, 15, 18], [28, 10, 14], [20, 25]]
52: [[26, 29, 21, 27], [1, 23], [7, 22], [3, 11, 6, 5, 2], [24, 4], [8, 13, 12, 9, 19, 17, 16, 15], [18, 28, 10, 14, 25, 20]]
53: [[26, 29], [21, 27, 1], [23, 7, 22], [3, 11], [6, 5, 2], [24, 4, 8, 13], [12, 9], [19, 17], [16, 15, 18], [28, 10, 14], [25, 20]]
54: [[26, 29, 21, 27, 1], [23, 7, 22, 3, 11, 6, 5, 2, 24, 4, 8, 13, 12, 9], [16, 17, 19, 15, 18, 28, 10, 14, 25, 20]]
55: [[26, 29, 21], [27, 1], [23, 7, 22, 3], [11, 6], [5, 2, 24, 4, 8, 13, 12, 9, 19, 17, 16, 15, 18, 28, 10, 14, 25, 20]]
56: [[26, 29], [21, 27, 1, 23], [7, 22], [3, 11, 6, 5], [2, 24, 4, 8], [13, 9, 12], [19, 17], [16, 15], [18, 28, 10, 14], [25, 20]]
57: [[26, 29, 21, 27, 1], [23, 7, 22, 3], [11, 6], [5, 2], [24, 4, 8, 13], [9, 16], [12, 17], [19, 15, 18, 28], [25, 20, 10, 14]]
58: [[26, 29], [21, 27, 1, 23], [7, 22], [3, 11, 6, 5, 2], [24, 4], [8, 13, 12], [9, 16, 17, 19], [15, 18, 28], [10, 14], [25, 20]]
59: [[26, 29], [21, 27, 1], [23, 7], [22, 3, 11, 6], [5, 2], [24, 4], [8, 13], [12, 9, 19], [17, 16], [15, 18], [28, 10], [14, 25, 20]]
