0: [[24, 5, 3, 28, 10, 1, 2, 6, 14], [4, 7, 9, 12, 11, 15, 8, 13, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
13: [[24, 5, 3, 28, 10, 1, 2, 6, 14], [4, 7, 8, 11, 15, 12, 9, 13, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
14: [[24, 5, 3, 28, 10, 1, 2, 6, 14], [4, 15, 13, 9, 11, 7, 8, 12, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
15: [[24, 5, 3, 28, 10, 1, 2, 6, 14], [4, 7, 9, 8, 11, 15, 13, 12, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
16: [[24, 5, 3, 28, 10, 1, 2, 6, 14], [4, 7, 8, 9, 11, 15, 13, 12, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
17: [[24, 5, 3, 28, 10, 1, 2, 6, 14], [4, 7, 13, 12, 11, 15, 8, 9, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
18: [[24, 5, 3, 28, 10, 1, 2, 6, 14], [4, 7, 15, 12, 11, 13, 8, 9, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
19: [[24, 5, 3, 28, 10, 1, 2, 6, 14, 4, 7, 12], [8, 11, 13, 15, 9, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
20: [[24, 5, 3, 28, 10, 1, 2, 6, 14, 4, 7, 12], [15, 11, 13, 8, 9, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
21: [[24, 5, 3, 28, 10, 1, 2, 6, 14, 4, 7, 12], [8, 11, 9, 15, 13, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
22: [[24, 5, 3, 28, 10, 1, 2, 6, 14, 4, 12, 8], [13, 11, 9, 7, 15, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
23: [[24, 5, 3, 28, 10, 1, 2, 6, 14, 4, 15, 7], [9, 11, 13, 8, 12, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
24: [[24, 5, 3, 28, 10, 1, 2, 6, 14, 4, 15, 7], [8, 11, 12, 13, 9, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
25: [[24, 5, 3, 28, 10], [1, 2, 6, 15, 4, 12, 13, 8, 11], [7, 9, 14, 18, 19, 16, 17, 22, 23, 20, 29, 25], [27, 26, 21]]
26: [[24, 5, 3, 28, 10, 1, 2, 6, 14, 4, 7, 8], [11, 15, 13, 12, 9, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
27: [[24, 5, 3, 28, 10, 1, 2, 6, 14, 4, 15, 12], [9, 11, 7, 13, 8, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
28: [[24, 5, 3, 28, 10, 1, 2, 6, 14, 4, 15, 12], [7, 11, 9, 8, 13, 18, 17, 16, 19], [22, 23, 20, 29, 25], [27, 26, 21]]
29: [[24, 5, 3, 28, 10, 1, 2, 6, 14, 4, 15, 13], [12, 11, 7, 8, 9, 18, 17, 16, 19], [22, 23, 20, 29, 25], [27, 26, 21]]
30: [[24, 5, 3, 28, 10, 1, 2, 6, 14, 4, 15, 13], [12, 11, 7, 9, 8, 18, 17, 16, 19], [22, 23, 20, 29, 25], [27, 26, 21]]
31: [[24, 5, 3, 28, 10, 1, 2, 6, 14, 7, 4, 11], [8, 15, 9, 12, 13, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
32: [[24, 5, 3, 28, 10, 1, 2, 6, 14, 4, 7, 11], [12, 15, 8, 9, 13, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
33: [[24, 5, 3, 28, 10, 1, 2, 6, 14, 7, 4, 9], [12, 11, 15, 8, 13, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
34: [[24, 5, 3, 28, 10, 1, 2, 6, 14, 4, 15, 8], [7, 11, 9, 12, 13, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
35: [[24, 5, 3, 28, 10, 1, 2, 6, 14, 4, 7, 13], [12, 11, 9, 8, 15, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
36: [[24, 5, 3, 28, 10, 1, 2, 6, 14, 4, 7, 13], [9, 11, 12, 8, 15, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
37: [[24, 5, 3, 28, 10, 1, 2, 6, 14, 4, 7, 13], [8, 11, 9, 12, 15, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
38: [[24, 5, 3, 28, 10, 1, 2, 6, 14, 4, 13, 9], [12, 11, 15, 8, 7, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
39: [[24, 5, 3, 28, 10, 1, 2, 6, 4, 7, 15, 13], [8, 11, 9, 12, 18, 19, 16, 17, 14], [22, 23, 20, 29, 25], [27, 26, 21]]
40: [[24, 5, 3, 28, 10, 1, 2, 6, 15, 4, 13, 7], [8, 11, 9, 14, 12, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
41: [[24, 5, 3, 28, 10, 1, 2, 6, 14, 4, 15, 9], [13, 7, 11, 12, 8, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
42: [[24, 5, 3, 28, 10, 1, 2, 6, 14, 4, 15, 9], [11, 7, 8, 12, 13, 18, 17, 16, 19], [22, 23, 20, 29, 25], [27, 26, 21]]
43: [[24, 5, 3, 28, 10, 1, 2, 6, 14, 4, 15, 9], [7, 13, 8, 12, 11, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
44: [[24, 5, 3, 28, 10], [1, 2, 6, 14, 4, 7, 13, 8, 11, 15, 9, 12], [18, 19, 16, 17, 22, 23, 20, 29, 25], [27, 26, 21]]
45: [[24, 5, 3, 28, 10], [1, 2, 6, 14, 7, 4, 13, 8, 11, 9, 15, 12], [18, 19, 16, 17, 22, 23, 20, 29, 25], [27, 26, 21]]
46: [[24, 5, 3, 28, 10], [1, 2, 6, 14, 4, 7, 9, 12, 11, 15, 13, 8], [18, 19, 16, 17, 22, 23, 20, 29, 25], [27, 26, 21]]
47: [[24, 5, 3, 28, 10], [1, 2, 6, 14, 4, 15, 13, 8, 11, 7, 9, 12], [18, 19, 16, 17, 22, 23, 20, 29, 25], [27, 26, 21]]
48: [[24, 5, 3, 28, 10], [1, 2, 6, 14, 4, 7, 12, 13, 11, 9, 8, 15], [18, 19, 16, 17, 22, 23, 20, 29, 25], [27, 26, 21]]
49: [[24, 5, 3, 28, 10], [1, 2, 6, 14, 4, 7, 8, 9, 11, 13, 12, 15], [18, 19, 16, 17, 22, 23, 20, 29, 25], [27, 26, 21]]
50: [[24, 5, 3, 28, 10], [1, 2, 6, 14, 4, 13, 7, 8, 11, 15, 12, 9], [18, 19, 16, 17, 22, 23, 20, 29, 25], [27, 26, 21]]
51: [[24, 5, 3, 28, 10], [1, 2, 6, 14, 7, 13, 9, 4, 11, 12, 8, 15], [18, 19, 16, 17, 22, 23, 20, 29, 25], [27, 26, 21]]
52: [[24, 5, 3, 28, 10], [1, 2, 6, 14, 4, 7, 9, 11, 8, 15, 12, 13], [18, 19, 16, 17, 22, 23, 20, 29, 25], [27, 26, 21]]
53: [[24, 5, 3, 28, 10], [1, 2, 6, 14, 4, 7, 8, 9, 15, 11, 12, 13], [18, 19, 16, 17, 22, 23, 20, 29, 25], [27, 26, 21]]
54: [[24, 5, 3, 28, 10], [1, 2, 6, 14, 4, 7, 13, 8, 11, 9, 12, 15], [18, 19, 16, 17, 22, 23, 20, 29, 25], [27, 26, 21]]
55: [[24, 5, 3, 28, 10], [1, 2, 6, 14, 4, 7, 8, 9, 15], [11, 13, 12, 18, 19, 16, 17, 22, 23, 20, 29, 25], [27, 26, 21]]
56: [[24, 5, 3, 28, 10, 1, 2, 6, 14, 4, 7, 15], [9, 11, 12, 8, 13], [18, 19, 16, 17, 22, 23, 20, 29, 25], [27, 26, 21]]
57: [[24, 5, 3, 28, 10], [1, 2, 6, 14, 4, 7, 9, 8, 11], [15, 13, 12, 18, 19, 16, 17, 22, 23, 20, 29, 25], [27, 26, 21]]
58: [[24, 5, 3, 28, 10], [1, 2, 6, 14, 4, 7, 13, 8, 11], [9, 12, 15, 18, 19, 16, 17, 22, 23, 20, 29, 25], [27, 26, 21]]
59: [[24, 5, 3, 28, 10], [1, 2, 6, 14, 4, 7, 13, 8, 11], [12, 15, 9, 18, 17, 16, 19, 22, 23, 20, 29, 25], [27, 26, 21]]
