0: [[1], [5, 25], [6, 2], [3, 10], [8, 4, 11, 13, 9, 12], [15, 17, 7, 14], [18, 16, 19], [20, 23, 22], [21, 26, 27], [24, 28, 29]]
48: [[1], [5, 25], [6, 2], [3, 4], [7, 15, 10], [9, 8, 12], [13, 11], [14, 17], [24, 21], [16, 22, 18], [19, 20, 23, 26, 27], [28, 29]]
49: [[1, 5, 25, 6, 2, 3, 15, 12], [8, 10, 9, 11, 13, 14, 7, 27, 24, 4, 21, 17, 20, 22], [23, 29, 18, 19, 26, 16, 28]]
50: [[1], [5, 25], [6, 2], [3, 7], [12, 4], [9, 13, 8, 10, 15], [21], [14, 24, 18], [17, 19, 20], [11, 16, 23], [26, 27, 22, 28, 29]]
51: [[1], [5, 25, 6, 2, 3, 7, 4, 14], [11, 9, 8, 13, 10, 15, 12, 19, 20, 29, 16, 17, 18, 23, 24, 26], [22, 27, 21, 28]]
52: [[1], [5, 25, 6, 2, 3, 8, 12, 4, 15, 7, 9, 11, 10, 17, 21, 14, 18, 13, 16, 20, 23, 22], [19, 24, 29, 26], [28, 27]]
53: [[1], [5, 25], [6, 2], [3, 12], [4], [8, 11], [13, 9, 20], [10, 14], [7, 18], [24, 16, 15], [21, 23, 22], [17, 19, 26], [27, 29, 28]]
54: [[1], [5, 25, 6, 2, 3, 12], [4, 7], [9, 14], [13, 11, 10, 15], [26, 8, 16, 21, 19, 18, 23, 20, 17, 27, 24, 22, 28, 29]]
55: [[1], [5, 25], [6, 2, 3, 4], [8, 7], [15, 9], [13, 11], [10, 12, 29, 14, 16], [17, 22], [26, 20, 18, 19, 23, 21, 24], [27, 28]]
56: [[1], [5, 25], [6, 2, 3, 13, 4], [9], [10, 7, 11, 12], [28, 8, 15], [14, 24, 17], [18, 19, 23], [20, 21, 16], [22, 27, 29, 26]]
57: [[1], [5, 25], [6, 2], [3, 4, 7], [14, 10, 9], [8, 11, 13, 23], [15, 22, 24], [21], [16, 18, 12], [19, 17, 20, 26, 27, 28, 29]]
58: [[1], [5, 25], [6], [2, 3], [10, 12], [4, 9], [15], [8, 11], [7, 14, 28, 16, 18, 22], [13, 17, 19, 20, 21, 26], [23, 27, 24, 29]]
59: [[1, 5], [25, 6, 2, 3], [4, 7], [12, 9, 14, 8], [11, 15, 10, 19], [16, 13, 22, 17, 18, 23, 21, 24, 26, 27], [28, 29, 20]]
