0: [[11, 21, 26, 15, 27, 13], [25, 3, 5, 6], [9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
11: [[11, 21, 26, 15, 27, 13], [25, 3, 5, 6], [9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
12: [[11, 21, 26, 15, 27, 13], [25, 3, 5, 6], [9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
13: [[11, 21, 26, 15, 27, 13], [25, 3, 5, 6], [9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
14: [[11, 21, 26, 15, 27, 13], [25, 3, 5, 6], [9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
15: [[11, 21, 26, 15, 27, 13], [25, 3, 5, 6], [9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
16: [[11, 21, 26, 15, 27, 13], [25, 3, 5, 6], [9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
17: [[11, 21, 26, 15, 27, 13], [25, 3, 5, 6], [9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
18: [[11, 21, 26, 15, 27, 13], [25, 3, 5, 6], [9, 17, 23, 18, 22, 16], [1, 2, 19, 7], [8, 4, 24, 28, 12], [29, 20, 10, 14]]
19: [[11, 21, 26, 15, 27, 13], [25, 3, 5, 6], [9, 17, 23, 18, 22, 16], [1, 2, 19, 7], [8, 4, 24, 28, 12], [29, 20, 10, 14]]
20: [[11, 21, 26, 15, 27], [13, 25, 3, 5], [6, 9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
21: [[11, 21, 26, 15, 27], [13, 25, 3, 5], [6, 9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
22: [[11, 21, 26, 15, 27], [13, 25, 3, 5], [6, 9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
23: [[11, 21, 26, 15, 27], [13, 25, 3, 5], [6, 9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
24: [[11, 21, 26, 15, 27], [13, 25, 3, 5], [6, 9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
25: [[11, 21, 26, 15, 27], [13, 25, 3, 5], [6, 9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
26: [[11, 21, 26, 15, 27], [13, 25, 3, 5], [6, 9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
27: [[11, 21, 26, 15, 27], [13, 25, 3, 5], [6, 9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
28: [[11, 21, 26, 15, 27], [13, 25, 3, 5], [6, 9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
29: [[11, 21, 26, 15, 27], [13, 25, 3, 5], [6, 9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
30: [[11, 21, 26, 15, 27], [13, 25, 3, 5], [6, 9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
31: [[11, 21, 26, 15, 27], [13, 25, 3, 5], [6, 9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
32: [[11, 21, 26, 15, 27], [13, 25, 3, 5], [6, 9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
33: [[11, 21, 26, 15, 27], [13, 25, 3, 5], [6, 9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
34: [[11, 21, 26, 15, 27], [13, 25, 3, 5], [6, 9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
35: [[11, 21, 26, 15, 27, 13], [25, 3, 5, 6], [9, 17, 23, 18, 22], [16, 1, 2, 19, 7, 8], [4, 24, 28, 12], [29, 20, 10, 14]]
36: [[11, 21, 26, 15, 27, 13], [25, 3, 5, 6], [9, 17, 23, 18, 22], [16, 1, 2, 19, 7, 8], [4, 24, 28, 12], [29, 20, 10, 14]]
37: [[11, 21, 26, 15, 27, 13], [25, 3, 5, 6], [9, 17, 23, 18, 22], [16, 1, 2, 19, 7, 8], [4, 24, 28, 12], [29, 20, 10, 14]]
38: [[11, 21, 26, 15, 27, 13], [25, 3, 5, 6], [9, 17, 23, 18, 22], [16, 1, 2, 19, 7, 8], [4, 24, 28, 12], [29, 20, 10, 14]]
39: [[11, 21, 26, 15, 27], [13, 25, 3, 5, 6, 9], [17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
40: [[11, 21, 26, 15], [27, 13, 25, 3, 5, 6], [9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
41: [[11, 21, 26, 15], [27, 13, 25, 3, 5, 6], [9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
42: [[11, 21, 26, 15], [27, 13, 25, 3, 5, 6], [9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
43: [[11, 21, 26, 15], [27, 13, 25, 3, 5, 6], [9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
44: [[11, 21, 26, 15], [27, 13, 25, 3, 5, 6], [9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
45: [[11, 21, 26, 15], [27, 13, 25, 3, 5, 6], [9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
46: [[11, 21, 26, 15], [27, 13, 25, 3, 5, 6], [9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
47: [[11, 21, 26, 15], [27, 13, 25, 3, 5, 6], [9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
48: [[11, 21, 26, 15], [27, 13, 25, 3, 5], [6, 9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
49: [[11, 21, 26, 15], [27, 13, 25, 3, 5], [6, 9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
50: [[11, 21, 26, 15], [27, 13, 25, 3, 5, 6], [9, 17, 23, 18], [22, 16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
51: [[11, 21, 26, 15], [27, 13, 25, 3, 5, 6], [9, 17, 23, 18], [22, 16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
52: [[11, 21, 26, 15], [27, 13, 25, 3, 5, 6], [9, 17, 23, 18], [22, 16, 1, 2, 19, 7], [8, 4, 24, 28, 12], [29, 20, 10, 14]]
53: [[11, 21, 26, 15], [27, 13, 25, 3, 5, 6], [9, 17, 23, 18], [22, 16, 1, 2, 19, 7], [8, 4, 24, 28, 12], [29, 20, 10, 14]]
54: [[11, 21, 26, 15], [27, 13, 25, 3, 5], [6, 9, 17, 23], [18, 22, 16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
55: [[11, 21, 26, 15], [27, 13, 25, 3, 5], [6, 9, 17, 23], [18, 22, 16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
56: [[11, 21, 26, 15], [27, 13, 25, 3, 5], [6, 9, 17, 23], [18, 22, 16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
57: [[11, 21, 26, 15], [27, 13, 25, 3, 5], [6, 9, 17, 23], [18, 22, 16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
58: [[11, 21, 26, 15], [27, 13, 25, 3, 5], [6, 9, 17, 23], [18, 22, 16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
59: [[11, 21, 26, 15], [27, 13, 25, 3, 5], [6, 9, 17, 23], [18, 22, 16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
