0: [[53, 55, 39], [30, 58, 85], [78, 11], [47, 27], [83, 10], [87, 18, 65], [2, 86], [23, 13, 70], [24, 12], [42, 5, 38], [22, 50], [49, 1, 19], [46, 7, 45], [69, 88, 8, 79], [80, 14, 41, 15], [4, 3, 16, 34], [37, 26, 75], [29, 9, 20], [31, 33, 6], [57, 35, 51], [52, 64], [21, 17, 32], [54, 28, 25], [36, 56, 66], [59, 44, 40], [60, 62, 43], [71, 72], [48, 61], [68, 77], [63, 73, 76], [84, 67, 82], [81, 74]]
11: [[53, 55], [39, 30], [58, 85], [78, 11], [47, 27], [83, 10, 87], [18, 65, 2], [86, 23, 13], [70, 24, 12], [42, 5, 38], [22, 50], [49, 1, 19], [46, 7, 45], [69, 88], [8, 79, 80], [14, 41, 15], [4, 3, 16], [34, 37, 26], [75, 29], [9, 20], [31, 33, 6], [57, 35, 51], [52, 64, 21], [17, 32], [54, 28], [25, 36, 56], [66, 59, 44, 40], [60, 62, 43], [71, 72, 48, 61, 68, 77, 63, 73, 76, 84, 67, 82, 81, 74]]
12: [[53, 55, 39], [30, 58, 85], [78, 11], [47, 27], [83, 10], [87, 18], [65, 2], [86, 23, 13], [70, 24, 12], [42, 5, 38], [22, 50, 49], [1, 19, 46], [7, 45, 69], [88, 8, 79], [80, 14, 41], [15, 4, 3, 16], [34, 37, 26], [75, 29, 9], [20, 31], [33, 6, 57], [35, 51, 52], [64, 21, 17], [32, 54], [28, 25, 36], [56, 66, 59], [44, 40, 60], [62, 43, 71], [72, 48, 61], [68, 77], [63, 73, 76], [84, 67], [82, 81, 74]]
13: [[53, 55, 39], [30, 58, 85], [78, 11, 47], [27, 83], [10, 87], [18, 65, 2], [86, 23, 13], [70, 24, 12], [42, 5, 38], [22, 50, 49], [1, 19, 46], [7, 45], [69, 88, 8], [79, 80], [14, 41, 15], [4, 3, 16], [34, 37, 26], [75, 29, 9], [20, 31, 33], [6, 57, 35], [51, 52, 64], [21, 17, 32], [54, 28, 25], [36, 56, 66], [59, 44, 40], [60, 62, 43], [71, 72, 48], [61, 68, 77], [63, 73], [76, 84, 67], [82, 81, 74]]
14: [[53, 55, 39], [30, 58, 85], [78, 11, 47], [27, 83, 10], [87, 18, 65], [2, 86], [23, 13, 70], [24, 12], [42, 5, 38], [22, 50, 49], [1, 19], [46, 7, 45], [69, 88, 8], [79, 80, 14], [41, 15, 4], [3, 16, 34], [37, 26, 75], [29, 9, 20], [31, 33], [6, 57, 35, 51], [52, 64, 21, 17], [32, 54, 28, 25], [36, 56, 66, 59], [44, 40, 60, 62], [43, 71, 72], [48, 61, 68], [77, 63, 73, 76], [84, 67, 82], [81, 74]]
15: [[53, 55], [39, 30], [58, 85], [78, 11, 47], [27, 83], [10, 87, 18], [65, 2, 86], [23, 13, 70], [24, 12], [42, 5, 38], [22, 50], [49, 1, 19], [46, 7, 45], [69, 88, 8], [79, 80], [14, 41, 15], [4, 3], [16, 34, 37], [26, 75, 29], [9, 20, 31], [33, 6, 57], [35, 51, 52], [64, 21], [17, 32, 54], [28, 25], [36, 56, 66], [59, 44, 40], [60, 62, 43], [71, 72, 48], [61, 68, 77], [63, 73, 76], [84, 67], [82, 81, 74]]
16: [[53, 55, 39], [30, 58, 85], [78, 11], [47, 27], [83, 10], [87, 18], [65, 2], [86, 23, 13], [70, 24, 12], [42, 5, 38], [22, 50], [49, 1, 19], [46, 7, 45], [69, 88], [8, 79, 80], [14, 41, 15], [4, 3, 16], [34, 37, 26, 75], [29, 9, 20], [31, 33], [6, 57, 35], [51, 52, 64], [21, 17, 32], [54, 28, 25, 36, 56, 66, 59, 44, 40, 60, 62, 43, 71, 72, 48], [61, 68, 77, 63, 73, 76, 84, 67, 82, 81, 74]]
17: [[53, 55, 39], [30, 58, 85], [78, 11], [47, 27], [83, 10], [87, 18, 65], [2, 86], [23, 13, 70], [24, 12], [42, 5, 38], [22, 50], [49, 1, 19], [46, 7, 45], [69, 88, 8], [79, 80, 14], [41, 15, 4], [3, 16, 34], [37, 26], [75, 29, 9], [20, 31, 33], [6, 57, 35], [51, 52, 64], [21, 17, 32], [54, 28], [25, 36, 56], [66, 59, 44], [40, 60, 62], [43, 71], [72, 48, 61], [68, 77], [63, 73, 76], [84, 67, 82], [81, 74]]
18: [[53, 55, 39], [30, 58, 85], [78, 11], [47, 27], [83, 10], [87, 18, 65], [2, 86], [23, 13, 70], [24, 12], [42, 5, 38], [22, 50], [49, 1, 19], [46, 7, 45, 69], [88, 8], [79, 80, 14], [41, 15], [4, 3, 16], [34, 37, 26], [75, 29, 9], [20, 31], [33, 6, 57], [35, 51, 52], [64, 21, 17], [32, 54, 28], [25, 36, 56], [66, 59, 44], [40, 60], [62, 43, 71], [72, 48], [61, 68, 77], [63, 73, 76], [84, 67], [82, 81, 74]]
19: [[53, 55, 39], [30, 58, 85], [78, 11], [47, 27], [83, 10], [87, 18], [65, 2], [86, 23, 13], [70, 24, 12], [42, 5, 38], [22, 50], [49, 1, 19, 46], [7, 45, 69], [88, 8, 79], [80, 14], [41, 15, 4], [3, 16, 34], [37, 26], [75, 29], [9, 20, 31], [33, 6, 57], [35, 51], [52, 64], [21, 17, 32], [54, 28], [25, 36], [56, 66, 59], [44, 40, 60], [62, 43], [71, 72, 48], [61, 68], [77, 63, 73], [76, 84, 67], [82, 81, 74]]
20: [[53, 55], [39, 30], [58, 85], [78, 11], [47, 27], [83, 10, 87], [18, 65, 2], [86, 23, 13], [70, 24, 12], [42, 5, 38], [22, 50], [49, 1, 19], [46, 7, 45], [69, 88], [8, 79, 80], [14, 41, 15], [4, 3, 16], [34, 37, 26], [75, 29, 9], [20, 31], [33, 6, 57], [35, 51, 52], [64, 21, 17], [32, 54, 28], [25, 36, 56], [66, 59], [44, 40, 60, 62, 43, 71, 72, 48, 61, 68, 77, 63, 73, 76, 84, 67, 82, 81, 74]]
21: [[53, 55, 39], [30, 58], [85, 78, 11], [47, 27], [83, 10, 87], [18, 65, 2], [86, 23, 13], [70, 24, 12], [42, 5, 38], [22, 50, 49], [1, 19, 46], [7, 45, 69], [88, 8], [79, 80, 14], [41, 15], [4, 3, 16], [34, 37, 26], [75, 29, 9], [20, 31, 33], [6, 57], [35, 51, 52], [64, 21, 17], [32, 54, 28], [25, 36, 56], [66, 59, 44], [40, 60, 62], [43, 71, 72], [48, 61, 68], [77, 63, 73], [76, 84, 67], [82, 81], [74]]
22: [[53, 55, 39], [30, 58, 85], [78, 11], [47, 27], [83, 10], [87, 18, 65], [2, 86], [23, 13, 70], [24, 12], [42, 5, 38], [22, 50], [49, 1, 19], [46, 7, 45], [69, 88, 8, 79], [80, 14], [41, 15, 4], [3, 16, 34], [37, 26, 75], [29, 9, 20], [31, 33, 6], [57, 35], [51, 52, 64], [21, 17, 32, 54], [28, 25, 36], [56, 66, 59], [44, 40, 60], [62, 43, 71], [72, 48], [61, 68, 77], [63, 73], [76, 84, 67], [82, 81], [74]]
23: [[53, 55, 39], [30, 58, 85], [78, 11], [47, 27], [83, 10], [87, 18, 65], [2, 86], [23, 13, 70], [24, 12], [42, 5, 38], [22, 50], [49, 1, 19], [46, 7, 45], [69, 88, 8, 79], [80, 14], [41, 15, 4], [3, 16, 34], [37, 26, 75], [29, 9, 20], [31, 33, 6], [57, 35], [51, 52, 64], [21, 17, 32, 54], [28, 25, 36], [56, 66, 59], [44, 40, 60], [62, 43, 71], [72, 48], [61, 68, 77], [63, 73], [76, 84, 67], [82, 81], [74]]
24: [[53, 55, 39], [30, 58, 85], [78, 11], [47, 27], [83, 10], [87, 18], [65, 2], [86, 23, 13], [70, 24, 12], [42, 5, 38], [22, 50], [49, 1, 19], [46, 7], [45, 69, 88], [8, 79, 80], [14, 41, 15], [4, 3], [16, 34, 37, 26], [75, 29], [9, 20, 31, 33, 6, 57, 35], [51, 52, 64, 21, 17, 32, 54, 28, 25, 36, 56, 66, 59, 44, 40, 60, 62, 43, 71, 72, 48, 61, 68, 77, 63, 73, 76, 84, 67, 82, 81, 74]]
25: [[53, 55], [39, 30, 58], [85, 78, 11], [47, 27, 83], [10, 87, 18], [65, 2, 86], [23, 13, 70], [24, 12], [42, 5, 38], [22, 50, 49], [1, 19], [46, 7], [45, 69], [88, 8], [79, 80, 14], [41, 15, 4], [3, 16, 34], [37, 26], [75, 29, 9], [20, 31, 33], [6, 57, 35], [51, 52, 64], [21, 17], [32, 54, 28], [25, 36], [56, 66, 59], [44, 40, 60], [62, 43, 71], [72, 48, 61], [68, 77], [63, 73, 76], [84, 67, 82], [81, 74]]
26: [[53, 55], [39, 30, 58], [85, 78, 11], [47, 27, 83], [10, 87, 18], [65, 2, 86], [23, 13, 70], [24, 12], [42, 5, 38], [22, 50, 49], [1, 19], [46, 7, 45], [69, 88, 8], [79, 80, 14], [41, 15, 4], [3, 16, 34], [37, 26, 75], [29, 9], [20, 31, 33], [6, 57], [35, 51, 52], [64, 21, 17], [32, 54], [28, 25, 36], [56, 66], [59, 44, 40, 60, 62, 43, 71, 72, 48, 61, 68, 77, 63, 73, 76, 84, 67, 82, 81, 74]]
27: [[53, 55], [39, 30, 58], [85, 78, 11], [47, 27, 83], [10, 87, 18], [65, 2, 86], [23, 13, 70], [24, 12], [42, 5, 38], [22, 50, 49], [1, 19], [46, 7, 45], [69, 88, 8], [79, 80, 14], [41, 15, 4], [3, 16, 34], [37, 26, 75], [29, 9], [20, 31, 33], [6, 57], [35, 51, 52], [64, 21, 17], [32, 54], [28, 25, 36], [56, 66], [59, 44, 40, 60, 62, 43, 71, 72, 48, 61, 68, 77, 63, 73, 76, 84, 67, 82, 81, 74]]
28: [[53, 55], [39, 30], [58, 85], [78, 11], [47, 27, 83], [10, 87, 18], [65, 2], [86, 23, 13], [70, 24, 12], [42, 5, 38], [22, 50], [49, 1, 19], [46, 7, 45], [69, 88, 8], [79, 80, 14], [41, 15], [4, 3, 16], [34, 37, 26], [75, 29, 9], [20, 31, 33], [6, 57, 35], [51, 52, 64], [21, 17, 32], [54, 28, 25], [36, 56, 66], [59, 44, 40], [60, 62, 43], [71, 72, 48], [61, 68, 77], [63, 73, 76], [84, 67, 82], [81, 74]]
29: [[53, 55], [39, 30], [58, 85], [78, 11], [47, 27, 83], [10, 87, 18], [65, 2], [86, 23, 13], [70, 24, 12], [42, 5, 38], [22, 50], [49, 1, 19], [46, 7, 45], [69, 88, 8], [79, 80, 14], [41, 15], [4, 3, 16], [34, 37, 26], [75, 29, 9], [20, 31, 33], [6, 57, 35], [51, 52, 64], [21, 17, 32], [54, 28, 25], [36, 56, 66], [59, 44, 40], [60, 62, 43], [71, 72, 48], [61, 68, 77], [63, 73, 76], [84, 67, 82], [81, 74]]
30: [[53, 55], [39, 30], [58, 85], [78, 11], [47, 27, 83], [10, 87, 18], [65, 2], [86, 23, 13], [70, 24, 12], [42, 5, 38], [22, 50], [49, 1, 19], [46, 7, 45], [69, 88, 8], [79, 80, 14], [41, 15], [4, 3, 16], [34, 37, 26], [75, 29, 9], [20, 31, 33], [6, 57, 35], [51, 52, 64], [21, 17, 32], [54, 28, 25], [36, 56, 66], [59, 44, 40], [60, 62, 43], [71, 72, 48], [61, 68, 77], [63, 73, 76], [84, 67, 82], [81, 74]]
31: [[53, 55], [39, 30], [58, 85, 78], [11, 47], [27, 83, 10], [87, 18, 65], [2, 86, 23], [13, 70, 24], [12, 42], [5, 38], [22, 50], [49, 1], [19, 46], [7, 45], [69, 88, 8], [79, 80], [14, 41, 15], [4, 3], [16, 34], [37, 26, 75], [29, 9, 20], [31, 33], [6, 57], [35, 51, 52], [64, 21, 17], [32, 54, 28], [25, 36, 56], [66, 59, 44], [40, 60], [62, 43, 71], [72, 48, 61], [68, 77, 63], [73, 76], [84, 67, 82], [81, 74]]
32: [[53, 55], [39, 30], [58, 85], [78, 11, 47], [27, 83], [10, 87, 18], [65, 2], [86, 23, 13], [70, 24, 12], [42, 5, 38], [22, 50, 49], [1, 19, 46], [7, 45], [69, 88, 8], [79, 80, 14], [41, 15, 4], [3, 16, 34], [37, 26, 75], [29, 9, 20], [31, 33, 6], [57, 35, 51], [52, 64], [21, 17, 32], [54, 28, 25], [36, 56, 66], [59, 44, 40], [60, 62, 43], [71, 72, 48], [61, 68], [77, 63, 73], [76, 84, 67], [82, 81, 74]]
33: [[53, 55], [39, 30, 58], [85, 78], [11, 47, 27], [83, 10], [87, 18, 65], [2, 86], [23, 13, 70], [24, 12, 42], [5, 38], [22, 50], [49, 1], [19, 46, 7], [45, 69, 88], [8, 79, 80], [14, 41, 15], [4, 3], [16, 34], [37, 26, 75], [29, 9, 20, 31], [33, 6, 57], [35, 51, 52], [64, 21, 17], [32, 54, 28], [25, 36, 56], [66, 59], [44, 40, 60], [62, 43, 71], [72, 48], [61, 68], [77, 63, 73], [76, 84, 67], [82, 81, 74]]
34: [[53, 55], [39, 30], [58, 85, 78], [11, 47, 27], [83, 10, 87], [18, 65, 2], [86, 23, 13], [70, 24, 12], [42, 5, 38], [22, 50], [49, 1, 19], [46, 7, 45], [69, 88, 8], [79, 80, 14], [41, 15, 4], [3, 16, 34], [37, 26], [75, 29], [9, 20], [31, 33, 6], [57, 35, 51], [52, 64], [21, 17, 32], [54, 28, 25], [36, 56], [66, 59, 44], [40, 60], [62, 43, 71, 72, 48, 61, 68, 77, 63, 73, 76, 84, 67, 82, 81, 74]]
35: [[53, 55], [39, 30, 58], [85, 78, 11], [47, 27, 83], [10, 87], [18, 65, 2], [86, 23, 13], [70, 24, 12], [42, 5, 38], [22, 50, 49], [1, 19], [46, 7, 45], [69, 88], [8, 79, 80], [14, 41, 15], [4, 3], [16, 34, 37], [26, 75, 29], [9, 20, 31], [33, 6], [57, 35, 51], [52, 64, 21], [17, 32], [54, 28], [25, 36, 56], [66, 59, 44], [40, 60, 62], [43, 71, 72], [48, 61, 68], [77, 63], [73, 76], [84, 67], [82, 81, 74]]
36: [[53, 55], [39, 30], [58, 85], [78, 11], [47, 27], [83, 10, 87], [18, 65, 2], [86, 23, 13], [70, 24, 12], [42, 5, 38], [22, 50], [49, 1, 19], [46, 7, 45], [69, 88], [8, 79, 80], [14, 41, 15], [4, 3, 16], [34, 37, 26], [75, 29], [9, 20], [31, 33, 6], [57, 35, 51], [52, 64, 21], [17, 32], [54, 28], [25, 36, 56], [66, 59], [44, 40, 60], [62, 43, 71], [72, 48], [61, 68, 77], [63, 73], [76, 84, 67], [82, 81, 74]]
37: [[53, 55, 39], [30, 58, 85], [78, 11, 47], [27, 83], [10, 87, 18], [65, 2, 86], [23, 13], [70, 24, 12], [42, 5, 38], [22, 50, 49], [1, 19, 46], [7, 45, 69], [88, 8], [79, 80, 14], [41, 15, 4], [3, 16, 34], [37, 26, 75], [29, 9, 20], [31, 33], [6, 57, 35], [51, 52, 64], [21, 17, 32], [54, 28, 25], [36, 56], [66, 59, 44, 40], [60, 62, 43, 71, 72, 48, 61, 68, 77, 63, 73, 76, 84, 67, 82, 81, 74]]
38: [[53, 55, 39], [30, 58, 85], [78, 11], [47, 27], [83, 10], [87, 18, 65], [2, 86], [23, 13, 70], [24, 12], [42, 5, 38], [22, 50], [49, 1], [19, 46], [7, 45, 69], [88, 8, 79], [80, 14], [41, 15, 4], [3, 16, 34], [37, 26], [75, 29], [9, 20, 31], [33, 6, 57], [35, 51, 52], [64, 21], [17, 32, 54], [28, 25], [36, 56, 66], [59, 44], [40, 60, 62, 43, 71, 72, 48, 61], [68, 77, 63], [73, 76, 84, 67, 82, 81, 74]]
39: [[53, 55], [39, 30, 58], [85, 78], [11, 47], [27, 83], [10, 87, 18], [65, 2], [86, 23, 13], [70, 24, 12], [42, 5, 38], [22, 50], [49, 1, 19], [46, 7, 45], [69, 88, 8], [79, 80, 14], [41, 15], [4, 3], [16, 34], [37, 26], [75, 29], [9, 20, 31], [33, 6, 57], [35, 51, 52], [64, 21], [17, 32], [54, 28, 25], [36, 56, 66], [59, 44, 40], [60, 62, 43], [71, 72, 48], [61, 68, 77], [63, 73, 76], [84, 67, 82], [81, 74]]
40: [[53, 55], [39, 30, 58], [85, 78, 11], [47, 27, 83], [10, 87, 18], [65, 2, 86], [23, 13, 70], [24, 12], [42, 5, 38], [22, 50, 49], [1, 19], [46, 7, 45], [69, 88, 8], [79, 80, 14], [41, 15, 4], [3, 16, 34], [37, 26, 75], [29, 9], [20, 31, 33], [6, 57], [35, 51, 52], [64, 21, 17], [32, 54, 28], [25, 36, 56], [66, 59, 44], [40, 60, 62], [43, 71, 72, 48, 61, 68, 77, 63, 73, 76, 84], [67, 82], [81, 74]]
41: [[53, 55], [39, 30, 58], [85, 78, 11], [47, 27], [83, 10, 87], [18, 65, 2], [86, 23, 13], [70, 24, 12], [42, 5, 38], [22, 50, 49], [1, 19, 46], [7, 45, 69], [88, 8], [79, 80, 14], [41, 15, 4], [3, 16, 34], [37, 26, 75], [29, 9], [20, 31, 33], [6, 57], [35, 51, 52], [64, 21, 17], [32, 54], [28, 25, 36, 56, 66, 59, 44, 40, 60, 62, 43, 71, 72, 48, 61, 68, 77, 63, 73, 76, 84, 67, 82, 81, 74]]
42: [[53, 55], [39, 30], [58, 85, 78], [11, 47, 27], [83, 10, 87], [18, 65, 2], [86, 23, 13], [70, 24, 12], [42, 5, 38], [22, 50], [49, 1, 19], [46, 7], [45, 69, 88], [8, 79, 80], [14, 41, 15], [4, 3, 16], [34, 37, 26], [75, 29, 9], [20, 31, 33], [6, 57, 35], [51, 52, 64, 21, 17], [32, 54, 28, 25, 36, 56, 66, 59, 44, 40, 60, 62, 43, 71, 72, 48, 61, 68, 77, 63, 73], [76, 84, 67, 82, 81, 74]]
43: [[53, 55], [39, 30], [58, 85, 78], [11, 47, 27], [83, 10, 87], [18, 65, 2], [86, 23, 13], [70, 24, 12], [42, 5, 38], [22, 50], [49, 1, 19], [46, 7], [45, 69, 88], [8, 79, 80], [14, 41, 15], [4, 3, 16], [34, 37, 26], [75, 29, 9], [20, 31, 33], [6, 57, 35], [51, 52, 64, 21, 17], [32, 54, 28, 25, 36, 56, 66, 59, 44, 40, 60, 62, 43, 71, 72, 48, 61, 68, 77, 63, 73], [76, 84, 67, 82, 81, 74]]
44: [[53, 55], [39, 30], [58, 85], [78, 11, 47], [27, 83, 10], [87, 18, 65], [2, 86], [23, 13], [70, 24, 12], [42, 5, 38], [22, 50, 49], [1, 19, 46], [7, 45], [69, 88, 8], [79, 80, 14], [41, 15, 4], [3, 16, 34], [37, 26], [75, 29, 9], [20, 31, 33], [6, 57, 35], [51, 52, 64], [21, 17, 32], [54, 28, 25], [36, 56, 66], [59, 44, 40], [60, 62, 43], [71, 72, 48], [61, 68, 77], [63, 73, 76], [84, 67, 82], [81, 74]]
45: [[53, 55, 39], [30, 58, 85], [78, 11], [47, 27], [83, 10, 87], [18, 65], [2, 86, 23], [13, 70], [24, 12, 42], [5, 38], [22, 50, 49], [1, 19], [46, 7], [45, 69, 88], [8, 79, 80], [14, 41, 15], [4, 3, 16], [34, 37, 26], [75, 29], [9, 20, 31], [33, 6, 57], [35, 51, 52], [64, 21, 17], [32, 54, 28], [25, 36, 56, 66, 59, 44, 40, 60, 62, 43, 71, 72, 48, 61, 68, 77, 63, 73, 76, 84, 67, 82, 81, 74]]
46: [[53, 55], [39, 30], [58, 85], [78, 11], [47, 27, 83], [10, 87], [18, 65, 2], [86, 23, 13], [70, 24], [12, 42], [5, 38], [22, 50], [49, 1, 19], [46, 7], [45, 69, 88], [8, 79, 80], [14, 41, 15], [4, 3], [16, 34, 37, 26], [75, 29], [9, 20, 31], [33, 6, 57], [35, 51, 52], [64, 21, 17], [32, 54, 28], [25, 36, 56], [66, 59, 44], [40, 60], [62, 43], [71, 72, 48], [61, 68, 77], [63, 73], [76, 84, 67, 82, 81, 74]]
47: [[53, 55, 39], [30, 58, 85], [78, 11], [47, 27], [83, 10, 87], [18, 65], [2, 86], [23, 13, 70], [24, 12], [42, 5, 38], [22, 50, 49], [1, 19, 46], [7, 45, 69], [88, 8, 79, 80], [14, 41], [15, 4, 3], [16, 34], [37, 26, 75], [29, 9, 20], [31, 33], [6, 57, 35], [51, 52, 64], [21, 17], [32, 54, 28], [25, 36, 56], [66, 59, 44], [40, 60, 62], [43, 71, 72], [48, 61, 68], [77, 63, 73], [76, 84, 67], [82, 81, 74]]
48: [[53, 55, 39], [30, 58], [85, 78, 11], [47, 27], [83, 10, 87], [18, 65, 2], [86, 23, 13], [70, 24, 12], [42, 5, 38], [22, 50, 49], [1, 19, 46], [7, 45, 69], [88, 8], [79, 80, 14], [41, 15], [4, 3, 16], [34, 37, 26], [75, 29, 9], [20, 31, 33], [6, 57, 35], [51, 52], [64, 21, 17], [32, 54, 28], [25, 36, 56], [66, 59, 44], [40, 60, 62], [43, 71], [72, 48, 61], [68, 77, 63], [73, 76, 84], [67, 82], [81, 74]]
49: [[53, 55], [39, 30, 58], [85, 78, 11], [47, 27, 83], [10, 87, 18], [65, 2, 86], [23, 13, 70], [24, 12], [42, 5, 38], [22, 50, 49], [1, 19], [46, 7, 45], [69, 88, 8, 79], [80, 14, 41], [15, 4, 3], [16, 34, 37], [26, 75, 29], [9, 20, 31], [33, 6, 57], [35, 51, 52], [64, 21, 17], [32, 54, 28], [25, 36, 56], [66, 59], [44, 40], [60, 62, 43], [71, 72, 48], [61, 68], [77, 63, 73, 76, 84], [67, 82, 81, 74]]
50: [[53, 55], [39, 30], [58, 85, 78], [11, 47, 27], [83, 10, 87], [18, 65, 2], [86, 23, 13], [70, 24, 12], [42, 5, 38], [22, 50], [49, 1, 19], [46, 7, 45], [69, 88, 8], [79, 80, 14], [41, 15, 4], [3, 16, 34], [37, 26, 75], [29, 9, 20], [31, 33, 6], [57, 35, 51], [52, 64, 21], [17, 32, 54], [28, 25, 36], [56, 66, 59], [44, 40, 60], [62, 43], [71, 72, 48], [61, 68], [77, 63, 73], [76, 84, 67, 82, 81, 74]]
