0: [[10, 1, 24, 19, 2, 5, 7, 25], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14, 20], [23, 28], [27, 21, 26, 29]]
41: [[10, 5, 1, 24, 19, 7], [2, 3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
42: [[10, 5, 1, 24, 19, 7], [2, 3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
43: [[10, 5, 1, 24, 19, 7], [2, 3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 14], [22, 20, 23, 28, 25], [27, 21, 26, 29]]
44: [[10, 5, 1, 24, 19, 7], [2, 3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 14], [22, 20, 23, 28, 25], [27, 21, 26, 29]]
45: [[10, 5, 1, 24, 19, 7, 2, 3], [6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 20, 14], [23, 28, 25], [27, 21, 26, 29]]
46: [[10, 5, 1, 24, 19, 7, 2, 3], [6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 20, 14], [23, 28, 25], [27, 21, 26, 29]]
47: [[10, 5, 1, 24, 19, 7, 2, 3], [6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 20, 14], [23, 28, 25], [27, 21, 26, 29]]
48: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 11, 15, 9, 13, 18, 16, 8, 14], [22, 20, 23, 28], [25, 27, 21, 26, 29]]
49: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 11, 15, 9, 13, 18, 16, 8, 14], [22, 20, 23, 28], [25, 27, 21, 26, 29]]
50: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 11, 15, 9, 13, 18, 16, 8, 14], [22, 20, 23, 28], [25, 27, 21, 26, 29]]
51: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 11, 15, 9, 13, 18, 16, 8, 14], [22, 20, 23, 28], [25, 27, 21, 26, 29]]
52: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [23, 28, 20], [25, 27, 21, 26, 29]]
53: [[10, 5, 1, 24, 19, 7], [2, 3, 6, 4, 12, 17, 11, 15, 9, 13, 18, 16, 8, 14], [22, 20, 23, 28], [25, 27, 21, 26, 29]]
54: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 9, 13, 18, 16, 22, 15, 14], [20, 23, 28, 25, 27], [21, 26, 29]]
55: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 9, 13, 18, 16, 22, 15, 14], [20, 23, 28, 25, 27], [21, 26, 29]]
56: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 9, 13, 18, 16, 22, 15, 14], [20, 23, 28, 25, 27], [21, 26, 29]]
57: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 9, 13, 18, 16, 22, 15, 14], [20, 23, 28, 25, 27], [21, 26, 29]]
58: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 9, 13, 18, 16, 22, 20, 15, 14], [23, 28, 25, 27], [21, 26, 29]]
59: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 9, 13, 18, 16, 22, 20, 15, 14], [23, 28, 25, 27], [21, 26, 29]]
