0: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
16: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
17: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
18: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
19: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
20: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
21: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
22: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
23: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
24: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
25: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
26: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
27: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
28: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
29: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
30: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
31: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
32: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
33: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
34: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
35: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
36: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
37: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
38: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
39: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
40: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
41: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
42: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
43: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
44: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
45: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
46: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
47: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
48: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
49: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
50: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
51: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
52: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
53: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
54: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
55: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
56: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
57: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
58: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
59: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
