0: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
26: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
27: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
28: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
29: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
30: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
31: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
32: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
33: [[1, 5, 3, 4, 2, 6, 13, 10], [14, 7], [11, 12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
34: [[1, 5, 3, 4, 2, 6, 13, 10], [14, 7], [11, 12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
35: [[1, 5, 3, 4, 2, 6, 13, 10], [14, 7], [11, 12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
36: [[1, 5, 3, 4, 2, 6, 13, 10], [14, 7], [11, 12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
37: [[1, 5, 3, 4, 2, 6, 13, 10], [14, 7], [11, 12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
38: [[1, 5, 3, 4, 2, 6, 13, 10, 14, 7], [11, 12], [8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
39: [[1, 5, 3, 4, 2, 6, 13, 10, 14, 7], [11, 12], [8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
40: [[1, 5, 3, 4, 2, 6, 13, 10, 14, 7], [11, 12], [8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
41: [[1, 5, 3, 4, 2, 6, 13, 10, 14, 7], [11, 12], [8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
42: [[1, 5, 3, 4, 2, 6, 13, 10, 14, 7], [11, 12], [8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
43: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16, 17, 23], [21, 22, 24]]
44: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16], [17, 23, 21, 22, 24]]
45: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16], [17, 23, 21, 22, 24]]
46: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16], [17, 23, 21, 22, 24]]
47: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16], [17, 23, 21, 22, 24]]
48: [[1, 5, 3, 4, 2, 6, 13, 10], [14, 7], [11, 12, 8, 9, 15, 18, 20, 19, 16], [17, 23, 21, 22, 24]]
49: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16, 17, 23, 21], [22, 24]]
