0: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
17: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
18: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
19: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
20: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
21: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
22: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
23: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
24: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
25: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
26: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
27: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
28: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
29: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
30: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
31: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
32: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
33: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
34: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
35: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
36: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
37: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
38: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
39: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
40: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
41: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
42: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
43: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
44: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
45: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
46: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
47: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
48: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
49: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
50: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
51: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
52: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
53: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
54: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
55: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
56: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
57: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
58: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
59: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
