0: [[34], [17, 4, 38], [44, 5, 18], [7, 2], [28, 39, 3, 60, 22], [9, 11, 31, 25, 8, 13, 6, 21], [14, 15, 20], [26, 1], [27, 23, 16], [24, 36, 35, 48, 29, 10, 12], [30], [33, 37], [47, 56, 45, 40], [58, 32, 42, 43, 51], [41, 46], [49, 57], [59], [50, 52, 19, 53, 54, 55]]
33: [[35, 7, 2], [33, 1, 21, 14, 3, 4, 15, 10, 5, 6, 11, 8, 29, 16, 12, 9, 31, 19, 20, 28, 13, 17, 27, 18], [30, 23, 22, 24, 25, 26, 32, 36, 42, 34, 39, 38, 43, 47, 45, 46, 40, 44], [41, 37, 55, 51, 52, 54, 48, 53, 50, 57, 49, 58, 59, 56, 60]]
34: [[35, 7, 2], [33, 1, 21, 14, 3, 4, 15, 10, 5, 6, 11, 8, 29, 16, 12, 9, 31, 19, 20, 28, 13, 17, 27, 18], [30, 23, 22, 24, 25, 26, 32, 36, 42, 34, 39, 38, 43, 47, 45, 46, 40, 44], [41, 37, 55, 51, 52, 54, 48, 53, 50, 57, 49, 58, 59, 56, 60]]
35: [[35, 7, 2], [33, 1, 10, 3, 5, 4, 12, 8, 6, 11, 9, 14, 15, 17, 13, 19, 30], [20, 18, 22, 16, 29, 23, 21, 25, 26, 27, 24, 28, 31, 34, 38, 37, 32, 36, 39, 47, 40, 42, 44, 43, 41], [45, 46, 59, 48, 52, 54, 49, 55, 50, 60, 56, 51, 53, 57, 58]]
36: [[35, 7, 2], [33, 3, 5, 17, 1, 4, 9, 10, 12, 13, 6, 15, 8, 11, 25, 21, 30, 16], [14, 29, 18, 20, 22, 24, 23, 19, 26, 27, 31, 28, 36, 34, 38, 32, 43, 39, 41, 45, 40, 42, 44, 57], [46, 37, 59, 49, 47, 50, 52, 48, 51, 58, 54, 55, 53, 56, 60]]
37: [[35, 7, 2], [33, 11, 9, 6, 1, 5, 10, 13, 23, 4, 3, 12, 8, 25, 14, 19, 15, 16], [21, 17, 22, 20, 24, 18, 28, 27, 26, 29, 30, 31, 36, 38, 32, 44, 34, 39, 45, 42, 43, 37, 40, 41], [47, 46, 49, 50, 53, 51, 55, 48, 52, 54, 58, 59, 57, 56, 60]]
38: [[35, 7, 2], [33, 1, 17, 3, 4, 5, 9, 6, 12, 10, 8, 14, 11, 13, 30, 24, 31, 18], [27, 15, 20, 19, 16, 23, 25, 21, 26, 29, 22, 28, 32, 34, 38, 37, 36, 41, 39, 44, 42, 40, 43, 45], [47, 46, 50, 48, 51, 54, 52, 49, 53, 55, 57, 56, 59, 58, 60]]
39: [[35, 7, 2, 33, 3, 21, 10, 4, 1, 5, 6, 9, 11, 8, 12, 13, 14, 27, 17, 16, 28, 18, 20, 15], [19, 22, 23], [29, 24, 26, 25, 31, 30, 32, 38, 34, 46, 37, 39, 45, 44, 40, 41, 36, 42], [43, 47, 58, 48, 51, 49, 54, 52, 53, 55, 50, 59, 57, 56, 60]]
40: [[35, 7, 2, 33, 3, 21, 10, 4, 1, 5, 6, 9, 11, 8, 12, 13, 14, 27, 17, 16, 28, 18, 20, 15], [19, 22, 23], [29, 24, 26, 25, 31, 30, 32, 38, 34, 46, 37, 39, 45, 44, 40, 41, 36, 42], [43, 47, 58, 48, 51, 49, 54, 52, 53, 55, 50, 59, 57, 56, 60]]
41: [[35, 7, 2, 33, 1, 17, 13, 3, 4, 5, 9, 12, 21, 14, 8, 31, 28, 27, 6], [24, 10, 29, 30, 23, 26, 18, 16, 19, 11, 25, 15, 20, 22, 32, 34, 36, 37, 38, 39, 41, 40, 44], [46, 42, 43], [45, 51, 47, 52, 48, 49, 53, 50, 55, 54, 57, 58, 56, 59, 60]]
42: [[35, 7, 2, 41, 9, 29, 3, 1, 5, 4, 12, 15, 11, 10, 13, 14, 28, 16, 8, 17, 6, 23, 22, 21, 18], [19, 25, 20, 27, 24, 26, 30, 37, 32, 52, 38, 36, 45, 39, 31, 43, 33], [40, 47, 34], [44, 42, 60, 49, 51, 46, 55, 48, 57, 50, 53, 54, 56, 59, 58]]
43: [[35, 7, 2], [33, 3, 5, 25, 8, 4, 10, 9, 13, 15, 6, 1, 27, 11, 26, 12, 19, 16], [30, 20, 14, 18, 22, 21, 23, 17, 24, 28, 31, 29, 32, 34, 38, 36, 47, 40, 37, 41, 42, 43, 46, 45], [44, 39, 57, 49, 51, 50, 52, 48, 54, 55, 58, 59, 53, 56, 60]]
44: [[35, 7, 2], [33, 3, 23, 1, 8, 4, 13, 5, 9, 31, 11, 14, 12, 17, 20, 26, 6], [25, 22, 15, 16, 18, 19, 24, 29, 30, 27, 28, 32, 34, 37, 36, 46, 38, 45, 44, 43, 41, 39, 47, 10, 21], [40, 42, 49, 48, 51, 50, 53, 54, 52, 55, 56, 57, 58, 59, 60]]
45: [[35, 7, 2], [33, 1, 5, 12, 14, 3, 11, 4, 8, 9, 15, 10, 13, 20, 16, 22, 23, 21], [27, 24, 25, 6, 17, 19, 18, 31, 26, 28, 29, 60, 36, 32, 40, 38, 30, 34, 37, 47, 39, 43, 42, 41], [44, 45, 51, 46, 50, 48, 52, 49, 55, 57, 53, 56, 54, 59, 58]]
46: [[35, 7, 2, 33, 1, 21, 6, 3, 12, 9, 11, 17, 14, 8, 24, 4, 10, 5, 28, 20, 16, 25, 15, 13, 22], [19, 23, 18, 26, 29, 27, 30, 31, 32, 42, 39, 45, 34, 36, 37, 40, 43], [38, 47, 44], [41, 46, 51, 54, 55, 48, 56, 52, 50, 49, 53, 60, 58, 59, 57]]
47: [[35, 7, 2, 33, 1, 29, 15, 3, 8, 9, 5, 4, 6, 11, 10, 12, 31, 25], [13, 21, 18], [16, 26, 30, 17, 14, 19, 20, 23, 27, 28, 22, 24, 36, 34, 37, 38, 40, 39, 43, 42, 41, 44, 45, 32], [46, 52, 47, 48, 53, 49, 55, 54, 50, 57, 58, 51, 56, 59, 60]]
48: [[35, 7, 2, 33, 3, 21, 9, 11, 4, 10, 5, 1, 6, 8, 15, 29, 14, 26, 28, 22, 12, 25, 16, 13], [18, 17, 23], [20, 19, 27, 31, 30, 24, 32, 38, 39, 37, 34, 45, 36, 44, 40, 41, 46, 42], [47, 43, 56, 57, 51, 55, 50, 53, 60, 49, 48, 52, 54, 58, 59]]
49: [[35, 7, 2, 33, 1, 21, 13, 5, 4, 10, 3, 9, 14, 6, 11, 15, 8, 12], [19, 24, 25, 31, 17, 16, 18, 28, 23, 20, 22, 29, 30, 26, 27, 36, 34, 40, 32, 38, 37, 43, 39, 41], [42, 46, 51], [44, 45, 55, 47, 59, 49, 50, 48, 52, 53, 54, 57, 60, 58, 56]]
50: [[35, 7, 2, 33, 1, 21, 4, 3, 12, 15, 11, 13, 6, 9, 8, 31, 10, 20], [14, 23, 19, 16, 25, 5, 17, 26, 18, 22, 27, 28, 24, 29, 30, 32, 44, 42, 34, 36, 38, 47, 37, 43], [39, 46, 40], [41, 45, 54, 55, 52, 51, 48, 53, 58, 59, 49, 60, 50, 57, 56]]
51: [[35, 7, 2, 1, 8, 12, 3, 11, 4, 13, 5, 9, 27, 20, 15, 16, 14, 28], [10, 21, 6], [31, 18, 23, 17, 19, 22, 26, 25, 24, 30, 29, 44, 36, 34, 39, 32, 33, 43, 37, 38, 41, 40, 42, 46], [45, 57, 59, 52, 55, 50, 53, 48, 47, 49, 58, 51, 54, 56, 60]]
52: [[35, 7, 2, 33, 1, 21, 13, 3, 6, 14, 5, 8, 9, 10, 11, 29, 4, 16, 23, 12, 15, 24, 18, 25], [20, 17, 19, 27, 30, 22, 28, 31, 34, 36, 38, 32, 44, 26, 41, 40, 37, 47], [39, 46, 60], [42, 43, 45, 50, 53, 48, 52, 49, 55, 57, 51, 54, 56, 59, 58]]
53: [[35, 7, 2, 1, 9, 21, 6, 3, 4, 5, 8, 13, 27, 17, 15, 10, 14, 31, 11, 12, 16, 18, 23, 22], [20, 19, 30, 26, 25, 24, 28, 29, 44, 36, 34, 38, 32, 33, 39, 41, 37, 45], [40, 42, 46], [43, 47, 51, 48, 53, 54, 52, 50, 55, 49, 58, 56, 57, 59, 60]]
54: [[35, 7, 2], [5, 3, 20, 29, 17, 1, 9, 4, 11, 14, 12, 15, 6, 28, 8, 13, 24, 16], [27, 31, 19, 10, 23, 22, 18, 21, 30, 59, 25, 26, 34, 33, 32, 39, 37, 40, 43, 41, 38, 44, 47, 42], [45, 46, 51, 52, 53, 50, 48, 36, 60, 58, 54, 55, 56, 49, 57]]
55: [[35, 7, 2, 33, 5, 21, 9, 6, 12, 1, 3, 8, 4, 14, 13, 10, 15, 27], [26, 18, 16, 30, 31, 11, 19, 17, 23, 22, 20, 24, 25, 29, 28, 32, 34, 36, 37, 47, 39, 43, 38, 40], [41, 42, 45], [46, 44, 48, 49, 60, 51, 52, 59, 53, 54, 50, 56, 55, 57, 58]]
56: [[35, 7, 2, 33, 9, 1, 4, 6, 12, 13, 11, 8, 14, 10, 31, 3, 30, 15, 17, 18, 20, 21, 5, 19], [25, 22, 23, 24, 16, 26, 27, 29, 28, 32, 46, 36, 34, 37, 39, 38, 40, 42], [44, 41, 43], [45, 59, 49, 48, 51, 55, 54, 52, 50, 57, 47, 58, 56, 53, 60]]
57: [[35, 7, 2, 33, 1, 4, 5, 12, 20, 8, 9, 3, 11, 14, 25, 26, 10, 6], [15, 19, 16], [22, 18, 24, 13, 23, 27, 17, 30, 29, 31, 28, 32, 34, 39, 36, 37, 38, 47, 46, 42, 40, 43, 41, 21], [44, 45, 58, 48, 52, 55, 53, 51, 50, 54, 60, 57, 49, 59, 56]]
58: [[34, 7, 2, 33, 1, 29, 6, 3, 5, 4, 11, 9, 10, 21, 14, 8, 12, 13], [24, 15, 16], [23, 22, 17, 18, 19, 31, 26, 25, 28, 20, 27, 30, 32, 50, 38, 35, 41, 47, 37, 36, 40, 42, 43, 44], [45, 46, 57, 52, 48, 51, 39, 49, 53, 55, 54, 56, 59, 58, 60]]
59: [[35, 7, 2, 33, 1, 16, 4, 5, 6, 3, 8, 10, 13, 9, 30, 14, 15, 29], [11, 27, 26], [21, 12, 23, 17, 18, 19, 22, 20, 24, 25, 28, 31, 36, 56, 38, 44, 32, 39, 34, 37, 42, 40, 47, 46], [43, 41, 50, 49, 57, 55, 54, 45, 51, 52, 48, 53, 58, 59, 60]]
60: [[35, 7, 2, 33, 9, 17, 6, 5, 14, 3, 4, 1, 8, 11, 10, 26, 24, 15, 12, 25, 13, 21, 20], [23, 16, 19, 22, 18, 29, 27, 30, 28, 31, 32, 34, 36, 37, 38, 39, 45, 41, 47], [44, 43, 40], [53, 42, 46, 54, 49, 50, 55, 48, 52, 51, 56, 59, 57, 58, 60]]
61: [[35, 7, 2, 33, 1, 21, 11, 3, 4, 6, 5, 8, 9, 12, 10, 31, 13, 15], [27, 19, 16, 14, 24, 26, 22, 30, 17, 18, 20, 28, 23, 25, 29, 34, 32, 37, 36, 38, 43, 45, 39, 40], [41, 47, 42], [44, 46, 57, 48, 51, 55, 54, 50, 56, 59, 49, 58, 52, 60, 53]]
62: [[35, 7, 2, 33, 1, 21, 3, 4, 12, 5, 8, 6, 11, 9, 10, 25, 15, 13, 27], [14, 22, 16], [28, 18, 23, 19, 17, 30, 24, 20, 26, 29, 31, 34, 38, 36, 37, 32, 39, 47, 44, 42, 40, 43, 41], [45, 46, 57, 48, 49, 55, 54, 50, 51, 60, 56, 58, 52, 59, 53]]
63: [[35, 7, 2], [33, 3, 5, 10, 1, 13, 6, 4, 11, 9, 12, 19, 8, 30, 17, 15, 16, 31, 29, 25, 14, 18, 20, 22], [23, 21, 26, 24, 27, 28, 32, 40, 36, 38, 47, 54, 34, 37, 41, 39, 42, 43], [44, 46, 49, 50, 55, 45, 48, 52, 56, 51, 53, 58, 59, 60, 57]]
64: [[35, 7, 2, 33, 6, 5, 1, 3, 4, 8, 13, 14, 9, 11, 12, 10, 24, 15, 17, 21, 20, 18, 26, 30], [22, 28, 19, 16, 25, 23, 27, 29, 31, 32, 34, 38, 37, 36, 45, 39, 42, 43], [40, 46, 41], [44, 53, 47, 54, 51, 48, 58, 52, 49, 55, 56, 59, 57, 50, 60]]
65: [[35, 7, 2, 33, 1, 17, 3, 6, 12, 5, 4, 15, 14, 9, 8, 11, 28, 27, 25, 26, 16, 20, 10, 18], [19, 13, 21], [22, 29, 23, 24, 31, 30, 32, 46, 36, 37, 45, 34, 47, 42, 38, 41, 39, 44], [40, 53, 43, 48, 49, 51, 52, 50, 54, 56, 55, 57, 58, 59, 60]]
66: [[35, 7, 2, 33, 3, 21, 13, 9, 5, 4, 14, 8, 6, 25, 1, 10, 11, 30, 31, 12, 15, 20, 18], [24, 22, 16, 23, 17, 19, 27, 26, 28, 29, 32, 46, 45, 36, 34, 42, 43, 37, 41], [38, 39, 40], [47, 44, 49, 50, 51, 54, 56, 52, 53, 55, 58, 57, 48, 59, 60]]
67: [[35, 7, 2, 33, 1, 21, 4, 5, 11, 3, 9, 15, 12, 8, 6, 31, 30, 10, 13], [27, 18, 28], [26, 23, 14, 16, 19, 17, 20, 22, 24, 29, 25, 34, 38, 44, 42, 36, 46, 39, 45, 32, 41, 37, 40], [43, 47, 56, 57, 52, 50, 53, 48, 60, 55, 49, 51, 54, 59, 58]]
68: [[35, 7, 2, 33, 3, 23, 14, 1, 6, 5, 12, 10, 4, 11, 9, 8, 30, 20, 17, 13, 19, 31, 27, 15], [18, 21, 26, 16, 28, 25, 24, 29, 22, 34, 36, 32, 37, 45, 39, 38, 40, 42], [46, 44, 59], [41, 47, 51, 43, 50, 53, 52, 48, 49, 54, 55, 57, 56, 58, 60]]
69: [[35, 7, 2, 33, 3, 21, 9, 1, 4, 5, 12, 6, 8, 29, 15, 28, 31, 10, 14, 23, 11, 25, 18, 20], [13, 16, 17], [19, 22, 26, 27, 24, 30, 36, 34, 32, 42, 39, 45, 37, 44, 41, 40, 38, 43], [58, 56, 47, 48, 55, 50, 53, 46, 49, 51, 54, 52, 57, 59, 60]]
70: [[34, 7, 2], [3, 9, 4, 6, 1, 5, 25, 11, 8, 18, 10, 14, 24, 16, 30, 26, 29, 12], [19, 22, 13, 15, 21, 27, 28, 17, 20, 23, 31, 33, 32, 36, 43, 41, 45, 38, 39, 35, 40, 42, 46, 37], [44, 60, 49, 48, 58, 54, 47, 55, 51, 52, 53, 50, 56, 59, 57]]
71: [[35, 7, 2, 33, 1, 21, 13, 6, 3, 4, 8, 12, 11, 5, 25, 9, 10, 29, 14, 22, 20, 27, 15, 16], [31, 28, 17], [18, 19, 23, 26, 24, 30, 32, 37, 39, 44, 34, 40, 36, 38, 43, 45, 47, 41], [46, 42, 49, 54, 48, 50, 52, 55, 53, 51, 56, 59, 57, 58, 60]]
72: [[35, 7, 2, 33, 3, 21, 5, 12, 1, 9, 8, 4, 10, 6, 11, 25, 13, 18, 15], [14, 23, 20], [22, 16, 19, 17, 24, 30, 28, 29, 26, 31, 27, 32, 38, 44, 37, 34, 36, 39, 42, 40, 47, 43, 41], [45, 46, 49, 54, 57, 55, 48, 50, 51, 52, 60, 56, 53, 58, 59]]
73: [[35, 7, 2, 33, 1, 21, 6, 3, 13, 14, 15, 5, 10, 8, 4, 25, 20, 11, 9, 23, 12, 17, 18, 16], [19, 24, 26], [22, 27, 29, 28, 31, 30, 32, 34, 39, 36, 37, 42, 45, 44, 41, 46, 38, 40], [43, 47, 53, 52, 51, 54, 48, 60, 50, 49, 55, 58, 56, 59, 57]]
