0: [[5, 29, 25], [28, 24], [13], [6, 10], [9, 1], [23, 7], [19, 2, 18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
21: [[5, 29, 25], [28, 24, 13], [6, 10], [9, 1], [23, 7], [19, 2, 18], [26, 27], [21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
22: [[5, 29], [25, 28, 24], [13, 6], [10], [9, 1], [23, 7], [19, 2, 18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
23: [[5, 29, 25], [28, 24], [13, 6, 10], [9, 1], [23, 7], [19, 2, 18], [26, 27, 21, 3, 15], [4, 11, 8], [20], [12, 22], [16, 17, 14]]
24: [[5, 29], [25, 28, 24], [13, 6], [10, 9], [1], [23, 7], [19, 2, 18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
25: [[5, 29], [25, 28, 24], [13, 6], [10, 9], [1], [23, 7], [19, 2, 18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
26: [[5, 29], [25], [28, 24], [13, 6, 10], [9, 1, 23], [7, 19], [2, 18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
27: [[5, 29], [25], [28, 24], [13, 6], [10, 9], [1, 23, 7], [19, 2, 18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
28: [[5, 29, 25], [28], [24, 13, 6], [10, 9], [1, 23], [7, 19], [2, 18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
29: [[5, 29, 25], [28, 24, 13], [6, 10], [9, 1], [23, 7, 19], [2, 18], [26, 27], [21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
30: [[5, 29, 25, 28, 24], [13, 6, 10], [9, 1], [23, 7], [19], [2, 18], [26, 27, 21], [3, 15], [4, 11, 8], [20, 12, 22], [16, 17, 14]]
31: [[5, 29], [25, 28, 24], [13, 6], [10, 9, 1], [23], [7, 19], [2, 18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
32: [[5, 29], [25, 28], [24, 13, 6], [10], [9, 1], [23, 7], [19, 2, 18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
33: [[5, 29], [25, 28], [24, 13, 6], [10, 9], [1], [23, 7], [19, 2, 18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
34: [[5, 29], [25, 28], [24, 13, 6], [10, 9], [1], [23, 7], [19, 2, 18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
35: [[5, 29], [25, 28], [24, 13], [6, 10], [9, 1, 23], [7, 19, 2], [18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
36: [[5, 29], [25, 28], [24, 13], [6, 10], [9, 1, 23], [7, 19, 2], [18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
37: [[5, 29], [25, 28], [24, 13], [6, 10], [9, 1, 23], [7, 19, 2], [18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
38: [[5, 29], [25, 28], [24, 13], [6, 10], [9, 1, 23], [7, 19, 2], [18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
39: [[5, 29], [25, 28], [24, 13], [6], [10, 9], [1, 23, 7], [19, 2, 18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
40: [[5, 29], [25, 28], [24, 13], [6], [10, 9], [1, 23, 7], [19, 2, 18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
41: [[5, 29], [25, 28, 24], [13, 6, 10, 9, 1], [23, 7, 19], [2, 18], [26, 27, 21], [3, 15], [4, 11, 8], [20], [12, 22], [16, 17, 14]]
42: [[5, 29, 25], [28, 24, 13, 6, 10], [9, 1, 23], [7, 19], [2, 18], [26, 27], [21], [3, 15, 4], [11, 8], [20, 12, 22], [16, 17, 14]]
43: [[5, 29, 25], [28, 24, 13], [6, 10], [9, 1, 23], [7, 19], [2], [18, 26], [27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
44: [[5, 29], [25, 28], [24, 13], [6, 10, 9], [1, 23, 7], [19, 2], [18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
45: [[5, 29], [25, 28], [24, 13], [6, 10, 9], [1, 23, 7], [19, 2], [18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
46: [[5, 29], [25, 28], [24, 13], [6, 10, 9], [1, 23, 7], [19, 2], [18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
47: [[5, 29], [25, 28], [24, 13, 6], [10, 9, 1], [23, 7], [19], [2, 18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
48: [[5, 29], [25, 28], [24, 13], [6, 10, 9], [1, 23], [7], [19, 2, 18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
49: [[5, 29, 25], [28, 24, 13, 6, 10], [9, 1, 23], [7], [19, 2], [18, 26], [27, 21], [3, 15], [4, 11, 8], [20, 12, 22], [16, 17, 14]]
50: [[5, 29, 25], [28, 24, 13, 6, 10], [9, 1, 23], [7], [19, 2], [18, 26], [27, 21], [3, 15], [4, 11, 8], [20, 12, 22], [16, 17, 14]]
51: [[5, 29, 25, 28, 24], [13, 6, 10], [9, 1, 23], [7, 19], [2, 18], [26, 27, 21], [3, 15], [4, 11], [8], [20, 12, 22], [16, 17, 14]]
52: [[5, 29, 25], [28, 24, 13, 6, 10], [9, 1, 23], [7, 19, 2], [18, 26], [27, 21], [3, 15], [4, 11, 8], [20, 12], [22], [16, 17, 14]]
53: [[5, 29, 25, 28, 24], [13, 6, 10], [9, 1], [23], [7, 19], [2, 18], [26, 27], [21, 3, 15], [4, 11, 8], [20, 12, 22], [16, 17, 14]]
54: [[5, 29, 25, 28, 24], [13, 6, 10], [9, 1, 23], [7, 19], [2], [18, 26], [27, 21], [3, 15], [4, 11, 8], [20, 12, 22], [16, 17, 14]]
55: [[5, 29], [25], [28, 24, 13], [6, 10], [9, 1, 23], [7, 19, 2, 18, 26], [27, 21], [3, 15], [4, 11, 8], [20, 12, 22], [16, 17, 14]]
56: [[5, 29, 25], [28, 24, 13, 6, 10], [9, 1, 23], [7, 19, 2], [18, 26], [27], [21, 3], [15, 4], [11, 8], [20, 12, 22], [16, 17, 14]]
57: [[5, 29, 25], [28, 24, 13, 6, 10], [9, 1, 23], [7, 19, 2], [18, 26], [27, 21, 3], [15, 4], [11], [8, 20], [12, 22], [16, 17, 14]]
58: [[5, 29, 25, 28, 24], [13, 6, 10], [9, 1, 23], [7, 19], [2], [18, 26], [27, 21, 3], [15, 4], [11, 8], [20, 12, 22], [16, 17, 14]]
59: [[5, 29], [25, 28, 24], [13, 6], [10, 9], [1, 23, 7], [19, 2, 18, 26, 27], [21, 3, 15], [4, 11, 8], [20], [12, 22], [16, 17, 14]]
