0: [[6, 2, 1], [3, 4, 8, 13, 12], [9, 24, 11, 7], [25, 5], [14, 15, 16, 18, 10, 17], [19, 28, 20, 23, 22], [21, 26, 27, 29]]
29: [[6, 2, 1], [3, 4], [8, 9, 15, 5], [24, 10, 7, 11, 14], [12, 13, 19, 17, 25, 16], [23, 21, 20, 22, 27], [18, 28, 26, 29]]
30: [[6, 2], [1, 3, 5, 8, 12, 14], [15, 9, 4, 7], [13, 11, 10, 19, 28], [16, 18, 20], [17, 21, 22, 23, 29], [25, 26, 24, 27]]
31: [[6, 2], [1, 3, 4, 8, 13, 5], [7, 25, 9, 11], [17, 10, 15, 12, 21], [19, 18, 14], [22, 24, 16, 20, 27], [23, 26, 28, 29]]
32: [[6, 2, 1, 3, 4, 8], [9, 15, 21], [25, 12], [5, 13, 10, 11, 7], [14, 23, 16, 17, 19], [18, 20, 22, 26], [24, 28, 27, 29]]
33: [[6, 2, 1, 3, 4, 8], [15], [7, 9], [24, 5], [10, 13, 12, 11, 22, 14, 21, 17], [18, 20, 19, 29, 28, 16], [27, 26, 25, 23]]
34: [[6, 2, 1, 3, 8], [12, 4, 13, 11, 17], [5, 7, 9], [10, 14, 18, 15, 16, 19], [27, 22], [23, 21, 20, 29], [24, 26, 25, 28]]
35: [[6, 2, 1, 3, 4, 12], [7, 5], [8, 9, 13, 14, 11], [15, 26, 19], [18, 23, 17, 16, 10, 22], [28, 20, 21], [25, 27, 24, 29]]
36: [[6, 2, 1, 3, 4, 8], [9, 15, 5], [16, 7, 13, 14, 11], [12, 23, 21, 19], [10, 17], [22, 20, 24, 18, 25], [27, 26, 28, 29]]
37: [[6, 2], [1, 3, 4, 8, 13], [11, 12, 23, 5, 7], [10, 14, 9, 26, 16, 15, 18], [17, 19, 20, 22, 24, 21], [29, 25, 27, 28]]
38: [[6, 2, 1, 3, 4], [8, 13], [5, 11, 12, 21, 7, 10], [15, 9, 14, 28], [18, 16, 19, 20, 22], [23, 17, 25], [29, 26, 24, 27]]
39: [[6, 2, 1, 3, 4], [8, 13], [5, 11, 17, 7, 15], [9, 14, 10], [12, 16, 18, 27, 19, 22], [28, 20, 21, 23], [24, 25, 26, 29]]
40: [[6, 2, 1, 3, 4, 8, 13], [12, 9, 24, 10], [15, 7, 5, 11, 14], [16, 26], [17, 21], [19, 18, 20, 22, 23], [29, 25, 28, 27]]
41: [[6, 2, 1, 3, 4], [8, 13, 15, 5, 27, 29], [11, 7], [9, 10, 12, 16, 18], [14, 17, 23, 20], [19, 22, 28], [26, 21, 24, 25]]
42: [[6, 2, 1], [3, 4], [8, 9, 15, 5], [25, 7, 10, 12, 11], [13, 19, 18, 16, 27, 17], [23, 28, 20, 14, 21], [22, 29, 26, 24]]
43: [[6, 2, 1, 3, 4], [8, 9, 11, 5], [19, 29], [15, 7, 12], [14, 22, 20, 16, 25, 17], [21, 28, 18, 10, 13], [23, 24, 27, 26]]
44: [[6, 2, 1, 3, 4, 8], [13, 15, 5], [24, 11], [14, 7, 10, 9, 12], [20, 19, 17, 21, 23], [16, 18, 22, 29], [26, 25, 27, 28]]
45: [[6, 2, 1, 3, 4], [8, 13, 5, 11, 12, 7], [15, 24], [14, 9, 21, 28], [18, 16, 19, 23, 20], [10, 17, 22], [25, 26, 27, 29]]
46: [[6, 2, 1], [3, 4, 8, 13, 11, 5], [19, 29, 9, 7], [10, 12], [14, 16, 18, 27, 17], [21, 20, 28, 15, 22], [23, 24, 26, 25]]
47: [[6, 2, 1], [3, 4, 8, 13, 10, 7, 24], [9, 5, 14, 11], [15, 22, 21], [16, 27], [19, 23, 20, 25, 18], [17, 28, 26, 29, 12]]
48: [[6, 2, 1, 3, 4, 12], [9, 7, 5], [8, 25, 13, 11, 10], [14, 26, 18, 23], [20, 15], [16, 17, 19, 29, 24], [21, 22, 27, 28]]
49: [[6, 2, 1, 3, 4], [8, 13, 5], [9, 16, 21, 11, 7, 12], [15, 14, 17, 18], [26, 19], [23, 20, 22, 10, 24], [25, 27, 28, 29]]
50: [[6, 2, 1, 3, 4], [8, 13], [11, 5, 24], [9, 7, 10, 14], [15, 22, 18], [16, 17, 19, 23, 12, 21, 27], [25, 20, 26, 28, 29]]
51: [[6, 2, 1, 3, 4, 12, 11], [9, 15, 17], [5, 7, 13, 10], [21, 18, 8], [14, 16], [23, 28, 20, 29, 19], [22, 24, 26, 25, 27]]
52: [[6, 2, 1, 3, 4, 8], [12, 11], [15, 25, 5, 7, 9], [10, 14, 22, 16], [18, 17, 21], [20, 13, 19, 23, 27], [24, 26, 28, 29]]
53: [[6, 2, 1, 3, 4], [8, 12], [11, 7, 25, 9], [5, 15, 10, 13, 18], [17, 16, 27, 23, 20, 28], [21, 14, 19], [24, 26, 29, 22]]
54: [[6, 2, 1, 3, 4], [8, 9, 15, 13, 24], [11, 7, 5, 10, 14, 12], [17, 19, 21], [16, 22], [25, 20, 23, 26], [18, 28, 27, 29]]
55: [[6, 2, 1, 3, 4], [8, 13], [5, 7, 23], [9, 11, 10, 14, 12], [15, 17, 26, 16, 18, 22], [28, 19, 21, 20], [29, 24, 27, 25]]
56: [[6, 2, 1, 3, 4, 8], [9, 13], [7, 16, 5], [10, 14, 11, 12], [23, 21, 18, 24, 15], [19, 28, 20, 17, 25], [22, 26, 27, 29]]
57: [[6, 2, 1, 3, 4], [8, 9, 15, 7, 16], [5, 10, 11, 14, 13, 12], [18, 17, 27], [19, 22], [20, 23, 21, 24], [29, 26, 25, 28]]
58: [[6, 2, 1, 3, 4], [8, 13, 5, 9, 11, 15], [25, 7, 10, 14, 22], [12, 21, 17, 16], [20, 19], [29, 28, 18], [23, 26, 24, 27]]
59: [[6, 2, 1, 3, 4], [8, 12, 13, 5, 16, 9], [7, 11, 10], [14, 22], [25, 18, 27, 21, 29], [15, 20, 19, 23], [17, 26, 28, 24]]
