0: [[9, 2, 1], [6, 5, 3, 4, 16], [11, 14, 7, 10], [15, 8, 12, 13, 17, 22, 18, 20, 19], [21, 23, 24]]
15: [[9, 19, 2, 1], [6, 5, 3, 4, 16], [11, 14, 7, 10, 15], [8, 12, 13, 17, 22, 18, 20], [21, 23, 24]]
16: [[9, 19, 2, 1], [6, 5, 3, 4, 16], [11, 14, 7, 10, 15], [8, 12, 13, 17, 22, 18, 20], [21, 23, 24]]
17: [[9, 19, 2, 1], [6, 5, 3, 4, 16], [11, 14, 7, 10, 15], [8, 12, 13, 17, 22, 18, 20], [21, 23, 24]]
18: [[9, 19, 2, 1], [6, 5, 3, 4, 16, 11, 14, 7, 10], [15, 8], [12, 13, 17, 22, 18, 20], [21, 23, 24]]
19: [[9, 2, 6, 1], [5, 3, 4, 16, 11], [14, 7, 10], [15, 8, 12, 13, 17, 22, 18, 20, 19], [21, 23, 24]]
20: [[9, 2, 6, 1], [5, 3, 4, 16, 11], [14, 7, 10], [15, 8, 12, 13, 17, 22, 18, 20, 19], [21, 23, 24]]
21: [[9, 2, 6, 1], [5, 3, 4, 16, 11], [14, 7, 10], [15, 8, 12, 13, 17, 22, 18, 20, 19], [21, 23, 24]]
22: [[2, 1, 9], [6, 5, 3, 4], [16, 11, 14, 7, 10, 15, 8], [12, 13, 17, 22, 18, 20, 19], [21, 23, 24]]
23: [[9, 2, 6, 1], [5, 3, 4, 16], [11, 14, 7, 10, 15], [8, 12, 13, 17, 22, 18, 20, 19], [21, 23, 24]]
24: [[9, 19, 2, 1], [6, 5, 3, 4, 16, 11], [14, 7, 10, 15], [8, 12, 13, 17, 22, 18, 20], [21, 23, 24]]
25: [[9, 19, 2, 1], [6, 5, 3, 4], [16, 11, 14, 7, 10, 15], [8, 12, 13, 17, 22, 18, 20], [21, 23, 24]]
26: [[9, 2], [6, 5, 3, 4, 1], [16, 11, 14, 7, 10], [15, 8, 12, 13, 17, 22, 18, 20, 19], [21, 23, 24]]
27: [[9, 2], [6, 5, 3, 4, 1], [16, 11, 14, 7, 10], [15, 8, 12, 13, 17, 22, 18, 20, 19], [21, 23, 24]]
28: [[9, 19, 2, 5, 3, 4, 1, 6], [16, 11, 14, 7], [10, 15, 8, 12, 13], [17, 22, 18, 20], [21, 23, 24]]
29: [[9, 19, 2, 5, 3, 4, 1, 6], [16, 11, 14, 7], [10, 15, 8, 12, 13], [17, 22, 18, 20], [21, 23, 24]]
30: [[9, 2, 6, 5], [3, 4, 16, 11], [14, 7, 10, 15, 8], [12, 13, 17, 22, 18, 20, 19, 1], [21, 23, 24]]
31: [[9, 19, 2, 5, 3, 4, 1, 6], [16, 11, 14, 7], [10, 15, 8], [12, 13, 17, 22, 18, 20], [21, 23, 24]]
32: [[9, 2, 1], [6, 5, 3, 4], [16, 11, 14, 7, 10], [15, 8, 12, 13, 17, 22, 18, 20, 21, 19], [23, 24]]
33: [[9, 2, 6, 5, 3, 1], [4, 16, 11, 14, 7], [10, 15, 8, 19], [12, 13, 17, 22, 18, 20], [21, 23, 24]]
34: [[9, 2, 1], [6, 5, 3, 4, 16], [11, 14, 7, 10], [15, 8, 12, 13, 17, 22, 18, 19], [20, 21, 23, 24]]
35: [[9, 19, 2, 6, 5, 4, 1, 3], [16, 11, 14, 7, 10], [15, 8, 12, 13, 17], [22, 18, 20], [21, 23, 24]]
36: [[9, 2, 6, 1], [5, 3, 4, 16, 11, 14, 7], [10, 15, 8, 12, 13, 19], [17, 22, 18, 20], [21, 23, 24]]
37: [[9, 19, 2, 5, 3, 4, 1, 6], [16, 11, 14, 7], [10, 15, 8, 12], [13, 17, 22, 18, 20], [21, 23, 24]]
38: [[9, 2], [6, 5, 3, 1], [4, 16, 11, 14, 7], [10, 15, 8, 12, 13, 17, 22, 18, 20, 19], [21, 23, 24]]
39: [[9, 19, 2, 6, 5, 4, 1], [16, 11, 14, 7], [10, 15, 8, 12, 13, 17, 3], [22, 18, 20], [21, 23, 24]]
40: [[9, 19, 2, 6, 5, 4, 1], [16, 11, 14, 7], [10, 15, 8, 12, 13, 17, 3], [22, 18, 20], [21, 23, 24]]
41: [[9, 2, 1], [6, 5, 3, 4], [16, 11, 14, 7, 10], [15, 8, 12, 13, 17, 22, 18, 19], [20, 21, 23, 24]]
42: [[9, 2, 1], [6, 5, 3, 4], [16, 11, 14, 7, 10], [15, 8, 12, 13, 17, 22, 18, 19], [20, 21, 23, 24]]
43: [[9, 2, 1], [6, 5, 3, 4], [16, 11, 14, 7, 10, 15], [8, 12, 13, 17, 22, 18, 20, 21, 19], [23, 24]]
44: [[9, 19, 2, 1, 6], [5, 3, 4, 16, 11, 14], [7, 10, 15, 8], [12, 13, 17, 22, 18, 20], [21, 23, 24]]
45: [[9, 19, 2, 5, 3, 4, 1, 6], [16, 11, 14], [7, 10, 15, 8, 12, 13], [17, 22, 18, 20], [21, 23, 24]]
46: [[9, 19, 2, 5, 3, 4, 1, 6], [16, 11, 14], [7, 10, 15, 8, 12], [13, 17, 22, 18, 20], [21, 23, 24]]
47: [[9, 19, 2, 5, 3, 4, 1, 6], [16, 11, 14], [7, 10, 15, 8, 12], [13, 17, 22, 18, 20], [21, 23, 24]]
48: [[9, 2, 6, 5, 3, 1], [4, 16, 11, 14, 7], [10, 15, 8, 12, 13, 19], [17, 22, 18, 20, 21], [23, 24]]
49: [[9, 19, 2, 5, 1, 6], [3, 4], [16, 11, 14, 7], [10, 15, 8, 12, 13, 17, 22, 18, 20, 21], [23, 24]]
