0: [[6, 5], [19, 2, 1], [9, 18, 24, 7], [3, 4, 8, 12], [15, 13], [11, 10, 14], [16, 17, 22], [23, 28, 29], [20, 25], [27, 21, 26]]
13: [[6, 5], [19, 2, 1], [9, 18, 24, 7], [3, 4, 8], [14, 10, 11], [12, 13], [15, 17, 16, 22], [20, 29, 21, 23, 25, 27, 28, 26]]
14: [[6, 5, 19], [2, 1, 9], [18, 24], [7, 3, 4], [8, 13, 11], [10, 12, 14], [15, 17, 16], [20, 23, 22], [28, 29, 25], [27, 21, 26]]
15: [[6, 5], [19, 2, 1], [9, 18, 24, 7], [3, 4, 8], [12, 10], [11, 13, 15], [14, 16, 17], [22, 28, 21], [29, 20, 25], [27, 23, 26]]
16: [[6, 5], [19, 2, 1], [9, 18, 24, 7], [3, 4, 8], [12, 10], [11, 13, 15], [14, 16, 17], [22, 28, 21], [29, 20, 25], [27, 23, 26]]
17: [[6, 5], [19, 2, 1], [9, 18], [24, 7], [3, 4, 8], [10, 14, 11], [15, 12, 13], [17, 16], [22, 23], [28, 20, 21], [25, 27, 29, 26]]
18: [[6, 5], [19, 2, 1], [9, 18, 24], [7, 3, 4], [8, 12], [11, 10], [13, 15, 14], [16, 17, 22], [28, 21, 29], [20, 25], [27, 23, 26]]
19: [[6, 5], [19, 2], [1, 9, 18], [24, 7, 3], [4, 8, 12], [11, 13], [10, 14, 22], [16, 15, 29], [17, 23, 21], [20, 25], [27, 28, 26]]
20: [[6, 5], [19, 2, 1], [9, 18], [24, 7], [3, 4], [8, 13, 14], [10, 12, 11], [15, 16, 17], [22, 23, 21], [20, 29, 25], [27, 28], [26]]
21: [[6, 5], [19, 2], [1, 9, 18], [24, 7, 3], [4, 8, 12], [11, 15, 10], [13, 20, 17, 16, 28, 22, 14], [21, 23, 25, 27, 29, 26]]
22: [[6, 5], [19, 2, 1], [9, 18, 24], [7, 3], [4, 8, 11], [13, 10, 14], [15, 12, 16], [22, 20], [17, 28, 23], [21, 25, 27], [29, 26]]
23: [[6, 5], [19, 2, 1], [9, 18, 24], [7, 3], [4, 11, 8], [13, 10, 14], [15, 16, 12], [20, 22], [17, 28, 23], [21, 25, 27], [29, 26]]
24: [[6, 5], [19, 2, 1], [9, 18, 24], [7, 3, 4, 8], [12, 15, 10, 11, 14, 13, 16, 17, 23, 22, 20, 29, 28, 25, 27, 21, 26]]
25: [[6, 5], [19, 2], [1, 9, 18], [24, 7], [3, 4, 8], [12, 11, 10, 15, 13, 21, 16], [14, 17, 22, 28, 20, 23, 25, 27, 29, 26]]
26: [[6, 5], [19, 2, 1], [9, 18, 24], [7, 3, 4], [8, 13, 14], [10, 11, 12, 15, 16, 17], [23, 22, 28, 29, 20, 25, 27, 21, 26]]
27: [[6, 5, 19], [2, 1], [9, 18], [24, 7], [3, 4], [8, 11, 15], [13, 10], [14, 12], [16, 22, 23], [17, 28, 21], [20, 25], [27, 29, 26]]
28: [[6, 5], [19, 2, 1], [9, 18], [24, 7], [3, 4, 8], [12, 14], [13, 11, 15], [10, 16, 17], [21, 23], [20, 28, 22], [25, 27, 29, 26]]
29: [[6, 5], [19, 2, 1], [9, 18], [24, 7, 3], [4, 8], [13, 14, 10], [11, 15, 12], [16, 17, 22], [23, 28, 20, 21], [25, 27, 29, 26]]
30: [[6, 5], [19, 2], [1, 9, 18], [24, 7, 3, 4, 8, 12, 15], [11, 10, 13, 20, 17, 14], [16, 23, 22, 21, 28, 25, 27, 29, 26]]
31: [[6, 5], [19, 2], [1, 9, 18], [24, 7, 3], [4, 8, 12], [15, 10, 11, 13], [22, 16, 14, 17, 23, 28, 29, 20, 25, 27, 21, 26]]
32: [[6, 5], [19, 2], [1, 9], [18, 24, 7], [3, 4, 8], [12, 10, 15], [11, 13, 14, 17], [16, 22, 20, 23, 29, 21, 25, 27, 28, 26]]
33: [[6, 5], [19, 2], [1, 9], [18, 24, 7], [3, 4, 8], [14, 13, 10], [12, 11, 15, 16, 22, 17, 23, 28, 21, 20, 25, 27, 29, 26]]
34: [[6, 5], [19, 2], [1, 9, 18], [24, 7], [3, 4, 8], [12, 15], [13, 11, 10], [22, 16, 14, 17, 23, 28, 21, 20, 25, 27, 29, 26]]
35: [[6, 5], [19, 2, 1], [9, 18, 24], [7, 3, 4], [8, 12, 11, 13, 10, 14, 15, 17, 16, 23, 28, 20, 21, 22, 25, 27, 29, 26]]
36: [[6, 5], [19, 2, 1], [9, 18, 24], [7, 3, 4], [8, 11, 12, 10, 15, 14, 13, 16, 17, 20, 22, 23, 21, 28, 25, 27, 29, 26]]
37: [[6, 5], [19, 2, 1], [9, 18, 24], [7, 3], [4, 8, 13], [11, 12, 10, 14, 15, 16, 17, 20, 23, 22, 29, 28, 25, 27, 21, 26]]
38: [[6, 5], [19, 2, 1], [9, 18, 24, 7], [3, 4, 8, 13], [11, 10, 14], [12, 15], [16, 17, 22], [21, 28], [29, 20, 25, 27, 23, 26]]
39: [[6, 5], [19, 2, 1], [9, 18, 24], [7, 3, 4], [8, 15, 11, 10], [13, 14, 12, 16, 17, 23, 22, 20, 29, 28, 25, 27, 21, 26]]
40: [[6, 5], [19, 2, 1], [9, 18, 24], [7, 3, 4], [8, 15, 11, 10], [13, 14, 12, 16, 17, 23, 22, 20, 29, 28, 25, 27, 21, 26]]
41: [[6, 5], [19, 2], [1, 9, 18], [24, 7, 3], [4, 8, 11], [13, 10, 12], [15, 14, 17], [23, 22, 20], [16, 28], [21, 25, 27], [29, 26]]
42: [[6, 5, 19], [2, 1, 9, 18, 24, 7, 3, 4, 12, 8, 11, 10, 13, 15, 14, 16, 17, 22], [29, 28, 20, 23, 25, 27, 21, 26]]
43: [[6, 5], [19, 2, 1], [9, 18, 24], [7, 3], [4, 8, 10], [11, 13, 15], [14, 12, 16], [21, 22], [17, 28, 23], [20, 25, 27], [29, 26]]
44: [[6, 5], [19, 2], [1, 9, 18], [24], [7, 3], [4, 8], [10, 11, 13], [12, 15], [14, 17, 16, 20], [23, 28, 21], [22, 25], [27, 29, 26]]
45: [[6, 5], [19, 2, 1], [9, 18, 24], [7, 3], [4, 8, 13], [10, 11, 14], [12, 15, 16, 22, 20, 21, 28, 23, 17, 25, 27, 29, 26]]
46: [[6, 5], [19, 2, 1], [9, 18, 24], [7, 3], [4, 8, 13], [11, 10, 12, 14], [15, 17, 16, 20, 23, 22, 28, 29, 25, 27, 21, 26]]
47: [[6, 5], [19, 2], [1, 9, 18], [24, 7], [3, 4, 12], [8, 14, 10], [13, 15], [11, 16, 17], [22, 21, 20], [28, 29, 25], [27, 23, 26]]
48: [[6, 5], [19, 2], [1, 9, 18], [24], [7, 3, 4, 8], [11, 15, 13], [10, 12, 14], [17, 16], [22, 23, 20, 29, 28, 25, 27, 21, 26]]
49: [[6, 5], [19, 2], [1, 9], [18, 24, 7, 3, 4, 8, 12, 14, 10, 15, 11, 13, 16, 17, 22, 21, 23, 29, 20, 25, 27, 28], [26]]
50: [[6, 5], [19, 2, 1], [9, 18, 24, 7], [3, 4, 14], [11, 8, 10], [12, 15, 13], [16, 17], [23, 20], [29, 21, 22], [25, 27, 28, 26]]
51: [[6, 5], [19, 2], [1, 9, 18], [24, 7, 3], [4, 8], [12, 11, 13], [15, 10, 22, 16, 14, 17, 23, 28, 21, 20, 25, 27, 29, 26]]
52: [[6, 5], [19, 2], [1, 9, 18], [24, 7], [3, 4, 14], [8, 11, 10], [13, 12, 15], [16, 17], [23, 20, 21], [29, 22, 25], [27, 28, 26]]
53: [[6, 5], [19, 2], [1, 9], [18, 24], [7, 3], [4, 8, 11], [14, 12, 15], [10, 13], [16, 17, 23], [21, 22, 20, 28, 25, 27, 29, 26]]
54: [[6, 5], [19, 2], [1, 9], [18, 24], [7, 3, 4], [12, 13, 10], [14, 8, 11], [15, 16, 17, 22, 20, 21, 28, 23, 25, 27, 29, 26]]
55: [[6, 5], [19], [2, 1, 9, 18, 24, 7, 3, 4, 12, 13, 8, 11, 10, 15, 14, 17, 16, 23, 21, 28, 22, 29, 25, 27, 20, 26]]
56: [[6, 5, 19, 2], [1, 9, 18], [24, 7], [3, 4, 12], [8, 15, 13], [10, 11, 22], [16, 14, 23], [20, 17, 29, 21, 25, 27, 28, 26]]
57: [[6, 5, 19], [2, 1, 9], [18, 24, 7], [3, 4, 8], [15, 11, 10], [13, 12, 14], [17, 20, 22], [16, 23, 21, 29, 25, 27, 28, 26]]
58: [[6, 5], [19, 2, 1], [9, 18, 24], [7, 3], [4, 13, 10], [8, 11, 12], [14, 15, 17], [16, 23], [22, 21], [29, 28, 25], [27, 20, 26]]
59: [[6, 5, 19], [2, 1], [9, 18, 24], [7, 3, 4], [13, 10, 12], [8, 11, 14, 23, 16, 15, 22, 20], [28, 17, 29, 25, 27, 21, 26]]
