0: [[1, 2, 13], [6, 4, 3, 5], [7, 11], [9, 8], [10, 14], [12, 15, 18, 17, 16, 20, 19, 22], [21, 23, 24]]
23: [[1, 2], [13, 6], [4, 3], [5, 7], [11, 9], [8, 10], [14, 12, 15], [18, 17, 16], [20, 19, 22], [21, 23, 24]]
24: [[1, 2], [13, 6], [4, 3, 5], [7, 11], [9, 8], [10, 14], [12, 15], [18, 17], [16, 20], [19, 22, 21, 23, 24]]
25: [[1, 2, 13, 6], [4, 3], [5, 7], [11, 9], [8, 10], [14, 12], [15, 18], [17, 16, 20, 19], [22, 21, 23, 24]]
26: [[1, 2, 13, 6], [4, 3], [5, 7, 11], [9, 8], [10, 14], [12, 15], [18, 17, 16], [20], [19, 22, 21, 23, 24]]
27: [[1, 2, 13], [6, 4, 3], [5, 7], [11, 9, 8, 10], [14, 12], [15, 18, 17, 16], [20, 19], [22, 21], [23, 24]]
28: [[1, 2], [13, 6, 4], [3, 5, 7], [11, 9], [8, 10], [14, 12, 15, 18], [17, 16, 20], [19, 22], [21, 23, 24]]
29: [[1, 2, 13, 6], [4, 3], [5, 7], [11, 9], [8, 10], [14, 12, 15, 18, 17, 16], [20, 19], [22, 21, 23, 24]]
30: [[1, 2], [13, 6], [4, 3, 5], [7, 11, 9], [8, 10], [14, 12], [15, 18], [17, 16, 20], [19, 22, 21, 23, 24]]
31: [[1, 2], [13, 6, 4], [3, 5], [7, 11, 9], [8, 10], [14, 12], [15, 18, 17, 16], [20, 19], [22, 21], [23, 24]]
32: [[1, 2, 13], [6, 4, 3, 5], [7, 11], [9, 8, 10, 14, 12, 15, 18, 17, 16, 20, 19, 22, 21, 23, 24]]
33: [[1, 2, 13], [6, 4], [3, 5, 7], [11, 9, 8, 10], [14, 12], [15, 18], [17, 16], [20, 19], [22, 21], [23, 24]]
34: [[1, 2], [13, 6], [4, 3, 5], [7, 11, 9], [8, 10, 14], [12, 15, 18], [17, 16, 20, 19, 22, 21, 23, 24]]
35: [[1, 2], [13, 6, 4], [3, 5, 7], [11, 9], [8, 10, 14], [12, 15, 18], [17, 16], [20, 19], [22, 21], [23, 24]]
36: [[1, 2, 13], [6, 4], [3, 5], [7, 11], [9, 8], [10, 14], [12, 15, 18, 17, 16, 20, 19, 22, 21, 23, 24]]
37: [[1, 2], [13, 6, 4, 3], [5, 7], [11, 9], [8, 10], [14, 12], [15, 18, 17], [16, 20], [19, 22, 21], [23, 24]]
38: [[1, 2], [13, 6], [4, 3], [5, 7, 11], [9, 8], [10, 14], [12, 15, 18, 17], [16, 20, 19, 22, 21, 23, 24]]
39: [[1, 2], [13, 6], [4, 3, 5], [7, 11], [9, 8, 10], [14, 12, 15, 18, 17, 16, 20, 19, 22, 21, 23, 24]]
40: [[1, 2, 13], [6, 4, 3, 5, 7, 11, 9], [8, 10, 14, 12, 15, 18, 17, 16, 20, 19, 22, 21, 23, 24]]
41: [[1, 2, 13, 6], [4, 3, 5, 7], [11, 9], [8, 10], [14, 12, 15], [18, 17, 16, 20], [19, 22, 21, 23, 24]]
42: [[1, 2], [13, 6], [4, 3], [5, 7, 11, 9, 8, 10], [14, 12, 15, 18], [17, 16, 20, 19, 22, 21, 23, 24]]
43: [[1, 2, 13], [6, 4], [3, 5], [7, 11, 9], [8, 10, 14, 12, 15, 18, 17, 16, 20, 19, 22, 21, 23, 24]]
44: [[1, 2, 13], [6, 4], [3, 5], [7, 11, 9], [8, 10], [14, 12], [15, 18], [17, 16, 20, 19, 22, 21, 23, 24]]
45: [[1, 2], [13, 6, 4], [3, 5, 7, 11, 9, 8, 10, 14, 12, 15, 18, 17, 16, 20, 19, 22, 21, 23, 24]]
46: [[1, 2, 13, 6], [4, 3, 5, 7], [11, 9, 8, 10, 14, 12], [15, 18, 17, 16, 20, 19, 22, 21, 23, 24]]
47: [[1, 2], [13, 6], [4, 3, 5, 7], [11, 9, 8], [10, 14, 12, 15, 18, 17, 16, 20, 19, 22, 21, 23, 24]]
48: [[1, 2], [13, 6], [4, 3], [5, 7], [11, 9, 8], [10, 14, 12, 15, 18, 17, 16, 20, 19, 22, 21, 23, 24]]
49: [[1, 2, 13, 6], [4, 3], [5, 7], [11, 9, 8, 10, 14, 12, 15, 18, 17, 16, 20, 19, 22, 21, 23, 24]]
