0: [[53], [20, 58, 4, 19, 26, 31, 34, 47], [3, 30, 51], [38, 14, 15], [8, 5, 44, 18], [40], [42, 54, 29], [9], [33, 6, 10, 21], [13, 49, 24, 45, 12], [56], [22, 23], [35, 46, 2], [43, 27, 11], [48], [7], [28, 25], [32, 36, 57, 17, 50], [37, 16], [39, 41], [52], [59], [55], [1, 60]]
22: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 28, 15, 10, 25, 13, 17, 31, 26, 21, 22, 23, 16], [30, 24, 29, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
23: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 15, 13, 23, 25, 16, 28, 17, 21, 26, 22, 31], [24, 29, 30, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
24: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 23, 13, 15, 17, 25, 28, 21, 16, 22, 24, 31], [26, 30, 29, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
25: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 13, 15, 17, 21, 24, 22, 23, 16, 25, 28, 31], [26, 29, 30, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
26: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 15, 28, 13, 21, 16, 22, 31, 17, 23, 25, 24], [26, 29, 30, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
27: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 24, 15, 13, 22, 21, 17, 28, 31, 16, 10, 25, 23], [26, 29, 30, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
28: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 15, 16, 13, 21, 17, 22, 23, 25, 28, 24, 31], [26, 29, 30, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
29: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 15, 13, 16, 17, 24, 23, 21, 22, 25, 28, 31], [26, 29, 30, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
30: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 15, 13, 17, 24, 25, 22, 21, 28, 23, 31, 16], [26, 29, 30, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
31: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 15, 28, 13, 21, 16, 22, 23, 25, 17, 24, 31], [26, 29, 30, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
32: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 13, 15, 16, 17, 21, 25, 30, 26, 22, 10, 28, 23], [24, 31, 29, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
33: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 21, 6, 10, 17, 23, 28, 25, 13, 15, 26, 22, 16, 30], [24, 29, 31, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
34: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 13, 30, 21, 28, 16, 25, 23, 22, 17, 15, 26], [24, 29, 31, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
35: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 26, 31, 15, 13, 21, 16, 17, 22, 28, 10, 23, 24], [25, 29, 30, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
36: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 15, 13, 17, 21, 24, 23, 16, 22, 26, 28, 31], [30, 29, 25, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
37: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 15, 13, 17, 22, 16, 25, 21, 23, 30, 28, 24], [26, 31, 29, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
38: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 23, 13, 21, 15, 17, 16, 22, 28, 30, 24, 25], [29, 26, 31, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
39: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 13, 30, 23, 17, 16, 25, 10, 21, 6, 15, 22, 28, 24], [31, 29, 26, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
40: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 15, 13, 21, 16, 17, 24, 23, 22, 30, 28, 25], [29, 26, 31, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
41: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 28, 15, 13, 21, 10, 16, 17, 23, 24, 22, 25, 30], [26, 29, 31, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
42: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 28, 15, 13, 21, 10, 16, 24, 23, 17, 30, 22, 25], [29, 26, 31, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
43: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 15, 24, 13, 21, 16, 22, 23, 25, 17, 30, 28], [26, 29, 31, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
44: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 10, 6, 15, 13, 25, 17, 16, 23, 28, 21, 22, 24, 30], [26, 29, 31, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
45: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 15, 16, 13, 21, 17, 30, 22, 23, 24, 25, 28], [26, 29, 31, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
46: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 22, 6, 23, 10, 15, 16, 25, 30, 13, 21, 24, 17, 28], [26, 31, 29, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
47: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 13, 6, 10, 15, 21, 28, 17, 22, 24, 25, 26, 31, 23], [16, 29, 30, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
48: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 28, 15, 13, 21, 31, 24, 10, 23, 25, 26, 17, 22], [16, 30, 29, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
49: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 15, 13, 10, 26, 17, 24, 22, 16, 23, 30, 28, 21], [25, 31, 29, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
50: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 13, 15, 22, 17, 21, 24, 30, 16, 23, 26, 28], [25, 29, 31, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
51: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 15, 13, 17, 16, 24, 30, 29, 21, 26, 28, 31], [23, 22, 25, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
52: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 13, 6, 10, 15, 26, 25, 24, 17, 16, 21, 22, 23, 28], [29, 30, 31, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
53: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 13, 10, 23, 6, 21, 28, 25, 24, 15, 16, 17, 22, 26], [30, 29, 31, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
54: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 13, 15, 21, 16, 24, 17, 22, 26, 23, 25, 28], [30, 29, 31, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
55: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 10, 6, 15, 13, 25, 21, 16, 29, 23, 30, 17, 24, 31], [22, 26, 28, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
56: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 15, 13, 29, 17, 16, 21, 23, 24, 30, 28, 31], [22, 25, 26, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
57: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 13, 10, 29, 15, 21, 16, 24, 30, 17, 23, 28, 31], [22, 25, 26, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
58: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 17, 15, 31, 10, 16, 25, 26, 13, 21, 30, 23, 29, 6], [22, 24, 28, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
59: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 13, 31, 16, 25, 29, 17, 26, 24, 15, 28, 21], [22, 23, 30, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
60: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 16, 15, 13, 21, 29, 24, 10, 23, 25, 17, 28, 30], [22, 26, 31, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
61: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 25, 10, 28, 29, 13, 16, 21, 15, 17, 23, 24, 31], [22, 26, 30, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
62: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 15, 13, 21, 23, 16, 17, 25, 30, 26, 24, 29], [22, 28, 31, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
63: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 15, 29, 21, 13, 24, 17, 23, 16, 26, 25, 30], [22, 28, 31, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
64: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 13, 15, 16, 21, 25, 17, 23, 30, 26, 24, 29], [22, 28, 31, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
65: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 13, 15, 23, 17, 16, 24, 26, 21, 30, 25, 29], [22, 28, 31, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
66: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 13, 15, 23, 17, 16, 24, 26, 21, 30, 25, 29], [22, 28, 31, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
67: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 15, 29, 13, 21, 17, 24, 23, 26, 25, 16, 31], [22, 30, 28, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
68: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 23, 13, 17, 21, 26, 30, 29, 24, 15, 16, 28], [22, 25, 31, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
69: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 23, 6, 10, 28, 31, 25, 16, 29, 26, 13, 15, 21, 30], [17, 22, 24, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
70: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 15, 28, 13, 21, 16, 30, 17, 22, 25, 26, 24], [23, 29, 31, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
71: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 22, 13, 21, 30, 15, 26, 16, 25, 6, 17, 10, 23, 31], [24, 28, 29, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
72: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 15, 23, 13, 25, 21, 17, 16, 29, 24, 10, 26, 28], [22, 31, 30, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
73: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 15, 25, 13, 17, 16, 26, 21, 28, 24, 23, 29], [22, 30, 31, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
