0: [[5, 19, 1, 2], [3, 6, 8, 4, 15, 12], [11, 7, 9, 22], [29, 13, 16, 14], [17, 18, 10], [20, 23, 25], [21, 26, 27], [24, 28]]
16: [[5, 19, 1, 2], [3, 4, 8, 6, 15, 9, 11, 7, 10, 12, 29, 26, 16, 13, 14, 22], [18, 21, 20, 24, 17, 23, 25, 27, 28]]
17: [[5, 19, 1, 2], [3, 6, 8, 12, 13], [15, 7, 9, 11, 10, 26, 4, 16, 14, 23, 18, 20, 22, 21, 28, 17, 24, 25, 27, 29]]
18: [[5, 19, 1, 2], [3, 4, 8], [6, 15, 7], [10, 13], [9, 11], [14, 12, 16, 23, 25, 18, 17, 21, 20, 24, 26, 22, 28, 27, 29]]
19: [[5, 19, 1, 2], [3, 4, 8, 6, 15, 7, 9, 10, 11, 14, 22, 12, 16, 13, 21, 17, 18, 23, 20, 28, 25, 26, 24], [27, 29]]
20: [[5, 19, 1, 2], [3, 6, 8, 4], [15, 7, 14, 10, 9], [12, 11, 25, 16, 21], [13, 22, 23, 27, 20, 29, 17, 26, 18], [24, 28]]
21: [[5, 19, 1, 2], [3, 4, 8, 6], [15, 7, 11, 9, 10, 14, 29, 12, 16, 27, 22, 21, 17], [20, 13, 24, 23, 18, 25, 26, 28]]
22: [[5, 19, 1, 2], [3, 4], [8, 6, 15, 7, 11], [10, 9], [13, 14, 12, 24, 16, 17, 29], [22, 18, 20, 26, 21, 28, 27, 23, 25]]
23: [[5, 19], [1, 2], [3, 4, 8, 6], [15, 7, 11], [9, 13, 10], [14, 12, 16], [17, 18, 22, 23], [20, 21, 28, 25], [26, 24, 27, 29]]
24: [[5, 19, 1, 2], [3, 4, 8, 6, 15, 7, 11, 10, 9, 12, 28, 14, 16, 17, 18, 13, 22, 20, 21, 26, 23, 25, 27], [24, 29]]
25: [[5, 19, 1, 2], [3, 4, 8, 6, 12], [13, 15, 11, 7], [9, 28, 10], [16, 18], [21, 23, 17, 20, 25, 24, 26, 27, 22, 14], [29]]
26: [[5, 19, 1, 2], [3, 6, 8, 4, 12], [15, 7, 9], [11, 10, 13, 14, 16, 20, 21, 18], [23, 22, 17, 28, 29, 27, 25, 24, 26]]
27: [[5, 19, 1, 2], [3, 6, 8, 4, 13, 7, 9], [11, 12, 14, 10, 27, 16, 17, 15], [18, 22, 23, 21, 28, 20, 24, 25, 29, 26]]
28: [[5, 19, 1, 2, 3], [4, 8, 6, 13, 15], [14, 7, 9, 10, 23], [12, 16, 20, 21, 22], [11, 17, 18], [24, 29], [27, 25, 26, 28]]
29: [[5, 19, 1, 2], [3, 4, 8, 6, 15, 14], [11, 7], [9, 10, 12, 16, 13], [22, 29, 23], [18, 21, 17, 20, 25, 24, 26, 27, 28]]
30: [[5, 19, 1, 2], [3, 6, 8, 4], [7, 13, 11, 9, 15, 12, 24, 21, 27, 10, 25, 18, 22, 14, 16, 28], [23, 20, 26, 17, 29]]
31: [[5, 19, 1, 2], [3, 6, 8, 4, 15, 14], [11, 7, 9, 28], [29, 13, 16, 10], [12, 18, 22], [21, 23, 17], [20, 26, 27], [25, 24]]
32: [[5, 19, 1], [2, 3, 6, 8, 12, 13, 7, 15, 11, 4, 20, 10, 24, 16, 9, 23, 18, 22, 14, 21, 28, 27, 17, 25], [29, 26]]
33: [[5, 19, 1, 2], [3, 4, 8, 6, 15], [7, 11, 9, 14], [25, 29, 21, 16], [10, 26, 18, 12, 23, 13, 17, 22, 20, 27, 28, 24]]
34: [[5, 19, 1, 2], [3, 4, 8, 6, 7], [12, 10, 13, 11], [9, 14, 26, 16], [15, 29, 18], [22, 20, 17, 24, 21, 23, 25, 27, 28]]
35: [[5, 19, 1, 2], [3, 4, 8, 6, 15], [10, 12, 7, 11], [9, 29, 13, 16, 21, 22], [23, 18, 14, 17, 27], [20, 24, 26, 28], [25]]
36: [[5, 19, 1, 2], [3, 6, 8, 4], [10, 7, 9, 11, 14, 12, 13], [20, 16, 23, 15, 18, 22, 25, 21, 28], [24, 17, 27, 29, 26]]
37: [[5, 19, 1, 2], [3, 4, 8, 6, 15, 7, 14, 9], [11, 10, 13], [12, 16, 17, 25], [18, 20, 21], [22, 24, 23], [26, 28, 27, 29]]
38: [[5, 19, 1, 2], [3, 4, 8, 6, 7], [13, 9, 15, 11], [10, 12], [24, 16, 14, 29], [17, 18, 21, 20], [22, 27, 26], [25, 23, 28]]
39: [[5, 19, 1, 2], [3, 4], [8, 6, 7, 13], [9, 15, 10, 11, 12], [20, 16, 14], [21, 17, 18, 23, 22, 25, 27, 24, 26, 28, 29]]
40: [[5, 19, 1, 2], [3, 4], [8, 6, 14, 7], [11, 10, 9, 12], [24, 13, 16, 15, 18, 20, 17, 23, 21, 25, 22, 26, 29, 27, 28]]
41: [[5, 19, 1, 2], [3, 6, 8], [4, 7, 12], [11, 14, 9, 13], [24, 20, 27, 10], [25, 18, 22], [15, 16, 28, 17], [21, 23, 26, 29]]
42: [[5, 19, 1, 2], [3, 4, 8, 6], [15, 13, 11, 7], [9, 10, 28, 16, 12, 14], [18, 21, 22, 17], [20, 24, 23, 25, 26, 27, 29]]
43: [[5, 19, 1, 2], [3, 4, 8, 6], [12, 15], [7, 9, 11, 10, 13], [14, 16, 20, 22], [17, 18, 23, 24, 27, 21], [26, 29, 28, 25]]
44: [[5, 19], [1, 2, 3, 4, 8, 6, 13, 15, 9, 7, 10, 14, 11, 12, 16, 17, 22, 18, 20, 21, 23, 24, 27, 25, 26], [29, 28]]
45: [[5, 19, 1, 2], [3, 4, 8, 6, 13, 7, 14, 10], [9, 11, 26, 12, 16, 17], [15, 22, 20], [23, 21], [25, 29, 27, 24, 18, 28]]
46: [[5, 19, 1, 2], [3, 4, 8, 6], [15, 14, 7, 9, 11], [13, 12, 10, 16], [22, 21], [23, 18, 20, 17, 27], [24, 26, 29, 28], [25]]
47: [[5, 19, 1, 2, 3, 6, 8], [4, 13, 7, 9, 15, 10, 11, 27, 28, 16, 17, 12, 20, 14, 23, 18], [29, 22, 26, 24, 25, 21]]
48: [[5, 19, 1, 2], [3, 6, 8, 4, 15], [11, 10, 7, 9], [14, 12, 16, 22, 21], [13, 18], [23, 20, 24, 17], [26, 27, 29, 25, 28]]
49: [[5, 19], [1, 2, 3, 4, 8, 6, 15, 11, 7, 14, 9, 13, 10, 12, 16, 22, 23, 21, 18, 27, 17, 24, 20], [29, 26, 28, 25]]
50: [[5, 19, 1, 2, 3], [4, 8, 6, 13, 7, 14], [10, 9, 12], [15, 17, 21, 11], [23, 22, 18], [29, 20, 16, 24, 27, 26, 28, 25]]
51: [[5, 19, 1, 2], [3, 6, 8, 4, 15], [7, 10, 11, 13], [24, 12, 21], [18, 9, 16], [20, 14], [23, 29, 22, 25], [27, 26, 17, 28]]
52: [[5, 19], [1, 2, 3, 4], [8, 6, 15, 7, 10, 14, 11, 12, 28, 17, 24, 9, 18, 16, 26, 20, 13, 29, 23, 21, 27, 22, 25]]
53: [[5, 19, 1, 2, 3], [4, 8, 6, 14, 7], [10, 11, 9, 13], [29, 12, 16], [17, 22, 15], [26, 23, 18, 28, 20, 21, 25, 27, 24]]
54: [[5, 19, 1, 2], [3, 4, 8, 6], [15, 13, 9], [7, 10, 11], [26, 28, 12], [14, 22, 18, 16], [17, 21, 29, 23], [24, 25, 20, 27]]
55: [[5, 19, 1, 2], [3, 6, 8, 4], [13, 7, 9, 11, 12], [14, 10, 27, 16, 17], [15, 18, 20, 23, 21], [24, 22, 26, 25, 29, 28]]
56: [[5, 19, 1, 2], [3, 4, 8, 6, 14], [7, 15, 13, 9, 11, 26], [25, 17, 10, 12, 21, 16], [20, 18, 22], [24, 23, 27], [29, 28]]
57: [[5, 19, 1, 2], [3, 6, 8, 4], [15, 7, 14, 12], [9, 10, 11, 17, 26], [16, 13], [18, 20, 21, 29], [24, 22, 27, 23], [25, 28]]
58: [[5, 19, 1, 2], [3, 4, 8, 6], [15, 7, 11], [10, 9, 28], [25, 21, 18, 13], [14, 20, 16, 23], [12, 29, 17], [27, 26, 22, 24]]
59: [[5, 19, 1, 2], [3, 4, 8, 7], [15, 9, 13, 11], [10, 25, 12], [14, 16, 17], [26, 20, 6], [23, 21, 29, 18], [24, 22, 27, 28]]
