0: [[6, 16, 1, 2, 19, 5], [4, 3, 9, 10, 7, 8, 11, 24, 13, 12, 29, 15, 18, 17, 14], [22, 20, 23, 28, 25], [21, 27, 26]]
47: [[6, 16, 1, 2, 19, 5, 4, 3, 9, 10, 7, 8, 11, 24, 13], [12, 15, 23, 22, 17, 20], [18, 29, 28, 25, 14], [21, 27, 26]]
48: [[6, 16, 1, 2, 19, 5, 4, 3, 9, 10, 7, 8, 11, 24, 13], [12, 23, 15, 22, 17, 14], [18, 20, 28, 29, 25], [21, 27, 26]]
49: [[6, 16, 1, 2, 19, 5, 4, 3, 9, 10, 7, 8, 11, 25, 13], [12, 15, 18, 23, 17, 14], [20, 22, 29, 24, 28], [21, 27, 26]]
50: [[6, 16, 1, 2, 19, 5], [4, 3, 9, 10, 7, 8, 11, 24, 13, 12, 22, 15, 17, 18, 14], [20, 21, 25, 28, 23], [29, 27, 26]]
51: [[6, 16, 1, 2, 19, 5, 4, 3, 9, 10, 7, 8, 11, 24, 13], [12, 15, 20, 22, 17, 14], [23, 18, 29, 25, 28], [21, 27, 26]]
52: [[6, 16, 1, 2, 19, 5, 4, 3, 9, 10, 7, 8, 11, 24, 13], [12, 20, 23, 15, 14], [17, 18, 22, 29, 25, 28], [21, 27, 26]]
53: [[6, 16, 1, 2, 19], [5, 4, 3, 9, 10, 7, 8, 11, 28, 13, 12, 15, 17, 18, 14], [20, 21, 23, 22, 24, 25], [29, 27, 26]]
54: [[6, 16, 1, 2, 19], [5, 4, 3, 9, 10, 7, 11, 24, 13, 12, 17, 21, 15, 8, 14], [18, 23, 20, 29, 22, 28], [25, 27, 26]]
55: [[6, 16, 1, 2, 19], [5, 4, 3, 9, 10, 7, 8, 11, 24, 13, 12, 15, 23, 18, 17], [22, 20, 27, 28, 25, 14], [21, 29, 26]]
56: [[6, 16, 1, 2, 19, 5, 4, 3, 9, 10, 7, 8, 11, 24, 13], [12, 15, 18, 21, 14], [17, 20, 22, 23, 28, 25], [29, 27, 26]]
57: [[6, 16, 1, 2, 19, 5], [4, 3, 9, 7, 8, 11, 24, 13, 15, 18, 25, 22, 10, 12, 14], [23, 21, 29, 17, 28], [20, 27, 26]]
58: [[6, 16, 1, 2, 19, 5], [4, 3, 9, 7, 8, 11, 24, 13, 15, 17, 18, 20, 10, 12, 14], [21, 23, 29, 25, 28], [22, 27, 26]]
59: [[6, 16, 1, 2, 19, 5], [4, 3, 9, 7, 8, 11, 24, 13, 18, 15, 17, 20, 10, 12, 14], [21, 23, 25, 28, 29], [22, 27, 26]]
