0: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 20, 24, 25], [21, 26, 27, 29]]
18: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [28, 20, 25, 24, 10], [21, 26, 27, 29]]
19: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 20, 25, 24], [21, 26, 27, 29]]
20: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 20, 25, 24], [21, 26, 27, 29]]
21: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 20, 25, 24], [21, 26, 27, 29]]
22: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 20, 25, 24], [21, 26, 27, 29]]
23: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 20, 25, 24], [21, 26, 27, 29]]
24: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 20, 25, 24], [21, 26, 27, 29]]
25: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [20, 24, 25, 28, 10], [21, 26, 27, 29]]
26: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 24, 25, 20], [21, 26, 27, 29]]
27: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [28, 20, 25, 24, 10], [21, 26, 27, 29]]
28: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 20, 25, 24], [21, 26, 27, 29]]
29: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [28, 20, 25, 24, 10], [21, 26, 27, 29]]
30: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 20, 25, 24], [21, 26, 27, 29]]
31: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [24, 28, 10, 25, 20], [21, 26, 27, 29]]
32: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 20, 25, 24], [21, 26, 27, 29]]
33: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 20, 25, 24], [21, 26, 27, 29]]
34: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 20, 25, 24], [21, 26, 27, 29]]
35: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 20, 25, 24], [21, 26, 27, 29]]
36: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 20, 25, 24], [21, 26, 27, 29]]
37: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [28, 20, 24, 25, 10], [21, 26, 27, 29]]
38: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 20, 24, 25], [21, 26, 27, 29]]
39: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 20, 24, 25], [21, 26, 27, 29]]
40: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 20, 24, 25], [21, 26, 27, 29]]
41: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 20, 24, 25], [21, 26, 27, 29]]
42: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 20, 24, 25], [21, 26, 27, 29]]
43: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 20, 24, 25], [21, 26, 27, 29]]
44: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 20, 24, 25], [21, 26, 27, 29]]
45: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 20, 24, 25], [21, 26, 27, 29]]
46: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 20, 24, 25], [21, 26, 27, 29]]
47: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 20, 24, 25], [21, 26, 27, 29]]
48: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 20, 24, 25], [21, 26, 27, 29]]
49: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [25, 28, 20, 10, 24], [21, 26, 27, 29]]
50: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 24, 20, 26], [21, 25, 27, 29]]
51: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 20, 24, 26], [21, 25, 27, 29]]
52: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [26, 28, 20, 10, 24], [21, 25, 27, 29]]
53: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [20, 28, 21, 24, 10], [25, 26, 27, 29]]
54: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [28, 24, 21, 20, 10], [25, 26, 27, 29]]
55: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [26, 10, 24, 28, 20], [21, 25, 27, 29]]
56: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [28, 10, 20, 27, 24], [21, 26, 25, 29]]
57: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [26, 20, 10, 25, 24], [21, 28, 27, 29]]
58: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 20, 25, 21], [24, 26, 27, 29]]
59: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 20, 21, 25], [24, 26, 27, 29]]
