0: [[18, 15], [2, 6, 16, 12, 14], [7, 11], [10, 3], [4, 5, 13, 22], [1, 9, 20, 19, 17, 8], [23, 21, 24]]
32: [[24, 23], [2, 12], [14, 7], [11, 10, 3, 4, 5, 13, 22, 6], [1, 9], [20, 19, 17, 8, 15], [21, 18, 16]]
33: [[24, 23], [2, 6, 16, 12], [14, 7, 11, 10, 3], [4, 5, 13, 22, 1], [9, 20, 19], [17, 8, 15, 21, 18]]
34: [[24, 23], [2], [14, 7, 12], [11, 10, 3, 4, 16], [5, 13, 22, 1, 6], [9, 20, 19], [17, 8, 15, 21, 18]]
35: [[24, 23], [2, 6, 14], [7, 11, 10, 3, 4, 5, 13, 22, 16, 12], [1, 9, 20, 19, 17, 8, 15], [21, 18]]
36: [[24, 23], [2, 6], [16, 12, 14, 7, 11, 10, 3, 4, 5, 13, 22, 1, 9], [20, 19, 17, 8, 15, 21, 18]]
37: [[24, 23, 2], [6, 16, 12, 14, 7, 11, 10], [3, 4, 5, 13, 22, 1], [9, 20, 19, 17, 8, 15, 21, 18]]
38: [[24, 23, 2], [14, 7, 12], [11, 10], [3, 4, 5, 6, 16], [13, 22], [1, 9, 20, 19], [17, 8, 15, 21, 18]]
39: [[24, 23, 2], [14], [7, 11, 10], [3, 4, 5, 6, 16], [13, 22, 1], [9, 20], [19, 17, 8], [15, 21, 18, 12]]
40: [[24, 23], [2], [14, 7], [11, 10], [3, 4, 16], [5, 13, 6], [22, 1], [9, 20, 19], [17, 8], [15, 21, 18, 12]]
41: [[24, 23], [2, 16], [14], [7, 11], [10, 3, 4, 5, 13, 6], [22, 1], [9, 20, 19], [17, 8], [15, 21, 18, 12]]
42: [[24, 23, 2], [6, 16, 12, 14], [7, 11, 3, 10], [4, 5, 13, 22, 9, 20, 19, 17, 8, 15, 21, 18, 1]]
43: [[2], [16, 12, 18], [14, 7, 11, 10], [3, 4, 6], [5, 13], [22, 1], [9, 20, 19, 17], [8, 23, 21, 24, 15]]
44: [[18, 15], [2, 6], [16, 12, 14, 7, 11], [10, 3, 4, 5, 13, 22, 1, 9], [20, 19, 17, 8, 23, 21, 24]]
45: [[18, 15], [2, 6, 16], [12, 14, 7], [11, 10, 3], [4, 5, 13, 22, 1, 9, 20, 19, 17, 8, 23, 21, 24]]
46: [[2], [16, 12, 14, 7, 18], [11, 10, 3, 4, 6], [5, 13, 22], [1, 9, 20, 19, 17, 8, 23, 21, 24, 15]]
47: [[24, 23, 2, 6], [16, 12, 14, 7, 11, 10, 3, 4, 5, 13, 22, 1, 9, 20, 19, 17], [8, 15, 21, 18]]
48: [[24, 23, 2, 6, 16, 12, 14, 7], [11, 10, 3, 4, 5, 13, 22, 1, 9], [20, 19, 17, 8, 15, 21, 18]]
49: [[24, 23, 2, 6, 16, 12, 14, 7], [11, 10, 3, 4, 5, 13, 22, 1, 9], [20, 19, 17, 8, 15, 21, 18]]
