0: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
41: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
42: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
43: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
44: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
45: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
46: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
47: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
48: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
49: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
50: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
51: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
52: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
53: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
54: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
55: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
56: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
57: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
58: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
59: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
