0: [[12, 19, 20], [1, 9, 2], [6, 5, 4, 3], [11, 10, 7], [8, 14, 13, 15], [18, 16, 17, 22], [23, 21, 24]]
33: [[12, 19, 20], [1, 9, 2], [6, 5, 4], [3, 11, 10, 7], [8, 14, 13, 15], [18, 16, 17, 22, 23, 21, 24]]
34: [[12, 19, 20], [1, 9, 2], [6, 5, 4], [3, 11, 10], [7, 8, 14], [13, 15, 18, 16], [17, 22, 23, 21, 24]]
35: [[12, 19, 20], [1, 9, 2], [6, 5, 4, 3], [11, 10, 7], [8, 14, 13, 15, 18, 16, 17, 22, 23, 21, 24]]
36: [[12, 19, 20], [1, 9, 2], [6, 5, 4], [3, 11, 10], [7, 8, 14], [13, 15, 18], [16, 17, 22, 23, 21, 24]]
37: [[12, 19, 20], [1, 9, 2], [6, 5, 4, 3], [11, 10, 7], [8, 14, 13, 15, 18, 16, 17, 22, 23, 21, 24]]
38: [[12, 19, 20], [1, 9, 2], [6, 5, 4, 3], [11, 10, 7], [8, 14, 13, 15, 18, 16, 17, 22, 23, 21, 24]]
39: [[12, 19, 20], [1, 9, 2], [6, 5, 4, 3, 11, 10, 7, 8, 14, 13, 15, 18], [16, 17, 22, 23, 21, 24]]
40: [[12, 19, 20], [1, 9, 2], [6, 5, 4], [3, 11, 10], [7, 8, 14], [13, 15, 18, 16, 17, 22, 23, 21, 24]]
41: [[12, 19, 20], [1, 9, 2], [6, 5, 4], [3, 11, 10, 7, 8, 14, 13, 15, 18, 16, 17, 22, 23, 21, 24]]
42: [[12, 19, 20], [1, 9, 2], [6, 5, 4], [3, 11, 10, 7, 8, 14, 13, 15, 18, 16, 17, 22, 23, 21, 24]]
43: [[12, 19, 20], [1, 9, 2], [6, 5, 4], [3, 11, 10, 7, 8, 14, 13, 15, 18, 16, 17, 22, 23, 21, 24]]
44: [[12, 19, 20, 1], [9, 2, 6], [5, 4, 3], [11, 10, 7, 8], [14, 13, 15], [18, 16, 17, 22, 23, 21, 24]]
45: [[12, 19, 20], [1, 9, 2, 6], [5, 4, 3, 11], [10, 7, 8, 14, 13, 15, 18, 16, 17, 22, 23, 21, 24]]
46: [[12, 19, 20], [1, 9, 2, 6], [5, 4, 3, 11], [10, 7, 8], [14, 13, 15, 18, 16, 17, 22, 23, 21, 24]]
47: [[12, 19, 20, 1], [9, 2, 6], [5, 4, 3, 11], [10, 7, 8, 14, 13, 15, 18, 16, 17, 22, 23, 21, 24]]
