0: [[3, 5, 6], [4, 8], [17, 2, 1, 9], [13, 11, 15, 10, 14], [7, 24], [16, 23, 12, 22], [18, 19], [25, 20], [21, 27, 26], [28, 29]]
12: [[3, 5, 6], [4, 8, 17, 16, 1, 9], [13, 11, 15, 7, 14, 2, 29, 20, 21, 10, 22, 12, 18, 19, 24, 26, 27], [28, 23, 25]]
13: [[3, 5, 6, 4], [8, 17, 2, 1, 9, 13, 11, 15, 7, 18, 23, 12, 24, 16, 10, 19], [14, 22, 25], [20, 21, 26, 27, 28, 29]]
14: [[3, 5, 6], [4, 8, 17], [1, 2, 9, 14, 11, 15, 7], [13, 12, 16, 29, 18, 20, 22, 19], [23, 25, 21, 26, 27, 24, 28, 10]]
15: [[3, 5, 6], [4, 8, 17], [1, 2, 13, 10], [11, 15, 7], [12, 24, 14, 29, 19, 9, 26, 22, 16, 18, 20], [21, 23, 25, 27, 28]]
16: [[3, 5, 6], [4, 8, 17], [2, 1, 9, 12], [11, 15], [14, 22, 23, 7, 24], [18, 10, 13, 16], [19, 25, 21, 20], [26, 27, 28, 29]]
17: [[3, 5, 6], [4, 8, 17, 2, 1], [9, 13], [11, 15, 10, 14], [7, 20], [16, 23, 12, 22], [18], [19, 25], [24, 21, 26, 27, 28, 29]]
18: [[3, 5, 6], [4, 8], [17, 2, 1, 9], [13, 11, 15], [7, 14], [16, 24, 18], [23, 12], [22, 10, 19, 20, 21], [25, 27, 26], [29, 28]]
19: [[3, 5, 6], [4, 8, 17, 16, 1, 9], [13, 11, 15, 19, 2, 7, 28, 20, 10, 12, 22, 14, 18, 23, 24, 21, 26, 27, 25, 29]]
20: [[3, 5, 6], [4, 8, 17], [1, 2, 13, 11, 15, 7, 10], [29, 14], [9], [16, 20, 19, 18, 21, 24, 12, 22], [23, 27, 26, 25, 28]]
21: [[3, 5, 6], [4, 8], [17, 16, 1, 9, 13, 11, 15, 10, 14, 7, 2, 20, 19, 12, 22, 18, 28, 26, 23, 21, 27, 24, 25, 29]]
22: [[3, 5, 6, 4, 8], [17, 16, 2], [9, 13, 11, 15, 1], [7, 23, 10, 20, 12, 14, 25, 18, 19, 21, 24, 29, 26, 22, 27, 28]]
23: [[3, 5, 6, 4], [8, 17, 2, 1, 9, 11, 15, 12], [7, 23, 25, 20, 22], [18, 13, 10], [16], [19, 24, 21, 26, 14], [27, 28, 29]]
24: [[3, 5, 6], [4, 8, 17], [2, 1, 9, 13, 11, 15, 7, 12, 14, 28, 18, 19, 10, 23, 20, 22, 26, 16, 21, 24, 27, 29, 25]]
25: [[3, 5, 6, 4, 8, 17, 2, 1, 9, 12], [11, 15, 26, 10, 7, 24, 13, 19, 16, 22], [14, 18, 23], [20, 21, 28, 27, 25, 29]]
26: [[3, 5, 6], [4, 8, 17, 2, 1, 9, 10, 11, 13, 7], [18, 23, 15, 24], [22, 12, 14, 16], [21, 19, 20, 28, 26, 27, 25, 29]]
27: [[3, 5, 6], [4, 8], [17, 16, 1], [9, 13, 11, 22], [15, 2, 10], [20, 29], [19, 7], [21, 12], [18, 23, 24, 14], [25, 28, 27, 26]]
28: [[3, 5, 6], [4, 8, 17, 16, 1, 9], [13, 11, 15, 7, 14, 2, 28, 20, 29, 10, 22, 12, 21, 18, 24, 19, 27], [26, 23, 25]]
29: [[3, 5, 6, 4, 8], [17, 16, 1], [9, 13, 11, 7, 15, 2, 12, 26, 28, 23, 14, 19, 10, 20, 18, 22, 27, 24, 21, 29, 25]]
30: [[3, 5, 6], [4, 8, 17, 16, 1, 9, 13, 11, 15, 19, 2, 7, 28, 24, 10, 12, 23, 14, 20, 18, 22, 26, 27], [29, 21, 25]]
31: [[3, 5, 6, 4], [8, 17, 1, 2, 9, 14, 11, 15, 7, 10, 12, 24, 29, 23, 13, 20, 16, 19, 22, 21, 26, 18], [27, 25, 28]]
32: [[3, 5, 6, 4], [8, 17, 16, 1], [9, 13, 11, 15, 12, 26], [2, 14, 20, 29, 10, 22, 7, 23, 18, 24, 19, 27], [21, 28, 25]]
33: [[3, 5, 6, 4], [8, 17, 2, 1], [9, 14, 11], [15, 7, 10, 12, 13, 25, 23, 20, 22, 16, 19, 24, 21, 27, 18, 26, 29, 28]]
34: [[3, 5, 6, 4], [8, 17, 2], [1, 9, 13], [11, 15, 18, 10, 7, 14, 24, 16, 12, 23, 20, 22, 26, 28, 21, 19, 27, 25, 29]]
35: [[3, 5, 6], [4, 8], [17, 2, 1, 9], [13, 11], [15, 10], [14, 23, 7], [16, 22], [12, 20, 18, 19, 24, 21, 25, 27, 26, 28, 29]]
36: [[3, 5, 6, 4, 16, 17, 2], [8, 9, 18, 11, 13, 1, 7, 15, 29], [12, 19, 24, 10, 14, 23, 20, 21, 22, 26, 27, 25, 28]]
37: [[3, 5, 6, 4], [8, 17, 1, 2, 13, 9, 11, 12, 10, 7, 14, 15, 21, 16, 20, 23, 26, 18, 19, 24, 27, 29], [25, 28, 22]]
38: [[3, 5, 6, 4], [8, 17], [16, 1], [9, 13, 11], [7, 12, 2, 14, 24, 15, 19, 10, 23, 18, 21, 22, 20, 28, 25, 26, 29, 27]]
39: [[3, 5], [6, 4, 8, 17, 1, 10, 9, 2, 11, 15, 7, 28, 12, 14, 20, 23, 13, 18, 19, 16, 22, 24, 29, 26, 25, 21], [27]]
40: [[3, 5, 6], [4, 8, 17], [2, 1, 9], [13, 11], [15, 10, 14], [7, 18], [20, 19, 12, 22], [16, 23], [26, 21], [24, 27, 25], [29, 28]]
41: [[3, 5, 6], [4, 8, 17], [1, 7, 13, 12], [11, 15, 9, 22], [2, 10], [29, 19, 14, 16], [18, 26, 20, 23], [24, 27, 25, 21, 28]]
42: [[3, 5, 6, 4], [8, 17], [2, 1, 7, 13], [11, 9, 15, 16], [28, 19, 29, 18, 10, 24, 20, 23], [12, 25, 21, 27, 26], [22, 14]]
43: [[3, 5], [6, 4, 8], [17, 2, 1, 9, 13, 11, 15, 7, 12, 23, 29], [20, 19, 14], [10, 22, 16, 18, 28, 21, 25, 26, 24, 27]]
44: [[3, 5, 6], [4, 8], [17, 16, 1, 9], [13, 11, 7, 2, 12, 14], [24], [20, 19, 23, 10, 22], [15], [18, 21], [25, 27], [29, 26, 28]]
45: [[3, 5], [6, 4, 8, 17], [2, 1], [9, 12], [11, 15, 14], [22, 23], [7, 24, 13, 10, 19, 16, 18, 29, 20, 21, 26, 27, 28, 25]]
46: [[3, 5, 6], [4, 8, 17, 16], [1, 9], [12, 11, 14, 2, 7], [13, 10, 28, 19], [27, 15, 20, 18], [29, 22, 21, 26], [25, 23, 24]]
47: [[3, 5, 6], [4, 16], [17, 1, 2, 8], [13, 11, 7], [15, 9, 12, 25, 29, 18, 10, 22, 14, 23, 19, 20, 28, 27, 24, 21, 26]]
48: [[3, 5, 6, 4, 8, 17, 2, 1], [9, 12, 11, 15, 26], [14, 7, 10, 24, 19, 13, 23, 20, 18, 29, 16, 21], [22, 27, 25, 28]]
49: [[3, 5, 6, 4], [8, 17, 2], [1, 9, 12], [11, 15], [26, 14, 7], [19, 28, 10, 13, 27, 18, 20, 16], [21, 22, 23, 24, 29], [25]]
50: [[3, 5, 6], [4, 8, 17, 2], [1, 9], [13, 11, 7], [14, 10], [12, 15], [16, 22], [20, 18, 25], [23, 21, 19, 26, 24, 28, 27, 29]]
51: [[3, 5, 6, 4, 8, 17, 12], [1, 2, 9], [21, 11], [15, 7, 10, 14], [28, 20, 23, 22], [13, 18], [19, 26], [16, 25], [24, 27], [29]]
52: [[3, 5, 6], [4, 8, 17, 1], [2, 9], [12, 11, 15, 13, 18], [28, 26, 20, 22], [14, 7, 10, 19], [16, 21, 23, 24], [27, 25, 29]]
53: [[3, 5, 6], [4, 8], [17, 2, 1], [9, 13], [11, 15, 19, 10], [7, 28, 16], [22, 12], [23, 18, 14, 21], [24, 20, 26], [27, 25, 29]]
54: [[3, 5, 6, 4], [8, 17, 16, 2], [1, 12, 11, 15], [13, 26, 7], [21, 9, 22], [10, 14], [18, 23, 25, 19, 20, 27, 24, 28, 29]]
55: [[3, 5, 6, 4], [8, 17, 2, 1, 9], [12, 11], [15, 14, 10, 7], [13, 18], [23, 19], [26, 16, 21], [28, 20], [29, 27, 22, 24, 25]]
56: [[3, 5, 6, 4], [16, 17], [1, 2, 8, 13], [11, 7], [9, 18, 12], [25, 28, 14, 10], [22, 15, 23, 24], [19, 27, 26], [20, 29, 21]]
57: [[3, 5, 6], [4, 8, 17], [16, 1, 9], [12, 11], [15, 14, 22, 7], [2, 25], [19, 10, 29, 26], [18, 23, 21, 20], [27, 24, 28, 13]]
58: [[3, 5], [6, 4, 16], [17, 1], [2, 9, 12], [11, 8], [14, 22], [7, 20], [24, 18, 10], [23, 13, 19, 21, 15, 25, 26, 29, 27, 28]]
59: [[3, 5, 6, 4], [8, 17, 2], [1, 9], [13, 11, 7, 14], [10, 12, 24], [28, 19], [15, 22, 18, 16], [26, 20], [21, 23], [25, 27, 29]]
