0: [[37, 16, 15], [27, 14], [1, 7], [38, 41, 19, 3, 20], [11], [30, 47, 32], [5, 17, 22, 8, 18], [44], [25, 9, 4, 13, 6, 10, 21], [23, 28, 24, 12], [26, 39, 31, 36], [29, 33, 42], [50, 34, 43, 40, 35, 2], [45, 51], [52, 48, 54, 55, 46], [60, 56, 53], [49, 58, 59, 57]]
12: [[35, 7, 11, 2], [1, 3, 4, 13, 21, 5, 6], [12, 9, 26, 10, 8, 14, 15, 17, 16, 23, 19, 25, 22, 30, 18, 27, 29, 20, 28, 24, 31, 32, 37, 36, 33, 38, 39, 44, 34, 43, 40, 46, 47, 42], [52, 41, 49, 55, 48, 50, 45, 51, 54, 53, 58, 59, 57, 56, 60]]
13: [[35, 7, 11, 2], [1, 3, 4, 13, 21, 5, 6], [14, 9, 24, 10, 29, 12, 30, 23, 26, 19, 16, 17, 8, 15, 25, 18, 20, 22, 28, 27, 31, 36, 37, 33, 47, 39, 40, 38, 42, 32, 41, 44, 43, 46], [49, 45, 57, 53, 48, 34, 55, 52, 50, 56, 60, 58, 59, 51, 54]]
14: [[35, 7, 11, 2], [1, 3, 4, 13, 21, 5, 6], [12, 9, 24, 15, 8, 30, 14, 18, 16, 10, 20, 23, 19, 17, 28, 29, 25, 27, 22, 26, 31, 33, 40, 34, 39, 37, 36, 38, 41, 42, 43, 44, 32, 45], [46, 47, 48, 51, 53, 55, 49, 50, 52, 54, 58, 57, 56, 59, 60]]
15: [[35, 7, 11, 2, 1, 3, 4], [13, 21, 5, 6], [8, 9, 30, 10, 12, 14, 15, 20, 16, 22, 27, 18, 17, 26, 29, 19, 31, 23, 28, 24, 25, 32, 33, 41, 37, 36, 34, 39, 40, 42, 51, 47, 44, 38], [43, 45, 46, 49, 50, 48, 54, 52, 53, 55, 56, 59, 58, 60, 57]]
16: [[35, 7, 11, 2, 1, 3, 4], [13, 21, 5, 6], [8, 9, 26, 14, 31, 30, 16, 10, 29, 12, 18, 22, 15, 25, 24, 17, 19, 23, 27, 20, 28, 33, 46, 32, 36, 37, 38, 34, 41, 43, 42, 39, 40, 44], [60, 47, 51, 45, 48, 50, 53, 49, 52, 54, 55, 58, 59, 57, 56]]
17: [[35, 7, 11, 2], [1, 3, 4, 13, 21, 5, 6], [9, 8, 14, 18, 10, 31, 12, 17, 29, 15, 16, 19, 22, 24, 23, 27, 25, 20, 30, 28, 26, 51, 32, 42, 36, 37, 34, 38, 47, 39, 40, 33, 41, 43], [57, 44, 52, 45, 46, 48, 49, 53, 54, 55, 58, 50, 59, 56, 60]]
18: [[35, 7, 11, 2, 1, 3, 4], [13, 21, 5, 6], [12, 9, 10, 14, 30, 8, 24, 18, 15, 28, 20, 19, 31, 22, 23, 16, 27, 26, 25, 17, 29, 38, 40, 42, 37, 33, 34, 36, 32, 47, 43, 39, 41, 44], [45, 46, 51, 59, 52, 54, 48, 49, 50, 55, 53, 58, 57, 56, 60]]
19: [[35, 7, 11, 2, 1, 3, 4], [13, 21, 5, 6], [8, 9, 26, 10, 31, 28, 12, 14, 15, 16, 22, 17, 19, 18, 23, 24, 30, 27, 25, 20, 29, 36, 32, 40, 33, 39, 34, 38, 42, 43, 37, 44, 47, 41], [56, 45, 49, 51, 46, 54, 52, 53, 50, 48, 58, 55, 57, 59, 60]]
20: [[35, 7, 11, 2, 1, 3, 4], [13, 21, 5, 6], [10, 9, 12, 8, 28, 15, 14, 19, 18, 23, 16, 20, 17, 22, 24, 26, 25, 27, 29, 31, 30, 34, 36, 42, 37, 39, 33, 32, 38, 47, 40, 44, 41, 43], [46, 45, 49, 51, 48, 55, 53, 57, 54, 52, 56, 59, 58, 50, 60]]
21: [[35, 7, 11, 2, 1, 3, 4], [13, 21, 5, 6], [8, 9, 14, 10, 15, 12, 31, 22, 18, 16, 25, 17, 19, 26, 20, 23, 27, 29, 28, 24, 30, 32, 33, 41, 37, 36, 34, 39, 44, 43, 40, 47, 42, 38], [46, 45, 49, 51, 48, 50, 54, 52, 53, 55, 56, 59, 58, 57, 60]]
22: [[35, 7, 11, 2], [1, 3, 4, 13, 21, 5, 6], [12, 9, 26, 8, 31, 14, 15, 10, 16, 22, 17, 18, 20, 24, 27, 19, 23, 28, 25, 29, 30, 45, 33, 32, 37, 34, 38, 36, 42, 39, 46, 40, 43, 47], [41, 44, 51, 48, 50, 53, 54, 52, 55, 49, 58, 57, 56, 59, 60]]
23: [[35, 7, 11, 2], [1, 3, 4, 13, 21, 5, 6], [8, 9, 12, 10, 14, 30, 17, 31, 16, 15, 26, 20, 23, 19, 22, 29, 24, 28, 18, 25, 27, 37, 33, 32, 46, 38, 36, 34, 41, 39, 40, 42, 43, 44], [45, 47, 49, 54, 56, 58, 50, 48, 53, 51, 59, 52, 57, 55, 60]]
24: [[35, 7, 11, 2], [1, 3, 4, 13, 21, 5, 6], [9, 8, 14, 28, 10, 12, 16, 19, 17, 15, 18, 22, 20, 24, 26, 23, 25, 30, 31, 27, 58, 36, 32, 42, 29, 37, 33, 34, 47, 45, 38, 39, 43, 40], [41, 54, 48, 44, 46, 52, 49, 50, 53, 51, 55, 59, 57, 56, 60]]
25: [[35, 7, 11, 2, 1, 3, 4], [13, 21, 5, 6], [8, 9, 30, 26, 15, 10, 12, 20, 16, 31, 22, 18, 23, 17, 14, 25, 27, 19, 24, 28, 29, 32, 41, 38, 45, 37, 33, 34, 36, 39, 40, 43, 42, 46], [44, 54, 49, 59, 47, 53, 52, 50, 51, 55, 56, 60, 48, 58, 57]]
26: [[35, 7, 11, 2], [1, 3, 4, 13, 21, 5, 6], [14, 9, 24, 10, 31, 12, 26, 19, 18, 15, 28, 17, 20, 22, 25, 16, 23, 27, 29, 30, 36, 32, 33, 42, 47, 39, 8, 34, 44, 37, 41, 38, 43, 40], [57, 45, 46, 53, 48, 49, 55, 52, 51, 50, 56, 54, 59, 58, 60]]
27: [[35, 7, 11, 2, 1, 3, 4], [13, 21, 5, 6], [9, 8, 14, 12, 26, 10, 17, 25, 19, 15, 16, 27, 22, 24, 18, 20, 23, 28, 30, 31, 29, 37, 32, 40, 39, 33, 38, 34, 36, 47, 41, 42, 43, 45], [46, 58, 51, 55, 44, 48, 49, 60, 52, 53, 57, 50, 54, 59, 56]]
28: [[35, 7, 11, 2, 1, 3, 4], [13, 21, 5, 6], [12, 9, 26, 10, 15, 14, 22, 16, 27, 8, 23, 18, 20, 19, 28, 24, 17, 25, 30, 29, 31, 32, 41, 42, 33, 36, 37, 38, 34, 47, 40, 39, 43, 45], [46, 44, 51, 59, 57, 50, 52, 48, 54, 53, 55, 49, 58, 56, 60]]
29: [[35, 7, 11, 2, 1, 3, 4], [13, 21, 5, 6], [12, 9, 10, 8, 18, 15, 20, 14, 16, 23, 17, 30, 22, 24, 19, 25, 26, 29, 27, 28, 52, 31, 32, 56, 45, 36, 34, 39, 43, 42, 40, 33, 41, 37], [38, 47, 51, 44, 46, 53, 48, 49, 50, 58, 57, 54, 55, 59, 60]]
30: [[35, 7, 11, 2, 1, 3, 4], [13, 21, 5, 6], [8, 9, 14, 10, 15, 12, 31, 30, 26, 19, 17, 16, 18, 20, 22, 25, 24, 23, 27, 28, 29, 36, 33, 39, 53, 34, 32, 38, 47, 45, 40, 37, 43, 42], [41, 44, 49, 55, 46, 50, 48, 56, 52, 51, 58, 60, 54, 59, 57]]
31: [[35, 7, 11, 2], [1, 3, 4, 13, 5, 21, 6], [12, 9, 26, 30, 8, 29, 10, 18, 28, 22, 14, 15, 25, 16, 17, 19, 20, 24, 27, 23, 31, 32, 33, 34, 39, 37, 36, 38, 40, 46, 41, 45, 43, 42], [44, 47, 49, 59, 52, 50, 48, 51, 54, 55, 53, 58, 57, 56, 60]]
32: [[35, 7, 11, 2], [1, 3, 4, 13, 21, 5, 6], [10, 9, 15, 8, 31, 14, 19, 25, 16, 29, 17, 12, 23, 28, 18, 20, 26, 24, 22, 27, 30, 32, 33, 40, 34, 37, 46, 42, 36, 38, 39, 45, 43, 41], [44, 47, 48, 58, 54, 51, 49, 52, 55, 50, 59, 57, 53, 56, 60]]
33: [[35, 7, 11, 2], [1, 3, 4, 13, 21, 5, 6], [12, 9, 10, 8, 14, 15, 31, 30, 18, 23, 20, 16, 22, 24, 19, 17, 26, 29, 27, 25, 28, 36, 38, 41, 37, 33, 32, 39, 34, 42, 40, 45, 43, 47], [56, 46, 51, 55, 44, 53, 52, 48, 54, 50, 49, 57, 58, 59, 60]]
34: [[35, 7, 11, 2, 1, 3, 4], [13, 21, 5, 6], [10, 9, 24, 12, 31, 14, 15, 8, 16, 25, 22, 17, 19, 20, 26, 29, 27, 18, 28, 30, 23, 36, 32, 46, 33, 37, 34, 38, 42, 39, 40, 43, 47, 41], [45, 44, 49, 51, 50, 48, 52, 54, 55, 53, 56, 57, 58, 59, 60]]
35: [[35, 7, 11, 2, 1, 3, 4], [13, 21, 5, 6], [12, 9, 26, 24, 8, 10, 14, 22, 23, 17, 16, 15, 19, 27, 18, 20, 25, 28, 29, 30, 31, 37, 32, 33, 38, 39, 41, 34, 40, 43, 46, 36, 42, 47], [44, 45, 51, 49, 52, 50, 53, 54, 55, 48, 57, 56, 58, 59, 60]]
36: [[35, 7, 11, 2, 1, 3, 4], [13, 21, 5, 6], [12, 9, 26, 10, 31, 30, 16, 8, 14, 24, 22, 19, 15, 25, 29, 17, 27, 18, 28, 20, 23, 36, 40, 42, 33, 37, 32, 38, 34, 47, 46, 39, 43, 41], [44, 45, 51, 59, 48, 54, 52, 49, 50, 53, 55, 58, 57, 56, 60]]
37: [[35, 7, 11, 2], [1, 3, 4, 13, 21, 5, 6], [8, 9, 30, 10, 12, 14, 15, 23, 16, 18, 25, 22, 19, 28, 17, 20, 24, 26, 29, 31, 59, 32, 27, 41, 33, 37, 40, 38, 36, 42, 34, 43, 44, 39], [45, 46, 48, 56, 50, 52, 47, 51, 53, 49, 57, 54, 55, 60, 58]]
38: [[35, 7, 11, 2], [1, 3, 4, 13, 5, 21, 6], [12, 8, 26, 15, 14, 16, 17, 18, 9, 22, 19, 20, 23, 24, 25, 31, 28, 27, 29, 30, 32, 34, 42, 39, 33, 36, 37, 38, 47, 40, 41, 45, 44, 10], [46, 56, 50, 43, 60, 49, 51, 53, 54, 48, 57, 59, 52, 58, 55]]
39: [[35, 7, 11, 2], [1, 3, 4, 13, 21, 5, 6], [12, 9, 14, 10, 8, 23, 15, 27, 16, 20, 19, 17, 22, 24, 26, 18, 25, 29, 31, 28, 47, 32, 39, 42, 30, 36, 33, 34, 37, 46, 41, 38, 43, 40], [44, 45, 51, 50, 48, 52, 55, 53, 49, 54, 58, 57, 56, 59, 60]]
40: [[35, 7, 11, 2], [1, 3, 4, 13, 21, 5, 6], [14, 9, 26, 10, 12, 8, 15, 30, 16, 20, 18, 17, 22, 28, 27, 19, 29, 25, 23, 24, 31, 32, 37, 38, 33, 36, 39, 40, 34, 43, 41, 46, 47, 42], [44, 45, 49, 54, 48, 50, 51, 52, 53, 55, 58, 59, 56, 57, 60]]
41: [[35, 7, 11, 2], [1, 3, 4, 13, 21, 5, 6], [12, 9, 27, 10, 31, 30, 16, 8, 14, 15, 20, 17, 26, 24, 22, 23, 19, 18, 25, 28, 29, 32, 33, 34, 37, 39, 40, 38, 36, 47, 46, 43, 41, 42], [44, 45, 49, 59, 52, 50, 53, 48, 51, 55, 54, 56, 57, 58, 60]]
42: [[35, 7, 11, 2, 1, 3, 4], [13, 5, 21, 6], [8, 9, 28, 12, 14, 22, 17, 19, 15, 18, 16, 23, 24, 20, 25, 30, 26, 31, 27, 29, 37, 33, 44, 34, 32, 36, 38, 39, 47, 40, 41, 43, 45, 10], [42, 46, 51, 60, 49, 52, 53, 50, 54, 48, 55, 58, 56, 57, 59]]
43: [[35, 7, 11, 2, 1, 3, 4], [13, 21, 5, 6], [12, 9, 18, 8, 15, 10, 14, 27, 16, 17, 22, 23, 19, 28, 20, 24, 31, 25, 26, 29, 30, 32, 36, 34, 45, 39, 33, 37, 41, 47, 40, 38, 43, 44], [42, 56, 49, 46, 55, 48, 53, 54, 50, 52, 51, 58, 59, 57, 60]]
44: [[35, 7, 11, 2, 1, 3, 4], [13, 21, 5, 6], [12, 9, 10, 8, 15, 23, 28, 14, 30, 18, 16, 17, 19, 20, 22, 27, 25, 24, 26, 29, 31, 32, 33, 47, 39, 36, 34, 37, 38, 45, 41, 42, 40, 46], [50, 44, 49, 55, 51, 43, 53, 48, 54, 58, 57, 52, 59, 56, 60]]
45: [[35, 7, 11, 2], [1, 3, 4, 13, 21, 5, 6], [9, 8, 28, 10, 30, 12, 19, 17, 15, 14, 18, 27, 20, 16, 22, 23, 24, 25, 26, 31, 37, 52, 36, 46, 29, 33, 38, 34, 39, 41, 32, 40, 43, 42], [44, 59, 50, 45, 48, 47, 51, 55, 54, 49, 57, 58, 53, 56, 60]]
46: [[35, 7, 11, 2, 1, 3, 4], [13, 21, 5, 6], [10, 9, 26, 8, 12, 28, 15, 20, 31, 17, 18, 14, 16, 30, 27, 19, 24, 25, 22, 47, 38, 36, 33, 23, 40, 29, 37, 32, 34, 46, 39, 41, 43, 44], [42, 45, 48, 54, 52, 49, 51, 50, 55, 53, 56, 59, 57, 58, 60]]
47: [[35, 7, 11, 2, 1, 3, 4], [13, 21, 5, 6], [8, 9, 30, 12, 10, 14, 28, 18, 27, 24, 16, 15, 17, 22, 20, 19, 25, 26, 31, 29, 33, 34, 32, 38, 23, 39, 37, 41, 36, 44, 47, 43, 40, 46], [42, 45, 50, 54, 49, 51, 48, 52, 55, 56, 53, 58, 60, 59, 57]]
48: [[35, 7, 11, 2, 1, 3, 4], [13, 5, 21, 6], [12, 9, 26, 10, 30, 15, 18, 24, 14, 8, 23, 19, 17, 27, 29, 16, 20, 22, 28, 31, 34, 36, 40, 46, 32, 37, 25, 33, 38, 47, 44, 41, 43, 39], [42, 45, 51, 48, 50, 52, 49, 54, 59, 53, 55, 58, 57, 56, 60]]
49: [[35, 7, 11, 2], [1, 3, 4, 13, 21, 5, 6], [10, 9, 30, 8, 28, 14, 12, 15, 16, 22, 27, 18, 19, 17, 29, 20, 24, 23, 25, 26, 31, 32, 37, 41, 47, 36, 39, 33, 40, 46, 51, 43, 34, 38], [42, 44, 45, 50, 48, 52, 55, 54, 53, 49, 56, 57, 58, 59, 60]]
50: [[35, 7, 11, 2], [1, 3, 4, 13, 21, 5, 6], [12, 9, 26, 8, 30, 14, 31, 10, 16, 23, 22, 15, 20, 24, 19, 17, 18, 25, 27, 46, 29, 36, 33, 28, 45, 32, 38, 39, 34, 42, 40, 41, 37, 47], [48, 44, 51, 55, 43, 53, 52, 49, 54, 50, 59, 57, 56, 58, 60]]
51: [[35, 7, 11, 2, 1, 3, 4], [13, 21, 5, 6], [10, 9, 28, 24, 14, 23, 18, 25, 27, 8, 12, 15, 22, 16, 17, 19, 20, 26, 29, 30, 31, 34, 32, 40, 41, 37, 46, 33, 42, 36, 38, 45, 44, 43], [39, 47, 57, 50, 54, 48, 53, 49, 51, 52, 55, 56, 58, 59, 60]]
52: [[35, 7, 11, 2], [1, 3, 4, 13, 21, 5, 6], [8, 9, 30, 10, 14, 12, 15, 20, 16, 18, 22, 17, 23, 19, 29, 26, 27, 28, 31, 24, 25, 32, 41, 40, 37, 36, 33, 38, 34, 42, 59, 47, 39, 44], [43, 45, 46, 51, 50, 52, 53, 48, 49, 55, 54, 58, 56, 60, 57]]
53: [[35, 7, 11, 2, 1, 3, 4], [13, 21, 5, 6], [8, 9, 26, 10, 14, 12, 15, 30, 16, 23, 18, 17, 22, 20, 28, 19, 24, 25, 29, 27, 31, 32, 37, 43, 36, 54, 39, 40, 33, 34, 44, 47, 45, 42], [38, 41, 49, 46, 52, 48, 51, 50, 55, 53, 58, 59, 56, 57, 60]]
54: [[35, 7, 11, 2, 1, 3, 4], [13, 21, 5, 6], [10, 9, 28, 26, 8, 23, 20, 25, 30, 12, 17, 18, 22, 14, 15, 29, 27, 16, 19, 24, 59, 32, 38, 40, 43, 37, 31, 33, 47, 42, 34, 36, 44, 46], [39, 41, 53, 48, 50, 45, 51, 54, 55, 52, 58, 57, 49, 56, 60]]
55: [[35, 7, 11, 2, 1, 3, 4], [13, 21, 5, 6], [12, 9, 14, 10, 28, 30, 15, 23, 8, 17, 16, 20, 18, 29, 19, 25, 22, 26, 24, 31, 55, 32, 27, 40, 33, 47, 44, 38, 37, 42, 34, 41, 43, 36], [45, 39, 48, 46, 50, 54, 51, 52, 53, 49, 57, 58, 59, 56, 60]]
56: [[35, 7, 11, 2, 1, 3, 4], [13, 21, 5, 6], [12, 9, 14, 10, 28, 30, 15, 23, 8, 17, 16, 20, 18, 29, 19, 25, 22, 26, 24, 31, 55, 32, 27, 40, 33, 47, 44, 38, 37, 42, 34, 41, 43, 36], [45, 39, 48, 46, 50, 54, 51, 52, 53, 49, 57, 58, 59, 56, 60]]
57: [[35, 7, 11, 2], [1, 3, 4, 13, 5, 21, 6], [8, 9, 14, 24, 12, 15, 17, 16, 20, 27, 18, 19, 22, 25, 26, 29, 30, 28, 31, 37, 32, 33, 41, 23, 36, 34, 39, 44, 46, 51, 47, 42, 40, 10], [43, 45, 38, 48, 50, 52, 54, 55, 49, 60, 56, 58, 53, 59, 57]]
58: [[35, 7, 11, 2], [1, 3, 4, 13, 10, 21, 6], [8, 9, 30, 12, 14, 22, 5, 28, 15, 16, 20, 19, 18, 26, 23, 24, 17, 31, 27, 25, 29, 36, 40, 32, 34, 37, 33, 38, 43, 42, 44, 45, 39, 41], [47, 46, 53, 55, 51, 50, 54, 48, 49, 52, 60, 56, 59, 57, 58]]
59: [[35, 7, 11, 2, 1, 3, 4], [13, 5, 21, 6], [9, 8, 12, 30, 15, 14, 16, 18, 29, 20, 17, 23, 22, 19, 28, 27, 26, 24, 25, 31, 34, 32, 46, 37, 33, 38, 36, 42, 47, 39, 44, 45, 43, 10], [41, 40, 48, 50, 54, 49, 51, 52, 55, 53, 58, 57, 59, 56, 60]]
60: [[35, 7, 11, 2, 1, 3, 4], [13, 21, 5, 6], [8, 9, 10, 14, 31, 15, 20, 12, 26, 18, 19, 16, 17, 23, 24, 27, 25, 28, 22, 29, 30, 32, 33, 47, 39, 36, 37, 38, 41, 45, 34, 42, 44, 43], [40, 46, 48, 52, 50, 51, 60, 54, 53, 55, 49, 56, 57, 58, 59]]
61: [[35, 7, 11, 2, 1, 3, 4], [13, 21, 5, 6], [8, 9, 10, 14, 31, 15, 20, 12, 26, 18, 19, 16, 17, 23, 24, 27, 25, 28, 22, 29, 30, 32, 33, 47, 39, 36, 37, 38, 41, 45, 34, 42, 44, 43], [40, 46, 48, 52, 50, 51, 60, 54, 53, 55, 49, 56, 57, 58, 59]]
62: [[35, 7, 11, 2, 1, 3, 4], [13, 21, 5, 6], [8, 9, 10, 12, 15, 30, 24, 14, 16, 19, 20, 22, 18, 23, 17, 25, 26, 31, 27, 28, 29, 32, 33, 34, 37, 36, 38, 44, 41, 45, 42, 39, 43, 47], [46, 40, 49, 51, 50, 52, 48, 55, 58, 54, 53, 60, 56, 59, 57]]
63: [[35, 7, 11, 2, 1, 3, 4], [13, 21, 5, 6], [12, 9, 26, 10, 31, 8, 14, 22, 15, 16, 20, 19, 30, 23, 17, 25, 18, 24, 27, 28, 29, 32, 33, 47, 37, 34, 36, 39, 41, 46, 43, 38, 42, 44], [40, 48, 50, 45, 49, 53, 56, 52, 54, 55, 51, 59, 57, 58, 60]]
64: [[35, 7, 11, 2], [1, 3, 4, 13, 21, 5, 6], [12, 9, 10, 8, 31, 30, 16, 24, 14, 15, 22, 25, 27, 17, 19, 23, 20, 18, 26, 29, 28, 32, 33, 47, 37, 39, 34, 38, 44, 45, 46, 41, 43, 42], [40, 36, 48, 55, 50, 52, 49, 53, 51, 54, 57, 56, 59, 58, 60]]
65: [[35, 7, 11, 2, 1, 3, 4], [13, 21, 5, 6], [8, 9, 12, 24, 15, 14, 28, 19, 16, 10, 23, 17, 22, 31, 26, 27, 30, 25, 18, 20, 46, 33, 32, 34, 39, 37, 45, 42, 47, 29, 36, 41, 43, 38], [44, 40, 51, 56, 52, 48, 49, 53, 54, 55, 57, 59, 50, 58, 60]]
66: [[35, 7, 11, 2], [1, 3, 4, 13, 21, 5, 6], [9, 8, 30, 24, 15, 12, 14, 19, 20, 17, 16, 22, 23, 25, 18, 31, 27, 28, 29, 26, 58, 32, 33, 42, 34, 37, 38, 36, 47, 39, 41, 44, 43, 10], [40, 45, 48, 55, 52, 54, 49, 46, 53, 50, 51, 57, 59, 56, 60]]
67: [[35, 7, 11, 2, 1, 3, 4], [13, 21, 15, 6], [8, 9, 10, 30, 31, 5, 20, 26, 12, 14, 17, 22, 18, 16, 19, 24, 23, 27, 25, 28, 29, 32, 34, 44, 37, 33, 36, 39, 38, 41, 42, 46, 47, 40], [53, 45, 51, 43, 55, 50, 52, 48, 49, 54, 56, 58, 59, 57, 60]]
68: [[35, 7, 11, 2], [1, 3, 4, 13, 21, 5, 6], [9, 8, 14, 12, 27, 10, 24, 15, 19, 22, 16, 17, 18, 23, 26, 29, 20, 25, 30, 31, 28, 37, 33, 40, 34, 38, 39, 42, 36, 47, 45, 43, 46, 41], [44, 53, 51, 54, 32, 52, 49, 48, 56, 55, 57, 50, 59, 60, 58]]
69: [[35, 7, 11, 2], [1, 3, 4, 13, 21, 5, 6], [12, 9, 8, 10, 14, 24, 29, 20, 26, 27, 16, 19, 17, 15, 22, 23, 28, 18, 30, 25, 31, 37, 36, 49, 39, 38, 47, 32, 42, 33, 34, 40, 41, 46], [43, 44, 57, 54, 45, 50, 48, 53, 52, 55, 58, 56, 59, 51, 60]]
70: [[35, 7, 11, 2], [1, 3, 4, 13, 21, 5, 6], [10, 9, 8, 14, 12, 15, 20, 16, 18, 30, 17, 22, 24, 19, 23, 29, 27, 25, 31, 28, 57, 36, 26, 40, 39, 33, 34, 37, 38, 41, 46, 32, 42, 43], [44, 47, 53, 48, 50, 45, 51, 49, 54, 52, 55, 59, 56, 58, 60]]
71: [[35, 7, 11, 2, 1, 3, 4], [13, 21, 12, 6], [8, 9, 14, 20, 15, 5, 26, 31, 17, 10, 16, 30, 19, 22, 23, 18, 24, 25, 28, 27, 29, 37, 33, 43, 46, 32, 36, 40, 42, 39, 38, 47, 41, 45], [44, 34, 49, 50, 55, 51, 48, 52, 54, 53, 56, 57, 59, 58, 60]]
72: [[35, 7, 11, 2, 1, 3, 4], [13, 21, 12, 6], [8, 9, 10, 20, 5, 14, 18, 31, 22, 15, 16, 23, 19, 30, 17, 26, 24, 28, 25, 29, 27, 36, 33, 42, 39, 37, 32, 40, 34, 47, 38, 43, 41, 44], [60, 50, 51, 45, 46, 48, 49, 55, 53, 52, 57, 54, 56, 58, 59]]
73: [[35, 7, 11, 2, 1, 3, 4], [13, 21, 12, 6], [8, 9, 10, 24, 14, 5, 23, 15, 26, 27, 19, 16, 17, 30, 18, 20, 22, 28, 25, 29, 31, 32, 33, 38, 54, 34, 36, 45, 37, 47, 40, 46, 43, 42], [41, 44, 49, 51, 39, 50, 48, 52, 53, 55, 58, 56, 59, 57, 60]]
