0: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
13: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
14: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
15: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
16: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
17: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
18: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
19: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
20: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
21: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
22: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
23: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
24: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
25: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
26: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
27: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
28: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
29: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
30: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
31: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
32: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
33: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
34: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
35: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
36: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
37: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
38: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
39: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
40: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
41: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
42: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
43: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
44: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
45: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
46: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
47: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
48: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
49: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
50: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
51: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
52: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
53: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
54: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
55: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
56: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
57: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
58: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
59: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
