0: [[17, 4, 2, 9, 12, 6, 8, 7, 13, 16], [24, 3, 10, 15, 28, 19, 1, 5, 11, 14, 18], [22, 23, 29, 20, 25], [26, 21, 27]]
26: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
27: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
28: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
29: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
30: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
31: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
32: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
33: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
34: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
35: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
36: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
37: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
38: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
39: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
40: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
41: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
42: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
43: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
44: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
45: [[17, 4, 2, 7, 1, 9, 12, 6, 8, 11], [24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
46: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 14], [19, 22, 20, 23, 25, 29], [26, 21, 27]]
47: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 14], [19, 22, 20, 23, 25, 29], [26, 21, 27]]
48: [[17, 4, 2, 7, 1, 9, 12, 6], [8, 11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 14], [19, 22, 20, 23, 25, 29], [26, 21, 27]]
49: [[17, 4, 2, 7, 1, 9, 12, 6], [8, 11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 14], [19, 22, 20, 23, 25, 29], [26, 21, 27]]
50: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25], [29, 26, 21, 27]]
51: [[17, 4, 2, 7, 1, 9, 12, 6, 8, 11], [24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25], [29, 26, 21, 27]]
52: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 22, 14], [20, 23, 25, 29], [26, 21, 27]]
53: [[17, 4, 2, 7, 1, 9, 12, 6, 8, 11], [24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 22, 14], [20, 23, 25, 29], [26, 21, 27]]
54: [[17, 4, 2, 7, 1, 9, 12, 6, 8, 11], [24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 22, 14], [20, 23, 25, 29], [26, 21, 27]]
55: [[17, 4, 2, 7, 1, 9, 12, 6, 8, 11], [24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 22, 14], [20, 23, 25, 29], [26, 21, 27]]
56: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 14], [19, 22, 20, 23], [25, 29, 26, 21, 27]]
57: [[17, 4, 2, 7, 1, 9, 12, 6], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 8, 14], [19, 22, 20, 23], [25, 29, 26, 21, 27]]
58: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 13, 18, 28, 16, 19, 14, 15], [22, 20, 23, 25, 29, 26], [21, 27]]
59: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 13, 18, 28, 16, 19, 14, 15], [22, 20, 23, 25, 29, 26], [21, 27]]
