0: [[35, 7, 2], [3, 4, 11], [13, 5, 21, 6], [20, 8, 1, 14, 24, 15, 23, 9, 28, 17, 19, 16, 26, 27, 31, 12, 40, 60, 22, 25, 45, 30, 38, 32, 59, 33, 34, 46, 47, 41, 29, 37, 18, 10], [39, 36, 42, 50, 43, 55, 51, 44, 48, 52, 54, 53, 56], [57, 49], [58]]
11: [[35, 7, 2], [3, 4, 11], [13, 21, 1], [5, 12, 6], [9, 10, 8, 15, 24, 18, 14], [23, 28, 22, 16, 25, 20, 26, 17, 31, 27, 19], [29, 30, 33, 53, 43, 38, 50, 39, 34, 32, 44, 36, 40], [41, 37, 42, 45], [56, 51, 46, 47, 59], [48, 54, 49, 52, 55, 57, 58, 60]]
12: [[35, 7, 2], [3, 4, 11], [13, 21, 5, 1, 6], [8, 9, 10, 12, 31, 30, 25, 14, 15, 17, 16, 19, 18, 20, 22, 28, 23, 29, 26, 24], [27, 58, 33, 56, 36, 46, 45, 34, 38, 47, 39, 37], [41, 40, 42, 43, 44, 48, 57, 49, 32, 50], [55, 54, 52, 53, 51, 59, 60]]
13: [[35, 7, 2], [3, 4, 11], [13, 21], [5, 1], [6, 8, 10, 12, 16, 14, 9, 15, 18], [17], [30, 19, 20], [22, 24], [23, 31, 25, 27, 26, 28, 29, 38, 33, 36, 48, 46, 54, 32, 44, 34, 47, 37, 42], [39, 45, 40, 41, 43, 49, 55], [53, 50, 51, 52, 57, 56, 58, 59, 60]]
14: [[35, 7, 2], [3, 4, 11], [13, 21, 5, 1, 6, 12, 8, 14, 25, 24, 28, 20, 15, 19, 9, 16, 23, 10, 22, 18, 27], [26, 17, 31, 30, 29, 56, 36, 41, 32, 37, 47, 40, 43, 34, 42, 45, 33, 38, 39], [44, 46, 51, 49, 60, 50, 52, 54, 53, 48, 55, 57, 58, 59]]
15: [[35, 7, 2], [3, 4, 11, 13, 1, 5, 21, 6], [9, 8, 12, 14, 30, 18, 22, 25, 28, 19, 15, 17, 29, 20, 16, 27, 23, 24, 26, 48, 36, 49, 58, 38, 39, 31, 37, 40, 33, 34, 42, 44, 43, 45, 53, 51, 32, 55, 41, 10], [52, 56, 46, 47, 50, 54, 57, 59, 60]]
16: [[35, 7, 2], [3, 4, 11], [13, 9, 5, 21, 6], [14, 12, 8, 24, 15, 19, 1, 16, 10], [26, 25, 17, 22], [20, 27, 29, 28, 31, 30, 33, 51], [48, 32, 38, 36, 52, 34, 37, 23, 39, 41, 44, 43, 40, 47, 42, 45, 49, 46, 18], [50, 53, 54, 55, 56, 57, 58, 59, 60]]
17: [[35, 7, 2], [3, 4, 11], [13, 21], [1, 5, 30], [12, 6, 8, 24, 26, 25, 9, 23, 18, 10, 15, 19, 14, 16, 17, 31, 20, 22, 27, 29, 44, 59, 42, 54, 36, 39, 28, 32, 33, 37, 34, 40, 38, 41, 43, 47, 45, 46, 50, 48, 57], [53, 55, 56, 52, 58, 51, 60, 49]]
18: [[35, 7, 2], [3, 4, 11], [13, 21], [1, 5, 30], [12, 6, 8, 24, 26, 25, 9, 23, 18, 10, 15, 19, 14, 16, 17, 31, 20, 22, 27, 29, 44, 59, 42, 54, 36, 39, 28, 32, 33, 37, 34, 40, 38, 41, 43, 47, 45, 46, 50, 48, 57], [53, 55, 56, 52, 58, 51, 60, 49]]
19: [[35, 7, 2], [3, 4, 11], [13, 21, 5, 1, 6], [12, 14, 8, 26, 27, 17, 16, 9, 18], [10, 29, 30, 15], [20, 24, 28, 19, 22], [31, 23, 52, 25, 44, 33, 32, 34, 54, 55, 38, 37, 36, 45, 41, 43, 39, 47, 58, 40, 59, 48, 53, 42, 49, 50, 46, 57, 51, 56, 60]]
20: [[35, 7, 2], [3, 4, 11, 13, 21, 1, 5, 14, 8, 6], [9, 26, 31, 30, 28, 10, 19, 17, 25, 16, 12, 15, 18, 24, 20, 29, 22, 23, 27, 45, 33, 41, 32, 34, 37, 40, 42, 44, 36, 38, 46, 39, 43, 47, 51, 57, 53, 55, 48, 52, 54, 49, 50, 58, 56, 60, 59]]
21: [[35, 7, 2], [3, 4, 11], [13, 21, 5, 1, 20, 12, 9, 8, 6, 14, 15, 17, 10, 31, 25], [19, 30, 23, 22], [18, 26, 16, 24, 27, 56, 39], [48, 40, 57, 32, 28, 37, 29, 38, 42], [33, 34, 46, 36, 41, 43, 58, 44, 47, 49, 51, 54, 55, 52, 45, 50, 53, 59, 60]]
22: [[35, 7, 2], [3, 4, 11], [13, 21, 1, 5], [6, 14, 9, 10, 26, 24, 27, 8, 12, 18, 28, 19, 15, 16, 22, 31, 17, 30, 23, 20, 29, 33, 51, 25, 43, 32, 38, 34, 42, 36, 39, 47, 40, 44, 45, 41, 37, 46, 56, 50, 48, 49, 53, 54, 55, 57, 58, 59, 60, 52]]
23: [[35, 7, 2], [3, 4, 11], [13, 21, 5, 1], [6, 10, 8], [9, 12, 14], [28, 24, 16, 17, 29, 19, 15, 31, 20, 18, 27, 22, 26, 23, 59, 25, 32, 33, 43, 34, 37, 46, 45, 41, 30, 39, 40, 36, 42, 47, 44], [38, 49, 51, 55, 53, 56, 48, 57, 52], [54, 58, 60, 50]]
24: [[35, 7, 2], [3, 4, 11], [13, 21, 5, 1], [9, 6, 8, 10, 24, 15, 16, 17, 14, 25, 12, 18, 23, 27, 26, 22, 19, 28, 20, 29, 30, 31, 34, 33, 41, 40, 39, 44, 38, 42, 37, 32, 36, 47, 46, 52, 43, 50, 45, 58, 49], [51, 48, 53, 55, 56, 54, 57, 59, 60]]
25: [[35, 7, 2], [3, 4, 11], [13, 21], [5, 1], [6, 8, 9, 10], [25, 28, 12], [14, 18, 26, 27, 20, 15, 19, 16, 17, 22, 24, 23, 29, 30, 49, 34, 48, 36, 31, 37, 38, 33, 45, 39, 47, 32, 43, 40, 41, 44, 46, 42, 51, 55, 53, 50, 57, 52, 54, 58, 59, 56, 60]]
26: [[35, 7, 2], [3, 4, 11], [13, 21, 5, 1], [6, 10, 9, 8, 12, 14, 15, 17, 31], [22, 18, 23, 16, 19, 25, 20, 27, 24, 26, 28, 30, 29, 36, 48, 56], [32, 37, 44], [39, 40, 38, 41, 43, 33], [42, 58, 34, 45, 46, 54, 47, 57, 49, 50, 51, 52, 53, 55, 59, 60]]
27: [[35, 7, 2], [3, 4], [11, 13, 21], [5, 1, 14, 6, 9, 8, 24, 10, 25, 12, 16, 18, 26, 15, 19, 29, 20, 17, 31, 22, 23, 27, 28, 44, 51, 41, 30, 36, 38, 32, 34, 33, 37, 39, 40, 42, 46, 43, 47, 45, 52], [48, 58, 49, 55, 50, 59, 53, 54], [56, 60, 57]]
28: [[35, 7, 2], [3, 4, 11], [13, 21, 6], [1, 10, 8], [5, 9, 12, 14, 24, 30, 15, 19, 25, 20, 27, 26, 22], [16, 17, 18, 23, 28, 29, 31, 34, 50, 40, 38, 51, 39, 36, 33, 32, 37, 41, 45, 47, 43, 58, 42, 56, 44, 46, 48, 49, 55, 52, 53, 54, 57, 59, 60]]
29: [[35, 7, 2], [3, 4, 11], [13, 21, 5, 8], [6, 10, 1], [9, 15, 31, 16, 18, 23, 19], [17, 24, 26, 22, 20, 14, 56, 28, 25], [27, 29, 12, 54, 33, 57, 32, 43, 47, 42, 30, 34, 36, 38, 37, 45, 46, 39, 58, 50, 49, 40, 41, 44, 51, 53, 48, 60, 52, 55, 59]]
30: [[35, 7, 2], [3, 4, 11], [13, 21, 5, 1, 6, 12, 9, 14, 24, 26, 8, 29, 10, 17], [15, 19, 22, 16, 18, 20, 23, 25, 27, 31, 30, 28, 38, 36, 57, 39, 33, 34, 43, 37, 32, 40, 42, 41, 47, 45, 46, 44, 50, 49, 60, 51, 52, 54, 55, 48, 53, 58, 56, 59]]
31: [[35, 7, 2], [3, 4, 11], [13, 21, 5, 1, 6], [12, 10, 8, 14, 9, 16, 25, 24, 18], [15, 17, 22, 20], [23, 26, 19, 28, 27, 29, 30, 31, 32, 36, 38, 40, 41, 42, 45, 39, 50, 33, 46, 44, 37, 34, 43, 51, 47, 52, 49, 54, 53, 57, 58, 55, 48, 56, 59, 60]]
32: [[35, 7, 2], [3, 4], [11, 13, 21, 6, 8, 14], [1, 15, 10, 24, 5, 26, 22, 9, 16, 12, 19, 17, 18], [23, 20], [56, 25, 28, 27, 58, 53, 29, 33, 30, 31, 32], [46, 36, 41], [38, 45, 37, 43, 42, 40, 44], [47, 49, 57, 34, 52, 51, 48, 39, 54, 55, 50, 59, 60]]
33: [[35, 7, 2], [3, 4, 11], [13, 21, 1], [5, 9, 14, 8, 10, 24, 29, 12, 16], [15, 17, 19, 18, 28, 22, 6, 23, 25, 31, 20, 30, 26, 27, 32, 34, 41, 40, 39, 33, 36, 43, 45, 37, 38, 46, 42, 44, 47, 56, 57, 50, 51, 52, 48, 53, 49, 54, 55, 59, 58, 60]]
34: [[35, 7, 2], [3, 4, 11], [13, 21, 17], [5, 8, 6, 9, 10, 1, 12, 24, 18, 14, 23, 28, 22, 15, 25, 20, 16, 19, 26, 27, 30, 29, 31, 33, 48, 42, 38, 51, 39, 32, 34, 44, 36], [43, 41, 45, 40, 46, 58, 49, 47, 50, 55, 56, 54, 53], [52, 37, 57, 59, 60]]
35: [[35, 7, 2], [3, 4, 11], [13, 21, 1, 6, 22], [8, 5, 14], [30, 9, 23, 10, 18, 12, 15], [24, 16, 27, 25, 17, 19, 60, 20, 26, 29, 28, 38], [32, 31, 54, 33, 36, 42, 47, 45, 40, 37], [34, 41, 44, 39, 43, 46, 51, 48, 53, 49, 50, 52, 55], [58, 57, 59, 56]]
36: [[35, 7, 2], [3, 4, 11], [13, 5, 1, 14, 12, 9, 8, 24, 21, 6], [29, 30, 16, 31, 23, 15, 10], [20, 17, 26, 19, 22, 27, 25], [28, 40, 32, 43, 36, 52, 34, 44, 18], [33, 39, 46, 41, 37, 38, 42, 45, 47, 57, 56, 51], [48, 55, 50, 49, 54, 53, 59, 58, 60]]
37: [[35, 7, 2, 3], [4, 11, 13, 21, 6], [5, 1, 14, 12, 8, 24, 29, 9, 15, 19, 25, 23, 20, 17, 16, 22, 27, 28, 26, 30, 31, 57, 49, 34, 32, 46, 45], [36, 33, 38], [39, 37, 41, 42, 43, 40, 18, 10], [47, 51, 44, 48, 52, 54, 53, 59, 50, 55, 58, 56, 60]]
38: [[35, 7, 2], [3, 4, 11], [13, 21, 1, 5, 10, 6, 9, 12, 25], [29, 14, 16, 31, 18, 15, 23, 27, 17, 20], [19, 22, 26, 28, 30, 24, 53, 42, 32, 41], [8, 39, 33, 36, 34, 47, 38, 37, 43], [45, 44, 40, 59, 52, 51, 46, 50, 48, 49, 54, 55, 56, 57, 58, 60]]
39: [[35, 7, 2], [3, 4, 11, 13, 21, 6, 5, 10, 8, 1, 9, 12, 27], [24, 14, 15, 19, 17, 16, 26, 18, 23, 31, 50, 20, 30, 28, 29, 22, 25, 51, 40, 36, 47, 34, 37, 33, 32, 39, 38, 41, 42, 43, 45, 44, 49, 57, 46, 58, 48, 53, 52, 55, 60, 54, 59, 56]]
40: [[35, 7, 2], [3, 4, 11, 13, 21, 1, 5, 6, 8, 9, 14, 12, 30], [10, 20, 15, 29], [16, 18, 23, 17, 24, 22, 56, 19, 27, 26, 31, 25, 32, 28, 43], [34, 37, 33, 38], [39, 45, 36, 41, 42, 40, 44], [52, 59, 46, 47, 51, 48, 53, 50, 55, 49, 54, 57, 60, 58]]
41: [[35, 7, 2], [3, 4, 11, 13, 21, 1, 5, 6, 8, 9, 14, 12, 30], [10, 20, 15, 29], [16, 18, 23, 17, 24, 22, 56, 19, 27, 26, 31, 25, 32, 28, 43], [34, 37, 33, 38], [39, 45, 36, 41, 42, 40, 44], [52, 59, 46, 47, 51, 48, 53, 50, 55, 49, 54, 57, 60, 58]]
42: [[35, 7, 2], [3, 4, 11], [13, 21, 5], [1, 6, 14, 9, 8, 24], [12, 31, 25, 23, 10, 22, 15, 16, 17, 18, 20, 19, 27, 26, 29, 28], [30, 32, 36, 33, 34, 37, 38, 39, 41, 43, 45, 40, 44, 42, 59, 47, 46, 48, 54, 55, 49, 51, 50, 56, 52, 53, 57, 58, 60]]
43: [[35, 7, 2], [3, 4, 11], [13, 21, 1, 5, 6, 8, 9], [12, 14, 28, 31, 16], [10, 15, 17, 30, 19, 18, 20], [26, 22, 23, 29, 24, 25, 49, 42, 41], [59, 27, 47, 33, 32, 34, 38, 37, 36, 39, 43, 44, 40, 46, 45, 57, 52, 58, 54, 51, 48, 50, 53, 55, 56, 60]]
44: [[35, 7, 2], [3, 4, 11, 13, 21, 5, 1, 6, 10, 8, 15, 12, 14, 16, 25], [9, 31, 17, 18], [22, 19, 20, 23, 28, 24, 26], [27, 59, 33, 37, 40, 29, 32, 53, 47], [43, 38, 42, 30, 41, 44, 34, 36, 39, 58, 46, 48, 49, 51, 52, 50, 54, 45, 55], [56, 57, 60]]
45: [[35, 7, 2], [3, 4, 11], [13, 21, 5, 1, 22], [8, 12, 10, 9, 6], [14, 15, 18, 16, 17], [27, 23, 25, 24], [19, 20, 28, 29, 26, 30, 48], [38, 33, 58], [39, 40, 31], [37, 32, 60, 36, 42, 43, 45, 44, 47, 41], [34, 50, 54, 55, 51, 46, 52], [53, 57], [49], [56, 59]]
46: [[35, 7, 2], [3, 4, 11], [13, 21, 12, 5, 6, 8, 1, 15, 26, 10, 9, 17, 14, 31, 25], [27, 28, 22, 20], [16, 18, 19, 24, 23, 40, 55], [58, 29, 57, 33, 30], [45, 41, 38, 50, 34, 43, 32, 39, 36, 42, 44, 46, 47, 48, 52, 54, 53, 49, 37], [51, 56, 59, 60]]
47: [[35, 7, 2, 3], [4, 11, 13, 17, 21, 1, 14, 12], [10, 6, 8, 28, 25], [15, 16, 18, 9, 30, 5], [23, 19, 22, 24, 20, 31], [26, 29, 27, 32, 37, 58, 40, 39, 46, 33, 36, 34, 42, 38, 45, 43, 44, 47, 41, 51, 49, 60, 48, 55, 52, 50, 53, 54, 59, 56, 57]]
48: [[35, 7, 2, 3], [4, 11, 13, 21, 5, 1, 6, 12, 8, 10], [9, 24, 15, 14], [30, 19, 29], [17, 18, 23, 25], [27, 26, 31, 16, 20, 33, 28], [32, 56, 38, 36], [42, 41, 34, 43, 45, 22], [40, 44, 39, 46], [37, 47, 48], [51, 49, 57, 53, 50], [54, 55, 58, 59, 60, 52]]
49: [[35, 7, 2], [3, 4, 11], [13, 21, 5, 1], [6, 14, 9, 8, 29, 10, 30, 25, 31], [18, 27, 23, 24, 17, 12, 20, 15, 16, 26, 19, 22, 32, 36, 52, 28], [34, 37, 46, 47], [41, 38, 39], [43, 33, 42, 40, 45, 44, 48, 55, 51, 53, 49, 50, 54, 56, 57, 59, 58, 60]]
50: [[35, 7, 2], [3, 4, 11], [13, 5, 6, 1], [12, 10], [14, 9, 16, 8, 15, 23, 31, 27, 19, 18, 17, 21], [26, 24, 22, 20, 28, 29, 25, 30, 34, 45, 32, 36, 39, 33, 40, 37, 38, 41, 44, 42, 46, 55], [51, 47, 58, 52, 49, 43, 54, 53, 56, 50, 48, 59, 60, 57]]
51: [[35, 7, 2], [3, 4, 11, 13], [21, 1, 5, 6, 12], [14, 10, 24, 31, 9, 8, 22, 15, 20, 16], [19, 27, 17, 18, 26, 28, 25, 29, 23, 30, 59], [40, 54, 33], [36, 37, 44, 32, 38], [34, 42, 39, 41, 43, 45, 46], [57, 50, 47, 48, 51, 49, 52, 53, 55], [56, 58, 60]]
52: [[35, 7, 2], [3, 4, 11], [13, 21], [5, 1, 10, 12, 6, 8, 9, 15, 14], [17, 23, 16], [18, 24, 30], [19, 25, 20], [26, 27, 22, 28, 29, 31, 33, 34, 43, 38, 36, 46, 56, 42, 39, 47, 40, 45, 41, 44, 32, 50, 60, 51, 54, 48, 53, 37, 49, 58, 55, 52, 59, 57]]
53: [[35, 7, 2], [3, 4, 11], [13, 21, 5, 1, 6, 12, 8, 14, 27, 24, 28, 9, 15, 17, 10, 19, 22, 26, 20, 16, 18], [23, 25, 31, 30, 29, 56, 37, 57, 32, 33, 45, 44, 41, 34, 36, 38, 39, 47, 42], [40, 43, 46, 52], [50, 51, 53, 54, 55, 48, 58, 49, 59, 60]]
54: [[35, 7, 2], [3, 4], [11, 13, 21, 6], [5, 1, 30, 10], [8, 15, 19, 18], [24, 12, 26, 25, 14, 16, 27, 22, 29, 23, 20, 57, 31, 17, 9, 28, 34, 32, 33, 50, 36, 38], [39, 47, 42, 43, 37, 40, 41, 46, 45, 44, 48, 49, 51, 60, 54, 53, 52, 58, 55, 56, 59]]
55: [[35, 7, 2], [3, 4, 11], [13, 21, 17, 5, 14], [1, 6, 8, 9, 15, 16, 30], [10, 27, 24, 31], [23, 12, 20, 26, 19], [18, 25, 22, 28, 29, 32, 54, 34], [38, 53, 44, 39, 33, 46, 36, 40, 45, 37, 41, 42, 48, 50, 47, 43, 59, 49, 51, 52, 55, 56, 57, 58, 60]]
56: [[35, 7, 2], [3, 4, 11], [13, 21, 1], [5, 14, 12], [8, 10, 6, 15, 30, 16, 9, 19, 17, 26, 18, 23, 27, 22, 24, 28, 20, 25, 31, 29, 33, 37, 40, 52, 45, 38, 36, 32, 41, 34], [44, 43, 42, 47, 46, 50, 59, 49, 48, 55, 54, 53, 56], [57, 39, 51, 58, 60]]
57: [[35, 7, 2, 3], [4, 11, 13], [21, 5, 1, 14, 6, 9, 8], [10, 12, 30, 25, 20, 19, 28, 27, 23, 15, 31, 17, 58, 16, 18, 22, 37, 26, 53, 48, 56, 32, 39, 24, 36, 29, 43, 33, 41, 46, 42, 34, 45, 38, 50, 52, 40, 49, 44, 47, 54, 51, 59, 57, 55, 60]]
58: [[35, 7, 2], [3, 4, 11], [13, 21], [5, 1, 26, 6, 9, 8], [24, 14, 27, 25, 31, 20, 10, 12, 19, 30, 18, 17, 15], [16, 22], [23, 28, 37, 59, 34, 29, 36, 32, 38, 43, 33], [44, 39, 40, 45, 41, 46, 47, 53, 54, 49, 51, 57, 48, 50, 42, 55, 56, 58, 60, 52]]
59: [[35, 7, 2], [3, 4, 11, 13, 17, 1, 5, 6, 14, 9, 10, 25, 29, 18, 16, 12, 8, 30, 19, 22, 23, 20, 21, 27, 24, 26, 28, 31, 32, 36, 33, 39, 34, 37, 38, 15, 40, 41, 42, 43, 45, 44, 47, 49, 52, 46, 51], [55, 53, 57, 50, 56, 48, 54, 59, 58, 60]]
60: [[35, 7, 2], [3, 4, 11], [13, 21, 5], [1, 6, 14], [9, 10, 24, 8, 30, 12, 16, 15, 17, 22, 18, 19], [20, 25, 31, 23, 26, 28, 27, 29, 40, 36], [45, 32, 37, 47, 43, 33, 34, 39, 46, 38, 41, 44, 42, 49, 56, 51, 48, 50, 54, 55, 57, 53, 52, 59, 60, 58]]
61: [[35, 7, 2], [3, 4, 11], [13, 21, 5, 8], [14, 10, 1], [12, 6, 9, 15, 18, 17, 16, 22, 19, 29, 24, 25, 20, 56, 26, 28], [23, 27, 30], [31, 32, 33], [37, 36, 44, 40, 47, 38, 43], [41, 39, 42], [57, 45, 46, 55, 34, 48, 49, 51, 52], [54, 60, 53, 50, 58, 59]]
62: [[35, 7, 2, 3], [4, 11, 13, 21, 1, 5, 14, 12], [6, 8, 26, 9, 10, 25, 24, 18], [15, 17, 16, 22, 28, 20, 19, 23, 31], [27, 29, 48], [32, 34, 59, 30, 40, 46, 43, 39, 36, 38], [41, 45, 42], [44, 47], [51, 55, 52, 33], [37, 53, 50, 54], [56, 49, 57, 58, 60]]
63: [[35, 7, 2], [3, 4, 11], [13, 21, 5, 1, 14, 6, 9, 10, 24, 8, 29, 12, 16, 19, 20, 18, 17, 15, 23, 25, 26, 22, 27, 28, 39, 30, 37, 49, 40, 32, 47], [31, 33, 42], [44, 41, 43, 46, 45, 48, 50], [38, 34, 36, 51, 52, 53, 59, 54, 55, 58, 57, 60, 56]]
64: [[35, 7, 2], [3, 4, 11], [13, 21, 5, 1], [6, 12, 9, 10, 24, 14, 28, 8, 20, 16, 15], [18, 31, 23, 17], [22, 26, 19, 30, 29, 25, 27, 32], [33, 40, 41, 52], [34, 44, 36], [39, 38, 37, 45, 42, 43, 47, 46, 57, 56, 51, 54, 55, 48, 50, 49, 53], [59, 58, 60]]
65: [[35, 7, 2], [3, 4], [11, 13, 21], [5, 1, 14, 9, 8, 6, 10, 30, 28], [20, 15, 25], [17, 12, 16, 22, 26, 19, 24, 23, 27], [18, 29, 38, 39, 58, 53, 31, 33], [37, 32, 40, 42, 34, 44, 43, 45, 60, 51, 46, 55, 41, 47], [48, 52, 36, 54, 50, 49, 57, 59, 56]]
66: [[35, 7, 2], [3, 4, 11], [13, 21, 1], [5, 6, 8, 9, 10, 24, 15, 22, 31, 23], [19, 16, 25, 17, 12], [14, 18, 26, 27, 29, 20, 28, 30, 41, 33], [42, 32, 43], [45, 44, 34, 40, 36], [39, 46, 37, 38, 47, 51, 48, 50], [53, 56, 52, 54, 49, 55, 58, 59, 60, 57]]
67: [[35, 7, 2], [3, 4, 11, 13, 21, 5, 1, 22, 6, 9], [10, 26, 12], [28, 8, 30, 14, 15, 16, 19, 23, 18, 17, 57, 20, 31, 29, 24, 33], [36, 32, 42, 34, 37, 38, 27, 46, 25, 47, 39, 45, 40], [41, 43, 44, 48, 49], [50, 51, 52, 54, 53, 55, 58, 56, 59, 60]]
68: [[35, 7, 2, 3], [4, 11, 13], [21, 5, 1, 14, 6, 9, 10, 24, 12, 30, 16, 8, 17, 19, 18, 23, 15, 25, 26, 58], [20, 31, 27, 28, 22, 45, 49, 42, 32, 47, 33, 52, 29, 34, 36, 41, 46, 37, 38, 39, 54, 40, 60, 56, 43, 44, 48, 50, 51, 53, 57, 55, 59]]
69: [[35, 7, 2, 3, 4, 11], [13, 21, 5, 6, 22, 9, 1, 14, 8, 10, 30, 12, 16, 18, 31, 27, 15, 26, 17, 19, 56, 28, 25, 20, 29, 23, 36, 33, 24, 54, 58, 40, 47, 39, 41, 37, 43, 34, 45, 44, 38, 32, 42, 51, 46, 55, 48, 49], [52, 50, 57, 53, 59, 60]]
70: [[35, 7, 2], [3, 4, 11], [13, 21, 5], [1, 6, 12, 9, 10, 24], [31, 23], [30, 14, 19, 17], [8, 15, 20, 22, 18], [26, 27, 29, 16, 25, 28, 39, 33], [40, 34], [43, 45, 44], [32, 36, 37, 41, 42, 47, 38, 55, 46], [49, 51, 50], [48, 54, 53, 52, 58, 59, 56, 60, 57]]
71: [[35, 7, 2], [3, 4, 11, 13, 21, 1, 5], [8, 10, 9, 12, 14, 17, 16, 6, 15, 19, 18], [22, 27, 25, 20, 23, 51, 30, 24, 28, 29, 26, 57, 49], [42, 36, 39, 32], [33, 31, 40, 38, 34], [41, 43, 37, 45, 46, 50, 44, 47], [59, 48, 53, 52, 55, 54, 58, 60, 56]]
72: [[35, 7, 2], [3, 4, 11, 13, 21, 5, 1], [14, 6, 9], [8, 10, 12, 15, 16, 23, 17, 22, 18, 19], [20, 26, 28, 24, 25, 27, 31], [30, 29, 49, 33], [41, 36, 32, 45, 38, 37, 46, 34, 39, 42, 44, 47, 43], [59, 48, 52, 50, 40, 54, 51, 53, 55, 56, 57, 58, 60]]
73: [[35, 7, 2], [3, 4, 11, 13], [5, 21, 6, 14, 9, 10, 1, 16, 8, 12], [15, 19, 18, 23, 26, 17, 20], [24, 25, 22, 27, 28, 30, 29, 31, 54, 32, 34, 33, 37, 41, 40, 43, 42, 44, 36, 46, 38, 55, 45, 39, 47, 53, 59, 49, 50, 51, 57, 48, 52], [58, 60, 56]]
