0: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
11: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
12: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
13: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
14: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
15: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
16: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
17: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
18: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
19: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
20: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
21: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
22: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
23: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
24: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
25: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
26: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
27: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
28: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
29: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
30: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
31: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
32: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
33: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
34: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
35: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
36: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
37: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
38: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
39: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
40: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
41: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
42: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
43: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
44: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
45: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
46: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
47: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
48: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
49: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
50: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
51: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
52: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
53: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
54: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
55: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
56: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
57: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
58: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
59: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
