0: [[59, 7, 35, 2, 1], [3, 4], [13, 5, 21, 6], [14, 11, 27], [8, 9, 12, 31, 26, 19, 15, 22, 24, 16, 17, 20, 23, 25, 28, 52, 29, 34, 33, 46, 45, 38, 47, 36, 41, 30, 39, 42, 37, 32, 40, 56, 44, 43, 48, 51, 50, 53, 54, 58, 18, 10], [55, 49, 57, 60]]
14: [[59, 7, 35, 2], [1, 3, 4], [13, 5, 22, 6, 21], [8, 9], [12, 11], [14, 31, 15, 16, 17, 18], [19, 27, 26, 30, 20], [29, 23, 24, 25, 10], [28, 36, 37, 34, 38], [33, 46, 42, 43], [47, 40, 32, 49], [44, 55], [41, 45, 52, 51, 48, 39], [56, 54, 50, 57, 53, 58, 60]]
15: [[59, 7, 35, 2, 1], [3, 4, 13, 5, 21, 6, 14], [10, 9, 12, 8, 11, 24, 15, 20, 16, 18], [22, 19, 17, 28, 26, 23, 25, 27, 29, 30], [31, 53, 36, 33, 32, 37, 48], [34, 40, 43, 39, 42, 38, 45, 47, 46, 44, 54, 41, 55, 49, 50, 60, 51], [52, 57, 56, 58]]
16: [[59, 7, 35, 2, 1, 3, 4], [13, 21, 5, 14, 9, 26, 6], [11, 10, 27, 28, 8, 20, 31, 19, 12, 18, 17, 15, 16, 23, 24, 25, 29, 22, 30, 38, 36, 34, 37, 32, 57, 33, 40, 43, 45, 44], [46, 39, 51, 50, 47, 41, 42], [53, 52, 49, 48, 54, 55, 58], [56, 60]]
17: [[59, 7, 35, 2, 1, 3, 4, 13, 21], [9, 5, 6, 16, 8, 11, 14, 10, 15, 12, 18, 17, 31], [19, 22, 20, 25, 24, 26, 28, 27, 23, 29, 30, 38, 33, 48, 39, 32], [54, 41, 34, 44], [37, 40, 36], [43, 42, 45, 58, 51, 46, 47], [53, 55, 50, 49, 52, 57, 56, 60]]
18: [[59, 7, 35, 2, 1], [3, 4, 13, 5, 9, 14, 6, 15, 10, 8, 29, 12, 11, 26, 16, 19, 18, 17, 23, 20, 21, 22, 24, 25, 27, 28, 30, 38, 47, 32, 48, 34, 31, 41, 33, 39, 37, 36, 40, 42, 46, 45], [43, 52, 44, 54, 51, 50, 55, 53, 57, 49, 58, 56, 60]]
19: [[59, 7, 35, 2], [1, 3, 4], [13, 21, 5, 14, 9], [27, 10, 6, 25, 12, 8], [11, 31, 19, 20, 23], [15, 16, 26], [17, 22, 24, 28], [18, 30, 56, 29, 37, 38, 33], [39, 32, 40, 44, 42], [34, 36, 41, 43, 47, 45, 46, 48, 49, 50, 51, 55, 52, 53, 54, 57, 58, 60]]
20: [[59, 7, 35, 2], [1, 3, 4], [13, 21, 5, 14, 9], [27, 10, 6, 25, 12, 8], [11, 31, 19, 20, 23], [15, 16, 26], [17, 22, 24, 28], [18, 30, 56, 29, 37, 38, 33], [39, 32, 40, 44, 42], [34, 36, 41, 43, 47, 45, 46, 48, 49, 50, 51, 55, 52, 53, 54, 57, 58, 60]]
21: [[59, 7, 35, 2, 1], [3, 4, 13, 21, 5, 6, 10, 24, 9, 12], [27, 11, 23, 14, 8, 29, 15, 17, 16, 26], [18, 25, 19, 20, 22, 28, 31], [30, 33, 37, 38], [34, 51], [39, 36, 44, 40, 54, 32, 43], [41, 45, 53, 42, 60, 46, 48], [55, 47, 49, 57, 50, 52, 56, 58]]
22: [[59, 7, 35, 2, 1], [3, 4, 13, 5, 21, 6], [15, 10], [17, 8, 9, 11, 14], [22, 12, 18, 19, 20, 16, 28, 23, 24, 25, 26, 30, 29, 27, 31, 55, 40, 36, 32, 33, 34, 39, 42, 38, 44, 46, 37, 41, 43, 56, 45, 49, 57, 48, 47, 50, 51, 52, 53, 54, 58, 60]]
23: [[59, 7, 35, 2, 1, 3, 4], [13, 21, 5, 6, 8, 9, 12, 14, 11, 10, 28, 15, 18, 20, 26, 27, 16, 17, 19], [22, 23, 24, 25, 30, 29, 31, 52, 32, 50, 37, 33, 42, 34, 41, 36, 47, 44], [46, 38, 54, 39, 40, 55, 48], [45, 43, 49, 51, 57, 56, 53, 58, 60]]
24: [[59, 7, 35, 2, 1], [3, 4, 13, 21, 6, 5], [14], [17, 8, 24], [12, 9, 15, 10, 11, 16, 22], [20, 18, 28, 25, 19, 26, 23, 54, 29, 27, 30, 38, 33, 34, 45, 32, 44, 52, 43, 41, 37, 31, 36, 39, 40, 42, 46, 49, 47, 51, 55, 48, 50, 53, 57, 58, 60, 56]]
25: [[59, 7, 35, 2, 1], [3, 4], [13, 21, 5], [6, 9, 11, 15], [27, 8, 10, 12, 14, 28, 18], [16, 17, 20, 22, 23, 19, 24, 25, 26, 30], [31, 29, 46, 44, 34, 32, 37], [48, 39, 33, 43, 36, 47, 38, 40, 56, 45, 41, 54, 42, 51, 53, 49, 52, 50, 55, 57, 60, 58]]
26: [[59, 7, 35, 2], [1, 3, 4], [13, 5, 8, 6, 14, 10, 9, 11, 15, 12, 31, 26, 25, 16, 17, 27, 20, 22, 18, 30, 19, 21, 24, 23, 29, 28, 38, 43, 41, 32, 46, 33, 52, 37, 34, 36, 39, 47, 44, 45, 48, 60], [42, 50, 55, 51, 40, 53, 54, 56, 49, 58, 57]]
27: [[59, 7, 35, 2, 1], [3, 4, 13, 21, 5, 14, 8, 10, 6], [9, 23, 11, 12, 15, 17, 22, 18, 20], [26, 16, 19, 31, 27], [30, 24, 28, 46, 25, 36, 29, 40, 33, 37, 32], [38, 47, 41, 39, 42, 44, 43, 45, 48], [52, 53, 51, 50, 34, 55, 49, 54, 57, 56, 58, 60]]
28: [[59, 7, 35, 2, 1], [3, 4], [13, 5, 14, 21, 6], [8, 9, 11, 16, 12, 31], [27, 19, 28, 23, 17], [22, 15, 18, 10], [26, 20], [30, 24, 25], [29, 38, 41, 39, 47, 34, 33, 37, 36, 46, 40, 32, 43, 42, 45, 44, 48, 50, 58, 51, 52, 53, 49, 54, 55, 57, 56, 60]]
29: [[59, 7, 35, 2, 1], [3, 4, 13, 21, 5, 6], [8, 9, 10, 11, 12, 15, 31, 14, 24, 27, 22, 16, 20], [17, 18, 30, 19, 23, 25, 29, 26], [28, 46, 32, 42, 33, 34, 45, 36, 40, 44, 38, 39], [43, 37], [41, 47, 51, 48, 49, 53, 54, 50, 57, 52, 55, 58, 56, 60]]
30: [[59, 7, 35, 2, 1], [3, 4, 13, 21, 5, 6, 12, 27, 9, 8], [10, 11, 24, 14, 28, 15, 18, 19, 20, 16, 22, 25, 26, 17, 31, 23, 29, 30, 46, 32, 43, 39, 36, 40, 33, 37, 38, 34, 42, 41, 45, 44, 47, 48, 49, 52, 51, 54, 50, 53, 56, 55, 57, 58, 60]]
31: [[59, 7, 35, 2, 1], [3, 4], [13, 20, 5, 9, 8], [18, 10, 25, 15], [11, 31, 17, 12, 27, 14], [16, 6, 21, 23], [28, 22, 19, 24, 26, 30, 29, 46, 33, 38, 34, 44, 50, 36, 32, 41, 55], [37, 39, 45, 40], [43, 42, 47, 51], [49, 53, 54, 52, 57, 48, 58, 56, 60]]
32: [[59, 7, 35, 2, 1], [3, 4], [13, 21, 5, 6, 10], [19, 8, 11, 9, 15], [14, 12, 26, 24, 16, 17, 18, 28, 23], [20, 22], [25, 31, 29, 30, 52, 46, 32, 50, 34, 27, 58, 37, 33, 41, 38, 44, 36, 39, 40, 47, 42, 48, 43, 51, 55, 49, 45, 53, 56, 57, 54, 60]]
33: [[59, 7, 35, 2, 1, 3, 4], [13, 21, 5, 14, 12, 27, 11], [10, 15, 6, 24], [26, 17, 8], [9, 31, 23, 22, 16, 18, 19, 20, 25, 28, 29, 30, 34, 47, 39, 33, 40, 54, 52, 32, 37, 46, 41, 38, 44, 45, 43, 53], [36, 42, 49, 50, 55, 57, 51], [58, 56, 48, 60]]
34: [[59, 7, 35, 2], [1, 3], [4, 13, 21, 9], [5, 6, 18, 8, 10, 15, 11, 14, 12, 25, 17, 30, 16], [19, 20, 23, 26, 22, 24, 27, 28, 29, 31, 38, 37, 49, 34, 43, 32], [40, 39, 33, 41], [42, 44, 45], [46, 47, 58, 51, 50, 36, 53], [55, 52, 48, 56, 57, 54, 60]]
35: [[59, 7, 35, 2, 1], [3, 4], [13, 21, 5], [6, 9], [27, 11, 8, 15, 14, 10, 12, 18, 20, 16, 28, 19, 17, 22, 30, 23, 25, 24, 26, 29, 36, 38], [52, 34], [39, 33, 46, 40, 41, 31, 48, 42, 32, 43, 47, 45, 37, 44, 51, 49, 50, 54, 55, 56, 57, 53, 58, 60]]
36: [[59, 7, 35, 2, 1], [3, 4, 13, 21, 5, 8, 6, 27], [11, 10, 15, 9], [14, 12, 24], [16, 31, 18, 17], [22, 25, 26, 30, 20], [19, 23, 28], [47, 53, 60, 38, 42], [41, 36, 48, 29, 33], [32, 40, 54, 34, 37, 39, 56, 50, 44], [46], [45, 43, 52, 49, 51, 57, 55, 58]]
37: [[59, 7, 35, 2], [1, 3, 4], [13, 5, 12, 6, 14, 11, 27, 8, 9, 10, 31, 18, 19, 15, 16, 17, 21, 20, 26, 23, 25, 24, 29, 28, 30, 57, 40, 36, 54, 47, 32, 41, 33, 39, 37, 34, 38, 44, 46, 45, 43, 51], [55, 50, 49, 48], [52, 22, 42, 53, 56, 58, 60]]
38: [[59, 7, 35, 2, 1, 3, 4], [13, 21, 5, 14, 8, 10, 6, 9], [11, 16, 15, 12, 24, 17, 23, 20, 18, 25, 19, 26, 22, 56, 27, 30, 28, 29], [38, 31, 33, 37, 32, 41, 34], [40, 36, 42, 44, 47, 43, 45], [46, 39, 51, 48, 53, 49, 54, 52, 57, 50, 55, 58, 60]]
39: [[59, 7], [35, 2, 1, 3, 4], [13, 21, 5, 6], [14, 22, 12, 26, 11, 31, 15], [24, 8, 25, 23], [16, 9, 18, 19, 17, 20, 29, 30, 27], [28, 10, 38, 36, 34, 32, 33, 50, 37], [39, 42, 54, 41, 44, 43, 40, 45, 58, 48, 46, 52, 51, 53, 47], [49, 55, 56, 57, 60]]
40: [[59, 7, 35, 2, 1], [3, 4], [13, 21, 5, 14, 6, 8, 10, 9, 12, 11, 31, 24, 16, 27, 17, 30, 26, 18, 25, 22, 15, 19, 20, 23, 29, 28, 38, 36, 32, 39, 33], [34, 37, 46, 40, 42, 43, 44, 41, 47, 45, 48, 58, 49, 53, 51, 55, 57, 50, 56, 54, 52, 60]]
41: [[59, 7, 35, 2], [1, 3, 4, 13], [21, 5, 6, 9, 24, 10, 8, 11, 27, 28, 14, 12], [15, 18, 17, 19, 23, 16, 22, 20, 26, 25, 29, 30, 31, 36, 33, 32, 37, 53, 42, 38, 34, 40, 41, 39, 43, 47, 44, 45, 55, 50, 51, 48, 46, 54, 57, 49, 52], [56, 60, 58]]
42: [[59, 7, 35, 2, 1, 3, 4], [13, 21, 5, 6, 12, 11, 15], [9, 18, 8, 14, 10, 16, 31, 19, 17, 22, 20, 23, 24, 30, 28, 29, 25, 26, 27, 33, 32, 36, 42, 37, 54, 38, 41, 45, 44, 40, 39, 34, 43, 47, 60, 46, 49], [55, 50, 51, 48, 52], [53, 57, 58, 56]]
43: [[59, 7, 35, 2], [1], [3, 4, 13, 21, 6, 5, 9, 24, 8, 25, 12, 10, 11, 29, 16, 30, 14, 26, 20, 27, 31, 18, 15, 23, 56, 17, 19, 22, 46, 57, 38, 40, 28, 48, 37, 39, 32, 33, 34, 43, 36, 41, 47, 60, 51], [42, 44, 55, 49, 45, 50, 52, 54, 58, 53]]
44: [[59, 7, 35, 2, 1], [3, 4, 13, 21, 5, 6, 9, 8, 11, 10, 12, 15, 29, 14, 24, 23, 18, 17, 16, 26, 30, 22, 19, 20, 25, 28, 27, 31, 38, 33, 42, 32, 37, 57, 44, 34], [40, 46, 36, 39, 43, 41, 45, 51, 50, 47, 49, 54, 48, 53, 52, 55, 60, 56, 58]]
45: [[59, 7, 35, 2], [1, 3, 4, 13], [20, 22, 5, 14], [15, 6, 9, 21, 8], [31, 11, 12, 24, 10, 16, 17, 19, 18, 23, 25, 27, 29, 30, 28, 26, 47, 32, 33, 48, 39, 56, 36, 44, 45, 37, 41, 38, 40, 43, 34, 42, 46, 50, 49, 52, 53, 58, 51, 54, 57, 55, 60]]
46: [[59, 7, 35, 2, 1, 3, 4], [13, 21, 6, 5], [8, 27], [9, 12, 10, 11], [31, 19, 25, 14], [16, 15, 22, 17, 18, 20], [29, 23, 26, 24, 28, 30, 38, 32, 36, 34, 51, 39, 40, 46, 44, 37, 33, 41, 43, 45, 54, 42, 48, 47, 52, 53, 49, 50, 57, 58, 55, 56, 60]]
47: [[59, 7, 35, 2, 1, 3], [4, 13, 21, 5, 6, 9, 26, 8, 11, 10, 15, 31, 14, 24, 12, 22, 23, 18, 16, 17, 20, 19, 27, 25, 36, 28, 44, 29, 52, 30, 33, 37, 32, 40, 38, 47, 34, 41, 39, 43, 51, 42, 46, 45, 54, 48, 53, 57], [49, 50, 60, 55, 58, 56]]
48: [[59, 7, 35, 2, 1, 3, 4], [13, 5], [21, 14, 6, 24, 11], [8, 12, 9, 16, 15, 20, 10], [19, 22, 23, 18, 27, 28, 17, 26, 25, 29, 30, 31, 58, 36, 38, 32, 37, 54, 34, 33, 41, 46, 40, 39, 42, 45, 43, 44, 53, 47, 49, 50], [55, 57, 51, 52, 60, 48, 56]]
49: [[59, 7, 35, 2, 1, 3], [4, 13, 21, 5, 14, 10, 27, 9, 11, 6, 8, 31, 12, 26, 15, 22, 23, 18, 16, 17, 28, 25, 19, 20, 52, 24, 29, 53, 30, 34, 37, 33, 32, 41, 38, 45, 40, 43, 39, 42, 44, 47, 58, 36, 54, 49, 46, 48], [50, 60, 56, 51, 55, 57]]
50: [[59, 7, 35, 2, 1, 3, 4, 13, 21, 6, 5, 9, 24, 15], [8, 10, 11, 12, 16, 20, 25, 18, 14, 22, 17, 19, 31, 26, 23, 29, 27, 28, 60, 46, 40, 34, 30, 37, 36, 32, 45, 39, 33, 42, 43, 47], [41, 44, 56, 50, 38, 48, 55, 53, 51, 54, 52, 49, 58, 57]]
51: [[59, 7, 35, 2, 1, 3, 4, 13, 21, 8, 6, 25, 5, 10, 12, 15, 9, 14, 16, 17, 18, 19, 26, 22, 24, 23, 28, 29, 27, 20, 56, 11, 30], [31, 33, 34, 32, 46, 36, 47, 41], [44, 45, 38, 37, 39, 42, 43, 40, 51, 50], [49, 53, 48, 57, 55, 54, 52, 58, 60]]
52: [[59, 7, 35, 2], [1, 3, 4, 13, 23, 5, 6], [12, 24, 9, 8], [10, 15, 26, 17, 14, 22, 18, 19, 16], [11, 30, 21, 20, 29, 28, 27, 25, 31], [46, 32, 36, 58, 33, 34, 37, 39, 43, 42, 38, 41, 45, 40, 47], [57, 48, 49, 44, 51, 53, 52, 50, 54, 55, 56, 60]]
53: [[59, 7, 35, 2, 1, 3, 4, 13, 21, 6, 14, 8, 11, 5, 9, 12], [15, 10, 22, 20, 17, 16, 28, 24, 18, 19, 31, 25, 23, 26, 30, 29, 27, 46, 33, 44, 39, 32, 41, 34, 37, 36, 38, 42, 40], [43, 47, 45, 55, 54, 49, 52, 51, 48, 50, 53, 56, 57, 58, 60]]
54: [[59, 7, 35, 2, 1], [3, 4, 13, 21], [15, 6, 14, 24, 9, 12, 10, 11, 31], [8, 5, 17, 19, 16, 20, 18, 23, 27, 22], [25, 26, 28, 29, 30, 44], [41, 39, 34, 36, 46, 40, 37, 33], [47, 43, 38, 42], [45, 49, 56, 54, 52, 32, 50], [51, 53, 48, 60, 55, 57, 58]]
55: [[59, 7, 35, 2, 1], [3, 4], [13, 21, 5, 6, 10, 25, 14, 16, 11, 29, 8, 27, 26, 17, 9, 12, 22, 15], [18, 19], [20, 30, 28, 23, 24, 31, 44, 33, 34, 32, 36, 37, 38, 43, 47, 41, 39, 40, 42, 45, 46, 52, 48, 57, 53, 49, 50, 51, 54, 60, 55, 58, 56]]
56: [[59, 7, 35, 2, 1, 3, 4], [13, 21, 9], [6, 12, 16, 8, 11, 14, 10], [15, 18, 25, 28, 23, 19, 26, 20, 17, 24, 22, 30, 27, 31, 29, 44, 36, 5, 53, 34, 33, 51, 38, 42, 32, 40, 46, 37, 39, 41, 47, 43, 49, 45, 48, 50, 55, 52, 54, 56, 57, 58, 60]]
57: [[59, 7, 35, 2, 1], [3, 4, 13, 21], [6, 12, 14, 27], [5, 8, 11, 9, 31, 10, 18, 15, 16, 22, 20, 17], [19, 26, 25, 23, 24, 28, 29, 30, 38, 36, 43, 39, 33, 32, 34, 44, 37, 40, 42, 45, 46, 41, 47, 51, 52, 54, 49, 48, 55, 53, 60, 56, 50, 57, 58]]
58: [[59, 7, 35, 2, 1, 3, 4, 13, 21, 5, 6, 9], [24, 11, 8, 12, 15, 29, 16, 20, 10, 23, 28, 22, 18, 27, 25, 17, 26, 19, 31, 30, 47, 32, 52, 14, 45, 36, 38, 33, 41, 34, 37], [39, 40, 44, 48, 43, 42, 53, 46, 55, 54, 50, 49, 51, 60, 56, 58, 57]]
59: [[59, 7, 35, 2, 1, 3, 4, 13, 21, 5, 6, 9, 18, 11, 8, 14, 15, 31], [22, 30, 29, 16, 19, 10, 20, 23, 12, 27, 17, 25, 26, 24, 28, 38, 33, 34, 40, 32, 36, 42, 37, 45, 46, 47, 41, 39], [43, 48, 44, 60, 52, 49, 55, 51, 57, 50, 53, 54, 58, 56]]
60: [[59, 7, 35, 2, 1], [3, 4, 13, 21], [9, 5, 6, 16], [10, 14, 8, 27, 30, 11, 25, 12, 15, 17], [19, 20, 24, 18, 22, 23, 29, 28, 26, 31, 39, 34, 36, 38, 48, 50, 32, 45, 33, 37, 46, 40, 43, 41, 47, 42, 49, 44, 56, 52, 53, 54, 51, 55, 57, 58, 60]]
61: [[59, 7, 35, 2, 1, 3], [4, 13, 21, 5, 6, 10, 27, 9], [11, 8, 19, 31, 14, 12], [15, 22, 17], [20, 18, 16, 28, 25, 23, 52, 24], [30, 26, 38, 29, 41, 39, 33, 36, 34, 32, 37, 42], [40, 45, 43, 47], [44, 51, 48, 46, 50, 54, 49, 55, 57, 53, 60, 58, 56]]
62: [[59, 7, 35, 2, 1], [3, 4], [13, 21, 5, 6, 12, 26, 9], [8, 11, 15, 10, 22, 20, 18], [19, 28], [24, 14, 16, 25, 27, 23, 29, 31, 17, 30, 46, 48, 58, 38], [41, 32, 33, 45], [37, 34, 40, 36, 43, 39, 42, 44, 47, 51, 50, 49], [54, 52, 53, 56, 55, 57, 60]]
63: [[59, 7, 35, 2], [1, 3, 4], [13, 5], [6, 14, 12, 27, 9, 8, 11], [10, 15, 16, 17, 18, 31, 19, 21], [20, 26, 22, 23, 24, 25, 28], [30, 29, 40, 36], [51, 38, 32, 33, 34, 39, 37, 42, 41, 44, 47, 45, 43, 46, 54, 50, 49, 48], [52, 53, 55, 56, 57, 58, 60]]
64: [[59, 7, 35, 2], [1, 3, 4, 13, 16, 5, 10, 12, 27, 8, 6, 15, 18, 11, 29, 9, 14, 17, 20], [31, 21, 22, 23, 25, 24, 19, 26, 42, 30, 38, 58, 36, 32, 41, 37, 28, 34, 39, 40], [46, 33, 44, 43, 45, 47, 60, 48, 51, 52, 49, 50, 55, 54, 53, 56, 57]]
65: [[59, 7, 35, 2, 1], [3, 4, 13, 21, 5, 22, 11], [8, 6, 9, 14, 28, 31, 12], [10, 19, 17, 15, 16, 23, 18, 25, 20], [26], [24, 27, 29, 30], [47, 36, 32, 38], [50, 34, 37, 40, 33, 39, 42], [43, 41, 44], [45, 46, 48, 49, 55, 51, 52, 53, 54, 57, 60, 56, 58]]
66: [[59, 7, 35, 2], [1, 3, 4], [13, 21, 5, 6, 12, 11], [10, 8, 14, 9], [29, 15, 28, 16, 18, 17, 24], [30, 22, 19, 20, 23, 25, 27], [26, 31, 46, 33, 34], [32, 36, 57, 40], [37, 39, 53, 45, 38, 41], [47], [42, 43, 56, 44, 48, 49], [50, 52, 54, 51, 55, 58, 60]]
67: [[59, 7, 35, 2, 1], [3, 4, 13, 5], [14, 6, 15, 31, 9, 8, 11, 12, 30, 17, 26, 10, 21, 18, 16, 29, 22, 19, 23], [24, 56, 20, 28, 34], [36, 25, 33, 27], [50, 32, 39, 37, 38, 42], [40, 46, 47, 41, 43, 44, 57, 51, 45, 49, 52, 54, 55, 48, 53, 58, 60]]
68: [[59, 7, 35, 2, 1], [3, 4, 13, 5, 14], [6, 8], [10, 12], [9, 15], [16, 31, 18, 27, 26, 17, 19, 22, 11, 21, 20, 30, 24, 28, 23], [25, 29, 46, 32, 37, 33, 40, 34, 36, 42, 41, 39, 45], [44, 43, 47, 38], [48, 56, 50, 49, 54, 53, 52, 51, 57, 58, 55, 60]]
69: [[59, 7, 35, 2], [1, 3, 4, 13, 21, 5, 12, 6, 25, 24, 9, 11, 8, 26, 10, 29, 14, 16, 28, 22, 19, 15, 17, 20, 18, 30, 27, 23, 32, 47, 33, 42, 31, 36, 52], [34, 38], [41, 37, 39, 43, 45, 44, 40, 46, 54, 50, 51, 49, 55, 53, 56, 60, 48, 58], [57]]
70: [[59, 7, 35, 2, 1, 3, 4], [13, 21, 5, 6, 8, 25, 14, 9, 12, 15], [31, 10, 28, 11, 20, 16, 22, 17], [23, 30, 27, 18, 26, 19], [24, 29, 46, 40, 34, 33, 37], [36, 39, 38, 42, 32, 47, 41, 44], [43, 45, 48, 52, 60, 53, 49, 51, 57, 50, 54, 55], [56, 58]]
71: [[59, 7, 35, 2, 1], [3, 4, 13, 21, 23, 5, 6, 16], [8, 11, 9, 10], [15, 30, 12, 14, 18, 19, 17, 24, 25, 26, 20, 28, 27], [22, 29, 45, 53, 44, 32, 34, 43, 31, 37, 42, 33, 39, 38, 41, 40], [46, 47, 57, 51], [48, 36, 60], [54, 52, 49, 50, 55, 56, 58]]
72: [[59, 7, 35, 2, 1], [3, 4], [13, 21, 5, 6, 15], [11, 9, 8, 14], [10, 28, 12, 16, 26, 19, 17, 18], [20, 22, 24, 30], [27, 23, 29, 25, 31, 52, 40, 33, 32], [37, 54, 34, 44, 43, 38, 39], [36, 42, 45, 41, 46, 53, 47, 51, 49], [50, 55, 57, 48, 58, 60, 56]]
73: [[59, 7, 35, 2, 1], [3, 4, 13, 21], [5, 6, 9, 26], [11, 8, 10, 15, 31, 23, 16, 14, 25, 22, 20, 17], [19, 18, 27, 28, 24, 12, 29, 30, 38, 36, 42, 40, 37, 32, 41, 44, 39, 34, 43, 45, 47, 33, 46, 49, 52, 54, 48, 55, 58, 53, 50, 60, 51, 57, 56]]
