0: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8, 15], [11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
33: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8, 15, 11], [17, 20, 16, 18], [19, 22], [21, 23, 24]]
34: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13], [6, 9, 8, 15], [11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
35: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13], [6, 9, 8, 15], [11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
36: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13], [6, 9, 8, 15], [11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
37: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13], [6, 9, 8, 15], [11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
38: [[2, 3, 10], [1, 12, 4, 5, 13, 6, 9, 14], [8, 15, 11, 7], [17, 20, 16, 18], [19, 22], [21, 23, 24]]
39: [[2, 3, 10], [1, 12, 4, 5, 13, 6, 9, 14], [8, 15, 11, 7], [17, 20, 16, 18], [19, 22], [21, 23, 24]]
40: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8], [15, 11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
41: [[2, 10], [3, 1, 12, 4, 5, 13], [6, 9, 8, 15, 14], [11, 17, 20, 16, 18, 7], [19, 22], [21, 23, 24]]
42: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8, 15], [11, 17, 20, 16], [18, 19], [22, 21, 23, 24]]
43: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8, 15, 11], [17, 20, 16], [18, 19], [22, 21, 23, 24]]
44: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8], [15, 11, 17, 20, 16], [18, 19], [22, 21, 23, 24]]
45: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8, 15, 11], [17, 20, 16, 18, 19], [22, 21], [23, 24]]
46: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6, 9], [8, 15, 11], [17, 20, 16, 18, 19], [22, 21], [23, 24]]
47: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13], [6, 9, 8], [15, 11, 17, 20, 16], [18, 19], [22, 21, 23, 24]]
48: [[2, 3, 10], [1, 12, 4, 5, 13, 6, 9, 14], [8, 15, 11, 7], [17, 20, 16, 18, 19], [22, 21], [23, 24]]
49: [[2, 3, 10], [1, 12, 4, 5, 13, 6, 9, 14], [8, 15, 11, 7], [17, 20, 16, 18, 19], [22, 21], [23, 24]]
