0: [[20, 12, 2, 7], [17, 9, 4], [5, 1, 35, 27, 11], [22, 3], [6, 10, 29, 36], [8, 14, 15, 13], [18, 24], [16, 19, 23, 21], [28, 25, 26], [30, 31, 34, 32, 33], [37]]
11: [[20, 12, 2], [7, 17, 9], [4, 5], [1, 35, 27], [11, 22, 3], [6, 10, 29], [36, 8, 14, 15], [13, 18, 24], [16, 19, 23, 21], [28, 25, 26], [30, 31, 34, 32, 33, 37]]
12: [[20, 12, 2], [7, 17, 9], [4, 5, 1], [35, 27, 11], [22, 3], [6, 10, 29], [36, 8, 14, 15], [13, 18, 24, 16], [19, 23, 21], [28, 25, 26], [30, 31, 34], [32, 33, 37]]
13: [[20, 12, 2, 7], [17, 9, 4], [5, 1, 35], [27, 11, 22, 3], [6, 10, 29], [36, 8, 14, 15], [13, 18], [24, 16, 19, 23], [21, 28, 25, 26], [30, 31], [34, 32, 33, 37]]
14: [[20, 12], [2, 7, 17], [9, 4], [5, 1, 35, 27], [11, 22, 3], [6, 10, 29, 36], [8, 14, 15], [13, 18, 24], [16, 19, 23], [21, 28, 25, 26], [30, 31, 34, 32, 33, 37]]
15: [[20, 12, 2, 7], [17, 9], [4, 5, 1, 35], [27, 11], [22, 3, 6, 10], [29, 36, 8, 14], [15, 13, 18], [24, 16], [19, 23, 21], [28, 25, 26], [30, 31, 34], [32, 33, 37]]
16: [[20, 12, 2, 7], [17, 9], [4, 5, 1], [35, 27], [11, 22, 3], [6, 10, 29], [36, 8, 14], [15, 13, 18, 24, 16], [19, 23, 21], [28, 25, 26], [30, 31, 34], [32, 33, 37]]
17: [[20, 12, 2], [7, 17, 9], [4, 5, 1], [35, 27, 11], [22, 3, 6], [10, 29, 36], [8, 14, 15], [13, 18], [24, 16, 19, 23], [21, 28, 25, 26], [30, 31, 34], [32, 33, 37]]
18: [[20, 12, 2, 7], [17, 9, 4], [5, 1, 35], [27, 11], [22, 3, 6, 10], [29, 36, 8, 14], [15, 13, 18], [24, 16, 19, 23], [21, 28, 25], [26, 30, 31, 34, 32, 33, 37]]
19: [[20, 12, 2], [7, 17, 9], [4, 5, 1], [35, 27], [11, 22, 3], [6, 10, 29], [36, 8, 14], [15, 13, 18], [24, 16, 19], [23, 21], [28, 25, 26], [30, 31, 34], [32, 33, 37]]
20: [[20, 12, 2], [7, 17, 9], [4, 5, 1], [35, 27], [11, 22, 3, 6], [10, 29], [36, 8, 14], [15, 13, 18], [24, 16], [19, 23, 21], [28, 25, 26], [30, 31, 34], [32, 33, 37]]
21: [[20, 12, 2], [7, 17, 9], [4, 5], [1, 35, 27], [11, 22, 3, 6], [10, 29, 36], [8, 14, 15], [13, 18, 24], [16, 19, 23], [21, 28, 25], [26, 30], [31, 34], [32, 33, 37]]
22: [[20, 12], [2, 7, 17], [9, 4], [5, 1], [35, 27], [11, 22, 3, 6], [10, 29], [36, 8, 14, 15], [13, 18, 24], [16, 19, 23, 21], [28, 25, 26], [30, 31, 34], [32, 33, 37]]
23: [[20, 12, 2], [7, 17], [9, 4], [5, 1, 35, 27], [11, 22, 3, 6], [10, 29], [36, 8, 14], [15, 13, 18], [24, 16, 19], [23, 21], [28, 25, 26], [30, 31, 34], [32, 33, 37]]
24: [[20, 12, 2], [7, 17, 9], [4, 5, 1], [35, 27, 11, 22], [3, 6, 10, 29], [36, 8, 14, 15, 13, 18, 24], [16, 19, 23, 21], [28, 25], [26, 30, 31, 34], [32, 33, 37]]
25: [[20, 12, 2], [7, 17, 9], [4, 5, 1], [35, 27], [11, 22, 3], [6, 10], [29, 36], [8, 14], [15, 13, 18], [24, 16, 19, 23], [21, 28, 25, 26], [30, 31, 34, 32], [33, 37]]
26: [[20, 12, 2, 7], [17, 9, 4], [5, 1, 35], [27, 11], [22, 3, 6], [10, 29, 36], [8, 14, 15], [13, 18, 24, 16, 19, 23, 21, 28, 25, 26, 30, 31, 34, 32, 33, 37]]
27: [[20, 12, 2], [7, 17, 9, 4], [5, 1, 35], [27, 11, 22, 3, 6], [10, 29, 36], [8, 14, 15], [13, 18, 24], [16, 19, 23], [21, 28, 25, 26, 30], [31], [34, 32, 33, 37]]
28: [[20, 12, 2], [7, 17, 9], [4, 5, 1], [35, 27, 11], [22, 3, 6], [10, 29, 36], [8], [14, 15, 13, 18], [24, 16, 19, 23], [21, 28, 25, 26], [30, 31, 34, 32], [33, 37]]
29: [[20, 12, 2], [7, 17, 9], [4, 5, 1], [35, 27, 11], [22, 3, 6], [10, 29], [36, 8], [14, 15, 13, 18], [24, 16, 19, 23], [21, 28, 25, 26], [30, 31, 34], [32, 33, 37]]
30: [[20, 12, 2], [7, 17, 9], [4, 5, 1], [35, 27, 11], [22, 3], [6, 10, 29, 36], [8, 14, 15, 13], [18, 24, 16], [19, 23], [21, 28, 25], [26, 30, 31], [34, 32, 33, 37]]
31: [[20, 12, 2, 7], [17, 9, 4], [5, 1, 35, 27, 11], [22, 3, 6], [10, 29, 36, 8], [14, 15, 13], [18, 24, 16, 19, 23, 21, 28, 25, 26, 30, 31, 34, 32, 33, 37]]
32: [[20, 12, 2, 7], [17, 9, 4], [5, 1, 35, 27, 11], [22, 3, 6, 10], [29, 36, 8], [14, 15, 13, 18], [24, 16, 19], [23, 21, 28, 25, 26, 30, 31, 34, 32, 33, 37]]
33: [[20, 12, 2], [7, 17, 9], [4, 5], [1, 35, 27], [11, 22, 3], [6, 10, 29, 36], [8, 14, 15], [13, 18], [24, 16, 19, 23], [21, 28, 25], [26, 30, 31, 34, 32, 33, 37]]
34: [[20, 12, 2], [7, 17], [9, 4, 5, 1, 35, 27, 11, 22, 3, 6], [10, 29, 36, 8], [14, 15], [13, 18, 24, 16], [19, 23, 21], [28, 25, 26], [30, 31, 34, 32, 33, 37]]
35: [[20, 12, 2], [7, 17, 9, 4], [5, 1, 35], [27, 11, 22, 3], [6, 10, 29], [36, 8, 14], [15, 13, 18, 24, 16, 19, 23, 21, 28, 25, 26, 30, 31, 34, 32, 33, 37]]
36: [[20, 12, 2, 7], [17, 9], [4, 5, 1, 35], [27, 11], [22, 3, 6], [10, 29, 36], [8, 14, 15], [13, 18, 24], [16, 19, 23], [21, 28], [25, 26, 30, 31], [34, 32, 33, 37]]
37: [[20, 12, 2], [7, 17, 9], [4, 5, 1], [35, 27], [11, 22, 3, 6, 10, 29, 36, 8, 14, 15], [13, 18, 24], [16, 19, 23], [21, 28, 25, 26, 30, 31, 34, 32, 33, 37]]
38: [[20, 12, 2], [7, 17, 9, 4], [5, 1, 35, 27], [11, 22, 3, 6], [10, 29, 36, 8], [14, 15], [13, 18, 24, 16], [19, 23, 21], [28, 25, 26, 30], [31, 34, 32], [33, 37]]
39: [[20, 12, 2, 7], [17, 9, 4], [5, 1, 35, 27], [11, 22, 3], [6, 10, 29], [36, 8, 14, 15, 13, 18, 24, 16, 19, 23, 21, 28, 25, 26, 30, 31, 34, 32, 33, 37]]
40: [[20, 12, 2], [7, 17, 9], [4, 5, 1], [35, 27, 11], [22, 3, 6], [10, 29, 36], [8, 14], [15, 13, 18, 24, 16, 19, 23, 21], [28, 25, 26, 30, 31, 34, 32], [33], [37]]
41: [[20, 12, 2], [7, 17, 9], [4, 5, 1], [35, 27, 11], [22, 3], [6, 10], [29, 36, 8, 14], [15, 13, 18], [24, 16, 19, 23], [21, 28, 25], [26, 30, 31, 34], [32, 33, 37]]
42: [[20, 12], [2, 7, 17], [9, 4, 5], [1, 35, 27], [11, 22, 3], [6, 10, 29], [36, 8], [14, 15, 13], [18, 24, 16], [19, 23, 21], [28, 25, 26], [30, 31, 34, 32, 33, 37]]
43: [[20, 12, 2], [7, 17, 9], [4, 5, 1], [35, 27], [11, 22, 3, 6, 10], [29, 36, 8, 14], [15, 13, 18], [24, 16, 19, 23], [21, 28, 25], [26, 30, 31, 34, 32, 33, 37]]
44: [[20, 12], [2, 7, 17], [9, 4, 5], [1, 35, 27], [11, 22, 3], [6, 10, 29], [36, 8], [14, 15, 13], [18, 24, 16], [19, 23, 21], [28, 25, 26], [30, 31, 34, 32, 33, 37]]
45: [[20, 12, 2], [7, 17, 9], [4, 5, 1], [35, 27], [11, 22, 3], [6, 10], [29, 36, 8, 14], [15, 13, 18], [24, 16, 19, 23], [21, 28, 25], [26, 30, 31, 34], [32, 33, 37]]
46: [[20, 12, 2], [7, 17, 9], [4, 5, 1, 35], [27, 11, 22, 3], [6, 10, 29], [36, 8, 14], [15, 13, 18, 24, 16, 19, 23, 21, 28, 25, 26, 30, 31, 34, 32, 33, 37]]
47: [[20, 12, 2], [7, 17, 9], [4, 5], [1, 35, 27, 11], [22, 3, 6, 10], [29, 36, 8, 14], [15, 13], [18, 24, 16], [19, 23], [21, 28, 25], [26, 30, 31], [34, 32, 33, 37]]
48: [[20, 12, 2, 7], [17, 9, 4], [5, 1, 35, 27, 11, 22, 3, 6, 10, 29, 36, 8, 14, 15, 13, 18, 24, 16, 19, 23, 21, 28, 25, 26, 30, 31, 34, 32, 33, 37]]
49: [[20, 12, 2], [7, 17, 9], [4, 5, 1], [35, 27, 11, 22], [3, 6, 10], [29, 36, 8], [14, 15, 13], [18, 24, 16], [19, 23, 21, 28], [25, 26], [30, 31, 34], [32, 33, 37]]
50: [[20, 12, 2], [7, 17, 9], [4, 5, 1], [35, 27], [11, 22], [3, 6, 10, 29], [36, 8, 14], [15, 13, 18], [24, 16, 19, 23], [21, 28, 25], [26, 30, 31, 34], [32, 33, 37]]
51: [[20, 12, 2, 7], [17, 9, 4], [5], [1, 35, 27, 11], [22, 3, 6, 10], [29, 36, 8], [14, 15, 13, 18, 24, 16, 19, 23, 21, 28, 25, 26, 30, 31, 34, 32, 33, 37]]
52: [[20, 12, 2, 7], [17, 9, 4], [5, 1, 35, 27, 11], [22, 3, 6, 10], [29, 36, 8, 14], [15], [13, 18, 24, 16, 19, 23, 21], [28], [25, 26, 30, 31, 34, 32, 33, 37]]
53: [[20, 12, 2], [7, 17, 9], [4, 5, 1], [35, 27], [11, 22, 3], [6, 10, 29], [36, 8, 14, 15], [13, 18, 24], [16, 19, 23, 21, 28], [25], [26, 30, 31, 34], [32, 33, 37]]
54: [[20, 12, 2], [7, 17, 9], [4, 5, 1, 35, 27], [11, 22, 3], [6, 10], [29, 36, 8, 14], [15, 13, 18], [24, 16, 19, 23], [21, 28, 25, 26, 30, 31], [34, 32, 33, 37]]
55: [[20, 12, 2, 7], [17, 9, 4], [5, 1, 35, 27, 11, 22, 3, 6, 10, 29, 36, 8, 14, 15, 13, 18, 24], [16, 19, 23, 21, 28, 25, 26], [30], [31], [34, 32, 33, 37]]
56: [[20, 12, 2], [7, 17], [9, 4, 5, 1], [35, 27], [11, 22, 3], [6, 10, 29, 36], [8, 14, 15], [13, 18, 24, 16], [19, 23, 21, 28], [25, 26, 30], [31, 34, 32], [33, 37]]
57: [[20, 12, 2], [7, 17, 9], [4, 5, 1, 35], [27, 11], [22, 3, 6], [10, 29, 36, 8], [14, 15, 13, 18], [24, 16, 19], [23, 21, 28, 25], [26, 30, 31, 34], [32, 33, 37]]
58: [[20, 12, 2], [7, 17], [9, 4, 5], [1, 35, 27, 11], [22, 3, 6, 10], [29, 36, 8, 14], [15, 13, 18, 24], [16, 19, 23], [21, 28, 25], [26, 30, 31], [34, 32, 33, 37]]
59: [[20, 12, 2], [7, 17, 9], [4, 5, 1], [35, 27, 11], [22, 3, 6], [10, 29, 36, 8], [14, 15, 13, 18], [24, 16, 19], [23, 21, 28, 25, 26, 30, 31, 34, 32, 33, 37]]
60: [[20, 12, 2], [7, 17, 9], [4, 5, 1], [35, 27, 11], [22, 3, 6, 10], [29, 36, 8, 14], [15, 13, 18, 24], [16, 19], [23, 21, 28, 25], [26, 30, 31], [34, 32, 33, 37]]
61: [[20, 12, 2, 7, 17, 9, 4], [5, 1, 35, 27], [11, 22, 3, 6, 10, 29, 36, 8, 14, 15, 13, 18, 24, 16, 19, 23, 21, 28, 25, 26, 30, 31, 34, 32, 33, 37]]
62: [[20, 12, 2], [7, 17], [9, 4, 5], [1, 35, 27], [11, 22, 3], [6, 10, 29], [36, 8], [14, 15, 13, 18], [24, 16, 19, 23], [21, 28, 25], [26, 30, 31, 34], [32, 33, 37]]
63: [[20, 12, 2], [7, 17, 9, 4, 5], [1, 35], [27, 11, 22, 3], [6, 10, 29, 36], [8, 14], [15, 13, 18], [24, 16, 19], [23, 21, 28], [25, 26, 30, 31, 34, 32, 33, 37]]
64: [[20, 12, 2], [7, 17, 9], [4, 5, 1], [35, 27, 11], [22], [3, 6, 10, 29, 36, 8, 14, 15, 13, 18, 24, 16, 19, 23, 21, 28, 25, 26, 30, 31, 34, 32, 33, 37]]
65: [[20, 12], [2, 7, 17], [9, 4], [5, 1, 35, 27], [11, 22], [3, 6, 10, 29, 36, 8, 14], [15, 13, 18, 24, 16, 19, 23, 21, 28, 25, 26, 30, 31, 34, 32, 33, 37]]
66: [[20, 12], [2, 7, 17], [9, 4, 5], [1, 35], [27, 11], [22, 3, 6], [10, 29, 36, 8], [14, 15, 13, 18], [24, 16, 19, 23], [21, 28, 25], [26, 30, 31, 34], [32, 33, 37]]
67: [[20, 12], [2, 7, 17], [9, 4], [5, 1, 35], [27, 11, 22], [3, 6, 10], [29, 36, 8], [14, 15, 13, 18], [24, 16, 19, 23], [21, 28, 25], [26, 30, 31, 34], [32, 33, 37]]
68: [[20, 12, 2], [7, 17, 9], [4, 5, 1, 35], [27, 11, 22], [3, 6, 10], [29, 36, 8, 14], [15, 13, 18], [24, 16, 19], [23, 21, 28, 25], [26, 30, 31], [34, 32, 33], [37]]
69: [[20, 12], [2, 7, 17], [9, 4, 5, 1, 35, 27, 11], [22, 3, 6, 10, 29, 36, 8, 14, 15, 13, 18, 24, 16, 19, 23, 21, 28, 25, 26, 30, 31, 34, 32, 33, 37]]
70: [[20, 12], [2, 7], [17, 9], [4, 5, 1], [35, 27, 11, 22], [3, 6], [10, 29, 36, 8], [14, 15], [13, 18, 24, 16, 19, 23, 21, 28, 25, 26, 30, 31, 34, 32, 33, 37]]
71: [[20], [12, 2, 7, 17], [9, 4, 5, 1], [35, 27, 11, 22], [3, 6, 10], [29, 36, 8, 14, 15], [13, 18], [24, 16, 19, 23], [21, 28, 25, 26], [30, 31], [34, 32, 33], [37]]
72: [[20, 12, 2], [7, 17, 9], [4, 5, 1], [35, 27], [11, 22], [3, 6, 10, 29, 36, 8, 14, 15, 13, 18, 24, 16, 19, 23, 21, 28, 25, 26, 30, 31], [34, 32, 33, 37]]
73: [[20, 12, 2], [7, 17, 9], [4, 5, 1], [35, 27, 11, 22], [3, 6], [10], [29, 36], [8, 14, 15, 13, 18, 24, 16, 19, 23, 21, 28, 25, 26, 30, 31, 34, 32, 33, 37]]
