0: [[8, 29, 25], [1, 2], [6, 5], [3, 4], [11, 15, 7, 9, 13, 17, 16, 10, 12, 14], [20, 22], [24, 19, 18], [21, 26, 27], [23, 28]]
19: [[8, 29, 25], [1, 2], [6, 5, 3, 4], [11, 15, 7, 9], [13, 26], [10, 28, 20], [22, 23], [16, 12, 14], [17, 19, 18], [21, 24, 27]]
20: [[25, 24, 12], [1, 2], [6, 5], [3, 4], [11, 15], [7, 8, 13], [27, 9, 10], [18, 28, 19], [17, 20], [16, 21, 23, 26, 29, 22, 14]]
21: [[28, 25, 8], [1, 2], [6, 5, 3, 4], [11, 15, 7], [12, 9, 10, 18, 13, 14, 16, 19, 17, 24, 20, 22, 23, 26, 27, 21, 29]]
22: [[8, 29, 25], [1, 2], [6, 5, 3], [4, 11, 15, 7, 9], [13, 17, 24, 10, 14, 12, 16, 19, 22, 23, 18, 20, 21, 27, 26, 28]]
23: [[12, 29, 24], [1, 2], [6, 5, 3], [4, 11, 15], [7, 9, 8], [19, 10, 14, 13, 17, 22], [25, 16], [18], [23, 20, 21, 27, 26, 28]]
24: [[8, 29, 25], [1, 2], [6, 5, 3, 4, 11, 15, 7, 9, 13, 26, 10, 12, 16, 14, 24, 22, 17, 18, 21, 19, 28, 27, 23, 20]]
25: [[8, 29, 25], [1, 2], [6, 5, 3, 4, 11, 15, 7, 9, 13, 10, 14, 17, 12, 22, 21, 18, 16, 19, 23, 20, 24, 27, 26, 28]]
26: [[8, 29, 25], [1, 2], [6, 5, 3], [4, 11, 15], [7, 9, 13, 10, 24], [14, 12, 20, 16], [18, 28], [23, 17, 19, 21, 22, 26, 27]]
27: [[8, 29, 25], [1, 2, 6], [5, 3], [4, 11, 15, 7, 9, 10, 17, 20, 14, 12, 13, 28, 23, 16, 19, 18, 21, 26, 27, 22, 24]]
28: [[12, 25, 9], [1, 2], [6, 5], [3, 4, 11], [15, 7, 8], [13, 14, 22], [10, 17], [20, 16], [29], [24, 19], [18, 21, 26], [27, 23, 28]]
29: [[8, 29, 25], [1, 2], [6, 5, 3], [4, 11, 15, 12], [7, 9], [13, 24], [26, 16, 17, 19, 14], [18, 20, 21, 23, 28, 27, 10, 22]]
30: [[8, 29, 25], [1, 2, 6, 5, 3, 4, 11, 15, 7, 9, 14, 24, 10, 28, 12, 18, 16, 13], [23, 21, 20, 17, 19, 22, 27, 26]]
31: [[8, 29, 25], [1, 2], [6, 5], [3, 4], [11, 14, 7], [9, 10], [17, 20], [12, 24, 13, 15], [16, 18, 19, 21], [22, 23, 27], [28, 26]]
32: [[8, 29], [25, 1, 2], [6, 5, 3, 4, 11, 15, 7, 9, 13, 17, 16, 12, 10, 22, 28], [23, 14, 18, 19, 21, 24, 27, 26, 20]]
33: [[8, 29, 25], [1, 2], [6, 5, 3], [4, 11, 15], [7, 9], [13, 17], [24, 10, 12], [22, 14, 19], [16, 20], [18, 21, 23, 27, 28, 26]]
34: [[24, 29, 8], [1, 2], [6, 5, 3, 4], [11, 15], [7, 13, 12], [18, 9, 14, 20, 28, 22, 25, 16, 19, 23, 10, 17, 26, 21, 27]]
35: [[8, 25, 12], [1, 2], [6, 5], [3, 4], [11, 15], [7, 9, 13], [26, 10], [14, 16, 22], [20, 19, 28], [18, 21, 27], [17, 23, 24, 29]]
36: [[8, 29, 25], [1, 2, 6, 5, 3, 4, 11, 15, 7, 9, 10, 24, 12, 13, 14], [21, 16, 17], [18, 20, 19, 23, 22, 27, 26, 28]]
37: [[8, 29, 25, 1, 2], [6, 5, 3, 4, 11, 15, 7, 9, 14, 10], [28, 12, 13, 22, 16, 17, 19, 23, 18, 21, 20, 24, 27, 26]]
38: [[9, 25, 8], [1, 2], [6, 5, 3, 4, 11, 15, 7, 14, 13, 10, 20, 12, 22, 26, 17, 29, 16, 19, 18, 21, 24, 27, 23, 28]]
39: [[8, 29, 25, 1, 2, 6, 5], [3, 4, 11, 14, 7, 9, 10, 24, 13, 12, 15, 18], [21], [16, 23, 17, 20], [19, 22, 27, 28, 26]]
40: [[12, 25, 24], [1, 2], [6, 5], [3, 4], [11, 15], [7, 8, 13], [27, 9, 10], [18, 14, 28, 19], [17, 22, 20], [16, 21, 23, 26, 29]]
41: [[8, 29, 25], [1, 2, 6], [5, 3, 4, 11, 15, 7, 9], [13, 14, 18, 26], [12, 19, 10, 17, 20, 16, 21, 22, 24, 27, 23, 28]]
42: [[8, 29], [25, 1], [2, 6, 5], [3, 4, 11], [15, 7, 9], [13, 28, 24], [14, 12], [16, 18], [22, 10, 19], [23, 17, 20, 27], [21, 26]]
43: [[8, 29, 25], [1, 2, 6, 5], [3, 4, 11], [15, 7], [9, 13], [26, 10], [14, 12, 16], [17, 21, 23], [22, 18, 19], [24, 20, 28, 27]]
44: [[28, 25, 24], [1, 2, 6, 5], [3], [4, 11, 15], [7, 8, 9], [12, 22], [14, 13, 16], [21, 19, 26], [17, 20, 18], [10, 23], [27, 29]]
45: [[8, 25, 10], [1, 2], [6, 5, 3, 4], [11, 15, 7, 9], [13, 27, 12], [26, 20, 14], [21, 19, 17], [22, 16, 18, 23], [24, 28, 29]]
46: [[8, 29, 25], [1, 2, 6, 5, 3], [4, 11, 15, 7], [9, 12], [19, 10, 14, 13], [16, 21, 18, 17, 22, 20], [23, 24, 27, 26, 28]]
47: [[8, 29, 25], [1, 2], [6, 5, 3], [4, 11, 15], [7, 9, 10, 28], [24, 12, 14], [20, 13], [17], [21, 18, 16, 19], [22, 27, 23, 26]]
48: [[8, 29, 25], [1, 2, 6, 5, 3, 4, 11], [15, 7, 9, 12, 18], [10, 13, 14, 16, 20, 21, 19, 28, 27, 17, 22, 23, 24, 26]]
49: [[8, 29], [24, 1], [2, 6], [5, 3, 4], [11, 15, 7], [9, 13], [25, 18, 10], [12, 26, 16, 20, 14, 17, 19, 21, 22], [27, 23, 28]]
50: [[8, 29], [25, 1], [2, 6, 5, 3, 4], [11, 15, 7, 9, 13, 14, 10, 24, 28, 16, 21, 22, 12, 19, 20, 17, 18, 23, 27, 26]]
51: [[8, 29, 25], [1, 2], [6, 5, 3, 4, 11, 14, 7], [9, 12, 16, 13, 15, 10, 22, 17], [23, 21], [20, 18, 28], [24, 27, 19, 26]]
52: [[8, 29, 25, 1, 2, 6, 5, 3, 4, 11], [14, 7], [9, 10, 16], [12, 13, 26], [15, 17], [18, 20, 19, 22, 21, 23, 27, 28, 24]]
53: [[8, 29, 25], [1, 2, 6, 5, 3, 4, 11], [15, 7], [9, 13, 17, 10, 12], [23, 14], [16, 22, 18, 21], [20, 26, 27, 19, 24, 28]]
54: [[8, 29, 25], [1, 2], [6, 5, 3], [4, 11, 15], [7, 9], [13, 17, 16], [10, 14], [12, 28], [19, 20, 22], [18, 21], [23, 27, 24, 26]]
55: [[8, 29], [25, 1], [2, 6, 5], [3, 4, 11], [15, 7], [9, 13], [26, 10, 14], [18, 22], [12, 17, 19], [16, 20], [23, 21], [27, 24, 28]]
56: [[8, 29, 25], [1, 2], [6, 5, 3], [4, 11], [14, 7], [9, 10, 24], [26, 13, 12], [22, 15, 16], [23, 17, 20], [18, 19, 27, 21, 28]]
57: [[8, 29, 25], [1, 2], [6, 5, 3], [4, 11, 15], [7, 9], [13, 17, 28], [10, 14, 12], [16, 18], [22, 19], [23, 21], [20, 27, 26, 24]]
58: [[8, 29], [25, 1], [2, 6, 5], [3, 4, 11], [15, 7, 9], [13, 14, 16], [10, 12], [21, 17, 18], [20, 19], [22, 26, 24], [23, 27, 28]]
59: [[12, 29, 25], [1, 2, 6], [5, 3], [4, 11], [15, 7], [9, 13], [27, 18, 14, 8, 10, 16], [22, 20, 23, 17, 21], [26, 24, 19, 28]]
