0: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18, 16, 20, 22], [23, 21, 24]]
24: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18], [16, 20, 22], [23, 21, 24]]
25: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18], [16, 20, 22], [23, 21, 24]]
26: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18], [16, 20, 22], [23, 21, 24]]
27: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18], [16, 20, 22], [23, 21, 24]]
28: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18], [16, 20, 22], [23, 21, 24]]
29: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18], [16, 20, 22], [23, 21, 24]]
30: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18], [16, 20, 22], [23, 21, 24]]
31: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18], [16, 20, 22], [23, 21, 24]]
32: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18], [16, 20, 22], [23, 21, 24]]
33: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18], [16, 20, 22], [23, 21, 24]]
34: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18], [16, 20, 22], [23, 21, 24]]
35: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18], [16, 20, 22], [23, 21, 24]]
36: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18], [16, 20, 22], [23, 21, 24]]
37: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18], [16, 20, 22], [23, 21, 24]]
38: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18], [16, 20, 22], [23, 21, 24]]
39: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18], [16, 20, 22], [23, 21, 24]]
40: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18], [16, 20, 22], [23, 21, 24]]
41: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18], [16, 20, 22], [23, 21, 24]]
42: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18], [16, 20, 22, 23, 21, 24]]
43: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18, 16, 20, 22, 23, 21, 24]]
44: [[19, 7, 11], [1, 2, 13], [3, 6, 9, 12, 5, 4], [10, 8, 14], [15, 17, 18, 16, 20, 22, 23, 21, 24]]
45: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14, 15, 17, 18, 16, 20, 22, 23, 21, 24]]
46: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14, 15, 17, 18, 16, 20, 22, 23, 21, 24]]
47: [[19, 7, 11], [1, 2, 13], [3, 6, 9, 12, 5, 4, 10, 8, 14, 15, 17, 18, 16, 20, 22, 23, 21, 24]]
