0: [[2, 10, 3], [4, 15, 5, 6], [9, 8, 1, 13], [11, 7], [14, 12, 17, 16, 19, 18, 20], [22], [23, 21, 24]]
31: [[2], [4, 5], [15, 1], [9, 13, 8, 6], [11, 7], [14, 12, 10], [17, 16, 19, 3], [18, 20], [22, 23, 21], [24]]
32: [[2], [5], [4, 15, 1, 9, 6], [13, 8], [11, 7, 14, 12, 10], [17, 16, 3], [19, 18], [20], [22, 23], [21, 24]]
33: [[2], [5, 6], [4, 15], [1, 9], [13, 8, 11], [7, 14, 12, 10], [17, 16, 3], [19, 18], [20, 22, 23], [21, 24]]
34: [[2], [5, 4, 6], [15, 1], [9, 13], [8, 11, 7], [14, 12, 10], [17, 16, 19, 18, 3], [20, 22], [23, 21], [24]]
35: [[2], [5, 4], [15, 1], [9, 13, 6], [8, 11, 7, 14, 10], [12, 17, 16, 3], [19, 18], [20, 22, 23], [21, 24]]
36: [[2], [5, 4], [15, 1], [9, 13, 8, 11, 6], [7, 14, 10], [12, 17, 16, 3], [19, 18, 20], [22, 23], [21, 24]]
37: [[2], [5, 4, 15, 6], [1, 9], [13, 8, 11], [7, 14, 12, 10], [17, 16, 3], [19, 18, 20, 22, 23, 21, 24]]
38: [[2, 10, 3], [6, 5, 4, 15], [1, 9], [13, 8, 11, 7, 14, 12, 17, 16, 19, 18, 20, 22, 23, 21, 24]]
39: [[2], [5, 4, 6], [15, 1], [9, 13], [8, 11, 7, 14, 10], [12, 17], [16, 19, 18, 3], [20, 22, 23], [21, 24]]
40: [[2], [5, 4, 15, 1, 9, 6], [13, 8], [11, 7, 14, 12, 10], [17, 16, 19, 18, 20, 22, 23, 21, 24, 3]]
41: [[2, 10], [3, 6], [5, 4], [15, 1], [9, 13, 8], [11, 7, 14, 12], [17, 16, 19, 18, 20, 22, 23, 21, 24]]
42: [[2, 10], [3, 6, 5], [4, 15], [1, 9, 13], [8, 11], [7, 14, 12, 17, 16, 19, 18, 20, 22, 23, 21, 24]]
43: [[2], [5, 4], [15, 1], [9, 13], [8, 11], [7, 14, 10], [12, 17, 16, 3, 6], [19, 18, 20, 22, 23], [21, 24]]
44: [[2, 10], [3, 6, 5, 4], [15, 1, 9], [13, 8, 11, 7, 14, 12, 17, 16, 19, 18, 20, 22, 23, 21, 24]]
45: [[2, 10], [5, 4, 15, 1, 6], [9, 13], [8, 11, 7], [14], [12, 17, 16, 3], [19, 18, 20, 22, 23, 21, 24]]
46: [[2], [6, 5, 3], [4, 15, 1, 9, 13], [8, 11, 7, 14, 12, 17, 16, 19, 18, 20, 22, 23, 21, 24, 10]]
47: [[2], [4], [15, 1], [9, 13, 6], [8, 11, 5], [7], [14, 12, 10], [17, 16, 19, 3], [18, 20, 22, 23], [21, 24]]
48: [[2, 10, 3], [5, 4, 6], [15, 1], [9, 13], [8, 11, 7], [14, 12, 17, 16, 19, 18, 20, 22, 23, 21, 24]]
49: [[2, 10], [3, 6], [5, 4], [15, 1], [9, 13, 8, 11, 7, 14, 12, 17, 16, 19, 18, 20, 22, 23, 21, 24]]
