0: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
32: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
33: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
34: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
35: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
36: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
37: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
38: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
39: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
40: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
41: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
42: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
43: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
44: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
45: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
46: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
47: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
48: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
49: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
50: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
51: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
52: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
53: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
54: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
55: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
56: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
57: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
58: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
59: [[2, 16, 12], [23, 28], [9, 13, 18, 10], [24, 7], [6, 5, 25], [3, 20], [29, 14], [17, 11], [27, 4, 8, 22], [21], [15, 26], [19, 1]]
