0: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22], [9], [15, 14, 11], [29, 19, 16, 13, 23], [17, 21, 18], [20, 27, 26], [28, 31, 25], [30, 36, 60, 43], [37, 54], [32, 34, 44, 8, 39], [33, 40, 63], [41, 45], [35, 46, 51, 47, 42, 49, 53, 52, 55, 50, 56, 57], [59], [48, 58, 61, 62, 68, 64, 65], [67, 66, 79, 69, 70, 75, 71, 73, 74, 76, 78, 77, 82, 80, 85, 84, 87, 83, 81, 86, 88, 10]]
16: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22], [9, 11, 8, 14], [15, 10, 17, 18, 19], [29, 23], [16, 28, 25, 31, 20], [59, 26, 51], [63, 30, 33], [35, 21, 39, 56], [62, 27, 34, 13, 36, 37, 46, 42, 32, 43, 41], [40, 45, 44], [57, 47, 49], [60, 48, 50, 52, 55, 53, 54, 58, 61, 84, 65, 64, 71, 69], [66, 70, 73], [67, 75, 76, 74, 79], [88, 85, 68, 77, 81, 83, 86, 78, 82, 80, 87]]
17: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22, 9, 10], [8, 11, 30], [13, 23, 14], [18, 15, 19, 20, 17, 16, 49, 21, 25, 36, 31, 26, 41], [27, 53, 28, 62, 29, 32, 34, 35, 59, 44, 46, 33, 39, 55, 42], [47, 50, 45], [40, 43, 37, 52, 51, 54, 58, 60, 48, 56, 57, 63, 61, 68, 65, 66, 64, 67, 71, 70, 73, 74, 76, 78, 69, 77, 86, 79, 80, 81, 75, 82, 87, 83, 88, 85, 84]]
18: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22], [9, 8, 11], [14, 15], [18, 28, 21], [29, 16, 31], [19, 17, 49], [20, 23, 25], [27, 30, 26, 43, 32, 35, 57, 33, 37], [36, 42, 44, 45, 34, 39], [41, 47, 51], [53, 40, 46], [48, 54, 59], [56, 50, 55], [52, 58], [60, 61], [63, 62, 88, 64, 66, 65, 67, 71, 69, 70, 75, 77, 10, 13], [79, 73, 74, 68, 78, 81, 84, 76, 82, 80, 87, 86, 85, 83]]
19: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22], [9, 8], [11, 30, 15, 16, 18, 17, 19, 20, 28, 21, 25, 45, 13, 23], [57, 50, 26, 59], [29, 31, 33, 56, 14, 54], [35, 27, 34], [32, 46, 41, 42, 37, 39, 44, 47, 43, 48, 40, 62, 36, 60, 49, 53, 55, 52, 51, 58, 63, 61, 64, 69, 65, 67, 75, 68, 71, 66, 79, 76, 70, 74, 10], [73, 77, 84, 85, 81, 80, 87, 82, 83, 78, 86, 88]]
20: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22], [9, 10, 8], [13, 14, 15], [27, 11, 17, 20, 16, 25, 19, 21, 23, 59, 18, 26, 29, 47, 30, 28, 36, 55, 33, 51, 32, 34, 31, 35, 37, 41, 42, 45, 39, 61, 43, 40, 46, 44, 49, 53, 48, 54, 56, 52, 50, 60, 57, 58, 62, 77], [65, 64, 66, 68, 78, 70, 67, 71], [73, 63, 75, 69, 74, 76, 79, 82, 81, 85, 83, 86, 80, 84, 87, 88]]
21: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22], [9, 10, 8], [15, 14, 11], [13, 17, 25], [18, 16, 19], [20, 31, 21], [27, 23, 28, 26], [46, 29], [59, 30], [35, 33, 43, 55, 36], [37, 44, 39], [47, 32, 41], [40, 42, 45], [50, 60, 61, 34, 52, 48, 53, 49, 56, 51, 57], [54, 63, 62], [58, 65, 64], [66, 70, 84, 68, 67, 74, 75, 77, 69, 71, 73, 85, 76, 78, 81, 79, 83, 80, 82, 87, 86, 88]]
22: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22], [9, 10, 8, 13], [15, 14, 17], [28, 20, 11], [19, 21, 16, 26, 18, 54, 59, 60, 30, 23, 25, 31, 29, 43, 41, 36, 52, 44, 49, 42, 27, 32, 39, 33], [45, 34, 35, 37, 40, 47, 48, 46, 51, 55, 50, 53, 56, 61, 57, 58, 62, 63, 64, 70, 67, 65, 66, 68, 69, 71, 77, 73, 74, 76, 78, 79, 75, 88, 80, 82, 81, 83, 84], [85, 86, 87]]
23: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22], [9, 8, 11, 30], [15, 10, 14], [18, 19, 16], [31, 52, 21], [13, 29, 17, 46], [58, 26, 57, 53], [55, 33], [20, 23, 48, 25, 27, 37, 63, 28, 34, 39, 43, 32], [35, 44, 42], [36, 45, 40], [47, 51, 41, 50, 56, 49, 54, 59, 60, 61, 62, 68, 65, 64, 70, 66], [69, 67, 71, 75], [73, 76, 78], [77, 74, 80, 84, 83, 88, 86, 79, 81, 85, 82, 87]]
24: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22], [9, 10, 8], [13, 14, 31, 30, 11, 21, 27, 18, 20, 17, 19], [16, 25, 57, 26, 23, 15, 58, 28, 29, 62, 34, 37, 35, 32, 46, 36, 33, 43, 44], [39, 41, 42, 40, 45, 47, 49, 48, 63, 54, 50, 59, 53, 55, 51, 52, 56, 60, 61, 64, 68, 69, 78, 67, 77, 66, 74, 65, 73, 75, 79, 76, 70, 71, 80], [82, 81, 85, 83, 86, 84, 87, 88]]
25: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22], [9, 8, 10, 15], [11, 13, 14], [29, 17, 19], [16, 21, 31], [25, 20, 23, 26, 28, 27], [55, 30, 18], [42, 50], [43], [56, 35, 44, 40, 32, 47, 33, 34, 37, 39, 58, 57], [36, 46, 51, 41, 45, 48, 54, 52, 49, 53, 61, 62, 59, 63, 60, 64, 69, 71, 65, 66, 70, 68, 77], [73, 75, 76, 67], [79, 78, 74, 84, 80, 86, 82, 87, 83, 81, 85, 88]]
26: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22], [9, 11, 8, 15, 21, 17, 25, 27, 16, 18], [20], [19, 26, 28, 29, 61, 30, 35, 59, 14, 37, 34, 54, 62, 31, 33, 32, 44], [40, 42, 36], [43, 45, 47, 13, 23], [39, 41, 46, 49, 10], [55, 50, 51], [48, 52], [53, 57, 58, 56, 60, 63, 64, 84, 65], [68, 78, 67, 73, 76, 66, 69, 71, 77, 70, 75, 79, 80, 81, 85, 82, 86, 74, 83, 87, 88]]
27: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22], [9, 11, 8, 14], [10, 13, 25, 28, 16, 15, 18, 20, 23, 30, 17, 21, 59, 19, 57, 26, 31, 27, 29, 43, 37, 40, 36, 32, 42, 44, 60, 49], [45, 34, 35, 47, 48, 33, 39, 53, 55, 41, 56, 46, 50, 54, 58, 51, 52, 63, 61, 62, 64, 69, 67, 68, 65, 66, 74, 76, 71, 75, 70, 79, 73, 77, 78, 84, 81, 82, 80, 83, 86, 87, 85, 88]]
28: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22], [8, 10, 9], [11, 15, 13, 25, 14, 20], [19, 18, 23, 16, 17, 27, 21, 29], [26, 30, 61, 28, 31, 56, 46, 36, 59, 34, 37, 33, 35, 32, 42, 41], [39, 45, 40, 47], [43, 44, 60], [49, 50, 54], [48, 51, 52], [53, 55, 57, 58, 62, 63, 64, 68, 77, 65, 78, 66, 71, 67, 69, 73, 75, 70, 76, 79, 74, 88, 83, 80, 81, 87, 85, 84, 86, 82]]
29: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22], [9, 8], [11, 15, 14, 31, 19, 13], [21, 16, 18, 20, 25, 27, 23, 26, 61, 28, 17], [29, 56, 41, 40, 34, 30, 32, 37, 50, 35, 44, 42, 43, 45, 39, 33, 46, 36, 10], [48, 51, 53, 49, 54, 47, 52, 55, 58, 59, 62, 57, 60, 63, 68, 65, 66, 71, 64, 77, 74, 78, 67, 69, 73, 75, 76, 80, 70, 79, 81, 84, 86, 83, 82, 85, 87, 88]]
30: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22], [9, 10, 8], [11, 15, 14, 25, 31], [13, 17, 16], [18, 27, 20, 49, 19], [21, 23, 53, 54, 61], [30, 37, 34], [29, 33, 56, 43, 32, 28, 26], [36, 40, 41], [44, 47, 35], [45, 63, 48], [51, 46, 55], [50, 39, 57], [59, 52, 42, 60], [58, 62, 64, 67, 65, 69], [70, 66, 74], [76, 77, 68, 71, 79, 78], [73, 75, 82, 84, 80, 81, 86, 83, 87, 85, 88]]
31: [[38, 5, 7], [2, 3, 4, 24, 1, 72, 12, 22], [6], [9, 8, 10], [11, 27, 14, 17, 29, 18, 19, 16, 51, 15, 23, 25, 30, 20, 35, 26, 28, 13], [31], [57, 21, 34, 44, 32, 33], [45, 37, 58, 46, 36, 41, 40, 39, 50, 61, 48, 56, 42, 43, 47, 52, 54, 49, 53, 59, 55, 63, 60, 62, 64, 70, 66, 65, 74, 71, 68, 67, 73, 75, 79, 76, 69, 77, 78, 84, 82, 81, 83, 80, 85, 86, 87], [88]]
32: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22], [9, 8, 10], [11, 15, 14], [29, 13], [26, 17, 18], [20, 16, 19, 21], [23, 59, 25, 27, 61, 30], [28, 37, 35, 57, 58, 52, 40, 39, 31, 33, 36, 41, 32, 46, 44, 42, 43, 34, 47, 56, 45, 48, 63, 49, 51, 50, 60, 53, 55, 54, 62, 64, 68, 67, 71, 70, 65, 66, 73, 69, 75, 76, 77, 74, 78, 79, 84, 83, 80, 81, 82, 87, 85, 86], [88]]
33: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22], [8, 10, 9], [11, 31, 15, 13, 14, 20], [19, 16, 23, 18, 21, 62, 25, 17], [29, 26, 61, 27, 28, 56, 30, 44, 43, 34, 37, 33, 39, 32, 35, 40], [36, 45, 41, 42, 46, 49, 60, 47, 53, 48], [50, 51, 52, 54, 57, 58, 63, 55, 59, 64, 66, 77, 65, 78, 68, 75, 67, 71], [69, 79, 70, 76, 73, 74, 81, 82, 80, 83, 87, 85, 84, 86, 88]]
34: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22], [9, 8, 39, 10], [15, 14, 11, 13, 23], [28, 17, 27], [18, 20], [25, 16, 21], [51, 29, 61, 60, 19], [26, 30, 35], [47, 31], [32], [33, 56, 52, 59, 37, 34, 40, 58, 43, 36, 46], [42, 54, 44, 41, 45, 49, 48, 50, 53, 55, 57, 62, 63, 64, 69, 67, 68, 65, 66, 70, 71, 75, 73, 78, 76, 74, 77, 79, 84, 81, 85, 80], [83, 82, 87, 86, 88]]
35: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 18, 13, 10, 8], [15, 14, 9, 19], [11, 17, 27], [22, 16, 20, 25, 30, 29, 23, 58, 59, 63, 31], [33, 35, 21, 39, 56], [52, 26, 28, 32, 34, 37, 40], [36, 42, 41, 57, 45, 43, 46, 44, 47, 51, 60], [48, 50, 49, 55, 53, 54, 61, 62, 84, 65, 64, 71, 69, 66, 70, 73, 67, 74, 68, 78, 76, 75, 87, 79, 77, 82, 80, 86, 81, 85, 88, 83]]
36: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22], [9, 11, 10, 14], [13, 8, 17, 16, 15, 31, 18, 19, 23, 20, 21, 48, 58, 27, 49, 62, 29, 26, 60, 36, 37, 57, 44, 32, 43, 25, 28, 56, 30], [34, 35, 47, 45, 33, 39, 40, 55, 41, 42, 46], [50, 54, 53, 51, 52, 63, 61, 59, 64, 70, 66, 68, 67, 65, 75, 69, 77, 74, 76, 78, 71, 79, 73, 84, 81, 86, 80, 82, 83, 87, 85, 88]]
37: [[5, 7, 38], [2, 3, 4], [24, 1, 72], [6, 12, 22], [9, 10, 8], [15, 11, 19, 26], [13, 17, 28, 18, 14, 20, 53, 21, 23, 59, 32, 27, 58], [16, 61, 35], [29, 43, 25, 42, 49, 40, 62, 30, 44, 31, 46, 33, 37, 34, 36, 41, 60, 48, 51, 39, 63, 45, 54, 47, 50, 52, 55, 57, 56, 66, 69, 73, 67, 65, 70, 68, 78, 71, 74, 79, 75, 77, 64, 82, 81, 80, 83, 87, 85, 84, 86, 76, 88]]
38: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22], [9, 11, 15, 14, 18, 21, 8, 19, 20, 16, 17, 23, 50, 26, 63, 31, 27, 32, 30, 28, 41, 54, 29, 34, 44, 33, 39, 25, 45, 46, 35, 37, 36, 40, 49, 53, 43, 42, 57, 47, 48, 52, 13], [60, 61, 56, 55, 51, 58, 62, 59, 64, 65, 67, 66, 79, 69, 68, 74, 70, 77, 73, 71, 76, 75, 78, 80, 82, 85, 83, 81, 84, 87, 88, 86, 10]]
39: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22], [10, 14, 8, 9, 13, 15, 29, 11], [17, 23, 16, 20, 19, 21, 26, 31, 30, 27, 59, 47, 28, 43, 37, 32, 50, 33, 40, 52, 62, 35, 34, 36, 41, 45, 39, 60, 46, 44, 63, 42, 49, 51, 48, 58, 53, 56, 54, 55, 57, 61, 25, 69, 65, 64, 66, 68, 71, 70, 67, 79, 73, 74, 75, 76, 78, 77, 83, 82, 80, 81, 85, 84, 18, 86, 87, 88]]
40: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 18], [8, 10, 9], [14, 15, 11], [25, 13, 17, 27, 16], [22, 21, 23, 28], [26, 53, 60, 54, 20], [29, 43, 47, 30, 41, 33, 37, 19, 40, 39, 31, 46, 48, 32, 35, 45, 34, 61, 44, 36, 50, 42, 49, 51, 55, 52, 56, 57, 59, 58, 62, 63, 65, 68, 66, 67, 64, 69, 70, 71, 75, 74, 78, 76, 77, 73, 79, 88, 81, 80, 86, 83, 82, 85, 84, 87]]
41: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22], [9, 10, 8], [11, 30, 21, 23, 14, 18], [13, 25, 15, 17, 19, 20, 26, 29], [16, 31, 62], [57, 27, 32], [28, 33, 51, 48, 34, 42, 59, 44, 35], [36, 39, 55, 40, 47, 50, 37, 41, 43, 45, 49, 46, 52, 53, 54, 56, 58, 60, 63, 61, 68, 73, 66, 64, 74, 71, 70, 65, 78, 77, 75, 69, 76, 86, 79, 83, 80], [67, 82, 87, 81, 85, 84, 88]]
42: [[7, 5, 38], [2, 3, 4], [24, 1, 72], [6, 12, 22], [9, 10, 14, 15, 8, 11, 26, 29, 17, 28, 16, 23, 21, 51, 13, 18, 19, 25], [20, 43, 27, 59, 32, 30, 47, 31, 33, 35, 39, 36, 34, 40, 37, 44, 45, 41, 42, 46, 49, 62, 48, 52, 53, 50, 54, 55, 58, 63, 56, 57, 60, 61, 66, 68, 67, 69, 76], [79], [64, 77, 65], [71, 73, 75, 74, 78, 83, 80, 82, 87, 84, 85, 81], [86, 70, 88]]
43: [[38, 5, 7], [2, 3, 4, 12, 22], [24, 1, 72], [6], [9, 8], [15, 11], [21, 14, 30, 20, 19, 17], [16, 18, 23, 27, 58, 29, 26, 25, 28, 31, 32, 39, 33, 34, 40, 41, 37, 44, 42, 46, 45, 43, 47, 49, 63, 51, 55, 48, 36, 35, 50, 53, 62, 10, 13], [54, 56, 52, 61, 57, 59, 60, 65, 66, 64, 70, 76, 78, 67, 75, 69, 71, 79, 73, 74, 77, 86, 68, 81, 82, 80, 83, 85, 84, 87, 88]]
44: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22, 9, 10], [8, 15, 14], [13, 31, 11], [18, 21, 19, 23, 16, 20, 51, 25, 17, 46, 27, 26, 41], [29, 53, 28, 62, 30, 32, 35, 33, 44, 47, 34, 39, 37, 36, 43], [40, 54, 45], [42, 48, 61, 50, 49, 55], [57, 60, 52, 56, 58, 59, 63, 65, 68, 66, 64, 67, 69, 70, 75, 73, 74, 78, 71, 79, 77, 76, 80, 81, 82, 86, 87, 83, 88, 85, 84]]
45: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22, 10], [8, 9, 13], [28, 25, 20], [15, 11, 14], [18, 16, 19], [27, 17, 23, 56, 21, 30], [62, 60, 26, 29, 45, 42, 50, 48, 34, 33, 41, 47], [32, 43, 53, 44, 35, 36, 54], [39, 46, 37], [61, 52, 40], [49, 51, 57], [55, 59, 58, 63, 79, 64, 67, 66, 65, 78, 70, 75, 69, 31, 68, 71, 74], [77, 76, 73, 85, 82, 80, 81, 83, 87, 84, 86, 88]]
46: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22], [9, 11, 8, 14, 10, 29, 13, 18, 23, 21, 17, 16, 60, 25, 31, 28, 27, 26, 19, 63, 20, 34, 15, 30, 36, 57, 47, 33, 42, 44, 32, 37, 46, 40, 49, 41, 43, 35, 61, 45, 48, 55, 39], [50, 51, 56, 52, 58, 62, 54, 59, 53, 68, 67, 64, 79, 69], [65, 66, 73], [70, 75, 78, 71, 74], [76, 84, 85, 77, 81, 83, 86, 87, 80, 82, 88]]
47: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22], [9, 8, 10, 14, 15, 11, 27, 29, 21, 13, 17, 18, 16, 19, 20, 57, 23, 25], [28, 43, 30, 26, 52, 31, 35, 51, 33, 34, 39, 36, 42, 32, 37, 44, 41, 45, 46, 47, 40, 62, 49, 53, 48, 50, 59, 54, 58, 60, 55, 63, 56, 61, 65, 64, 67, 68, 76, 70], [66], [77, 73, 71], [79, 69, 74, 75, 78, 82, 81, 85, 83, 87, 80, 84], [86, 88]]
48: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22], [9, 10, 8, 13, 31, 14, 11, 23, 20, 19], [16, 15, 18, 25, 60, 49, 17, 61, 21, 62, 26, 27, 30, 28, 43, 37, 56, 32], [36, 29, 34, 33, 35, 44, 39, 53, 42, 46, 51, 45, 40, 41, 47], [54, 48, 52, 50, 55, 58, 57, 63, 59, 64, 66, 69, 65, 67, 71, 74, 70, 79, 73, 78, 68, 76, 75, 77, 81, 82, 80, 83, 87, 84, 85, 86, 88]]
49: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22, 9, 10, 8], [15, 14, 17], [27, 11, 25], [13, 16, 18, 21, 23, 20], [19, 30, 26], [28, 60, 29], [31, 34, 63, 33, 35, 45, 46, 39, 32, 36], [40, 44, 37, 43, 42, 41, 53, 47, 57, 49, 62, 50, 55, 48], [51, 52, 59, 54, 58, 56, 61, 64, 70, 66, 71], [65, 69, 68, 79, 67, 78, 76, 73, 75, 74], [77], [84, 81, 80, 83, 86, 82, 87, 85, 88]]
50: [[38, 5, 7], [2, 3, 4], [24, 1, 72], [6, 12, 22], [9, 11, 14, 8], [19, 10, 25, 13, 16], [17, 20], [23, 18, 26, 63, 21], [59, 32, 54], [28, 45, 53], [49, 27, 47, 29], [30, 31, 37, 15, 39, 33, 36, 42, 34, 55, 41], [35, 40, 46], [57, 44, 43], [60, 61, 50, 48, 51, 52, 62, 58, 56, 81, 65, 66, 71, 69, 64, 78, 70, 77, 73, 67, 68, 75, 76, 74, 82, 85, 83, 79, 84, 80, 86, 87, 88]]
