0: [[17, 9, 2, 1], [5, 6], [3, 4, 8, 13, 11, 15, 12], [7, 19, 16, 20, 18, 23, 10, 22, 14], [28, 24], [25, 21, 27, 26, 29]]
11: [[17, 9, 2, 1, 5, 6, 3], [4, 8], [13, 11, 14, 12], [7, 19, 16, 28, 15, 23, 10, 22, 20], [18, 24], [25, 21, 27, 26, 29]]
12: [[17, 9, 2, 1, 5, 6, 3], [4, 8], [13, 11, 15, 12], [7, 19, 16, 20, 18, 23, 10, 22, 28], [14, 24], [25, 21, 27, 26, 29]]
13: [[17, 9], [2, 1, 5, 6, 3, 4, 8], [13, 11, 14, 10], [15, 7, 24, 28, 12, 20, 23, 22, 18], [16, 19], [25, 21, 27, 26, 29]]
14: [[17, 9, 2, 1, 5, 6, 3, 4, 8], [13, 11, 15, 12, 7, 19, 16], [20, 18, 23, 10], [14, 22], [28, 24], [25, 21, 27, 26, 29]]
15: [[17, 9, 2, 1], [5, 6], [3, 4, 8, 13, 11, 15, 19], [7, 16, 26, 18, 20, 10, 12, 22, 14], [28, 24], [27, 21, 25, 23, 29]]
16: [[17, 9, 2, 1], [5, 6], [3, 4, 8, 13, 11, 14, 10], [7, 19, 24, 28, 12, 21, 15, 22, 16], [18, 23], [25, 20, 27, 26, 29]]
17: [[17, 9, 2, 1], [5, 6], [3, 4, 8, 13, 11, 14, 10], [7, 19, 24, 28, 12, 21, 15, 22, 16], [18, 23], [25, 20, 27, 26, 29]]
18: [[17, 9, 2, 1, 5, 6, 3, 4, 8], [13, 11, 14, 15], [7, 10], [24, 12, 18, 23, 22, 16, 19], [28, 20], [25, 21, 27, 26, 29]]
19: [[17, 9, 2, 1, 5, 6, 3], [4, 8], [13, 11, 15, 12], [7, 10, 18, 20, 16, 23, 14, 22, 19], [24, 29], [25, 21, 27, 26, 28]]
20: [[17, 9, 2, 1], [5, 6], [3, 4, 8, 13, 10, 15, 11], [12, 25, 7, 14, 24, 20, 19, 18, 16], [21, 28], [22, 23, 27, 26, 29]]
21: [[17, 9], [2, 1, 5, 6, 3, 4, 8], [13, 11, 14, 15, 10, 7, 23, 18, 20], [19, 22], [16, 12, 28, 24], [25, 21, 27, 26, 29]]
22: [[17, 9, 2, 1, 5, 6, 3], [4, 8], [13, 11, 14, 10], [7, 23, 12, 28, 20, 15, 16, 22, 18], [24, 19], [25, 21, 27, 26, 29]]
23: [[17, 9, 2, 1], [5, 6], [3, 4, 8, 13, 11, 15, 12], [7, 26, 22, 16, 10, 24, 23, 14, 18], [28, 20], [25, 19, 27, 21, 29]]
24: [[17, 9, 2, 1], [5, 6], [3, 4, 8, 13, 11, 15, 16], [7, 19, 28, 24, 20, 21, 14, 10, 29], [18, 12], [22, 23, 27, 26, 25]]
25: [[17, 9, 2, 1, 5, 6, 3], [4, 8], [13, 11, 14, 10], [15, 7, 12, 28, 20, 16, 18, 22, 19], [24, 23], [25, 21, 27, 26, 29]]
26: [[17, 9, 2, 1, 5, 6, 3], [4, 8], [13, 11, 14, 10], [15, 7, 12, 28, 20, 16, 18, 22, 19], [24, 23], [25, 21, 27, 26, 29]]
27: [[17, 9, 2, 1, 5, 6, 3], [4, 8], [13, 11, 14, 7], [12, 19, 24, 15, 10, 23, 18, 22, 20], [16, 28], [25, 21, 27, 26, 29]]
28: [[17, 9, 2, 1, 5, 6, 3], [4, 8, 13, 11, 15, 7, 12, 10, 14], [28, 16], [23, 18, 24, 20], [19, 22], [25, 21, 27, 26, 29]]
29: [[17, 9], [2, 1, 5, 6, 3, 4, 8, 13, 11], [14, 10, 7, 19], [18, 20], [12, 23, 15, 16, 28, 22, 24], [25, 21, 27, 26, 29]]
30: [[17, 9], [2, 1, 5, 6, 3, 4, 8, 13, 11], [14, 10, 7, 19], [18, 20], [12, 23, 15, 16, 28, 22, 24], [25, 21, 27, 26, 29]]
31: [[17, 9], [2, 1, 5, 6], [3, 4, 8, 13, 11, 14, 7], [10, 26, 12, 15, 20, 18, 22, 16, 19], [24, 28], [25, 21, 27, 23, 29]]
32: [[17, 9, 2, 1], [5, 6], [3, 4], [8, 13, 11, 15, 28, 7, 20, 14, 22], [16, 23, 10, 26, 19, 12, 18], [25, 21, 27, 24, 29]]
33: [[17, 9, 2, 1], [5, 6], [3, 4], [8, 13, 11, 15, 28, 7, 20, 14, 22], [16, 23, 10, 26, 19, 12, 18], [25, 21, 27, 24, 29]]
34: [[17, 9, 2, 1, 5, 6, 3], [4, 8, 13, 11], [14, 12, 15, 7, 19, 20, 10, 18, 16], [29, 23], [25, 22], [24, 21, 27, 26, 28]]
35: [[17, 9], [2, 1, 5, 6], [3, 4], [8, 13, 11, 14, 7, 15, 10, 26, 28], [12, 16, 22, 19, 20, 24, 18], [25, 21, 27, 23, 29]]
36: [[17, 9, 2, 1], [5, 6], [3, 4, 8, 13, 11, 14, 7], [10, 19, 28, 12, 20, 16, 24, 15, 21], [26, 18], [25, 22, 27, 23, 29]]
37: [[17, 9], [2, 1, 5, 6], [3, 4], [8, 13, 11, 15, 7, 12, 10], [24, 14, 28, 19, 16, 21, 18, 20, 22], [25, 23, 27, 26, 29]]
38: [[17, 9], [2, 1, 5, 6], [3, 4], [8, 13, 11, 14, 15, 7, 10, 22, 20], [12, 16, 26, 24, 18, 19, 23], [25, 21, 27, 28, 29]]
39: [[17, 9], [2, 1, 5, 6, 3, 4, 8, 12, 15], [14, 10, 20, 23, 7, 28, 11], [13, 21], [16, 19, 18, 22], [25, 24, 27, 26, 29]]
40: [[17, 9], [2, 1, 5, 6, 3, 4, 8], [13, 11, 14, 15, 10, 7, 23, 16, 28], [12, 18], [19, 24, 22, 21], [25, 20, 27, 26, 29]]
41: [[17, 9], [2, 1], [5, 6, 3, 4], [8, 13, 11, 14, 10, 15, 19], [12, 20, 16, 23, 7, 26, 22, 28, 18], [25, 21, 27, 24, 29]]
42: [[17, 9, 2, 1, 5, 6, 3], [4, 8], [13, 11, 14, 7], [10, 19, 16, 15, 22, 23, 12, 18, 20], [24, 21], [25, 28, 27, 26, 29]]
43: [[17, 9, 2, 1, 5, 6, 3], [4, 8], [13, 11, 14, 10], [15, 7, 12, 20, 22, 23, 18, 19, 26], [16, 24], [25, 21, 27, 28, 29]]
44: [[17, 9, 2, 1, 5, 6, 3], [4, 8], [13, 11, 14, 15], [7, 12, 18, 10, 21, 22, 16, 24, 23], [20, 29], [25, 26, 19, 27, 28]]
45: [[17, 9, 2, 1, 5, 6, 3, 22], [4, 8, 12], [13, 11], [7, 23, 20, 26, 15, 16, 21, 18, 14], [28, 19, 10], [29, 27, 24, 25]]
46: [[17, 9, 2, 1, 5, 6, 3, 4, 8], [13, 11, 15, 10, 7, 19, 24], [20, 22], [21, 12, 18, 16], [14, 23], [25, 28, 27, 26, 29]]
47: [[17, 9, 2, 1, 5, 6, 3, 4, 8], [13, 11, 10, 14, 21, 22, 7], [23, 12], [15, 16, 18, 26], [24, 19], [25, 20, 27, 28, 29]]
48: [[17, 9], [2, 1, 5, 6, 3, 4, 8, 13, 11], [14, 15, 7, 10], [26, 20], [12, 23, 16, 18, 28, 19, 22], [25, 21, 27, 24, 29]]
49: [[17, 9, 2, 1, 5, 6, 3, 4, 8], [13, 11, 14, 15, 7, 10, 21], [26, 20], [12, 22], [18, 16, 23, 19], [25, 24, 27, 28, 29]]
50: [[17, 9], [2, 1, 5, 6, 3, 4, 8, 13, 11], [15, 10, 7, 19, 16, 28, 18], [22, 12, 14, 20], [24, 26], [25, 21, 27, 23, 29]]
51: [[17, 9], [2, 1, 5, 6, 3, 4, 8, 13, 11], [15, 10, 22, 19, 7, 12, 16], [14, 26], [18, 20, 28, 23], [21, 24, 27, 25, 29]]
52: [[17, 9, 2, 1, 5, 6, 3, 4, 8], [13, 11, 14, 12], [7, 10, 23, 28, 15, 16, 20], [24, 21], [18, 22], [25, 19, 27, 26, 29]]
53: [[17, 9, 2, 1, 5, 6, 3, 4, 8], [13, 11], [14, 10, 7, 23], [12, 15], [20, 21, 16, 18, 24, 19, 22], [25, 28, 27, 26, 29]]
54: [[17, 9, 2, 1, 5, 6, 3, 4, 8], [13, 11, 14, 10, 7, 19, 12], [15, 16], [21, 20, 22, 24], [18, 23], [25, 28, 27, 26, 29]]
55: [[17, 9, 2, 1, 5, 6, 3, 4], [8, 13], [11, 7, 12, 14], [20, 15, 22, 10, 23, 18, 24], [19, 21, 28], [16, 29, 26, 25, 27]]
56: [[17, 9], [2, 1, 5, 6, 3, 4, 8], [13, 11, 14, 7], [15, 28, 19, 18, 26, 21, 12, 10, 16], [20, 22], [25, 23, 24, 29, 27]]
57: [[17, 9, 2, 1, 5, 6, 3, 4], [8, 13, 7, 11], [15, 10, 12, 26, 24, 28, 21, 14], [22, 16], [18, 23], [25, 19, 27, 20, 29]]
58: [[17, 9, 2, 1, 5, 6, 3, 4, 8], [13, 11], [14, 10], [12, 7, 15, 20], [16, 21, 18, 22, 19, 24, 26], [29, 23, 25, 27, 28]]
59: [[17, 9], [2, 1, 5, 6, 3, 4, 8, 13, 11], [10, 14, 12, 7, 16, 15, 28], [18, 21], [20, 19, 24, 22], [25, 23, 27, 26, 29]]
