0: [[22, 4, 2, 3, 14, 6, 1, 13, 10], [9, 15, 8, 5], [11, 7], [12, 16, 18, 19, 17, 20], [23, 21, 24]]
23: [[22, 13, 2, 3, 4, 1], [10, 14], [6, 5, 9, 15, 8, 11], [7, 12, 16, 18, 19, 17, 20], [23, 21, 24]]
24: [[22, 13, 4], [1, 2], [3, 10, 14, 6, 5, 9, 15, 8], [11, 7, 12, 16, 18, 19, 17, 20], [23, 21, 24]]
25: [[22, 13, 4, 2, 1], [10, 14, 6, 5, 9, 15, 8, 3], [11, 7, 12, 16, 18, 19], [17, 20], [23, 21, 24]]
26: [[22], [1, 2, 3, 10, 14, 6, 5, 9, 13, 4], [15, 8, 11, 7], [12, 16, 18, 19, 17, 20], [23, 21, 24]]
27: [[22, 13, 4, 2, 10, 14, 1], [6, 5, 9, 15, 8, 11], [7, 12, 16, 18, 19, 3], [17, 20], [23, 21, 24]]
28: [[22], [1, 2, 3, 10, 14, 6, 13, 4], [5, 9, 15, 8, 11, 7], [12, 16, 18, 19, 17, 20], [23, 21, 24]]
29: [[22, 13], [1, 2], [3, 10, 14, 6, 5, 9, 15, 8, 4], [11, 7, 12, 16, 18, 19, 17, 20], [23, 21, 24]]
30: [[22, 13, 4, 2, 1], [10, 14, 6, 5, 9, 15, 8, 11], [7, 12, 16, 18, 19, 3], [17, 20], [23, 21, 24]]
31: [[22, 13, 4, 1], [2, 3, 10, 14, 6, 5], [9, 15], [8, 11, 7, 12, 16, 18, 19, 17, 20], [23, 21, 24]]
32: [[22, 13], [4, 2, 3, 10, 14, 5, 1, 6], [9, 15, 8, 11, 7, 12, 16, 18, 19], [17, 20], [23, 21, 24]]
33: [[22, 1, 2, 3, 10, 13, 4], [14, 6], [5, 9, 15, 8, 11], [7, 12, 16, 18, 19, 17, 20], [23, 21, 24]]
34: [[22, 13, 2, 3, 10, 14, 6, 5, 4, 1], [9, 15, 8, 11], [7, 12], [16, 18, 19, 17, 20], [23, 21, 24]]
35: [[22, 13], [1, 2, 3, 4], [10, 14, 6, 5, 9, 15, 8, 11, 7], [12, 16, 18, 19, 17, 20], [23, 21, 24]]
36: [[22, 13], [1, 2, 3, 4], [10, 14, 6, 5, 9, 15, 8, 11, 7], [12, 16, 18, 19, 17, 20], [23, 21, 24]]
37: [[22, 13], [1, 2, 3, 4], [10, 14, 6, 5, 9, 15, 8, 11, 7], [12, 16, 18, 19, 17, 20], [23, 21, 24]]
38: [[22, 13], [1, 2, 3, 4], [10, 14, 6, 5, 9, 15, 8, 11, 7], [12, 16, 18, 19, 17, 20], [23, 21, 24]]
39: [[22, 13], [1, 2, 3, 4], [10, 14, 6, 5, 9, 15, 8, 11, 7], [12, 16, 18, 19, 17, 20], [23, 21, 24]]
40: [[22, 13, 4, 2, 10, 14, 6, 1, 3], [5, 9, 15, 8, 11, 7, 12, 16], [18, 19], [17, 20], [23, 21, 24]]
41: [[22], [1, 2, 3, 10, 4], [14, 6, 5, 9, 15, 8, 11, 13], [7, 12, 16, 18, 19, 17], [20, 23, 21, 24]]
42: [[22, 13, 2, 1], [3, 10], [14, 6, 5, 9, 15, 8, 4], [11, 7, 12, 16, 18, 19, 17, 20, 23], [21, 24]]
43: [[22, 13, 2, 3, 4, 1], [10, 14], [6, 5, 9, 15, 8, 11, 7], [12, 16, 18, 19, 17, 20, 23], [21, 24]]
44: [[22, 4, 2, 3, 10, 1], [14, 6, 5, 9, 15], [8, 11, 13], [7, 12, 16, 18, 19, 17], [20, 23, 21, 24]]
45: [[22, 13, 4, 1, 2, 3], [10, 14, 6, 5, 9, 15, 8, 11], [7, 12, 16, 18], [19, 17], [20, 23, 21, 24]]
46: [[22, 13, 4, 1, 2, 3], [10, 14], [6, 5, 9, 15, 8, 11, 7, 12, 16], [18, 19, 17, 20, 23], [21, 24]]
47: [[22, 13, 2, 3, 1], [10, 14, 6, 5, 4], [9, 15], [8, 11, 7, 12, 16, 18, 19, 17], [20, 23, 21, 24]]
48: [[22, 13], [1, 2], [3, 10, 14, 6, 5, 9, 15, 8, 11, 4], [7, 12, 16, 18, 19, 17], [20, 23, 21, 24]]
49: [[22], [1], [2, 3, 10, 14, 6, 5, 9, 15, 4], [8, 11, 7, 12, 16, 18, 19, 17, 13], [20, 23, 21, 24]]
