0: [[17, 1, 19, 11], [5, 12, 16, 6, 13], [18, 20, 9, 8], [2, 3, 10], [4, 15], [7, 14], [23, 24, 22, 21]]
14: [[17, 1, 19], [11, 5], [12, 16], [6, 13, 18], [20, 9, 8, 2], [3, 10], [4, 15, 7, 14], [23, 24, 22, 21]]
15: [[17, 1, 19], [11, 5], [12, 16, 6], [13, 18, 20], [9, 8, 2], [3, 10], [4, 15, 7, 14], [23, 24, 22, 21]]
16: [[17, 1, 19], [11, 5], [12, 16, 6], [13, 18, 20], [9, 8, 2], [3, 10], [4, 15, 7, 14], [23, 24, 22, 21]]
17: [[17, 1, 19], [11, 5, 12, 16], [6, 13, 18], [20, 9, 8], [2, 3, 10], [4, 15], [7, 14, 23], [24, 22, 21]]
18: [[17, 1], [19, 11, 5], [12, 16, 6], [13, 18, 20, 9], [8, 2, 3, 10], [4, 15, 7, 14], [23, 24, 22, 21]]
19: [[17, 1, 19, 11, 5, 12, 16, 6, 13, 18, 20], [9, 8, 2, 3, 10, 4, 15], [7, 14, 23, 24, 22, 21]]
20: [[17, 1, 19], [11, 5, 12], [16, 6, 13, 18], [20, 9, 8, 2], [3, 10], [4, 15, 7], [14, 23, 24, 22, 21]]
21: [[17, 1, 19], [11, 5, 12], [16, 6, 13, 18], [20, 9, 8, 2], [3, 10, 4], [15, 7, 14, 23], [24, 22, 21]]
22: [[17, 1, 19, 11], [5, 12, 16], [6, 13], [18, 20, 9, 8, 2], [3, 10, 4, 15], [7, 14, 23, 24, 22, 21]]
23: [[17, 1, 19], [11, 5, 12], [16, 6, 13, 18], [20, 9, 8], [2, 3, 10, 4], [15, 7, 14, 23, 24, 22, 21]]
24: [[17, 1, 19], [11, 5, 12], [16, 6, 13], [18, 20], [9, 8, 2], [3, 10, 4], [15, 7, 14, 23], [24, 22, 21]]
25: [[17, 1, 19, 11], [5, 12, 16, 6], [13, 18, 20, 9], [8, 2, 3, 10], [4, 15, 7, 14, 23], [24, 22, 21]]
26: [[17, 1, 19], [11, 5, 12], [16, 6, 13], [18, 20], [9, 8, 2], [3, 10], [4, 15], [7, 14, 23, 24, 22, 21]]
27: [[17, 1, 19, 11], [5, 12, 16], [6, 13, 18], [20, 9, 8], [2, 3, 10, 4], [15, 7, 14, 23, 24, 22, 21]]
28: [[17, 1, 19], [11, 5, 12, 16], [6, 13], [18, 20, 9, 8], [2, 3, 10, 4, 15, 7, 14, 23, 24, 22, 21]]
29: [[17, 1, 19, 11], [5, 12, 16, 6, 13, 18, 20, 9, 8, 2], [3, 10, 4, 15, 7, 14, 23, 24, 22, 21]]
30: [[17, 1, 19, 11], [5, 12, 16, 6, 13, 18, 20, 9, 8, 2], [3, 10, 4, 15, 7, 14, 23, 24, 22, 21]]
31: [[17, 1, 19, 11, 5, 12], [16, 6, 13], [18, 20, 9], [8, 2, 3], [10, 4, 15, 7], [14, 23, 24, 22, 21]]
32: [[17, 1, 19], [11, 5, 12], [16, 6, 13], [18, 20], [9, 8], [2, 3, 10, 4], [15, 7, 14, 23, 24, 22, 21]]
33: [[17, 1, 19], [11, 5, 12], [16, 6, 13], [18, 20, 9], [8, 2], [3, 10, 4], [15, 7, 14, 23], [24, 22, 21]]
34: [[17, 1, 19], [11, 5, 12], [16, 6, 13], [18, 20], [9, 8], [2, 3, 10, 4], [15, 7, 14, 23, 24, 22, 21]]
35: [[17, 1], [19, 11], [5, 12, 16], [6, 13, 18], [20, 9, 8], [2, 3, 10], [4, 15, 7], [14, 23], [24, 22, 21]]
36: [[17, 1], [19, 11, 5], [12, 16, 6, 13], [18, 20], [9, 8, 2], [3, 10, 4, 15], [7, 14, 23], [24, 22, 21]]
37: [[17, 1], [19, 11, 5, 12, 16, 6, 13, 18, 20, 9, 8], [2, 3, 10, 4, 15, 7, 14, 23, 24, 22, 21]]
38: [[17, 1, 19], [11, 5, 12], [16, 6, 13], [18, 20], [9, 8, 2], [3, 10, 4], [15, 7, 14, 23, 24, 22, 21]]
39: [[17, 1, 19, 11], [5, 12, 16], [6, 13, 18, 20], [9, 8, 2, 3], [10, 4], [15, 7, 14, 23], [24, 22, 21]]
40: [[17, 1, 19, 11], [5, 12, 16], [6, 13, 18, 20], [9, 8, 2], [3, 10, 4], [15, 7, 14, 23, 24, 22, 21]]
41: [[17, 1], [19, 11, 5, 12, 16], [6, 13, 18, 20, 9, 8, 2], [3, 10, 4, 15, 7, 14, 23, 24, 22, 21]]
42: [[17, 1, 19], [11, 5], [12, 16], [6, 13, 18], [20, 9, 8], [2, 3, 10, 4, 15, 7, 14, 23, 24, 22, 21]]
43: [[17, 1], [19, 11, 5], [12, 16, 6, 13], [18, 20], [9, 8], [2, 3, 10], [4, 15, 7], [14, 23, 24], [22, 21]]
44: [[17, 1, 19], [11, 5], [12, 16, 6], [13, 18, 20], [9, 8, 2], [3, 10, 4], [15, 7, 14, 23, 24, 22, 21]]
45: [[17, 1, 19], [11, 5], [12, 16, 6], [13, 18, 20], [9, 8, 2], [3, 10, 4, 15], [7, 14, 23, 24, 22], [21]]
46: [[17, 1, 19], [11, 5, 12], [16, 6, 13], [18, 20, 9], [8, 2], [3, 10, 4, 15], [7, 14, 23], [24, 22], [21]]
47: [[17, 1, 19], [11, 5], [12, 16, 6], [13, 18, 20], [9, 8, 2, 3, 10, 4, 15, 7, 14, 23, 24, 22, 21]]
