0: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
14: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
15: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
16: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
17: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
18: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
19: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
20: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
21: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
22: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
23: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
24: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
25: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
26: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
27: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
28: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
29: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
30: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
31: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
32: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
33: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
34: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
35: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
36: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
37: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
38: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
39: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
40: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
41: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
42: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
43: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
44: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
45: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
46: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
47: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
48: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
49: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
50: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
51: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
52: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
53: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
54: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
55: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
56: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
57: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
58: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
59: [[4, 13, 8], [28, 24], [19, 1], [15, 7], [2, 29], [3, 12, 22], [6, 5], [9, 11, 10], [20], [17, 18, 14], [16, 21], [25, 23], [26, 27]]
