0: [[18, 19, 24, 7, 9, 2, 1], [6, 3, 12, 5, 20, 10, 4, 8, 11, 14, 15], [13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
11: [[18, 19, 24, 7, 9, 2, 1], [6, 3, 12, 5, 20, 10, 4, 8, 11, 15, 14], [13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
12: [[18, 19, 24, 7, 9, 2, 1], [6, 3, 12, 5, 20, 10, 4, 8, 11, 14, 15], [13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
13: [[18, 19, 24, 7, 9, 2, 1], [6, 3, 12, 5, 20, 10, 4, 8, 11, 14, 15], [13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
14: [[18, 19, 24, 7, 9, 2, 1], [6, 3, 12, 5, 20, 10, 4, 11, 8, 14, 15], [13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
15: [[18, 19, 24, 7, 9, 2, 1], [6, 3, 12, 5, 20, 10, 4, 8, 11, 14, 15], [13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
16: [[18, 19, 24, 7, 9, 2, 1], [6, 3, 12, 5, 20, 10, 4, 8, 11, 14, 15], [13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
17: [[18, 19, 24, 7, 9, 2, 1], [6, 3, 12, 5, 20, 10, 4, 11, 8, 14, 15], [13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
18: [[18, 19, 24, 7, 9, 2, 1], [6, 3, 12, 5, 20, 10, 4, 8, 11, 15, 14], [13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
19: [[18, 19, 24, 7, 9, 2, 1], [6, 3, 12, 5, 20, 10, 4, 8, 11, 14, 15], [13, 17, 16, 22, 23, 28], [21, 26, 25, 27, 29]]
20: [[18, 19, 24, 7, 9, 2, 1], [6, 3, 12, 5, 20, 10, 4, 8, 11, 15, 14], [13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
21: [[18, 19, 24, 7, 9, 2], [1, 6, 3, 12, 5, 20, 10, 4, 8, 11, 15], [14, 13, 17, 16, 22, 23, 28], [21, 26, 25, 27, 29]]
22: [[18, 19, 24, 7, 9, 2], [1, 6, 3, 12, 5, 20, 10, 4, 11, 8, 15], [14, 13, 17, 16, 22, 23, 28], [21, 26, 25, 27, 29]]
23: [[18, 19, 24, 7, 9, 2], [1, 6, 3, 12, 5, 20, 10, 4, 8, 11, 15], [14, 13, 17, 16, 22, 23, 28], [21, 26, 25, 27, 29]]
24: [[18, 19, 24, 7, 9, 2], [1, 6, 3, 12, 5, 20, 10, 4, 8, 11, 15], [14, 13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
25: [[18, 19, 24, 7, 9, 2], [1, 6, 3, 12, 5, 20, 10, 4, 8, 11, 15], [14, 13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
26: [[18, 19, 24, 7, 9, 2], [1, 6, 3, 12, 5, 20, 10, 4, 11, 8, 15], [13, 16, 17, 22, 23, 28, 14], [21, 26, 25, 27, 29]]
27: [[18, 19, 24, 7, 9, 2], [1, 6, 3, 12, 5, 20, 10, 4, 8, 11, 15], [14, 13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
28: [[18, 19, 24, 7, 9, 2], [1, 6, 3, 12, 5, 20, 10, 4, 11, 8, 15], [14, 13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
29: [[18, 19, 24, 7, 9, 2], [1, 6, 3, 12, 5, 20, 10, 4, 8, 11, 15], [14, 13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
30: [[18, 19, 24, 7, 9, 2], [1, 6, 3, 12, 5, 20, 10, 4, 8, 11, 14], [15, 13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
31: [[18, 19, 24, 7, 9, 2], [1, 6, 3, 12, 5, 20, 10, 4, 11, 8, 14], [13, 16, 17, 22, 23, 28, 15], [21, 26, 25, 27, 29]]
32: [[18, 19, 24, 7, 9, 2], [1, 6, 3, 12, 5, 20, 10, 4, 11, 8, 14], [15, 13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
33: [[18, 19, 24, 7, 9, 2], [1, 6, 3, 12, 5, 20, 10, 4, 11, 8, 14], [13, 16, 17, 22, 23, 28, 15], [21, 26, 25, 27, 29]]
34: [[18, 19, 24, 7, 9, 2], [1, 6, 3, 12, 5, 20, 10, 4, 8, 11, 14], [15, 13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
35: [[18, 19, 24, 7, 9, 2], [1, 6, 3, 12, 5, 20, 10, 4, 8, 11, 14], [15, 13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
36: [[18, 19, 24, 7, 9, 2], [1, 6, 3, 12, 5, 20, 10, 4, 8, 11, 14], [15, 13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
37: [[18, 19, 24, 7, 9, 2], [1, 6, 3, 12, 5, 20, 10, 4, 8, 11, 14], [15, 13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
38: [[18, 19, 24, 7, 9, 2], [1, 6, 3, 12, 5, 20, 10, 4, 8, 11, 14], [15, 13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
39: [[18, 19, 24, 7, 9, 2], [1, 6, 3, 12, 5, 20, 10, 4, 8, 11, 14], [15, 13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
40: [[18, 19, 24, 7, 9, 2], [1, 6, 3, 12, 5, 20, 10, 4, 8, 11, 14], [15, 13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
41: [[18, 19, 24, 7, 9, 2], [1, 6, 3, 12, 5, 20, 10, 4, 8, 11, 14], [15, 13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
42: [[18, 19, 24, 7, 9, 2], [1, 6, 3, 12, 5, 20, 10, 4, 8, 11, 14], [15, 13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
43: [[18, 19, 24, 7, 9, 2], [1, 6, 3, 12, 5, 20, 10], [4, 8, 11, 15, 14, 13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
44: [[18, 19, 24, 7, 9, 2, 1, 6, 3, 12, 5], [20, 10, 4, 11, 8, 14, 15], [13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
45: [[18, 19, 24, 7, 9, 2, 1, 6, 3, 12, 5], [20, 10, 4, 8, 11, 15, 14], [13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
46: [[18, 19, 24, 7, 9, 2, 1, 6, 3, 12, 5], [20, 10, 4, 8, 11, 15, 14], [13, 17, 16, 22, 23, 28], [21, 26, 25, 27, 29]]
47: [[18, 19, 24, 7, 9, 2, 1, 6, 3, 12, 5], [20, 10, 4, 8, 11, 14, 15], [13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
48: [[18, 19, 24, 7, 9, 2, 1, 6, 3, 12, 5], [20, 10, 4, 8, 11, 15, 14], [13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
49: [[18, 19, 24, 7, 9, 2, 1, 6, 3, 12, 5], [20, 10, 4, 8, 11, 14, 15], [13, 17, 16, 22, 23, 28], [21, 26, 25, 27, 29]]
50: [[18, 19, 24, 7, 9, 2, 1, 6, 3, 12, 5], [20, 10, 4, 8, 11, 14, 15], [13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
51: [[18, 19, 24, 7, 9, 2, 1, 6, 3, 12, 5], [20, 10, 4, 11, 8, 14, 15], [13, 17, 16, 22, 23, 28], [21, 26, 25, 27, 29]]
52: [[18, 19, 24, 7, 9, 2, 1, 6, 3, 12, 5], [20, 10, 4, 8, 11, 14, 15], [13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
53: [[18, 19, 24, 7, 9, 2, 1, 6, 3, 12, 5], [20, 10, 4, 8, 11, 14, 15], [13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
54: [[18, 19, 24, 7, 9, 2, 1, 6, 3, 12, 5], [20, 10, 4, 8, 11, 14, 15], [13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
55: [[18, 19, 24, 7, 9, 2, 1, 6, 3, 12, 5], [20, 10, 4, 11, 8, 14, 15], [13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
56: [[18, 19, 24, 7, 9, 2, 1, 6, 3, 12, 5], [20, 10, 4, 8, 11, 15], [14, 13, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
57: [[18, 19, 24, 7, 9, 2, 1, 6, 3, 12, 5], [20, 10, 4, 8, 11, 15], [14, 13, 17, 16, 23, 22, 28], [21, 26, 25, 27, 29]]
58: [[18, 19, 24, 7, 9, 2, 1, 6, 3, 12, 5], [20, 10, 4, 8, 11, 15], [13, 14, 16, 17, 22, 23, 28], [21, 26, 25, 27, 29]]
59: [[18, 19, 24, 7, 9, 2, 1, 6, 3, 12, 5], [20, 10, 4, 11, 8, 14], [17, 16, 22, 23, 28, 13, 15], [21, 26, 25, 27, 29]]
