0: [[6, 9, 3, 13, 1], [2, 14, 7, 10], [5, 4, 8, 11, 15, 16, 18, 19, 20, 22, 12, 17], [21, 23, 24]]
35: [[6, 9, 3, 1], [13, 2, 14, 7, 10], [5, 4, 8, 11, 15, 16, 18, 19, 20, 22, 12, 17], [21, 23, 24]]
36: [[6, 9, 3, 1, 13], [2, 14, 7, 10], [5, 8, 11, 15, 16, 18, 17, 19, 20, 4, 12], [22, 21, 23, 24]]
37: [[6, 9, 3, 1, 13, 2], [14, 7, 10, 5], [4, 8, 11, 15, 16, 18, 19, 20, 22, 12, 17], [21, 23, 24]]
38: [[6, 9, 3, 1, 13, 2], [14, 7, 10, 5], [4, 8, 11, 15, 16, 18, 19, 20, 22, 12, 17], [21, 23, 24]]
39: [[6, 9, 3, 1, 13, 2], [14, 7, 10, 5], [4, 8, 11, 15, 16, 18, 19, 20, 22, 12, 17], [21, 23, 24]]
40: [[6, 9, 3, 1, 13, 2], [14, 7, 10, 5], [4, 8, 11, 15, 16, 18, 19, 20, 22, 12, 17], [21, 23, 24]]
41: [[6, 9, 3, 1, 13, 2], [14, 7, 10, 5], [4, 8, 11, 15, 16, 18, 19, 20, 22, 12, 17], [21, 23, 24]]
42: [[6, 9, 3, 1, 13], [2, 14, 7, 10, 5], [8, 11, 15, 16, 18, 17, 19, 20, 4, 12], [22, 21, 23, 24]]
43: [[6, 9, 3, 1], [13, 2, 14, 7], [10, 5, 4, 8, 11, 15, 16, 18, 19, 20, 22, 12, 17], [21, 23, 24]]
44: [[6, 9, 3, 1], [13, 2, 14, 7], [10, 5, 4, 8, 11, 15, 16, 18, 19, 20, 22, 12, 17], [21, 23, 24]]
45: [[6, 9, 3, 1, 13], [2, 14, 7, 10], [5, 4, 8, 11, 12, 15, 16, 18, 17, 19, 20, 22, 21], [23, 24]]
46: [[6, 9, 3, 1, 13], [2, 14, 7, 10], [5, 4, 8, 11, 12, 15, 16, 18, 17, 19, 20, 22, 21], [23, 24]]
47: [[6, 9, 3, 1, 13], [2, 14, 7, 10, 5], [4, 8, 11, 12, 15, 16, 18, 17, 19, 20, 22, 21], [23, 24]]
48: [[6, 9, 3, 1], [13, 2, 14, 7], [10, 5, 8, 11, 15, 16, 18, 17, 19, 20, 4, 12], [22, 21, 23, 24]]
49: [[6, 9, 3, 1], [13, 2, 14, 7], [10, 5, 8, 11, 15, 16, 18, 17, 19, 20, 4, 12], [22, 21, 23, 24]]
