0: [[11, 7], [20, 9, 1, 13, 2, 8], [3, 10, 16], [4, 5, 14, 6, 12], [17, 15, 18, 19, 22], [21, 24, 23]]
20: [[11, 20, 9, 1, 13, 7, 8], [2, 3, 16], [10, 4, 5, 14, 6], [12, 17, 15, 18], [19, 22], [21, 24, 23]]
21: [[16, 7], [8, 11, 20, 9], [1, 13], [2, 3, 10], [4, 5, 14, 6, 12], [17, 15, 18, 19, 22], [21, 24, 23]]
22: [[11, 20, 16, 7, 8], [9, 1], [13, 2, 3, 10], [4, 5, 14, 6, 12], [17, 15, 18], [19, 22], [21, 24, 23]]
23: [[11, 16, 7, 8], [20, 9], [1, 13, 2, 3, 10], [4, 5, 14, 6, 12], [17, 15, 18], [19, 22], [21, 24, 23]]
24: [[11, 20, 9, 1, 16, 8], [13, 2, 3, 10], [4, 5], [14, 6, 7], [12, 17, 15, 18, 19, 22], [21, 24, 23]]
25: [[16, 7, 8, 11, 20], [9, 1], [13, 2], [3, 10], [4, 5, 14, 6, 12], [17, 15, 18, 19, 22], [21, 24, 23]]
26: [[16, 7, 8, 11, 20], [9, 1], [13, 2], [3, 10], [4, 5, 14, 6, 12], [17, 15, 18, 19, 22], [21, 24, 23]]
27: [[11, 20, 9, 7], [1, 13, 2, 3, 10], [4, 5], [14, 6, 12, 17, 16], [15, 18, 19, 22, 8], [21, 24, 23]]
28: [[16, 7, 8, 11], [20, 9], [1, 13], [2, 3, 10, 4], [5, 14, 6, 12], [17, 15, 18, 19, 22], [21, 24, 23]]
29: [[16, 7, 8, 11], [20, 9], [1, 13], [2, 3, 10, 4], [5, 14, 6, 12], [17, 15, 18, 19, 22], [21, 24, 23]]
30: [[11, 20, 9, 1, 13, 16, 8], [2, 3, 10, 4, 5], [14, 6, 12, 17, 7], [15, 18], [19, 22], [21, 24, 23]]
31: [[11, 20, 7], [9, 1, 13, 2, 3, 16, 8], [10, 4, 5, 14], [6, 12, 17, 15, 18], [19, 22], [21, 24, 23]]
32: [[11, 20, 7], [9, 1, 13, 2, 3, 16, 8], [10, 4, 5, 14], [6, 12, 17, 15, 18], [19, 22], [21, 24, 23]]
33: [[11, 20, 9, 1, 13, 7, 8], [2, 3, 16], [10, 4, 5, 14], [6, 12, 17, 15, 18], [19, 22], [21, 24, 23]]
34: [[16, 7], [8, 11, 20, 9], [1, 13, 2, 3, 10], [4, 5, 14, 6, 12], [17, 15, 18], [19, 22], [21, 24, 23]]
35: [[11, 20, 9, 1, 13, 16, 8], [2, 3, 10, 4, 5], [14, 6, 7], [12, 17, 15, 18], [19, 22], [21, 24, 23]]
36: [[11, 20, 9, 1], [13, 2, 8], [3, 10, 4, 16], [5, 14, 6, 7], [12, 17, 15, 18, 19, 22], [21, 24, 23]]
37: [[11, 20, 7, 8], [9, 1, 13, 2, 3, 16], [10, 4, 5, 14], [6, 12], [17, 15, 18], [19, 22], [21, 24, 23]]
38: [[11, 20, 7], [9, 1, 13, 2, 3, 16, 8], [10, 4], [5, 14, 6, 12], [17, 15, 18, 19, 22], [21, 24, 23]]
39: [[16, 7, 8, 11], [20, 9, 1, 13], [2, 3, 10, 4], [5, 14], [6, 12], [17, 15, 18, 19, 22], [21, 24, 23]]
40: [[11, 20, 9, 1, 16, 7, 8], [13, 2, 3, 10], [4, 5], [14, 6, 12, 17, 15, 18], [19, 22], [21, 24, 23]]
41: [[16, 7, 8, 11, 20], [9, 1, 13, 2], [3, 10], [4, 5, 14, 6], [12, 17, 15], [18, 19], [22, 21, 24, 23]]
42: [[7, 20, 11], [9, 1, 13, 2], [3, 10, 16], [4, 5, 14, 6, 12, 17], [15, 18, 19, 8], [22, 21], [24, 23]]
43: [[11, 20, 9, 1, 8], [13, 2], [3, 10, 4, 5, 16], [14, 6, 7], [12, 17, 15, 18, 19], [22, 21, 24, 23]]
44: [[11, 20, 9, 1, 8], [13, 2], [3, 10, 4, 5, 16], [14, 6, 12, 17, 15, 7], [18, 19, 22], [21, 24, 23]]
45: [[16, 7, 8, 11, 20], [9, 1, 13, 2], [3, 10, 4, 5, 14, 6], [12, 17, 15], [18, 19], [22, 21], [24, 23]]
46: [[11, 20, 9, 1], [13, 2, 3, 10, 4, 16], [5, 14, 6, 12, 17, 7], [15, 18, 19, 8], [22, 21], [24, 23]]
47: [[7, 20, 11], [9, 1, 13, 2, 3, 16], [10, 4], [5, 14, 6, 12, 17], [15, 18, 19, 8], [22, 21], [24, 23]]
48: [[11, 20, 9, 1, 8], [13, 2], [3, 10, 4, 5, 14], [6, 12, 17, 15, 16, 7], [18, 19], [22, 21, 24, 23]]
49: [[11, 20, 9, 7, 8], [1, 13], [2, 3, 10, 4, 5], [14, 6, 12, 17, 15], [18, 19, 22, 21, 16], [24, 23]]
