0: [[2, 4, 1], [5, 9, 15, 8, 13, 6], [7, 11], [14, 12, 20, 19, 17, 22, 10], [16, 18, 3], [23, 21, 24]]
16: [[10, 2, 1, 4], [5, 9, 6], [15, 8, 13, 7, 11, 14], [12, 20, 19, 17, 22], [16, 18, 3], [23, 21, 24]]
17: [[2, 4, 1, 5, 9, 15, 8, 6], [13, 7, 11, 14, 12, 10], [20, 19, 17, 22], [16, 18, 3], [23, 21, 24]]
18: [[2, 4, 1, 5, 9, 6], [15, 8, 13, 7], [11, 14, 12, 20, 19, 17, 22, 10], [16, 18, 3], [23, 21, 24]]
19: [[2, 4, 1, 5, 9, 6], [15, 8], [13, 7, 11, 14, 12, 20, 19, 10], [17, 22, 16, 18, 3], [23, 21, 24]]
20: [[2, 4, 1, 5, 9, 15, 6], [8, 13, 7, 11, 14, 12, 10], [20, 19, 17, 22], [16, 18, 3], [23, 21, 24]]
21: [[2, 4, 1, 5, 9, 15, 6], [8, 13, 7, 11, 14, 12, 10], [20, 19, 17, 22], [16, 18, 3], [23, 21, 24]]
22: [[2, 4], [1, 5, 9, 15, 8, 13, 6], [7, 11, 14, 12, 20, 19, 17, 22, 10], [16, 18, 3], [23, 21, 24]]
23: [[2], [4, 1, 5, 9, 15, 8, 13, 6], [7, 11, 14, 12, 20, 19, 10], [17, 22, 16, 18, 3], [23, 21, 24]]
24: [[2], [4, 1], [5, 9, 15, 8, 13, 7, 11, 6], [14, 12, 20, 19, 17, 22, 10], [16, 18, 3], [23, 21, 24]]
25: [[10, 2, 1, 4], [5, 9, 6], [15, 8, 13, 7], [11, 14, 12, 20, 19, 17, 22], [16, 18, 3], [23, 21, 24]]
26: [[10, 2, 1, 4], [5, 9, 6], [15, 8, 13, 7], [11, 14, 12, 20, 19, 17, 22], [16, 18, 3], [23, 21, 24]]
27: [[2, 4, 1, 5, 9, 10], [15, 8, 13, 7, 11, 14, 6], [12, 20], [19, 17, 22], [16, 18, 3], [23, 21, 24]]
28: [[2], [4, 1], [5, 9, 15, 8, 13, 7, 6], [11, 14, 12, 20, 19, 17, 22, 10], [16, 18, 3], [23, 21, 24]]
29: [[2, 4, 1], [5, 9, 15, 8, 13, 7, 6], [11, 14, 12, 20, 19, 10], [17, 22], [16, 18, 3], [23, 21, 24]]
30: [[2], [4, 1, 5, 9, 15, 8, 6], [13, 7, 11, 14, 12, 20, 19, 10], [17, 22, 16, 18, 3], [23, 21, 24]]
31: [[2], [4, 1, 5, 9, 15, 8], [13, 7, 6], [11, 14, 12, 20, 19, 17, 22, 10], [16, 18, 3], [23, 21, 24]]
32: [[2, 4, 1, 5], [9, 15, 8, 13, 7, 6], [11, 14, 10], [12, 20, 19, 17, 22, 16, 18, 3], [23, 21, 24]]
33: [[2, 4, 1, 5, 9, 15, 6], [8, 13], [7, 11, 14, 12, 10], [20, 19, 17, 22, 16, 18, 3], [23, 21, 24]]
34: [[2], [4, 1, 5, 9, 15, 8, 6], [13, 7, 11, 14, 12, 20, 19, 10], [17, 22], [16, 18, 3], [23, 21, 24]]
35: [[2, 4], [1, 5, 9, 15, 8, 13, 7, 6], [11, 14, 12, 20, 19, 17, 22, 10], [16, 18, 3], [23, 21, 24]]
36: [[6, 3], [10, 2, 4, 1, 5, 9], [15, 8], [13, 7, 11, 14], [12, 20, 19, 17, 22, 16, 18], [23, 21, 24]]
37: [[2, 4, 1, 10], [5, 9], [15, 8], [13, 7, 11, 14, 12, 6], [20, 19, 17, 22, 16, 18, 3], [23, 21, 24]]
38: [[2, 4, 1, 5, 9, 15, 6], [8, 13, 7], [11, 14, 10], [12, 20, 19, 17, 22, 16, 18, 3], [23, 21, 24]]
39: [[2], [4, 1, 3, 10], [5, 9, 15, 8, 13, 7, 11, 6], [14, 12, 20, 19, 17, 22, 16, 18], [23, 21, 24]]
40: [[2], [4, 1], [5, 9, 15, 8, 13, 7, 6], [11, 14, 10], [12, 20, 19, 17, 22, 16, 18, 3], [23, 21, 24]]
41: [[2, 4, 10], [1, 5], [9, 15, 8, 13, 7, 11, 14, 6], [12, 20, 19, 17, 22, 16, 18, 3], [23, 21, 24]]
42: [[2], [4, 1, 5, 9, 15, 8, 13, 6], [7, 11], [14, 12, 20, 19, 17, 10], [22, 16, 3], [18, 23, 21, 24]]
43: [[2, 4, 1, 5, 6], [9, 15, 8, 13], [7, 11], [14, 12, 20, 19, 17, 22, 16, 10], [18, 23, 3], [21, 24]]
44: [[2, 4], [1, 5, 9, 15, 8, 13, 6], [7, 11, 14, 12, 20, 19, 17, 10], [22, 16, 3], [18, 23, 21, 24]]
45: [[2, 4], [1, 5, 9, 15, 8, 13, 6], [7, 11, 14, 12, 20, 19, 17, 10], [22, 16, 3], [18, 23, 21, 24]]
46: [[2, 4, 1, 5], [9, 15, 8, 13, 7, 11, 14, 6, 10], [12, 20, 19, 17], [22, 16, 3], [18, 23, 21, 24]]
47: [[6, 3], [10, 2, 4, 1, 5, 9], [15, 8], [13, 7, 11, 14, 12], [20, 19, 17, 22, 16, 18, 23], [21, 24]]
48: [[10, 2, 1, 5, 4], [9, 15], [8, 13, 6], [7, 11, 14, 12, 20, 19, 17], [22, 16, 18, 23, 3], [21, 24]]
49: [[2, 4, 1, 5, 3, 10], [9, 15], [8, 13, 7, 11, 6], [14, 12, 20, 19, 17, 22, 16], [18, 23, 21, 24]]
