0: [[59], [14, 54, 33], [23, 25, 5], [11, 1, 27], [35, 2], [46, 52], [19, 20, 26], [3, 30], [31, 4, 7], [24, 42], [8, 39, 34], [60, 45, 9, 58, 12, 29], [13, 6, 21], [15, 16, 10, 18], [22, 28, 40], [32, 17], [36, 37, 43], [38, 44], [53, 47, 50], [41, 51, 56], [48, 55], [57, 49]]
11: [[59, 14], [54, 33], [23, 25], [5, 11], [1, 27], [35, 2, 46], [52, 19, 20, 26], [3, 30, 31], [4, 7], [24, 40, 39], [8, 34, 60], [45, 9, 58], [12, 29, 13], [21, 6, 10], [15, 18, 16], [22, 28, 42], [17, 36, 37], [43, 38, 32], [44, 53, 47], [50, 41], [51, 56, 48], [55, 57, 49]]
12: [[59, 14], [54, 33], [23, 25], [5, 11], [1, 27], [35, 2, 46], [52, 19, 20], [26, 3, 30], [31, 4, 7], [24, 42, 8], [39, 34, 60], [45, 9], [40, 12, 29], [13, 6, 21], [15, 16], [10, 18, 22], [28, 58, 32], [17, 36, 37], [43, 38, 44], [53, 47], [50, 41, 51], [56, 48, 55], [57, 49]]
13: [[59, 14], [54, 33], [23, 25], [5, 11, 1], [27, 35], [2, 46, 52], [19, 20, 26], [3, 30, 31], [4, 7, 24], [40, 8, 39], [34, 60, 45], [9, 58, 12], [29, 13], [6, 21, 15], [16, 10, 18], [22, 28], [42, 32, 17], [36, 37], [43, 38, 44], [53, 47], [50, 41, 51], [56, 48, 55], [57, 49]]
14: [[59, 14], [54, 33], [23, 25], [5, 11], [1, 27], [35, 46, 2], [52, 19, 20], [26], [3, 30, 31], [4, 7], [24, 42, 8], [39, 34, 60], [45, 9], [58, 12, 29], [13, 21], [15, 6, 10], [22, 16], [28, 40, 18], [32, 17], [36, 37], [43, 38, 44], [53, 47, 50], [41, 51, 56], [48, 55, 57, 49]]
15: [[59, 14], [54, 33, 23], [25, 5, 11], [1, 27, 35], [46, 52, 2, 6], [19, 20, 26], [3, 30, 31], [4, 7], [24, 42, 8], [39, 34, 60], [45, 9, 40], [13, 21, 29], [15, 16, 18], [22, 28, 58], [32, 17, 10, 12], [36, 37], [43, 38], [44, 53], [47, 50, 41], [51], [56, 48, 55], [57, 49]]
16: [[59, 14], [54, 33], [23, 25], [5, 11], [1, 27], [35, 2], [46, 52], [19, 20, 26, 3], [30, 31], [4, 7, 24], [40, 8, 39], [34, 60], [45, 9], [58, 12, 29], [13, 6, 21], [15, 16, 10], [18, 22, 28], [42, 32, 17], [36, 37, 43], [38, 44, 53], [47, 50, 41], [51, 56, 48], [55, 57, 49]]
17: [[59, 14], [54, 33], [23, 25], [5, 11], [1, 27], [35, 2], [46, 52], [19, 20, 26, 3], [30, 31], [4, 7, 24], [40, 8, 39], [34, 60], [45, 9], [58, 12, 29], [13, 6, 21], [15, 16, 10], [18, 22, 28], [42, 32, 17], [36, 37, 43], [38, 44, 53], [47, 50, 41], [51, 56, 48], [55, 57, 49]]
18: [[59, 14], [54, 33], [23, 25, 5], [11, 1, 27, 35], [2, 46, 52], [19, 20, 26], [3, 30, 31], [4, 7, 24], [42, 8, 39], [34, 60, 45], [9, 58, 12], [29, 13], [6, 21, 15], [16, 10, 18], [22, 28], [56, 32, 17], [36, 37], [43, 38, 44], [53, 47], [50, 41, 51], [40, 48, 55], [57, 49]]
19: [[59, 14], [54, 33], [23, 25], [5, 11], [1, 27], [35, 2, 46], [52, 19], [20, 26], [3, 30, 31], [4, 7], [24, 42], [8, 39], [34, 60, 45], [9, 58], [12, 29], [13, 21, 6], [15, 16, 10], [18, 22, 28], [40, 32, 17], [36, 37, 43, 38], [44, 53, 47], [50, 41, 51], [56, 48], [55, 57, 49]]
20: [[59, 14], [54, 33], [23, 25], [5, 11], [1, 27, 35], [2, 46], [52, 19, 20], [26, 3, 30], [31, 4, 7], [24, 42, 8], [39, 34], [60, 45, 9], [58, 12, 29], [13, 21, 6], [10, 15, 16], [18, 22, 28], [40, 32, 17], [36, 37, 43], [38, 44, 53], [47, 50, 41], [51, 56, 48], [55, 57, 49]]
21: [[59, 14, 54], [33, 23], [25, 5, 11], [1, 27, 35], [2, 46, 52], [19, 20, 26], [3, 30, 31], [4, 7, 24], [42, 8, 39], [34, 60, 45], [9, 56], [12, 29], [13, 6, 21], [15, 16, 10], [18, 22, 28], [58, 32, 17], [36, 37, 43], [38, 44], [53, 47, 50], [41, 51, 40], [48, 55, 57, 49]]
22: [[59, 14], [54, 33], [23, 25], [5, 11], [1, 27], [35, 2], [46, 52], [19, 20, 26], [3, 30, 31], [4, 7, 24], [42, 8, 39], [34, 60, 45], [9, 58], [12, 29, 13, 21, 15, 6, 10, 22, 28, 16, 18, 40, 32, 17, 36, 37, 43, 38, 44, 53, 47, 50, 41, 51, 56, 48], [55, 57, 49]]
23: [[59, 14], [54, 33], [23, 25], [5, 11, 1], [27, 35, 2], [46, 52], [19, 20, 26], [3, 30, 31], [4, 7, 24], [42, 8, 39, 34], [60, 45], [9, 40], [12, 29, 13, 6, 21], [15, 16], [10, 18, 22], [28, 58], [32, 17, 36], [37, 43, 38], [44, 53, 47], [50, 41, 51], [56, 48, 55], [57, 49]]
24: [[59, 14], [54, 33], [23, 25], [5, 11, 1], [27, 35], [2, 46, 52], [19, 20, 26], [3, 30], [31, 4, 7], [24, 42, 8], [39, 34, 60], [45, 9, 40], [12, 29, 13], [6, 21, 15], [16, 10, 18], [22, 28, 58], [32, 17, 36], [37, 38, 43], [44, 53, 47], [50, 41], [51, 56, 48, 55], [57, 49]]
25: [[59, 14], [54, 33], [23, 25], [5, 11], [1, 27], [35, 2], [46, 52], [19, 20, 26], [3, 30, 31], [4, 7, 24], [42, 8, 39], [34, 60], [45, 9, 58], [12, 29], [13, 21], [15, 6, 10], [22, 28, 16], [18, 40, 32], [17, 36], [37, 43, 38], [44, 53, 47], [50, 41, 51], [56, 48, 55], [57, 49]]
26: [[59], [14, 54, 33], [23, 25], [5, 11], [1, 27, 35, 2], [46, 52], [19, 20, 26], [3, 30, 31], [4, 7, 24], [42, 8, 39], [34, 60, 45], [9, 58, 12], [13, 21, 29], [15, 16, 6], [10, 22], [28, 40, 18], [17, 36, 37], [43, 32, 38], [44, 53], [47, 50, 41], [51], [56, 48, 55], [57, 49]]
27: [[59, 14], [54, 33, 23], [25, 5], [11, 1, 27], [35, 2], [46, 52, 19], [20, 26], [3, 31, 30], [6, 4], [7, 24, 42], [8, 39, 60], [45, 9], [58, 12, 29], [13, 34, 21], [15, 16, 10], [18, 22, 28], [40, 32, 17], [36, 37, 43], [38, 44, 53], [47, 50, 41], [51, 56, 48], [55, 57, 49]]
28: [[59, 14], [54, 33], [23, 25], [5, 11], [1, 27, 35], [2, 46, 52], [19, 20, 26], [3, 30], [31, 4], [7, 24], [42, 8], [39, 34, 60], [45, 9], [58, 12, 29], [13, 21], [6, 15], [16, 10, 18], [22, 28, 40], [32, 17, 36], [37, 43], [38, 44, 53], [47, 50, 41], [51, 56, 48], [55, 57, 49]]
29: [[59, 14], [54, 33], [23, 25], [5, 11], [1, 27], [35, 2], [46, 52], [19, 20], [26, 3, 30], [31, 4, 7], [24, 42], [8, 39], [34, 60, 45], [9, 58, 12], [13, 21, 29], [15, 22, 6, 10], [28, 32, 16], [18, 40, 17], [36, 37, 43], [38, 44, 53], [47, 50, 41], [51, 56], [48, 55, 57, 49]]
30: [[59], [14, 54, 33], [23, 25, 5], [11, 1, 27], [35, 2], [46, 52], [19, 20], [26, 3, 30], [31, 4], [7, 24, 42], [8, 39, 34], [60, 45], [9, 58, 12], [29, 13, 21], [15, 6, 10], [16, 18, 22], [28, 40, 32], [17, 36], [37, 43, 38], [44, 53, 47, 50], [41, 51, 56], [48, 55], [57, 49]]
31: [[59, 14], [54, 33], [23, 25], [5, 11, 1], [27, 35, 2], [46, 52, 19], [20, 26], [3, 30], [31, 4, 7], [24, 42, 8], [39, 34], [60, 45, 9], [58, 12, 29], [13, 21, 6], [10, 15, 18, 16], [22, 28, 40], [17, 36, 37], [43, 38, 32], [44, 53, 47, 50, 41, 51, 56, 48, 55, 57, 49]]
32: [[59, 14], [54, 33], [23, 25], [5, 11], [1, 27, 35], [2, 46, 52], [19, 20, 26], [3, 30], [31], [4, 7], [24, 42, 8], [39, 34, 60], [45, 9, 58], [12, 29, 13], [21, 15, 6, 10, 16], [18, 22, 28, 40, 32, 17, 36, 37, 43, 38, 44, 53, 47, 50, 41, 51, 56, 48, 55], [57, 49]]
33: [[59, 14, 54], [33, 23, 25], [5, 11], [1, 27, 35], [46, 2, 52], [19, 20, 26], [3, 30, 31], [4, 7, 24], [42, 8, 39], [34, 60, 45], [9, 40], [12, 29, 13], [6, 21, 15], [16, 10, 18], [22, 28, 58], [32, 17, 36], [37, 43, 38], [44, 53], [47, 50, 41], [51, 56, 48], [55, 57, 49]]
34: [[59, 14], [54, 33], [23, 25], [5, 11, 1], [27, 35], [2, 46, 52], [19, 20, 26], [3, 30, 31], [4, 7, 24], [42, 39], [34, 60], [12, 45, 9], [58, 8], [29, 13], [6, 21, 15], [16, 10], [18, 22, 28], [56, 32, 17], [36, 37], [43, 38, 44, 53], [47, 50, 41], [51, 40, 48], [55, 57, 49]]
35: [[59, 14], [54, 33], [23, 25], [5, 11, 1], [27, 35, 2], [46, 52, 19], [20, 26, 3], [30, 31], [4, 7, 24], [40, 39], [8, 34], [60, 45, 9], [42, 12, 29], [13, 6, 21], [15, 16, 10], [18, 22, 28], [58, 17, 36, 37], [43, 38, 32], [44, 53, 47], [50, 41], [51, 56, 48], [55, 57, 49]]
36: [[59, 14], [54, 33], [23, 25, 5], [11, 1, 27], [35, 2, 46], [52, 19, 20], [26, 3, 30], [31, 4, 7], [24, 42], [8, 39], [34, 60, 45], [9, 58], [12, 29, 13], [6, 21], [15, 16, 10], [18, 22, 28], [40, 32, 17], [36, 37, 43], [38, 44, 53, 47, 50], [41, 51, 56, 48, 55, 57, 49]]
37: [[59, 14], [54, 33], [23, 25], [5, 11, 1], [27, 35], [2, 46], [52, 19, 20], [26, 3, 30], [31, 4, 7], [24, 42, 8], [39, 34, 60], [45, 9, 40], [12, 13], [6, 10, 21], [15, 16, 22], [28, 58, 18], [32, 17, 36], [37, 43, 29], [38, 44, 53], [47, 50, 41], [51, 56, 48], [55, 57, 49]]
38: [[59, 14], [54, 33], [23, 25], [5], [11, 1, 27], [35, 2, 46], [52, 19, 20], [26, 3], [30, 31, 4], [7, 24], [42, 8, 39], [34, 60, 45], [9, 58, 12], [29, 13, 21], [6, 10, 15], [16, 18], [22, 28, 40], [32, 17, 36], [37, 43, 38], [44, 53], [47, 50, 41], [51, 56, 48], [55, 57, 49]]
39: [[59], [14, 54], [33, 23, 25], [5, 11, 1], [27, 35, 2], [46, 52, 19], [20, 26], [3, 30, 31], [4, 7], [24, 42, 8], [39, 34, 60], [45, 9], [58, 12, 29], [13, 6, 21], [15, 16, 10], [18, 22, 28, 40], [32, 17, 36], [37, 43, 38], [44, 53, 47], [50, 41, 51, 56, 48, 55, 57, 49]]
40: [[59], [14, 54, 33], [23, 25, 5], [11, 1, 27], [35, 2], [46, 52], [19, 20, 26], [3, 30], [31, 4, 7], [24, 42], [8, 39, 34], [60, 45, 9], [58, 12, 29], [13, 6, 21], [15, 16, 10, 18, 22], [28, 40, 32, 17, 36, 37, 43, 38, 44, 53, 47, 50, 41, 51, 56, 48, 55, 57, 49]]
41: [[59, 14], [54, 33], [23, 25], [5, 11], [1, 27, 35], [2, 46, 52], [19, 20, 26], [3, 30, 31], [4, 7], [24, 42, 8], [39, 34], [60, 45, 9], [58, 12, 29], [13, 21, 6], [10, 15, 22], [28, 40, 18], [16, 32, 17], [36, 37, 43], [38, 44, 53], [47, 50], [41, 51], [56, 48, 55, 57, 49]]
42: [[59, 14], [54, 33], [23, 25], [5], [11, 1], [27, 35], [2, 46], [52, 19, 20], [26, 3, 30], [31, 4, 7], [24, 40, 8], [39, 34, 60], [45, 9, 58], [12, 29, 13], [6, 21, 15], [16, 10, 18], [22, 28, 42], [32, 17, 36], [37, 43, 38], [44, 53, 47], [50, 41, 51], [56, 48, 55], [57, 49]]
43: [[59, 14], [54, 33], [23, 25], [5, 11], [1, 27, 35], [2, 46, 52], [19, 20], [26, 3], [30, 31, 4], [7, 24, 42], [8, 39, 34], [60, 45, 9], [58, 12, 29], [13, 21, 6], [10, 15, 16], [18, 22, 28], [40, 32, 17], [36, 37, 43], [38, 44, 53], [47, 50, 41], [51, 56, 48], [55, 57, 49]]
44: [[59, 14], [54, 33], [23, 25, 5], [11, 1, 27], [35], [46, 2, 52], [19, 20, 26], [3, 30], [31, 4, 7], [24, 42], [8, 39, 34], [60, 45, 9], [40, 12], [29, 13, 6], [21, 15], [16, 10, 18], [22, 28, 58], [32, 17, 36], [37, 43], [38, 44, 53], [47, 50, 41], [51, 56, 48], [55, 57, 49]]
45: [[59, 14], [54, 33, 23], [25, 5], [11], [1, 27, 35, 2], [46, 52], [19, 20, 3], [30, 31, 4], [7, 24, 42], [8, 39, 34], [60, 45], [9, 58], [13, 21, 29], [15, 22, 6, 10], [28, 40, 26, 12], [16, 32, 17, 18], [36, 37], [43, 38, 44], [53, 47, 50], [41, 51, 56], [48, 55, 57, 49]]
46: [[59, 14], [54, 33], [23, 25], [5, 11, 1, 27], [35, 2, 46], [52, 19, 20], [26, 3, 30], [31, 4, 7], [24, 42, 8], [39, 34], [60, 45, 9, 40], [12, 29], [13, 6, 21], [15, 16, 10], [18, 22, 28], [58, 32, 17, 36, 37, 38, 43, 44, 53, 47, 50, 41, 51, 56, 48, 55, 57, 49]]
47: [[59, 14], [54, 33], [23, 25], [5, 11], [1, 27], [35, 2], [46, 52], [19, 20], [26, 3], [30, 31], [4], [7, 24], [42, 8, 39], [34, 60], [45, 9, 58], [12, 29, 13], [6, 21, 15], [16, 10], [22, 28, 40], [18, 32, 17], [43, 38, 44], [53, 47, 50, 36], [37, 41, 51], [56, 48, 55], [57, 49]]
48: [[59, 14], [54, 33], [23, 25], [5, 11], [1, 27, 35], [2, 46], [52], [19, 20, 26], [3, 30, 31], [4, 7, 24], [42, 8], [39, 34, 60], [45, 9, 58], [12, 29, 13], [21, 6, 10], [15, 16, 18, 22], [28, 40], [32, 17, 36], [37, 43, 38], [44, 53], [47, 50, 41], [51, 56, 48], [55, 57, 49]]
49: [[59], [14, 54, 33], [23, 25], [5, 11, 1], [27, 35], [2, 46, 52], [19, 20, 3], [26, 30, 31], [4, 7, 24], [42, 8], [39, 34, 60], [45, 9, 58], [12, 29, 13], [6, 21], [15, 16, 10], [18, 22], [28, 40], [32, 17], [36, 37, 43], [38, 44, 53], [47, 50, 41], [51, 56, 48], [55, 57, 49]]
50: [[59, 14], [54, 33], [23, 25], [5, 11], [1, 27], [35], [2, 46, 52], [19, 20, 26], [3, 30], [31, 4, 7], [24, 42], [8, 39, 34], [60, 45, 9], [58, 12], [29, 13, 6], [21, 15], [16, 10, 18], [22, 28], [40, 32, 17], [36, 37, 43], [38, 44], [53, 47, 50], [41, 51, 56], [48, 55], [57, 49]]
51: [[59], [14, 54, 33], [23, 25, 5], [11, 1], [27, 35], [2, 46, 52], [19, 20], [26, 3, 30], [31, 4, 7], [24, 42], [8, 39, 34], [60, 45, 9], [58, 12, 29], [13, 6], [21, 15, 16], [10, 18, 22, 28], [40, 32, 17], [36, 37], [43, 38, 44], [53, 47, 50], [41, 51], [56, 48], [55, 57, 49]]
52: [[59, 14], [54, 33], [23, 25, 5], [11, 1, 27], [35, 2, 46], [52, 19, 20], [26, 3, 30], [31, 4], [7, 24], [42, 8], [39, 34, 60], [45, 9], [40, 12], [29, 13, 6], [21, 10, 16], [18, 22, 28], [32, 17, 36], [37, 15, 58], [43, 38, 44], [53, 47, 50, 41], [51, 56, 48], [55, 57, 49]]
53: [[59, 14], [54, 33], [23, 25], [5, 11, 1], [27, 35], [2, 46], [52, 19, 20], [26, 3, 30], [31, 4, 7], [24, 42, 8], [39, 34, 60], [45, 9, 58], [12, 29, 13], [21, 6], [15, 16], [10, 18, 22], [40, 28, 32], [17, 44, 53], [36, 38, 37], [43, 47, 50], [41, 51, 56], [48, 55], [57, 49]]
54: [[59, 14], [54, 33], [23, 25], [5, 11, 1], [27, 35], [2, 46], [52, 19, 20], [26, 3, 30], [31, 4, 7], [24, 42, 8], [39, 34, 60], [45, 9, 58], [12, 29, 13], [21, 6], [15, 16], [10, 18, 22], [40, 28, 32], [17, 44, 53], [36, 38, 37], [43, 47, 50], [41, 51, 56], [48, 55], [57, 49]]
55: [[59, 14], [54, 33], [23], [25, 5], [11, 1], [27, 35, 2], [46, 52, 19], [20, 26, 3], [30, 31, 4], [7, 24, 42], [8, 39], [34, 60, 45], [9, 58, 12], [29, 13], [21, 6], [10, 15, 16], [18, 22, 28], [40, 32, 17], [36, 37, 43], [38, 44, 53], [47, 50, 41], [51, 56, 48], [55, 57, 49]]
56: [[59, 14], [54, 33, 23], [25, 5, 11], [1, 27], [35, 2], [46, 52], [19, 20], [26, 3, 30], [31, 4], [7, 24, 42], [8, 39, 34], [60, 45, 9], [58, 12, 29], [13, 21, 6], [10, 15, 16], [18, 40], [22, 28, 32], [17, 36, 37], [43, 38], [44, 53], [47, 50, 41, 51, 56, 48, 55, 57, 49]]
57: [[59, 14], [54, 33], [23, 25, 5], [11, 1, 27], [35, 2, 46], [52, 19, 20], [26, 3, 30], [31, 4, 7], [24, 42, 8], [39, 34, 60], [45, 9, 58], [12, 13, 29], [6, 21, 15], [16, 10, 18], [22, 28, 56], [32, 17, 37], [43, 38, 36], [44, 50], [41, 47, 53, 51, 40, 48, 55, 57, 49]]
58: [[59, 14], [54, 33], [23, 25], [5, 11], [1, 27], [35, 2], [46, 52], [19, 20], [26, 3, 30], [31, 4, 7], [24, 42], [8, 39], [34, 60, 45], [9, 58, 12], [29, 13, 6], [21, 15, 17, 22], [28, 40, 18, 16], [32, 10], [36, 37], [43, 38, 44], [53, 47, 50, 41, 51], [56, 48, 55], [57, 49]]
59: [[59, 14], [54, 33], [23, 25], [5, 11], [1, 27, 35], [2, 46], [52, 19], [20, 26, 3], [30, 31, 4], [7, 24, 42], [8, 39, 34], [60, 45], [9, 58], [12, 29, 13], [6, 21, 15], [16, 10, 18], [22, 28, 40], [32, 17, 36, 37], [43, 38], [44, 53], [47, 50, 41], [51, 56, 48, 55], [57, 49]]
60: [[59], [14, 54, 33], [23, 25], [5, 11, 1, 27], [35, 2, 46, 52], [19, 20, 26, 3], [30, 31], [4, 7, 24], [42, 8, 39], [34, 60, 45, 9, 58, 12, 29], [13, 21, 6, 10, 15], [16, 18, 22, 28, 40, 32, 17, 36, 37, 43, 38, 44, 53, 47, 50, 41, 51, 56, 48, 55, 57, 49]]
61: [[59, 14], [54, 33], [23, 25], [5, 11, 1], [27, 35, 2], [46, 52, 19], [20, 26, 3], [30, 31], [4, 7], [24, 42, 8], [39, 34, 60], [45, 9, 58], [12, 29, 13], [21, 6], [10, 15], [16, 18, 22], [28, 40, 32], [17, 36, 37], [43, 38], [44, 53, 47, 50], [41, 51, 56], [48, 55], [57, 49]]
62: [[59, 14], [54, 33], [23, 25, 5], [11, 1], [27, 35, 2], [46], [52, 19, 20], [26, 3, 30], [31, 4, 7], [24, 42, 8], [39, 34, 60], [45, 9, 40], [29, 12], [13, 6, 21], [15, 16, 10, 18], [22], [28, 58, 32], [17, 36], [37, 43, 38], [44, 53, 47, 50, 41, 51, 56, 48, 55, 57, 49]]
63: [[59], [14, 54], [33, 23, 25], [5, 11, 1], [27, 35, 2], [46, 52, 19], [20, 26], [3, 30, 31], [4, 7], [24], [42, 8, 39], [34, 60, 45], [9, 58, 12], [29, 13, 6, 22, 10, 15, 16, 18, 21, 28, 40, 32, 17], [36, 37, 43, 38, 44, 53, 47], [50], [41, 51, 56, 48, 55, 57, 49]]
64: [[59, 14], [54, 33], [23, 25], [5, 11], [1, 27], [35, 2, 46], [52, 19], [20, 26, 3], [30, 31, 4], [7, 24, 42], [8, 39], [34, 60, 45], [9, 58, 12], [29, 13, 6], [21, 15, 16], [10, 18], [22, 28], [56, 32, 17], [36, 37], [43, 38, 44], [53, 47, 50], [41, 51], [40, 48, 55], [57, 49]]
65: [[59, 14], [54, 33], [23, 25, 5], [11, 1, 27], [35, 46], [52, 2, 6], [19, 20], [26, 3, 30], [31, 4, 7], [24, 42, 8], [39, 34, 60], [45, 9], [40, 13, 12], [15, 16, 22], [10, 18, 21], [28, 58], [32, 17, 36], [37, 43], [29, 38], [44, 53, 47], [50, 41, 51], [56, 48, 55], [57, 49]]
66: [[59, 14], [54, 33], [23, 25, 5], [11, 1, 27], [35, 46, 2], [52, 19, 20], [26, 3, 30], [31, 4], [7, 24, 42], [8, 39, 34], [60, 45, 9], [40, 12, 29], [13, 6, 21], [15, 16], [10, 18, 22], [28, 58], [32, 17, 43, 38, 44, 53, 47, 50, 36, 37, 41, 51, 56, 48, 55, 57, 49]]
67: [[59, 14], [54, 33], [23, 25, 5], [11, 1], [27, 35, 2], [46, 52, 19], [20, 26], [3, 30, 31], [4, 7, 24], [42, 8, 39], [34, 60, 45], [9, 58, 12], [29, 13, 21], [6, 10], [15, 16], [18, 22, 28, 40, 32, 17, 36, 37, 43, 38, 44, 53, 47, 50], [41, 51, 56, 48, 55, 57, 49]]
68: [[59, 14, 54], [33, 23], [25, 5], [11, 1, 27], [35, 2, 46], [52, 19], [20, 26, 3], [30, 31, 4], [7, 24, 42], [8, 39, 34], [60, 45, 9], [58, 12, 29], [13, 21, 6], [15, 16, 10], [18, 22, 40], [28, 32, 17], [44, 53], [36, 37, 38], [43, 47, 50], [41, 51, 56, 48, 55, 57, 49]]
69: [[59, 14], [54, 33], [23, 25], [5, 11], [1, 27], [35, 2], [46, 52], [19, 20], [26, 3, 30], [31, 4, 7], [24, 42, 8], [39, 34], [60, 45], [9, 58, 12], [29, 13, 6], [21, 15, 16], [10, 18, 22], [28, 56, 32], [17, 37], [43, 38, 36], [44, 53], [47, 50, 41], [51, 40, 48], [55, 57, 49]]
70: [[59, 14], [54, 33], [23, 25], [5, 11], [1, 27, 35, 46], [2, 52], [19, 20, 26], [3, 30], [31, 4, 7], [24, 42, 8], [39, 34, 60], [45, 9, 58], [12, 13], [21, 15, 6], [10, 22, 28], [32, 16, 40], [18, 17], [36, 37, 43], [38, 29, 44], [53, 47, 50], [41, 51], [56, 48, 55], [57, 49]]
71: [[59, 14], [54, 33], [23, 25], [5, 11, 1], [27, 35], [2, 46], [52, 19, 20], [26, 3, 30], [31, 4], [7, 24, 42], [8, 39], [34, 60, 45], [9, 58], [12, 29, 13], [21, 6], [10, 15, 16], [18, 22, 28], [40, 32, 17], [36, 37], [43, 38, 44], [53, 47, 50, 41, 51, 56, 48, 55, 57, 49]]
72: [[59, 14, 54], [33, 23], [25, 5], [11], [1, 27, 35], [2, 46], [52, 19, 20], [26, 3], [30, 31, 4], [7, 24, 42], [8, 39, 34], [60, 45, 9], [58, 12, 13], [21, 6, 29], [15, 16, 10], [18, 22, 28], [40, 32], [17, 36, 37], [43, 38, 44], [53, 47, 50], [41, 51], [56, 48, 55], [57, 49]]
73: [[59, 14], [54, 33], [23, 25, 5], [11, 1, 27], [35, 2, 46], [52, 19, 20], [26, 3, 30], [31, 4, 7, 24, 42, 8, 39, 34, 60, 45, 9, 58, 12, 29, 13, 6, 21, 15, 10, 16, 18, 22, 28, 40, 32, 17, 36, 37, 43, 38, 44, 53, 47, 50, 41, 51, 56, 48, 55, 57, 49]]
