0: [[24, 18], [11, 5], [2, 22, 1, 6, 4, 3, 12, 10, 7], [15, 13, 8], [9, 29, 14, 16, 17], [19, 20, 21, 27, 23], [25, 26, 28], [31, 30, 32, 35, 33, 34], [37, 36]]
55: [[24, 18], [11, 5], [2, 22], [1, 6], [4, 3, 12], [10, 7, 15], [13, 8], [9, 29, 14], [16, 17, 19, 20], [21, 27, 23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 37, 36]]
56: [[24, 18], [11, 5, 2], [22, 1, 6], [4, 3, 12, 10, 7], [15, 13, 8, 9, 29], [14, 16, 17], [19, 20], [21, 27, 23, 25, 26], [28, 31, 30, 32], [35, 33, 34, 37, 36]]
57: [[24, 18, 11], [5, 2, 22], [1, 6, 4, 3], [12, 10, 7, 15, 13, 8, 9, 29, 14, 16, 17, 19, 20, 21, 27, 23, 25], [26, 28, 31, 30, 32, 35, 33, 34, 37, 36]]
58: [[24, 18], [11, 5], [2, 22, 1, 6], [4, 3, 12], [10, 7, 15, 13], [8, 9, 29], [14, 16, 17], [19, 20], [21, 27], [23, 25, 26], [28, 31, 30], [32, 35, 33, 34, 37, 36]]
59: [[24, 18], [11, 5, 2], [22, 1, 6], [4, 3, 12], [10, 7], [15, 13, 8], [9, 29], [14, 16, 17, 19], [20, 21], [27, 23, 25, 26, 28], [31, 30, 32, 35, 33, 34, 37, 36]]
60: [[24, 18], [11, 5, 2], [22, 1], [6, 4, 3, 12], [10, 7, 15], [13, 8, 9], [29, 14, 16], [17, 19, 20], [21, 27, 23, 25], [26, 28, 31, 30], [32, 35], [33, 34, 37, 36]]
61: [[24, 18, 11, 5], [2, 22], [1, 6, 4], [3, 12], [10, 7, 15], [13, 8, 9, 29], [14, 16, 17, 19], [20, 21], [27, 23, 25], [26, 28], [31, 30, 32, 35], [33, 34, 37, 36]]
62: [[24, 18], [11, 5], [2, 22], [1, 6], [4, 3, 12, 10], [7, 15], [13, 8, 9, 29], [14, 16, 17], [19, 20, 21, 27], [23, 25, 26, 28], [31, 30], [32], [35, 33, 34, 37, 36]]
63: [[24, 18, 11], [5, 2, 22], [1, 6], [4, 3], [12, 10], [7, 15, 13], [8, 9], [29, 14], [16, 17], [19, 20, 21], [27, 23, 25], [26, 28], [31, 30, 32], [35, 33, 34], [37, 36]]
64: [[24, 18, 11], [5, 2], [22, 1, 6], [4, 3, 12], [10, 7, 15, 13, 8, 9, 29, 14, 16, 17, 19, 20, 21, 27, 23, 25, 26, 28, 31, 30, 32, 35], [33, 34, 37, 36]]
65: [[24, 18], [11, 5, 2], [22, 1, 6], [4, 3, 12, 10], [7, 15], [13, 8], [9, 29], [14, 16, 17], [19, 20], [21, 27, 23], [25, 26, 28, 31, 30, 32], [35, 33], [34, 37, 36]]
66: [[24, 18], [11, 5, 2], [22, 1], [6, 4], [3, 12], [10, 7, 15], [13, 8, 9], [29, 14, 16, 17, 19, 20, 21, 27, 23, 25, 26, 28, 31, 30, 32, 35, 33, 34], [37, 36]]
67: [[24, 18], [11, 5], [2, 22, 1, 6], [4, 3, 12], [10, 7], [15, 13, 8], [9, 29], [14, 16], [17, 19], [20, 21, 27], [23, 25, 26], [28, 31, 30], [32, 35, 33], [34, 37], [36]]
68: [[24, 18, 11, 5], [2, 22, 1], [6, 4, 3, 12], [10, 7, 15], [13, 8, 9, 29], [14, 16, 17, 19], [20, 21, 27, 23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 37, 36]]
69: [[24, 18, 11, 5], [2, 22, 1], [6, 4, 3, 12], [10, 7, 15], [13, 8, 9, 29], [14, 16, 17, 19], [20, 21, 27, 23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 37, 36]]
70: [[24, 18], [11, 5, 2], [22, 1, 6], [4, 3, 12], [10, 7, 15], [13, 8], [9, 29, 14], [16, 17, 19], [20, 21, 27, 23], [25, 26, 28, 31, 30, 32, 35, 33, 34, 37, 36]]
71: [[24, 18], [11, 5], [2, 22, 1], [6, 4], [3, 12], [10, 7, 15], [13, 8], [9, 29, 14], [16, 17, 19], [20, 21, 27], [23, 25], [26, 28, 31], [30, 32, 35, 33, 34, 37, 36]]
72: [[24, 18], [11, 5, 2], [22, 1, 6], [4, 3, 12], [10, 7], [15, 13, 8], [9, 29, 14], [16, 17, 19], [20, 21, 27], [23, 25, 26], [28, 31], [30, 32, 35], [33, 34], [37, 36]]
73: [[24, 18], [11, 5, 2], [22, 1], [6, 4], [3, 12, 10], [7, 15], [13, 8, 9], [29, 14, 16], [17, 19], [20, 21, 27], [23, 25, 26], [28, 31], [30, 32, 35], [33, 34], [37, 36]]
