0: [[10, 14], [16, 11], [2, 1], [4, 6, 3], [9, 8, 13], [5, 7, 12], [15, 18], [22], [19, 17, 20], [21, 23, 24]]
16: [[10, 14], [16, 11], [2], [1], [4, 6, 3], [9], [8, 13], [5, 7], [12, 15, 18], [22, 19], [17, 20], [21, 23, 24]]
17: [[10, 14], [16, 11], [2, 1], [4, 6], [3, 9], [8, 13], [5, 7], [12], [15, 18, 22], [19, 17, 20], [21, 23, 24]]
18: [[10, 14], [16, 11], [2, 1], [4, 6], [3, 9], [8, 13], [5, 7, 12], [15], [18, 22], [19, 17, 20], [21, 23, 24]]
19: [[10, 14], [16, 11], [2, 1], [4, 6], [3, 9], [8, 13], [5, 7, 12], [15], [18, 22], [19, 17, 20], [21, 23, 24]]
20: [[10, 14], [16, 11], [2, 1], [4, 6], [3, 9], [8, 13], [5, 7, 12], [15], [18, 22], [19, 17, 20], [21, 23, 24]]
21: [[10, 14], [16, 11], [2, 1], [4, 6], [3, 9, 8], [13, 5, 7], [12, 15], [18, 22], [19, 17, 20], [21, 23, 24]]
22: [[10, 14], [16, 11], [2, 1], [4, 6], [3, 9], [8, 13], [5, 7, 12], [15, 18], [22, 19], [17, 20, 21], [23, 24]]
23: [[10, 14], [16, 11], [2], [1, 4, 6], [3, 9, 8], [13, 5], [7, 12, 15], [18, 22, 19], [17, 20], [21, 23, 24]]
24: [[10, 14], [16, 11], [2, 1], [4, 6], [3, 9], [8, 13], [5, 7], [12, 15], [18], [22, 19], [17, 20], [21, 23, 24]]
25: [[10, 14], [16, 11], [2, 1, 4], [6, 3, 9], [8, 13, 5], [7, 12], [15], [18, 22, 19], [17, 20, 21], [23, 24]]
26: [[10, 14], [16, 11], [2, 1], [4, 6], [3, 9], [8, 13], [5, 7], [12, 15], [18], [22, 19], [17, 20], [21, 23, 24]]
27: [[10, 14], [16, 11], [2, 1, 4], [6, 3, 9], [8, 13, 5], [7, 12], [15], [18, 22, 19], [17, 20, 21], [23, 24]]
28: [[10, 14], [16, 11], [2, 1], [4, 6], [3, 9], [8, 13], [5], [7, 12], [15], [18, 22, 19], [17, 20], [21, 23, 24]]
29: [[10, 14], [16, 11], [2, 1], [4, 6], [3, 9], [8, 13], [5, 7, 12], [15, 18, 22], [19, 17], [20, 21, 23, 24]]
30: [[10, 14], [16, 11, 2], [1, 4], [6, 3], [9, 8, 13], [5, 7], [12, 15], [18, 22, 19], [17, 20, 21], [23, 24]]
31: [[10, 14], [16], [11, 2], [1, 4], [6, 3], [9, 8, 13], [5, 7, 12], [15], [18, 22, 19], [17, 20, 21], [23, 24]]
32: [[10, 14], [16], [11], [2, 1], [4], [6, 3], [9, 8], [13, 5], [7, 12, 15], [18, 22, 19], [17, 20, 21], [23, 24]]
33: [[10, 14], [16, 11], [2, 1], [4, 6], [3, 9], [8, 13], [5, 7], [12, 15], [18, 22, 19], [17, 20, 21], [23, 24]]
34: [[10, 14], [16, 11], [2, 1], [4, 6, 3], [9, 8, 13], [5, 7, 12], [15, 18, 22, 19, 17, 20, 21, 23, 24]]
35: [[10, 14], [16, 11], [2, 1], [4, 6, 3], [9, 8, 13], [5, 7, 12, 15, 18, 22, 19, 17, 20, 21, 23, 24]]
36: [[10, 14], [16, 11], [2, 1], [4, 6, 3], [9, 8, 13, 5], [7, 12, 15], [18, 22], [19, 17], [20, 21, 23], [24]]
37: [[10, 14], [16, 11], [2, 1], [4, 6], [3, 9], [8, 13], [5, 7, 12], [15, 18, 22], [19, 17, 20, 21, 23, 24]]
38: [[10, 14], [16, 11], [2, 1], [4, 6], [3, 9], [8, 13], [5, 7, 12], [15, 18, 22], [19, 17, 20, 21, 23, 24]]
39: [[10, 14], [16, 11], [2, 1], [4, 6, 3], [9, 8], [13, 5, 7], [12, 15, 18], [22, 19, 17], [20, 21, 23], [24]]
40: [[10, 14], [16, 11], [2, 1, 4], [6, 3], [9], [8, 13, 5], [7, 12, 15], [18, 22, 19, 17, 20, 21, 23, 24]]
41: [[10, 14], [16, 11], [2, 1], [4, 6, 3], [9, 8], [13, 5], [7, 12, 15], [18, 22, 19], [17, 20, 21, 23, 24]]
42: [[10, 14], [16, 11], [2, 1, 4], [6, 3], [9], [8, 13, 5], [7, 12, 15], [18, 22, 19, 17, 20, 21, 23, 24]]
43: [[10, 14, 16], [11, 2, 1], [4, 6, 3], [9, 8, 13], [5, 7], [12], [15, 18, 22], [19, 17, 20, 21, 23, 24]]
44: [[10, 14], [16, 11, 2], [1, 4, 6], [3, 9, 8], [13, 5, 7], [12, 15, 18], [22, 19, 17, 20, 21, 23, 24]]
45: [[10, 14], [16, 11], [2], [1, 4, 6], [3, 9], [8], [13, 5, 7], [12, 15, 18], [22, 19, 17, 20, 21, 23, 24]]
46: [[10, 14], [16, 11], [2, 1], [4, 6], [3, 9], [8], [13, 5], [7, 12, 15, 18, 22, 19, 17, 20, 21, 23, 24]]
47: [[10, 14], [16], [11, 2], [1, 4, 6], [3, 9, 8], [13, 5, 7, 12, 15, 18, 22, 19, 17, 20, 21, 23, 24]]
