0: [[2, 4, 3, 1, 19], [7, 14, 11, 10], [6, 8, 9, 15, 5, 13], [12, 20, 17, 22, 18, 16], [21, 23, 24]]
37: [[1, 2, 19, 4, 3, 13, 7], [14, 5, 10], [8, 6, 12, 9, 15], [11, 20, 17, 22, 18, 16], [21, 23, 24]]
38: [[1, 2, 19, 4, 3, 13], [7, 14, 8, 5], [9, 6, 11, 12], [15, 10, 20, 17, 22, 18, 16], [21, 23, 24]]
39: [[1, 2, 19, 4, 3], [13, 7, 14, 5], [11, 10, 6, 12, 9, 8], [15, 20, 17, 22, 18, 16], [21, 23, 24]]
40: [[2, 1], [4, 19], [3, 13, 7, 14, 9, 10, 5, 6, 8], [11, 15, 12, 20, 17, 22, 18, 16, 21], [23, 24]]
41: [[2, 1], [4, 19], [3, 13, 7, 14, 9, 10, 12, 5, 11, 6, 8], [15, 20, 17, 22, 18, 16, 21], [23, 24]]
42: [[2, 1], [4, 19], [3, 13, 7, 14, 5, 10, 8, 12, 11, 9, 6], [15, 20, 17, 22, 18, 16, 21], [23, 24]]
43: [[1, 2, 19, 4, 3], [13, 7, 14, 5, 10, 6], [9, 8, 11, 15, 12], [20, 17, 22, 18, 16, 21], [23, 24]]
44: [[2, 4, 3, 13, 7, 1, 19], [14, 11, 8], [5, 6, 10, 9, 15], [12, 20, 17, 22, 18, 16], [21, 23, 24]]
45: [[1, 2, 19, 4, 3], [13, 7, 14, 11], [5, 12, 6, 8, 10, 9], [15, 20, 17, 22, 18, 16, 21], [23, 24]]
46: [[1, 2, 19, 4, 3, 13, 7], [14, 9, 5], [8, 6, 12, 10, 11], [15, 20, 17, 22, 18, 16], [21, 23, 24]]
47: [[2, 19, 3, 1, 4], [13, 7, 14, 11], [10, 5, 6, 8, 9], [15, 12, 20, 17, 22, 18], [16, 21, 23, 24]]
48: [[1, 2], [19, 4], [3, 13, 7, 14, 11, 5, 12, 6, 15], [10, 8, 9, 20, 17, 22, 18], [16, 21, 23, 24]]
49: [[2, 19, 3, 13, 1, 4], [7, 14, 9, 6], [5, 10, 8, 11], [15, 12, 20, 17, 22, 18], [16, 21, 23, 24]]
