0: [[19, 9, 2, 4, 3, 13, 10, 6, 14, 1], [7, 11], [8, 5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
14: [[19, 9, 2, 4, 1, 3, 13, 10, 6], [14, 7], [11, 8, 5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
15: [[19, 9, 2, 4, 1, 3, 13, 10, 6], [14, 7], [11, 8, 5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
16: [[19, 9, 2, 4, 1, 3, 13, 10, 6], [14, 7], [11, 8, 5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
17: [[19, 9, 2, 4, 1, 3, 13, 10, 6], [14, 7], [11, 8, 5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
18: [[19, 9, 2, 4, 1, 3, 13, 10, 6], [14, 7], [11, 8, 5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
19: [[19, 9, 2, 4, 1, 3, 13, 10, 6], [14, 7], [11, 8, 5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
20: [[19, 9, 2, 4, 1, 3, 13, 10, 6], [14, 7], [11, 8, 5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
21: [[19, 9, 2, 4, 1, 3, 13, 10, 6], [14, 7, 11, 8, 5, 15, 16, 18, 12, 17], [20, 22], [23, 21, 24]]
22: [[19, 9, 2, 1, 3, 13, 10, 6, 4], [14, 7], [11, 8, 5, 15, 16, 17, 18, 20, 12], [22, 23, 21, 24]]
23: [[19, 9, 2, 1, 3, 13, 10, 6, 4], [14, 7], [11, 8, 5, 15, 16, 17, 18, 20, 12], [22, 23, 21, 24]]
24: [[19, 9, 2, 1, 3, 13, 10, 6, 4], [14, 7], [11, 8, 5, 15, 16, 17, 18, 20, 12], [22, 23, 21, 24]]
25: [[19, 9, 2, 1, 3, 13, 10, 6, 4], [14, 7], [11, 8, 5, 15, 16, 17, 18, 20, 12], [22, 23, 21, 24]]
26: [[19, 9], [2, 4, 1, 3, 13, 10, 6, 14, 7, 11], [8, 5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
27: [[19, 9], [2, 4, 1, 3, 13, 10, 6, 14, 7, 11], [8, 5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
28: [[19, 9], [2, 4, 1, 3, 13, 10, 6, 14, 7, 11], [8, 5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
29: [[19, 9], [2, 4, 1, 3, 13, 10, 6, 14, 7, 11], [8, 5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
30: [[19, 9], [2, 4, 1, 3, 13, 10, 6, 14, 7, 11], [8, 5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
31: [[19, 9], [2, 4, 1, 3, 13, 10, 6, 14, 7, 11], [8, 5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
32: [[19, 9], [2, 4, 1, 3, 13, 10, 6, 14, 7], [11, 8, 5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
33: [[19, 9], [2, 4, 1, 3, 13, 10, 6, 14, 7], [11, 8, 5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
34: [[19, 9], [2, 4, 1, 3, 13, 10, 6, 14, 7], [11, 8, 5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
35: [[19, 9], [2, 4, 1, 3, 13, 10, 6, 14, 7], [11, 8, 5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
36: [[19, 9], [2, 4, 1, 3, 13, 10, 6, 14, 7], [11, 8, 5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
37: [[19, 9], [2, 4, 1, 3, 13, 10, 6, 14, 7], [11, 8, 5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
38: [[19, 9], [2, 4, 1, 3, 13, 10, 6, 14, 7], [11, 8, 5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
39: [[19, 9], [2, 4, 1, 3, 13, 10, 6, 14, 7], [11, 8, 5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
40: [[19, 9, 2, 1, 3, 13, 10, 4], [6, 14], [7, 11, 8, 5, 15, 16, 17, 18, 20, 12], [22, 23, 21, 24]]
41: [[19, 9], [2, 4, 1, 3, 13, 10, 6, 14, 7, 11, 8], [5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
42: [[19, 9], [2, 4, 1, 3, 13, 10, 6, 14, 7, 11, 8], [5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
43: [[19, 9], [2, 4, 1, 3, 13, 10, 6, 14, 7, 11, 8], [5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
44: [[19, 9, 2, 4, 1, 3, 13], [10, 6], [14, 7, 11, 8, 5, 15, 16, 18, 20, 22, 12, 17], [23, 21, 24]]
45: [[19, 9], [2, 1, 3, 13, 10, 6, 14, 7, 4], [11, 8, 5, 15, 16, 17, 18, 20, 12], [22, 23, 21, 24]]
46: [[19, 9, 2, 4, 1, 3, 13, 10, 6, 14, 7], [11, 8], [5, 15, 16, 18, 20, 12, 17], [22, 23, 21, 24]]
47: [[19, 9, 2, 4, 1, 3, 13, 10, 6, 14], [7, 11], [8, 5, 15, 16, 18, 20, 22, 23, 12, 17], [21, 24]]
48: [[19, 9, 2, 4, 1, 3, 13, 10, 6, 14], [7, 11], [8, 5, 15, 16, 18, 20, 22, 23, 12, 17], [21, 24]]
49: [[19, 9, 2, 4, 1, 3, 13, 10, 6], [14, 7], [11, 8, 5, 15, 16, 18, 20, 22, 23, 12, 17], [21, 24]]
