0: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
16: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 18, 16, 19, 10, 22, 14], [20, 25, 23], [21, 26, 27, 29]]
17: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 18, 16, 19, 10, 22, 14], [20, 25, 23], [21, 26, 27, 29]]
18: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
19: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 16, 22, 18, 19], [20, 25, 23], [21, 26, 27, 29]]
20: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
21: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
22: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
23: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
24: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
25: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
26: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
27: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 14, 16, 18, 10, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
28: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 18, 16, 19, 10, 22, 14], [20, 25, 23], [21, 26, 27, 29]]
29: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
30: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
31: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
32: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
33: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
34: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
35: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
36: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
37: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
38: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
39: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
40: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 18, 16, 19, 10, 22, 14], [20, 25, 23], [21, 26, 27, 29]]
41: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
42: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
43: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 22, 18, 16, 19], [20, 25, 23], [21, 26, 27, 29]]
44: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 22, 16, 18, 19], [20, 25, 23], [21, 26, 27, 29]]
45: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 22, 16, 19], [20, 25, 23], [21, 26, 27, 29]]
46: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
47: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
48: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
49: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 18, 16, 19, 10, 22, 14], [20, 25, 23], [21, 26, 27, 29]]
50: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
51: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
52: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
53: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 22, 19], [20, 25, 23], [21, 26, 27, 29]]
54: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 18, 10, 22, 14, 16, 19], [20, 25, 23], [21, 26, 27, 29]]
55: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 18, 16, 20, 19], [22, 25, 23], [21, 26, 27, 29]]
56: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 10, 14, 22, 18, 20, 19], [16, 25, 23], [21, 26, 27, 29]]
57: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 26, 10, 19, 14, 22, 16], [20, 25, 23], [21, 18, 27, 29]]
58: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 26, 10, 19, 16, 22, 14], [20, 25, 23], [21, 18, 27, 29]]
59: [[3], [5, 6], [17, 1, 9, 7], [24, 28, 2], [8, 4, 15, 13, 12], [11, 26, 16, 19, 10, 22, 23], [20, 25, 14], [21, 18, 27, 29]]
