0: [[9, 7, 1, 19, 2, 5, 22, 6], [3, 4, 11, 8, 12], [15, 13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
36: [[9, 7, 1, 19, 2], [5, 22, 6, 3, 4, 11, 8, 12], [15, 13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
37: [[9, 7, 1, 19, 2], [5, 22, 6, 3, 4, 11, 8, 12], [15, 13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
38: [[9, 7, 1, 19, 2], [5, 22, 6, 3, 4, 11, 8, 12], [15, 13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
39: [[9, 7, 1, 19, 2], [5, 22, 6, 3, 4, 11, 8, 12], [13, 15, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
40: [[9, 7, 1, 19, 2], [5, 22, 6, 3, 4, 11, 8, 15, 12], [13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
41: [[9, 7, 1, 19, 2, 5, 22, 6, 3], [4, 11, 8, 15, 12], [13, 17, 18, 16, 23, 24, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
42: [[9, 7, 1, 19, 2, 5, 22, 6, 3], [4, 11, 8, 15, 12], [13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
43: [[9, 7, 1, 19, 2, 5, 22, 6, 3], [4, 11, 8, 15, 12], [13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
44: [[9, 7, 1, 19, 2, 5, 22, 6, 3], [4, 11, 8, 15, 12], [13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
45: [[9, 7, 1, 19, 2, 5, 22, 6, 3], [4, 11, 8, 15, 12], [13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
46: [[9, 7, 1, 19, 2, 5, 22, 6, 3], [4, 11, 8, 15, 12], [13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
47: [[9, 7, 1, 19, 2, 5, 22, 6, 3], [4, 11, 8, 15, 12], [13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
48: [[9, 7, 1, 19, 2, 5, 22, 6, 3], [4, 11, 8, 15, 12], [13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
49: [[9, 7, 1, 19, 2, 5, 22, 6, 3], [4, 11, 8, 15, 12], [13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
50: [[9, 7, 1, 19, 2, 5, 22, 6, 3], [4, 11, 8, 15, 12], [13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
51: [[9, 7, 1, 19, 2, 5, 22, 6, 3], [4, 11, 8, 15, 12], [13, 17, 18, 24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
52: [[9, 7, 1, 19, 2, 5, 22, 6, 3], [4, 11, 8, 15, 12], [13, 17, 18, 16, 23, 24, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
53: [[9, 7, 1, 19, 2, 5, 22, 6, 3], [4, 11, 8, 15, 12], [13, 17, 18, 16, 23, 24, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
54: [[9, 7, 1, 19, 2, 5, 22, 6, 3], [4, 11, 8, 15, 13, 17, 18, 12], [24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
55: [[9, 7, 1, 19, 2, 5, 22, 6, 3], [4, 11, 8, 15, 13, 17, 18, 12], [16, 23, 24, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
56: [[9, 7, 1, 19, 2, 5, 22, 6, 3], [4, 11, 8, 13, 15, 17, 18, 12], [24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
57: [[9, 7, 1, 19, 2, 5, 22, 6, 3], [4, 11, 8, 15, 13, 17, 18, 12], [24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
58: [[9, 7, 1, 19, 2, 5, 22, 6, 3], [4, 11, 8, 15, 13, 17, 18, 12], [24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
59: [[9, 7, 1, 19, 2, 5, 22, 6, 3], [4, 11, 8, 15, 13, 17, 18, 12], [24, 23, 16, 10, 14], [21, 20, 29, 26, 27, 25, 28]]
