0: [[3], [4, 9, 17], [1, 22, 2, 35, 7], [5, 11, 12], [8, 14], [18, 6], [15, 13, 19], [10, 20, 23, 16, 21], [26, 25, 28], [24, 29], [27], [30, 31, 32, 34], [37, 33, 36]]
41: [[3], [4, 9, 17], [1, 22, 2], [35, 7], [5, 11], [12, 8], [14, 18, 6], [15, 13, 19], [10, 20, 23], [16, 21, 26, 25], [28, 24], [29, 27, 30, 31, 32, 34, 37, 33, 36]]
42: [[3, 4], [9, 17, 1], [22, 2, 35], [7, 5], [11, 12], [8, 14, 18], [6, 15, 13], [19, 10], [20, 23], [16, 21, 26, 25, 28], [24, 29, 27], [30, 31], [32, 34, 37, 33, 36]]
43: [[3], [4, 9, 17], [1, 22, 2], [35, 7], [5, 11], [12, 8], [14, 18, 6], [15, 13], [19], [10, 20], [23, 16], [21, 26, 25], [28, 24, 29], [27, 30], [31], [32, 34, 37], [33, 36]]
44: [[3], [4, 9, 17], [1, 22], [2, 35, 7], [5, 11, 12, 8], [14, 18], [6, 15, 13], [19, 10, 20, 23, 16, 21, 26, 25, 28, 24, 29, 27, 30, 31, 32, 34, 37, 33, 36]]
45: [[3], [4, 9, 17], [1, 22, 2], [35, 7, 5], [11, 12, 8, 14], [18, 6, 15], [13, 19, 10], [20, 23, 16], [21, 26, 25], [28, 24, 29, 27, 30, 31], [32, 34, 37, 33, 36]]
46: [[3, 4], [9, 17, 1], [22, 2, 35], [7, 5], [11, 12], [8, 14, 18], [6, 15, 13], [19, 10], [20, 23, 16, 21], [26, 25, 28, 24], [29, 27, 30], [31, 32, 34], [37, 33, 36]]
47: [[3], [4, 9], [17, 1, 22], [2], [35, 7], [5], [11, 12, 8], [14, 18, 6], [15, 13, 19], [10, 20, 23], [16, 21], [26, 25, 28], [24, 29, 27], [30, 31], [32], [34, 37], [33, 36]]
48: [[3], [4, 9, 17], [1, 22, 2], [35, 7, 5, 11, 12], [8, 14, 18], [6, 15], [13], [19, 10, 20], [23, 16], [21, 26], [25, 28, 24, 29, 27, 30, 31, 32, 34, 37, 33, 36]]
49: [[3, 4, 9, 17], [1, 22, 2], [35, 7, 5], [11, 12, 8], [14, 18], [6, 15, 13], [19, 10], [20, 23, 16], [21, 26, 25], [28, 24, 29], [27, 30, 31], [32, 34, 37], [33, 36]]
50: [[3], [4, 9], [17, 1, 22], [2, 35], [7, 5], [11], [12, 8, 14], [18, 6], [15, 13, 19], [10, 20, 23, 16], [21, 26, 25], [28, 24, 29], [27, 30, 31], [32, 34, 37], [33, 36]]
51: [[3, 4], [9], [17, 1], [22, 2], [35, 7], [5, 11, 12], [8, 14, 18], [6, 15, 13], [19, 10, 20], [23, 16], [21, 26, 25], [28, 24, 29], [27, 30, 31], [32, 34, 37], [33, 36]]
52: [[3, 4], [9, 17], [1, 22, 2], [35, 7, 5], [11, 12], [8, 14, 18], [6, 15], [13, 19, 10], [20, 23, 16], [21, 26, 25], [28, 24, 29, 27, 30, 31, 32, 34, 37, 33, 36]]
53: [[3], [4, 9], [17, 1, 22], [2], [35, 7], [5, 11, 12], [8, 14], [18, 6, 15], [13, 19], [10, 20, 23], [16, 21, 26], [25, 28, 24], [29, 27, 30], [31, 32, 34], [37, 33, 36]]
54: [[3], [4], [9, 17], [1, 22, 2], [35, 7, 5, 11], [12, 8, 14, 18, 6, 15, 13, 19, 10, 20, 23, 16, 21, 26, 25, 28, 24, 29, 27, 30, 31, 32, 34, 37, 33, 36]]
55: [[3, 4], [9, 17, 1], [22, 2, 35], [7, 5], [11, 12], [8, 14, 18], [6, 15, 13], [19, 10, 20], [23, 16, 21], [26, 25], [28, 24, 29], [27, 30], [31, 32, 34], [37, 33, 36]]
56: [[3, 4], [9, 17, 1], [22, 2, 35], [7, 5, 11, 12], [8, 14, 18, 6], [15, 13, 19, 10, 20, 23, 16, 21, 26, 25, 28], [24, 29, 27, 30, 31, 32, 34, 37, 33, 36]]
57: [[3, 4, 9], [17, 1, 22, 2], [35], [7, 5, 11], [12, 8, 14], [18, 6, 15], [13, 19], [10], [20, 23, 16], [21, 26, 25], [28, 24, 29], [27, 30, 31], [32, 34, 37], [33, 36]]
58: [[3], [4, 9, 17], [1, 22], [2, 35], [7, 5], [11, 12, 8, 14], [18, 6, 15], [13, 19, 10, 20, 23], [16, 21, 26, 25, 28, 24, 29, 27, 30, 31, 32, 34, 37, 33, 36]]
59: [[3], [4, 9, 17], [1, 22, 2], [35, 7, 5], [11, 12, 8], [14, 18], [6, 15], [13, 19, 10, 20, 23, 16, 21, 26, 25, 28, 24, 29, 27, 30, 31, 32, 34, 37, 33, 36]]
60: [[3], [4], [9, 17], [1, 22], [2], [35, 7], [5, 11], [12, 8, 14, 18, 6, 15, 13, 19, 10, 20, 23, 16, 21, 26, 25, 28, 24, 29, 27, 30, 31, 32, 34, 37, 33, 36]]
61: [[3, 4], [9, 17], [1, 22], [2, 35], [7, 5, 11], [12, 8], [14], [18, 6], [15, 13, 19], [10, 20, 23, 16, 21, 26, 25, 28, 24, 29, 27, 30, 31, 32, 34, 37, 33, 36]]
62: [[3], [4], [9, 17, 1], [22, 2], [35, 7], [5, 11, 12, 8, 14, 18, 6, 15, 13, 19, 10, 20, 23, 16, 21, 26, 25, 28, 24, 29, 27, 30, 31, 32, 34, 37, 33, 36]]
63: [[3, 4], [9, 17], [1, 22], [2, 35], [7, 5], [11, 12, 8], [14, 18, 6, 15], [13, 19, 10], [20, 23, 16], [21, 26, 25], [28, 24, 29], [27, 30, 31], [32, 34, 37], [33], [36]]
64: [[3], [4, 9, 17], [1, 22], [2, 35, 7, 5], [11, 12, 8], [14, 18, 6, 15, 13, 19, 10, 20, 23, 16, 21, 26, 25, 28, 24], [29, 27, 30, 31, 32, 34, 37, 33, 36]]
65: [[3], [4, 9], [17, 1, 22], [2, 35], [7, 5, 11], [12, 8, 14], [18, 6, 15], [13, 19], [10, 20, 23], [16, 21, 26], [25, 28, 24], [29, 27], [30, 31], [32, 34, 37], [33, 36]]
66: [[3], [4], [9, 17, 1], [22, 2, 35], [7, 5, 11], [12, 8, 14], [18, 6, 15], [13, 19, 10, 20], [23, 16, 21], [26, 25], [28, 24], [29, 27, 30, 31, 32, 34, 37, 33, 36]]
67: [[3], [4, 9, 17], [1, 22], [2, 35], [7, 5], [11, 12, 8], [14, 18, 6, 15], [13, 19, 10], [20, 23, 16, 21, 26, 25, 28, 24, 29, 27, 30, 31, 32, 34, 37], [33, 36]]
68: [[3], [4, 9], [17, 1, 22], [2, 35, 7], [5, 11], [12], [8], [14, 18], [6, 15, 13], [19, 10], [20], [23, 16, 21], [26, 25], [28, 24, 29], [27, 30, 31], [32, 34, 37], [33], [36]]
69: [[3], [4, 9, 17, 1, 22, 2, 35, 7, 5, 11, 12, 8, 14, 18, 6, 15, 13], [19, 10, 20, 23, 16, 21, 26, 25, 28, 24, 29, 27, 30, 31, 32, 34, 37, 33, 36]]
70: [[3, 4], [9], [17], [1, 22, 2], [35, 7, 5], [11, 12, 8], [14, 18, 6], [15, 13, 19], [10, 20], [23, 16, 21, 26], [25, 28, 24], [29, 27, 30], [31, 32, 34], [37, 33, 36]]
71: [[3], [4, 9], [17, 1], [22, 2], [35, 7, 5], [11], [12, 8, 14], [18, 6, 15], [13, 19, 10], [20, 23], [16, 21, 26], [25, 28, 24, 29], [27, 30], [31, 32], [34, 37], [33, 36]]
72: [[3], [4, 9], [17, 1], [22, 2, 35], [7, 5], [11, 12, 8], [14, 18], [6, 15, 13], [19, 10, 20], [23, 16, 21], [26, 25], [28, 24], [29, 27, 30], [31, 32, 34], [37, 33, 36]]
73: [[3, 4, 9], [17, 1], [22, 2], [35, 7, 5], [11, 12, 8], [14, 18, 6], [15, 13], [19, 10], [20, 23, 16], [21, 26, 25], [28, 24], [29, 27, 30], [31, 32, 34, 37, 33, 36]]
