0: [[33, 27, 26, 13, 23, 31, 10, 34, 30], [21, 15, 11, 8, 5, 6, 36], [37, 35, 19, 14, 20, 1, 2, 3], [4, 16, 9, 17], [7, 12, 22, 24, 18, 29], [28, 32, 25]]
13: [[33, 27, 26, 13], [23, 31, 10], [34, 30, 21], [15, 11, 8, 5], [6, 36, 37], [35, 19], [14, 20, 1, 2], [3, 4, 16], [9, 17, 7, 12], [22, 24, 18, 29], [28, 32, 25]]
14: [[33, 27, 26, 13], [23, 31, 10, 34], [30, 21], [15, 11], [8, 5, 6, 36, 37], [35, 19, 14, 20], [1, 2, 3, 4], [16, 9], [17, 7, 12], [22, 24, 18, 29], [28, 32, 25]]
15: [[33, 27, 26, 13], [23, 31, 10], [34, 30, 21], [15, 11, 8], [5, 6, 36, 37], [35, 19, 14, 20], [1, 2], [3, 4, 16, 9], [17, 7, 12], [22, 24, 18, 29], [28, 32, 25]]
16: [[33, 27, 26, 13], [23, 31, 10], [34, 30, 21, 15], [11, 8], [5, 6, 36, 37], [35, 19], [14, 20, 1, 2, 3], [4, 16], [9, 17, 7, 12], [22, 24, 18, 29], [28, 32, 25]]
17: [[33, 27, 26, 13], [23, 31, 10, 34], [30, 21, 15], [11, 8], [5, 6, 36, 37], [35, 19, 14], [20, 1, 2, 3], [4, 16, 9, 17], [7, 12, 22], [24, 18, 29, 28, 32, 25]]
18: [[33, 27, 26, 13, 23, 31], [10, 34, 30, 21, 15, 11], [8, 5, 6, 36], [37, 35], [19, 14, 20], [1, 2, 3, 4, 16], [9, 17, 7, 12], [22, 24, 18, 29], [28, 32, 25]]
19: [[33, 27, 26], [13, 23, 31], [10, 34, 30], [21, 15, 11], [8, 5, 6, 36, 37, 35, 19, 14], [20, 1, 2, 3], [4, 16, 9, 17, 7, 12], [22, 24, 18], [29, 28, 32, 25]]
20: [[33, 27, 26], [13, 23, 31], [10, 34, 30], [21, 15, 11, 8], [5, 6, 36, 37], [35, 19, 14, 20], [1, 2], [3, 4, 16, 9], [17, 7, 12], [22, 24, 18, 29], [28, 32, 25]]
21: [[33, 27, 26, 13, 23, 31, 10, 34, 30], [21, 15, 11, 8, 5, 6, 36, 37], [35, 19, 14, 20, 1, 2], [3, 4, 16], [9, 17, 7, 12, 22, 24, 18, 29, 28, 32, 25]]
22: [[33, 27, 26, 13], [23, 31, 10, 34, 30, 21, 15, 11], [8, 5, 6, 36, 37, 35], [19, 14, 20], [1, 2, 3], [4, 16, 9, 17], [7, 12, 22], [24, 18, 29, 28, 32, 25]]
23: [[33, 27, 26], [13, 23, 31], [10, 34, 30, 21, 15], [11, 8, 5, 6], [36, 37], [35, 19, 14, 20], [1, 2, 3, 4], [16, 9, 17], [7, 12, 22], [24, 18, 29], [28, 32, 25]]
24: [[33, 27, 26], [13, 23, 31, 10], [34, 30, 21], [15, 11, 8, 5], [6, 36, 37], [35, 19], [14, 20, 1, 2], [3, 4, 16], [9, 17, 7], [12, 22, 24, 18, 29], [28, 32, 25]]
25: [[33, 27, 26, 13, 23, 31, 10, 34, 30], [21, 15, 11, 8, 5, 6, 36], [37, 35, 19, 14], [20, 1, 2], [3, 4, 16], [9, 17, 7, 12], [22, 24, 18, 29, 28, 32, 25]]
26: [[33, 27, 26], [13, 23, 31, 10], [34, 30, 21], [15, 11, 8, 5], [6, 36, 37, 35, 19], [14, 20, 1, 2], [3, 4, 16, 9], [17, 7, 12], [22, 24, 18, 29], [28, 32, 25]]
27: [[33, 27, 26, 13, 23, 31, 10, 34, 30], [21, 15, 11, 8, 5, 6, 36], [37, 35, 19, 14], [20, 1, 2], [3, 4, 16, 9], [17, 7, 12], [22, 24, 18, 29, 28, 32, 25]]
28: [[33, 27, 26], [13, 23, 31], [10, 34, 30, 21], [15, 11, 8, 5], [6, 36, 37, 35], [19, 14, 20, 1], [2, 3, 4], [16, 9, 17], [7, 12, 22], [24, 18, 29], [28, 32, 25]]
29: [[33, 27, 26, 13, 23, 31, 10, 34, 30], [21, 15, 11], [8, 5, 6], [36, 37, 35, 19], [14, 20, 1, 2, 3, 4], [16, 9, 17], [7, 12, 22, 24, 18, 29, 28, 32, 25]]
30: [[33, 27], [26, 13, 23], [31, 10, 34, 30], [21, 15, 11], [8, 5, 6], [36, 37, 35, 19], [14, 20, 1, 2], [3, 4, 16, 9], [17, 7, 12], [22, 24, 18, 29], [28, 32, 25]]
31: [[33, 27, 26, 13], [23, 31, 10, 34, 30, 21], [15, 11, 8, 5], [6, 36, 37, 35, 19, 14], [20, 1, 2, 3, 4], [16, 9, 17, 7, 12, 22, 24, 18, 29, 28, 32, 25]]
32: [[33, 27, 26, 13], [23, 31, 10], [34, 30, 21], [15, 11, 8, 5, 6, 36], [37, 35, 19, 14], [20, 1, 2, 3], [4, 16, 9, 17, 7], [12, 22, 24, 18, 29, 28, 32, 25]]
33: [[33, 27, 26, 13, 23, 31, 10, 34, 30], [21, 15, 11, 8], [5, 6, 36, 37], [35, 19, 14], [20, 1, 2, 3, 4, 16, 9, 17, 7, 12, 22, 24, 18, 29, 28, 32, 25]]
34: [[33, 27, 26, 13, 23, 31], [10, 34, 30], [21, 15, 11], [8, 5, 6], [36, 37, 35, 19], [14, 20, 1, 2], [3, 4], [16, 9], [17, 7, 12, 22], [24, 18, 29], [28, 32, 25]]
35: [[33, 27, 26, 13, 23], [31, 10, 34, 30], [21, 15], [11, 8, 5, 6, 36, 37, 35, 19, 14], [20, 1], [2, 3, 4, 16, 9, 17, 7, 12, 22, 24, 18, 29, 28, 32, 25]]
36: [[33, 27, 26], [13, 23, 31, 10], [34, 30, 21], [15, 11, 8, 5], [6, 36, 37, 35], [19, 14, 20, 1], [2, 3, 4, 16], [9, 17, 7, 12], [22, 24, 18, 29], [28, 32, 25]]
37: [[33, 27, 26, 13], [23, 31, 10], [34, 30], [21, 15, 11, 8, 5], [6, 36, 37, 35], [19, 14, 20], [1, 2, 3], [4, 16, 9], [17, 7, 12], [22, 24, 18], [29, 28, 32, 25]]
38: [[33, 27, 26, 13], [23, 31], [10, 34, 30, 21], [15, 11, 8, 5], [6, 36, 37], [35, 19, 14], [20, 1, 2, 3], [4, 16, 9], [17, 7, 12], [22, 24, 18, 29, 28, 32, 25]]
39: [[33, 27, 26, 13], [23, 31, 10, 34], [30, 21], [15, 11, 8, 5], [6, 36, 37, 35], [19, 14, 20], [1, 2, 3], [4, 16, 9], [17, 7, 12], [22, 24, 18, 29, 28, 32, 25]]
40: [[33, 27, 26, 13, 23], [31, 10, 34, 30], [21, 15, 11, 8], [5, 6, 36], [37, 35, 19, 14, 20, 1, 2, 3, 4, 16, 9, 17, 7, 12, 22, 24, 18, 29, 28, 32, 25]]
41: [[33, 27], [26, 13], [23, 31, 10, 34], [30, 21, 15, 11], [8, 5, 6], [36, 37, 35], [19, 14, 20, 1], [2, 3, 4], [16, 9], [17, 7, 12, 22], [24, 18, 29], [28, 32, 25]]
42: [[33, 27, 26, 13, 23, 31, 10], [34, 30], [21, 15, 11, 8], [5, 6, 36], [37, 35, 19, 14], [20, 1, 2, 3], [4, 16, 9], [17, 7, 12], [22, 24, 18, 29, 28, 32, 25]]
43: [[33, 27, 26], [13, 23, 31, 10], [34, 30, 21], [15, 11, 8, 5], [6, 36], [37, 35, 19, 14], [20, 1, 2, 3], [4, 16, 9], [17, 7, 12, 22], [24, 18], [29, 28, 32, 25]]
44: [[33, 27, 26, 13], [23, 31, 10, 34], [30, 21, 15], [11, 8, 5], [6, 36, 37, 35], [19, 14, 20, 1, 2, 3, 4, 16, 9, 17, 7, 12, 22, 24, 18, 29, 28, 32, 25]]
45: [[33, 27], [26, 13], [23, 31, 10, 34], [30, 21, 15], [11, 8, 5, 6], [36, 37], [35, 19, 14, 20], [1, 2], [3, 4, 16, 9], [17, 7, 12], [22, 24, 18, 29, 28, 32, 25]]
46: [[33, 27, 26], [13, 23, 31], [10, 34, 30], [21, 15], [11, 8, 5, 6], [36, 37, 35, 19], [14, 20, 1, 2, 3, 4], [16, 9, 17], [7, 12, 22, 24, 18, 29, 28, 32, 25]]
47: [[33, 27, 26], [13, 23, 31], [10, 34, 30], [21, 15, 11, 8], [5, 6, 36, 37], [35, 19], [14, 20], [1, 2, 3, 4, 16], [9, 17, 7], [12, 22, 24, 18], [29, 28, 32, 25]]
48: [[33, 27, 26, 13], [23, 31, 10, 34], [30, 21], [15, 11, 8], [5, 6, 36, 37], [35, 19, 14], [20, 1, 2, 3, 4, 16, 9, 17, 7, 12, 22, 24, 18, 29, 28, 32, 25]]
49: [[33, 27, 26], [13, 23, 31, 10, 34, 30, 21, 15, 11, 8, 5, 6, 36, 37, 35, 19, 14], [20, 1, 2, 3, 4, 16, 9, 17, 7, 12, 22, 24, 18, 29, 28, 32, 25]]
50: [[33, 27, 26], [13, 23, 31, 10], [34, 30, 21], [15, 11, 8], [5, 6, 36], [37, 35, 19, 14], [20, 1, 2, 3], [4, 16], [9, 17, 7], [12, 22, 24, 18], [29, 28, 32, 25]]
51: [[33, 27, 26, 13], [23, 31, 10, 34], [30, 21, 15], [11, 8, 5, 6, 36, 37, 35, 19, 14, 20, 1, 2, 3, 4, 16, 9, 17, 7, 12, 22, 24, 18, 29, 28, 32, 25]]
52: [[33, 27, 26, 13], [23, 31, 10, 34], [30, 21, 15, 11], [8, 5, 6, 36], [37, 35, 19], [14, 20, 1, 2], [3, 4], [16, 9, 17, 7], [12, 22, 24], [18, 29, 28, 32, 25]]
53: [[33, 27], [26, 13], [23, 31, 10], [34, 30, 21], [15, 11], [8, 5, 6, 36], [37, 35, 19, 14], [20, 1, 2], [3, 4, 16, 9], [17, 7], [12, 22, 24, 18], [29, 28, 32, 25]]
54: [[33, 27], [26, 13, 23, 31], [10, 34, 30, 21], [15, 11, 8, 5], [6, 36, 37, 35], [19, 14, 20, 1], [2, 3, 4], [16, 9, 17], [7, 12, 22], [24, 18, 29, 28, 32, 25]]
55: [[33, 27, 26], [13, 23, 31], [10, 34], [30, 21, 15], [11, 8, 5, 6], [36, 37, 35], [19, 14, 20, 1], [2, 3, 4], [16, 9], [17, 7, 12, 22], [24, 18, 29], [28, 32, 25]]
56: [[33, 27, 26, 13, 23], [31, 10, 34], [30, 21, 15], [11, 8, 5], [6, 36, 37, 35], [19, 14, 20, 1], [2, 3, 4, 16], [9, 17, 7], [12, 22, 24], [18, 29, 28, 32, 25]]
57: [[33, 27, 26, 13], [23, 31, 10, 34], [30, 21], [15, 11, 8, 5], [6, 36, 37, 35], [19, 14, 20, 1], [2, 3, 4], [16, 9, 17, 7, 12, 22, 24, 18, 29, 28, 32, 25]]
58: [[33, 27, 26, 13], [23, 31, 10], [34, 30, 21, 15], [11, 8, 5], [6, 36, 37, 35], [19, 14], [20, 1, 2], [3, 4, 16], [9, 17, 7, 12, 22, 24, 18, 29, 28, 32, 25]]
59: [[33, 27, 26], [13, 23, 31, 10, 34, 30, 21, 15, 11, 8, 5, 6], [36, 37, 35, 19, 14, 20, 1, 2, 3, 4, 16, 9, 17, 7, 12, 22, 24, 18, 29, 28, 32, 25]]
60: [[33, 27, 26, 13], [23, 31, 10], [34, 30, 21], [15, 11, 8, 5], [6, 36], [37, 35, 19, 14], [20, 1, 2], [3, 4, 16], [9, 17, 7, 12, 22, 24, 18, 29, 28], [32, 25]]
61: [[33, 27], [26, 13, 23], [31, 10, 34, 30], [21, 15, 11], [8, 5, 6], [36, 37, 35, 19], [14, 20, 1], [2, 3, 4], [16, 9, 17, 7], [12, 22, 24, 18], [29, 28, 32, 25]]
62: [[33, 27, 26, 13, 23, 31], [10, 34, 30, 21], [15, 11, 8, 5, 6, 36, 37, 35, 19, 14, 20, 1, 2, 3, 4, 16, 9, 17, 7, 12, 22, 24, 18, 29, 28, 32, 25]]
63: [[33, 27, 26, 13, 23, 31, 10], [34, 30], [21, 15, 11, 8], [5, 6], [36, 37, 35, 19], [14, 20, 1, 2], [3, 4, 16], [9, 17, 7], [12, 22, 24, 18, 29, 28, 32, 25]]
64: [[33, 27], [26, 13, 23, 31, 10], [34, 30, 21], [15, 11, 8, 5], [6, 36, 37, 35], [19, 14, 20], [1, 2, 3, 4, 16, 9, 17, 7, 12, 22, 24, 18, 29, 28, 32, 25]]
65: [[33, 27, 26], [13, 23, 31], [10, 34, 30], [21, 15, 11], [8, 5, 6], [36, 37, 35, 19], [14, 20, 1, 2], [3, 4, 16, 9], [17, 7], [12, 22, 24, 18], [29, 28, 32, 25]]
66: [[33, 27, 26, 13], [23, 31, 10, 34], [30, 21, 15, 11, 8, 5, 6, 36, 37, 35, 19, 14, 20, 1, 2, 3, 4, 16, 9, 17, 7, 12, 22, 24, 18, 29, 28, 32, 25]]
67: [[33, 27, 26, 13], [23, 31, 10, 34], [30, 21], [15, 11, 8, 5, 6], [36, 37], [35, 19, 14, 20, 1], [2, 3, 4, 16], [9, 17, 7], [12, 22, 24], [18, 29, 28, 32, 25]]
68: [[33, 27, 26], [13, 23, 31, 10], [34, 30, 21, 15], [11, 8, 5, 6], [36, 37, 35], [19, 14, 20, 1], [2, 3], [4, 16, 9, 17], [7, 12, 22], [24, 18, 29, 28, 32, 25]]
69: [[33, 27, 26], [13, 23, 31], [10, 34, 30], [21, 15, 11], [8, 5, 6], [36, 37, 35], [19, 14, 20], [1, 2], [3, 4, 16], [9, 17, 7, 12], [22, 24, 18], [29, 28, 32, 25]]
70: [[33, 27, 26], [13, 23, 31], [10, 34, 30, 21, 15, 11], [8, 5, 6], [36, 37, 35, 19, 14, 20, 1, 2, 3, 4, 16, 9, 17, 7, 12, 22, 24, 18, 29, 28, 32, 25]]
71: [[33, 27], [26, 13, 23, 31], [10, 34, 30], [21, 15, 11, 8], [5, 6], [36, 37, 35, 19], [14, 20, 1, 2], [3, 4, 16], [9, 17, 7], [12, 22, 24, 18, 29, 28, 32, 25]]
72: [[33, 27, 26], [13, 23, 31, 10], [34, 30, 21, 15], [11, 8, 5, 6], [36, 37, 35], [19, 14, 20, 1], [2, 3], [4, 16, 9], [17, 7, 12], [22, 24, 18], [29, 28, 32, 25]]
73: [[33, 27, 26, 13], [23, 31, 10, 34], [30, 21, 15], [11, 8, 5, 6], [36, 37, 35, 19], [14, 20, 1], [2, 3, 4], [16, 9, 17, 7], [12, 22, 24], [18, 29, 28], [32, 25]]
