0: [[4, 15, 13, 12], [1, 11, 8], [25, 5, 6], [2, 28, 19], [7, 23, 22], [17, 16], [3, 20], [9, 18, 24, 10], [21, 27, 26], [29, 14]]
23: [[4, 15, 13, 12], [3, 11, 8], [25, 5, 6], [2, 28], [19, 7], [23, 22], [17], [16, 1, 20], [9, 18], [24, 10], [21, 27, 26, 29, 14]]
24: [[4, 15, 13], [12], [3], [8, 11], [25, 5, 6], [2, 28], [19, 7], [23, 22], [17, 16, 1], [20], [9, 18, 24], [10, 21], [27, 26], [29, 14]]
25: [[4, 15], [13, 3, 11], [8], [12], [25, 5], [6, 2, 28], [19], [7, 23, 22], [17, 16], [1, 20, 9, 18], [24, 10], [21, 27], [26, 29, 14]]
26: [[4, 15], [13, 12], [1, 11], [8, 25], [5], [6, 2], [28, 19, 7], [23, 22], [16, 3, 17], [20, 10], [18, 24, 9], [21, 27, 26], [29, 14]]
27: [[4, 15], [13, 12], [1, 11, 8], [25, 5, 6], [2, 28, 19], [7, 23], [22, 17, 3, 16, 20], [9, 18, 24], [10, 21, 27, 26, 29, 14]]
28: [[4, 15], [13], [12], [1, 11, 8], [25, 5], [6, 2, 28], [19, 7, 23, 22], [17, 16, 3], [20, 9, 18], [24, 10, 21], [27, 26], [29, 14]]
29: [[4, 15, 13, 12], [1, 11, 8], [25, 5, 6], [2, 28], [19, 7], [23, 17, 16, 3], [20, 9, 22], [18, 24], [21, 27, 26, 29, 10, 14]]
30: [[4, 15], [12, 13], [3, 8], [11, 25], [5, 6], [2, 28], [19, 7], [23, 22], [17, 1], [16, 20], [9, 18], [24, 10], [21, 27], [26, 29, 14]]
31: [[4, 15, 13, 12], [1, 11, 8], [25, 5, 6], [2, 28, 19], [7, 23, 22], [17, 16, 3], [20, 9], [18, 24], [10, 21, 27], [26, 29, 14]]
32: [[4, 15, 13, 12], [3, 8, 11], [25, 5], [6, 2], [28, 19, 7], [23, 22, 17, 16, 1, 20, 9, 18, 24, 10, 21, 27, 26, 29, 14]]
33: [[4], [15, 13], [3, 12], [11, 8], [25, 5], [6, 2, 28], [19], [7, 23, 22], [17, 1], [16, 20, 10, 18, 24, 9, 21, 27], [26, 29, 14]]
34: [[4, 15], [13, 12], [1, 11], [8, 25, 5], [6, 2, 28, 19], [7, 23, 22], [3, 16, 17], [20, 9, 18], [24, 10], [21, 27], [26, 29, 14]]
35: [[4, 15, 13], [11, 12], [3, 8], [25, 5, 6], [2, 28], [19, 7], [23, 22, 17, 1, 16, 20, 10, 18, 24, 9, 21, 27, 26, 29, 14]]
36: [[4, 15], [13, 12, 3], [11, 8, 25], [5, 6], [2, 28, 19], [7, 23, 22, 17, 16, 1, 20, 9, 18, 24, 10, 21, 27, 26, 29, 14]]
37: [[4], [15, 13], [3, 12], [11, 8, 25], [5, 6], [2, 28, 19], [7, 23, 22, 17], [16, 1, 20], [9, 18, 24], [10, 21, 27], [26, 29, 14]]
38: [[4, 15], [12, 13], [3, 8], [11, 25], [5, 6], [2, 28], [19, 7, 23], [22, 17, 16], [1, 20], [9, 18], [24, 10, 21], [27, 26], [29, 14]]
39: [[4, 15], [13, 12], [1, 11, 8], [25, 5, 6], [2, 28], [19, 7, 23, 22], [17, 16, 3], [20, 9], [18, 24, 10, 21, 27, 26, 29, 14]]
40: [[4, 15, 13], [12, 1], [11, 8], [25, 5, 6], [2, 28, 19, 7, 23, 22, 3, 16, 17, 20, 9, 18, 24, 10, 21, 27, 26, 29, 14]]
41: [[4, 15], [13, 12], [3, 8], [11, 25], [5, 6], [2, 28, 19], [7, 23], [22, 17], [1, 16], [20, 9], [18, 24], [10, 21], [27, 26], [29, 14]]
42: [[4], [15, 13], [3, 12], [11, 8], [25, 5], [6, 2, 28], [19, 7, 23], [22, 17], [1, 16, 20, 10, 18, 24, 9, 21, 27, 26, 29, 14]]
43: [[4, 15], [13, 3], [9, 11], [8], [25, 5, 6], [2, 28, 19], [7, 23], [22, 17, 16, 1, 20, 12, 18, 24, 10, 21, 27, 26, 29, 14]]
44: [[4], [15, 13], [3, 12], [11, 8], [25, 5], [6, 2], [28, 19], [7, 23], [22, 17, 1], [16], [20, 10], [18, 24], [9, 21, 27], [26, 29, 14]]
45: [[4, 15], [13, 12, 1], [11, 8, 25], [5, 6, 2], [28, 19, 7, 23], [22, 17, 16], [3, 20], [9, 18, 24, 10, 21, 27, 26, 29, 14]]
46: [[4, 15], [13, 12], [1, 11], [8, 25], [5, 6, 2], [28, 19, 7], [23, 22, 17, 16], [3, 20, 9], [18, 24, 10], [21, 27, 26, 29, 14]]
47: [[4, 15, 13], [12, 1, 11], [8, 25, 5, 6], [2, 28, 19], [7, 23], [22, 17, 16, 3, 20, 9, 18, 24, 10, 21, 27, 26, 29, 14]]
48: [[4], [15, 13], [1, 3], [12, 8], [25, 5], [6, 2], [28, 19], [7, 23, 17], [16, 11], [22, 20], [9, 18, 24], [10, 21, 27], [26, 29, 14]]
49: [[4, 15], [13, 12], [3, 11, 8, 25], [5, 6, 2], [28, 19, 7], [23, 22], [17, 16], [1, 20, 9], [18, 24, 10, 21, 27, 26, 29, 14]]
50: [[4, 15, 13], [12, 1, 11], [8, 25, 5, 6], [2, 28], [19, 7, 23], [22, 3, 16, 17, 20, 9, 18, 24, 10, 21, 27, 26, 29, 14]]
51: [[4, 15, 13], [12, 1, 11], [8, 25, 5, 6], [2, 28], [19, 7, 23, 17, 16, 3, 22, 20, 9, 18, 24, 10, 21, 27, 26, 29, 14]]
52: [[4, 15], [13, 12], [1, 11, 8, 25], [5, 6, 2, 28, 19, 7, 23, 22], [17, 3, 16], [20, 9, 18, 24, 10, 21], [27, 26, 29, 14]]
53: [[4, 15, 13], [12, 1, 11], [8, 25], [5, 6, 2], [28, 19, 7], [23, 22], [17, 16, 3], [20, 9], [18, 24], [10, 21, 27, 26], [29, 14]]
54: [[4, 15], [13, 12, 3], [8, 11, 25], [5], [6, 2, 28], [19, 7, 23], [17, 16], [1, 22, 20, 9, 18, 24, 10, 21, 27, 26, 29, 14]]
55: [[4, 15], [13, 12], [1, 11], [8, 25, 5], [6, 2, 28], [19, 7, 23], [22, 17, 3], [16, 20, 18], [24, 9, 21], [27, 26, 29], [10, 14]]
56: [[4], [15, 13], [1, 3, 12, 8, 25, 5, 6, 2, 28, 19, 7, 23, 17, 16, 11], [22, 20, 9, 18, 24, 10, 21, 27, 26, 29, 14]]
57: [[4, 15], [13], [12, 3, 8], [11, 25, 5, 6, 2, 28, 19, 7, 23, 22, 17, 16, 1, 20, 9, 18, 24, 10, 21, 27, 26, 29, 14]]
58: [[4, 15], [13, 12, 1], [11, 8], [25, 5, 6, 2, 28, 19, 7, 23, 22, 17, 3, 16, 20, 10, 18, 24, 9, 21, 27, 26, 29, 14]]
59: [[4], [15], [13, 12, 1], [11, 8, 25], [5, 6, 2], [28, 19], [7, 23, 22, 17, 16, 3, 20, 9, 18, 24, 10, 21, 27, 26], [29, 14]]
