0: [[6, 16, 3, 18], [2, 13, 5, 8, 19, 1], [10, 14], [7, 9, 11], [15, 12, 4, 17, 20, 22], [21, 23, 24]]
17: [[6, 16, 3], [18, 2, 13], [5, 8, 19], [1, 10, 14], [7, 9, 11], [15, 12, 4], [17, 20, 22], [21, 23, 24]]
18: [[6, 16, 3], [18, 2, 13], [5, 8, 19], [1, 10, 14], [7, 9, 11], [15, 12, 4], [17, 20, 22], [21, 23, 24]]
19: [[6, 16, 3], [18, 2, 13], [5, 8, 19], [1, 10, 14], [7, 9, 11], [15, 12, 4], [17, 20, 22], [21, 23, 24]]
20: [[6, 16, 3], [18, 2, 13], [5, 8, 19], [1, 10, 14], [7, 9, 11], [15, 12, 4], [17, 20, 22], [21, 23, 24]]
21: [[6, 16, 3], [18, 2, 13], [5, 8, 19], [1, 10, 14], [7, 9, 11], [15, 12, 4], [17, 20, 22], [21, 23, 24]]
22: [[6, 16, 3], [18, 2, 13], [5, 8, 19], [1, 10, 14], [7, 9, 11], [15, 12, 4], [17, 20, 22], [21, 23, 24]]
23: [[6, 16, 3], [18, 2, 13], [5, 8, 19], [1, 10, 14], [7, 9, 11], [15, 12, 4], [17, 20, 22], [21, 23, 24]]
24: [[6, 16, 3], [18, 2, 13], [5, 8, 19], [1, 10, 14], [7, 9, 11], [15, 12, 4], [17, 20, 22], [21, 23, 24]]
25: [[6, 16, 3, 18], [2, 13, 5], [8, 19], [1, 10, 14], [7, 9, 11], [15, 12, 4], [17, 20, 22], [21, 23, 24]]
26: [[6, 16, 3, 18], [2, 13, 5], [8, 19], [1, 10, 14], [7, 9, 11], [15, 12, 4], [17, 20, 22], [21, 23, 24]]
27: [[6, 16, 3], [18, 2, 13], [5, 8], [19, 1, 10], [14, 7, 9, 11], [15, 12, 4], [17, 20, 22], [21, 23, 24]]
28: [[6, 16, 3], [18, 2, 13], [5, 8, 19, 1, 10, 14, 7, 9, 11, 15, 12], [4, 17, 20, 22], [21, 23, 24]]
29: [[6, 16, 3], [18, 2, 13], [5, 8, 19], [1, 10, 14], [7, 9, 11, 15, 12, 4], [17, 20, 22], [21, 23, 24]]
30: [[6, 16, 3], [18, 2, 13], [5, 8, 19], [1, 10, 14], [7, 9, 11, 15, 12, 4], [17, 20, 22], [21, 23, 24]]
31: [[6, 16], [3, 18, 2], [13, 5, 8], [19, 1, 10], [14, 7, 9], [11, 15, 12, 4], [17, 20, 22], [21, 23, 24]]
32: [[6, 16], [3, 18, 2], [13, 5, 8], [19, 1, 10], [14, 7, 9], [11, 15, 12, 4, 17, 20], [22, 21, 23, 24]]
33: [[6, 16, 3], [18, 2, 13, 5], [8, 19, 1], [10, 14, 7], [9, 11, 15], [12, 4, 17], [20, 22], [21, 23, 24]]
34: [[6, 16, 3], [18, 2, 13], [5, 8, 19], [1, 10, 14], [7, 9, 11], [15, 12, 4], [17, 20, 22, 21, 23, 24]]
35: [[6, 16, 3], [18, 2, 13], [5, 8, 19], [1, 10, 14], [7, 9, 11], [15, 12, 4], [17, 20, 22, 21, 23, 24]]
36: [[6, 16, 3], [18, 2, 13], [5, 8, 19], [1, 10, 14], [7, 9, 11], [15, 12, 4], [17, 20, 22, 21, 23, 24]]
37: [[6, 16, 3], [18, 2, 13], [5, 8, 19], [1, 10, 14], [7, 9, 11], [15, 12, 4], [17, 20, 22, 21, 23, 24]]
38: [[6, 16, 3], [18, 2, 13], [5, 8, 19], [1, 10, 14, 7, 9, 11], [15, 12, 4], [17, 20, 22, 21, 23, 24]]
39: [[6, 16, 3], [18, 2, 13], [5, 8], [19, 1, 10, 14], [7, 9, 11], [15, 12, 4, 17, 20, 22, 21, 23, 24]]
40: [[6, 16, 3], [18, 2, 13], [5, 8, 19], [1, 10, 14], [7, 9, 11], [15, 12, 4, 17, 20, 22, 21, 23, 24]]
41: [[6, 16, 3], [18, 2, 13], [5, 8, 19], [1, 10, 14], [7, 9, 11], [15, 12, 4, 17, 20, 22, 21, 23, 24]]
42: [[6, 16, 3], [18, 2, 13], [5, 8, 19], [1, 10, 14], [7, 9, 11], [15, 12, 4, 17, 20, 22, 21, 23, 24]]
43: [[6, 16, 3], [18, 2, 13], [5, 8, 19], [1, 10, 14], [7, 9, 11], [15, 12, 4, 17, 20, 22, 21, 23, 24]]
44: [[6, 16, 3], [18, 2, 13, 5, 8, 19, 1, 10, 14, 7, 9], [11, 15, 12, 4, 17, 20, 22, 21, 23, 24]]
45: [[6, 16, 3], [18, 2, 13], [5, 8, 19, 1, 10, 14, 7, 9, 11, 15, 12, 4, 17, 20, 22, 21, 23, 24]]
46: [[6, 16, 3], [18, 2, 13], [5, 8, 19, 1], [10, 14, 7, 9, 11, 15, 12, 4, 17, 20, 22, 21, 23, 24]]
47: [[6, 16, 3], [18, 2, 13], [5, 8, 19], [1, 10, 14, 7, 9, 11, 15, 12, 4, 17, 20, 22, 21, 23, 24]]
