0: [[20, 19, 8], [6, 3], [17, 9, 1], [10, 14, 2], [12, 5, 13], [16, 18, 11, 7], [4, 22, 15], [21, 23, 24]]
20: [[20, 19, 2, 6, 3, 17], [9, 1, 8], [10, 14, 7], [12, 13, 5], [16, 18], [11, 4, 22, 15], [21, 23, 24]]
21: [[20, 19], [2, 6, 3, 17, 5, 8], [9, 1], [10, 14, 7], [12, 13], [16, 18, 11, 4, 22, 15], [21, 23, 24]]
22: [[20, 19, 8], [2, 6, 3], [17, 9, 1, 10, 14, 12], [13, 16], [18, 11, 7], [4, 22, 15, 5], [21, 23, 24]]
23: [[20, 19], [2, 6, 3, 8], [17, 9, 1], [10, 14, 7], [12, 13, 5], [16, 18, 11, 4, 22, 15], [21, 23, 24]]
24: [[20, 19], [2, 6, 3, 8], [17, 9, 1], [10, 14, 7], [12, 13, 5], [16, 18, 11, 4, 22, 15], [21, 23, 24]]
25: [[20, 19], [2, 6, 3, 8], [17, 9, 1], [10, 14, 7], [12, 13, 5], [16, 18, 11, 4, 22, 15], [21, 23, 24]]
26: [[20, 19], [2, 6, 3, 8], [17, 9, 1], [10, 14, 7], [12, 13, 5], [16, 18, 11, 4, 22, 15], [21, 23, 24]]
27: [[20], [19, 2, 6, 3, 17, 9, 8], [1, 10], [14, 12, 5], [13, 16, 18, 11, 7], [4, 22, 15], [21, 23, 24]]
28: [[20], [19, 2, 6, 3, 17, 9, 8], [1, 10], [14, 12, 5], [13, 16, 18, 11, 7], [4, 22, 15], [21, 23, 24]]
29: [[20, 19], [2, 6, 3, 17, 9, 1, 10, 8], [14, 12, 5], [13, 16], [18, 11, 7], [4, 22, 15], [21, 23, 24]]
30: [[20], [19, 2, 8], [6, 3, 17, 9, 1, 10, 14, 12], [13, 16], [18, 11, 7], [4, 22, 15, 5], [21, 23, 24]]
31: [[20, 19, 2, 6, 3, 8], [17, 9, 5], [1, 10], [14, 12, 13, 16], [18, 11, 7], [4, 22, 15], [21, 23, 24]]
32: [[20, 19, 8], [2, 6], [3, 17, 9], [1, 10], [14, 12, 13, 16, 18, 11, 7], [4, 22, 15, 5], [21, 23, 24]]
33: [[20], [19, 2, 8], [6, 3, 5], [17, 9, 1, 10, 14, 12, 13], [16, 18], [11, 4, 22, 15, 7], [21, 23, 24]]
34: [[20], [19, 2, 8], [6, 3, 5], [17, 9, 1, 10, 14, 12, 13], [16, 18], [11, 4, 22, 15, 7], [21, 23, 24]]
35: [[20], [19, 2, 6, 8], [3, 17, 5], [9, 1, 10], [14, 12, 13, 16, 18, 11, 7], [4, 22, 15], [21, 23, 24]]
36: [[20], [19, 2, 8], [6, 3, 17, 5], [9, 1, 10], [14, 12, 13, 7], [16, 18, 11, 4, 22, 15], [21, 23, 24]]
37: [[20, 19], [2, 6, 3, 8], [17, 9, 5], [1, 10, 14], [12, 13], [16, 18, 11, 4, 22, 15, 7], [21, 23, 24]]
38: [[20, 19, 2, 6], [3, 17], [9, 1, 10], [14, 12, 5], [13, 16, 18, 11, 7, 8], [4, 22, 15], [21, 23, 24]]
39: [[20, 19, 2, 6, 3, 8], [17, 9, 5], [1, 10, 14], [12, 13, 16, 18], [11, 4, 7], [22, 15], [21, 23, 24]]
40: [[20, 19, 2], [6, 3, 17, 9, 5], [1, 10], [14, 12, 7], [13, 16], [18, 11, 4, 22, 15, 8], [21, 23, 24]]
41: [[20, 19, 2], [6, 3], [17, 9, 1, 10], [14, 12], [13, 16, 18, 11, 7], [4, 22, 5], [15, 21, 8], [23, 24]]
42: [[20, 19], [2, 6, 3, 17, 5], [9, 1, 10], [14, 12, 7], [13, 16], [18, 11, 4, 22, 15, 8], [21, 23, 24]]
43: [[20], [19, 2], [6, 3, 17, 5], [9, 1, 10, 14, 12, 13, 16, 8], [18, 11, 4, 7], [22, 15], [21, 23, 24]]
44: [[20, 19, 2, 6, 3, 8], [17, 9, 1, 10], [14, 12, 5], [13, 16], [18, 11, 4, 7], [22, 15], [21, 23, 24]]
45: [[20, 19], [2, 6, 3], [17, 9, 1, 10], [14, 12, 7, 5], [13, 16], [18, 11, 4, 22, 15, 21, 8], [23, 24]]
46: [[20, 19], [2, 6, 8], [3, 17, 9], [1, 10, 14], [12, 13, 5], [16, 18, 11, 4, 22, 7], [15, 21, 23, 24]]
47: [[20, 19, 8], [2, 6], [3, 17], [9, 1, 10], [14, 12, 5], [13, 16, 18], [11, 4, 22, 7], [15, 21, 23, 24]]
48: [[20], [19, 2, 6], [3, 17, 9, 5, 8], [1, 10], [14, 12, 7], [13, 16], [18, 11, 4, 22, 15, 21], [23, 24]]
49: [[20, 19, 8], [2, 6], [3, 17, 5], [9, 1, 10], [14, 12, 7], [13, 16, 18, 11, 4, 22], [15, 21, 23, 24]]
