0: [[9, 3, 1, 16, 6], [4, 10, 2, 14], [8, 15, 13], [11, 7], [12, 20, 17, 19, 18, 22, 5], [21, 23, 24]]
21: [[1, 9, 13], [3, 4, 10, 6], [2, 5], [14, 8], [15, 11], [7, 12, 20, 17], [19, 18, 22, 16], [21, 23, 24]]
22: [[1, 9, 3, 4, 10, 2, 6], [5, 14], [8, 15, 13], [11, 7, 12, 20, 17, 19], [18, 22, 21, 16], [23, 24]]
23: [[9, 3, 16, 6], [4, 10], [2, 5, 14], [8, 15], [11, 7], [12, 20, 13, 1], [17, 19], [18, 22, 21], [23, 24]]
24: [[13, 9, 6, 1], [3, 4, 16], [10, 2, 5], [14, 8, 15], [11, 7], [12, 20], [17, 19, 18, 22], [21, 23], [24]]
25: [[13], [9], [3, 4, 10, 2], [5, 14, 6], [8, 15, 11, 7, 12], [20, 17, 19, 1], [18, 22, 21, 16], [23, 24]]
26: [[16, 13, 6, 1, 9], [3, 4, 10, 2, 5, 14, 8, 15, 11, 7, 12, 20, 17, 19, 18], [22, 21], [23, 24]]
27: [[1, 9, 13], [3, 4, 10, 2, 16], [5, 14, 8, 15, 11, 6], [7, 12, 20], [17, 19], [18, 22, 21], [23, 24]]
28: [[1, 9, 13, 6], [3, 4, 10, 16], [2, 5, 14], [8, 15], [11, 7, 12, 20, 17], [19, 18, 22, 21], [23, 24]]
29: [[13, 9, 16, 6, 1], [3, 4, 10, 2, 5, 14], [8, 15], [11, 7], [12, 20], [17, 19, 18], [22, 21, 23], [24]]
30: [[13], [9, 3, 4, 10, 2, 1], [5, 14, 6], [8, 15, 11, 7, 12, 20, 17], [19, 18, 16], [22, 21], [23, 24]]
31: [[13, 1, 9, 16], [3, 4, 10, 2, 5, 14, 8, 15, 11, 6], [7, 12], [20, 17, 19, 18, 22, 21], [23, 24]]
32: [[13, 1, 9, 16], [3, 4, 10, 2, 5, 14, 8, 15, 11, 6], [7, 12], [20, 17, 19, 18, 22, 21], [23, 24]]
33: [[13, 1, 9, 3, 16, 6], [4, 10, 2, 5, 14], [8, 15], [11, 7, 12, 20, 17], [19, 18, 22, 21, 23, 24]]
34: [[1, 9, 13, 6], [3, 4, 16], [10, 2], [5, 14, 8, 15, 11], [7, 12, 20], [17, 19], [18, 22, 21, 23, 24]]
35: [[13, 9, 3, 4, 16, 6, 1], [10, 2, 5, 14, 8], [15, 11], [7, 12], [20, 17], [19, 18], [22, 21], [23, 24]]
36: [[1, 9, 13], [3, 4, 16, 6], [10, 2], [5, 14], [8, 15], [11, 7, 12], [20, 17, 19, 18, 22, 21, 23, 24]]
37: [[1, 13], [9, 3, 16, 6], [4, 10], [2, 5], [14, 8, 15, 11], [7, 12], [20, 17], [19, 18, 22, 21], [23, 24]]
38: [[13, 1, 9, 3, 16, 6], [4, 10, 2, 5], [14, 8, 15, 11, 7], [12, 20, 17], [19, 18, 22, 21, 23, 24]]
39: [[13, 9, 6, 1], [3, 4, 16], [10, 2], [5, 14], [8, 15], [11, 7, 12], [20, 17, 19, 18, 22, 21, 23, 24]]
40: [[1, 9, 16, 13, 6], [3, 4, 10, 2], [5, 14, 8], [15, 11], [7, 12, 20, 17, 19], [18, 22, 21, 23, 24]]
41: [[13, 6], [9, 1], [3, 4, 16], [10, 2, 5, 14], [8, 15, 11, 7, 12], [20, 17, 19, 18, 22, 21, 23, 24]]
42: [[1, 16, 13], [9, 3, 4, 10, 6], [2, 5], [14, 8, 15], [11, 7], [12, 20, 17, 19, 18, 22, 21, 23, 24]]
43: [[16, 13, 6, 1, 9, 3], [4, 10, 2, 5], [14, 8, 15, 11, 7, 12, 20, 17, 19, 18, 22, 21, 23, 24]]
44: [[13], [9, 3, 16, 6], [4, 10], [2, 5, 14, 8], [15, 11], [7, 12, 20], [17, 19, 1], [18, 22, 21, 23, 24]]
45: [[13, 1, 9, 3, 16, 6], [4, 10], [2, 5, 14], [8, 15, 11, 7], [12, 20, 17, 19, 18, 22, 21, 23, 24]]
46: [[13, 16, 6], [1, 9], [3, 4, 10, 2], [5, 14, 8, 15, 11, 7, 12, 20, 17, 19, 18, 22, 21, 23, 24]]
47: [[1, 9, 3, 16, 6], [4, 10, 2, 5], [14, 8, 13], [15, 11], [7, 12], [20, 17], [19, 18, 22, 21, 23, 24]]
48: [[13], [1, 6], [9, 3, 16], [4, 10, 2, 5, 14], [8, 15, 11, 7, 12, 20, 17, 19, 18, 22, 21, 23, 24]]
49: [[16], [13, 6, 1, 9, 3, 4, 10, 2, 5, 14, 8, 15, 11, 7, 12, 20, 17, 19, 18, 22, 21, 23], [24]]
