0: [[28, 4, 6, 24, 10], [2, 19, 7], [20, 3, 23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
21: [[28, 4, 6, 24, 10, 2, 19], [7, 20, 3, 23, 22], [14, 17, 13, 1, 9], [5, 8, 25], [15, 18, 16, 11, 12], [27, 21, 29, 26]]
22: [[28, 4, 6, 24, 10, 2, 19], [7, 20, 3, 23, 22], [14, 17, 13, 1, 9], [5, 8, 25], [15, 18, 16, 11, 12], [27, 21, 29, 26]]
23: [[28, 4, 6, 24, 10, 2, 19], [7, 20, 3, 23, 22], [14, 17, 13, 1, 9], [5, 8, 25], [15, 18, 16, 11, 12], [27, 21, 29, 26]]
24: [[28, 4, 6, 24, 10, 2, 19], [7, 20, 3, 23, 22], [14, 17, 13, 1, 9], [5, 8, 25], [15, 18, 16, 11, 12], [27, 21, 29, 26]]
25: [[28, 4, 6, 24, 10, 2, 19], [7, 20, 3, 23, 22], [14, 17, 13, 1, 9], [5, 8, 25], [15, 18, 16, 11, 12], [27, 21, 29, 26]]
26: [[28, 4, 6, 24, 10, 2, 19], [7, 20, 3, 23, 22], [14, 17, 13, 1, 9], [5, 8, 25], [15, 18, 16, 11, 12], [27, 21, 29, 26]]
27: [[28, 4, 6, 24, 10, 2, 19], [7, 20, 3, 23, 22], [14, 17, 13, 1, 9], [5, 8, 25], [15, 18, 16, 11, 12], [27, 21, 29, 26]]
28: [[28, 4, 6, 24, 10, 2, 19], [7, 20, 3, 23, 22], [14, 17, 13, 1, 9], [5, 8, 25], [15, 18, 16, 11, 12], [27, 21, 29, 26]]
29: [[28, 4, 6, 24, 10], [2, 19, 7], [20, 3, 23, 22, 17], [13, 1, 9, 14, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
30: [[28, 4, 6, 24, 10], [2, 19, 7, 20, 3, 23, 22], [14, 17, 13, 1, 9], [5, 8, 25], [15, 18, 16, 11, 12], [27, 21, 29, 26]]
31: [[28, 4, 6, 24, 10], [2, 19, 7, 20, 3], [23, 22, 14, 17, 13, 1, 9], [5, 8, 25], [15, 18, 16, 11, 12], [27, 21, 29, 26]]
32: [[28, 4, 6, 24, 10], [2, 19, 7, 20, 3], [23, 22, 14, 17, 13, 1, 9], [5, 8, 25], [15, 18, 16, 11, 12], [27, 21, 29, 26]]
33: [[28, 4, 6, 24, 10], [2, 19, 7, 20, 3], [23, 22, 14, 17, 13, 1, 9], [5, 8, 25], [15, 18, 16, 11, 12], [27, 21, 29, 26]]
34: [[28, 4, 6], [24, 10, 2, 19, 7], [20, 3, 23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
35: [[28, 4, 6], [24, 10, 2, 19, 7], [20, 3, 23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
36: [[28, 4, 6], [24, 10, 2, 19, 7], [20, 3, 23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
37: [[28, 4, 6], [24, 10, 2, 19, 7], [20, 3, 23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
38: [[28, 4, 6], [24, 10, 2, 19, 7], [20, 3, 23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
39: [[28, 4, 6], [24, 10, 2, 19, 7], [20, 3, 23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
40: [[28, 4, 6], [24, 10, 2, 19, 7], [20, 3, 23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
41: [[28, 4, 6], [24, 10, 2, 19, 7], [20, 3, 23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
42: [[28, 4, 6], [24, 10, 2, 19, 7], [20, 3, 23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
43: [[28, 4, 6], [24, 10, 2, 19, 7], [20, 3, 23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
44: [[28, 4, 6], [24, 10, 2, 19, 7], [20, 3, 23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
45: [[28, 4, 6], [24, 10, 2, 19, 7], [20, 3, 23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
46: [[28, 4, 6], [24, 10, 2, 19, 7], [20, 3, 23, 22, 14], [17, 13, 1, 9, 5, 8, 25], [15, 18, 16, 11, 12], [27, 21, 29, 26]]
47: [[28, 4, 6], [24, 10, 2, 19, 7], [20, 3, 23, 22, 14], [17, 13, 1, 9, 5, 8, 25], [15, 18, 16, 11, 12], [27, 21, 29, 26]]
48: [[28, 4, 6], [24, 10, 2, 19, 7], [20, 3, 23, 22, 14], [17, 13, 1, 9, 5, 8, 25], [15, 18, 16, 11, 12], [27, 21, 29, 26]]
49: [[28, 4, 6, 24, 10], [2, 19, 7, 20, 3], [23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
50: [[28, 4, 6, 24, 10], [2, 19, 7, 20, 3], [23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
51: [[28, 4, 6, 24, 10], [2, 19, 7, 20, 3], [23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
52: [[28, 4, 6, 24, 10], [2, 19, 7, 20, 3], [23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
53: [[28, 4, 6, 24, 10], [2, 19, 7, 20, 3], [23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
54: [[28, 4, 6, 24, 10], [2, 19, 7, 20, 3], [23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
55: [[28, 4, 6, 24, 10], [2, 19, 7, 20, 3], [23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
56: [[28, 4, 6, 24, 10], [2, 19, 7, 20, 3], [23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
57: [[28, 4, 6, 24, 10], [2, 19, 7, 20, 3], [23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
58: [[28, 4, 6, 24, 10], [2, 19, 7, 20, 3], [23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
59: [[28, 4, 6, 24, 10], [2, 19, 7, 20, 3], [23, 22, 14], [17, 13, 1, 9, 5], [8, 25, 15, 18, 16, 11, 12], [27, 21, 29, 26]]
