0: [[35, 13, 19, 11, 1, 5, 2], [8, 7, 9, 12, 24, 4], [14, 40, 22, 23, 28], [3, 20, 30], [15, 16, 31, 17, 25, 26, 27, 50, 42, 18, 10, 21, 6], [32, 38, 52, 34, 29, 37], [33, 36, 39, 41, 56, 44], [47, 55, 54, 43], [48, 45, 51, 53, 46], [60, 49, 57, 58, 59]]
25: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 9, 26, 8, 12, 28, 10, 15, 18, 19, 16, 23], [22, 20, 25, 30, 24, 29, 31, 33, 40, 36, 32, 39, 42, 37, 34, 43, 45, 38, 44, 46], [41, 47, 51, 52, 49, 48, 50, 55, 54, 53, 56, 59, 57, 58, 60]]
26: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 22, 5, 8, 9, 28, 30, 26, 16, 18, 12, 31, 15, 10, 21, 6], [20, 19, 24, 25, 23, 29, 33, 40, 36, 32, 39, 42, 38, 45, 34, 37, 41, 44, 43], [46, 47, 51, 52, 49, 48, 50, 54, 53, 55, 57, 56, 59, 58, 60]]
27: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 24, 12, 8, 26, 9, 10, 15, 16, 22, 18, 23], [20, 28, 19, 25, 31, 29, 30, 33, 40, 36, 32, 38, 34, 37, 45, 42, 41, 39, 46, 44], [47, 43, 51, 52, 49, 48, 58, 53, 54, 50, 57, 55, 59, 56, 60]]
28: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 8, 9, 26, 12, 30, 16, 10, 15, 24, 18, 19], [23, 22, 31, 25, 20, 28, 29, 33, 40, 36, 32, 38, 42, 46, 37, 39, 34, 45, 43, 47], [41, 44, 51, 52, 49, 48, 50, 55, 53, 54, 57, 56, 59, 58, 60]]
29: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 25, 10, 8, 12, 30, 9, 15, 19, 18, 16, 23], [22, 24, 31, 28, 20, 29, 26, 33, 40, 36, 32, 39, 42, 34, 37, 38, 43, 45, 44, 46], [41, 47, 51, 52, 49, 48, 50, 53, 54, 55, 57, 56, 59, 58, 60]]
30: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 8, 9, 10, 26, 12, 16, 15, 19, 23, 24, 18], [20, 22, 30, 28, 25, 31, 29, 33, 40, 36, 32, 38, 42, 34, 39, 47, 45, 37, 43, 46], [41, 44, 51, 52, 49, 48, 50, 53, 55, 54, 56, 57, 58, 59, 60]]
31: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 25, 8, 9, 12, 24, 10, 15, 18, 19, 16, 23], [22, 28, 31, 30, 20, 29, 26, 33, 40, 36, 32, 38, 34, 39, 37, 43, 44, 41, 45, 42], [47, 46, 51, 52, 49, 48, 50, 53, 55, 54, 56, 57, 59, 58, 60]]
32: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 8, 9, 10, 12, 28, 19, 15, 16, 29, 18, 30], [22, 20, 23, 24, 26, 31, 25, 33, 44, 36, 32, 38, 42, 39, 47, 34, 43, 37, 41, 40], [45, 46, 51, 52, 49, 48, 50, 55, 53, 54, 56, 57, 58, 59, 60]]
33: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 6, 5, 9, 8, 30, 28, 18, 10, 12, 15, 16, 19, 23], [29, 20, 31, 22, 24, 25, 26, 33, 40, 36, 32, 39, 42, 38, 34, 37, 47, 41, 43, 46], [45, 44, 51, 52, 49, 48, 50, 53, 54, 55, 56, 58, 59, 57, 60]]
34: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 25, 8, 9, 28, 10, 12, 26, 31, 15, 16, 18], [19, 20, 23, 22, 24, 30, 29, 33, 44, 36, 32, 39, 42, 47, 34, 38, 37, 40, 45, 41], [43, 46, 51, 52, 49, 48, 50, 54, 55, 53, 56, 57, 59, 58, 60]]
35: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 8, 26, 9, 24, 12, 10, 15, 30, 16, 19, 18], [22, 20, 23, 25, 28, 29, 31, 33, 40, 36, 32, 39, 42, 45, 37, 43, 34, 38, 41, 46], [47, 44, 51, 52, 49, 48, 50, 55, 54, 53, 57, 59, 58, 56, 60]]
36: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 23, 5, 6, 8, 9, 12, 10, 31, 15, 16, 18, 19, 29, 21], [20, 30, 22, 25, 28, 24, 26, 33, 40, 36, 32, 39, 42, 38, 34, 37, 45, 41, 46, 43], [47, 44, 51, 52, 49, 48, 50, 54, 53, 55, 57, 56, 59, 58, 60]]
37: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 8, 5, 9, 12, 15, 16, 30, 10, 28, 6, 26, 19, 18], [22, 29, 23, 24, 20, 25, 31, 33, 40, 36, 32, 39, 42, 43, 45, 47, 34, 38, 37, 46], [41, 44, 51, 52, 49, 48, 54, 55, 50, 53, 56, 59, 58, 57, 60]]
38: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 5, 6, 12, 24, 8, 9, 10, 28, 25, 15, 16, 18, 21, 19], [22, 20, 23, 26, 31, 29, 30, 33, 40, 36, 32, 39, 42, 37, 46, 34, 43, 38, 41, 47], [45, 44, 51, 52, 49, 48, 50, 54, 53, 55, 57, 58, 59, 56, 60]]
39: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 6, 8, 5, 9, 30, 26, 29, 16, 15, 10, 12, 18, 19], [25, 20, 23, 22, 28, 24, 31, 33, 40, 36, 32, 39, 42, 38, 37, 43, 47, 45, 41, 46], [34, 44, 51, 52, 49, 48, 50, 53, 55, 58, 56, 54, 59, 57, 60]]
40: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 24, 9, 8, 10, 12, 26, 15, 23, 18, 16, 19], [20, 28, 22, 31, 25, 30, 29, 33, 44, 36, 32, 39, 34, 37, 45, 38, 42, 46, 47, 40], [43, 41, 51, 52, 49, 48, 50, 53, 55, 54, 56, 58, 59, 60, 57]]
41: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 8, 9, 15, 10, 28, 12, 29, 23, 16, 18, 19], [20, 22, 24, 26, 25, 30, 31, 33, 40, 36, 32, 39, 34, 38, 41, 37, 44, 46, 43, 47], [42, 45, 51, 52, 49, 48, 50, 55, 53, 54, 57, 56, 59, 58, 60]]
42: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 8, 9, 15, 10, 12, 19, 25, 18, 16, 23, 30], [20, 22, 28, 24, 26, 31, 29, 33, 40, 36, 32, 38, 42, 39, 45, 34, 43, 37, 46, 41], [44, 47, 51, 52, 49, 48, 50, 55, 53, 54, 56, 57, 58, 59, 60]]
43: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 23, 5, 6, 8, 9, 12, 10, 16, 15, 31, 18, 19, 25, 21], [20, 22, 24, 26, 28, 30, 29, 33, 40, 36, 32, 39, 42, 38, 34, 37, 45, 41, 43, 44], [46, 47, 51, 52, 49, 48, 50, 55, 53, 54, 57, 56, 59, 58, 60]]
44: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 5, 6, 9, 8, 10, 12, 15, 24, 16, 23, 18, 21, 19, 22], [26, 20, 25, 30, 28, 29, 31, 33, 40, 36, 32, 38, 42, 39, 34, 37, 43, 41, 44, 45], [46, 47, 51, 52, 49, 48, 50, 53, 54, 55, 57, 58, 59, 56, 60]]
45: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 8, 6, 9, 10, 12, 5, 15, 16, 24, 19, 18, 22, 23], [20, 26, 30, 29, 25, 28, 31, 33, 40, 36, 32, 39, 34, 38, 37, 44, 41, 42, 45, 43], [46, 47, 51, 52, 49, 48, 50, 55, 53, 54, 56, 58, 59, 57, 60]]
46: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 29, 5, 12, 8, 9, 26, 6, 18, 23, 10, 15, 16, 19, 21], [20, 25, 28, 22, 24, 31, 30, 33, 40, 36, 32, 38, 42, 46, 37, 34, 39, 43, 45, 41], [47, 44, 51, 52, 49, 48, 50, 53, 54, 58, 57, 55, 59, 56, 60]]
47: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 25, 8, 9, 28, 10, 12, 15, 31, 18, 16, 19], [22, 20, 23, 26, 24, 30, 29, 33, 44, 36, 32, 39, 42, 47, 34, 38, 37, 40, 41, 43], [45, 46, 51, 52, 49, 48, 50, 55, 53, 54, 56, 57, 59, 58, 60]]
48: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 29, 5, 8, 15, 9, 18, 12, 26, 31, 16, 19, 30, 10, 21, 6], [23, 20, 22, 28, 24, 25, 33, 40, 36, 32, 38, 42, 39, 37, 34, 43, 47, 41, 44], [46, 45, 51, 52, 49, 48, 50, 55, 53, 54, 57, 58, 56, 59, 60]]
49: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 24, 8, 10, 26, 9, 12, 31, 20, 15, 16, 19], [18, 30, 22, 28, 25, 23, 29, 33, 44, 36, 32, 38, 34, 41, 37, 47, 40, 39, 42, 43], [45, 46, 51, 52, 49, 48, 50, 53, 55, 54, 56, 57, 59, 58, 60]]
50: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 12, 9, 10, 24, 30, 26, 8, 22, 15, 16, 18], [19, 23, 20, 25, 29, 28, 31, 33, 40, 36, 32, 39, 42, 34, 37, 38, 41, 45, 43, 47], [46, 44, 51, 52, 49, 48, 50, 53, 54, 55, 56, 57, 58, 59, 60]]
51: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 10, 8, 5, 9, 6, 12, 15, 24, 22, 16, 18, 19, 23], [20, 26, 31, 28, 25, 30, 29, 33, 40, 36, 32, 38, 42, 34, 37, 45, 41, 47, 39, 43], [46, 44, 51, 52, 49, 48, 50, 55, 53, 58, 57, 54, 59, 56, 60]]
52: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 12, 5, 6, 8, 31, 26, 9, 10, 25, 24, 18, 15, 30], [22, 20, 29, 16, 19, 23, 28, 33, 40, 36, 32, 39, 42, 38, 37, 34, 43, 45, 46, 41], [44, 47, 51, 52, 49, 48, 50, 53, 54, 58, 56, 55, 59, 57, 60]]
53: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 24, 12, 9, 8, 30, 26, 15, 16, 31, 23, 10], [22, 18, 19, 20, 25, 28, 29, 33, 40, 36, 32, 38, 34, 39, 46, 37, 41, 42, 43, 45], [44, 47, 51, 52, 49, 48, 50, 53, 55, 54, 57, 58, 59, 56, 60]]
54: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 9, 8, 10, 12, 28, 18, 15, 19, 22, 16, 31], [20, 23, 24, 26, 25, 29, 30, 33, 40, 36, 32, 38, 42, 39, 46, 34, 41, 43, 45, 37], [47, 44, 51, 52, 49, 48, 50, 53, 54, 55, 57, 59, 56, 58, 60]]
55: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 23, 5, 6, 9, 8, 10, 12, 30, 15, 18, 16, 19, 21, 22], [20, 26, 28, 24, 25, 29, 31, 33, 40, 36, 32, 39, 42, 34, 37, 38, 46, 43, 41, 47], [45, 44, 51, 52, 49, 48, 50, 53, 55, 54, 57, 59, 58, 56, 60]]
56: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 25, 8, 9, 24, 10, 28, 12, 15, 16, 20, 19], [18, 30, 22, 23, 26, 31, 29, 33, 40, 36, 32, 39, 34, 41, 37, 45, 42, 43, 38, 44], [46, 47, 51, 52, 49, 48, 50, 53, 55, 54, 56, 57, 59, 58, 60]]
57: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 23, 5, 6, 9, 8, 10, 12, 28, 29, 21, 18, 19, 15, 22], [20, 16, 26, 24, 25, 30, 31, 33, 40, 36, 32, 38, 42, 39, 37, 34, 46, 43, 41, 44], [45, 47, 51, 52, 49, 48, 50, 53, 55, 54, 57, 59, 58, 56, 60]]
58: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 24, 9, 15, 8, 12, 10, 31, 18, 16, 19, 22], [20, 23, 29, 30, 26, 25, 28, 33, 44, 36, 32, 39, 34, 37, 45, 43, 42, 38, 40, 41], [46, 47, 51, 52, 49, 48, 50, 55, 53, 54, 56, 59, 58, 57, 60]]
59: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 20, 5, 6, 24, 8, 30, 25, 9, 12, 10, 16, 15, 21, 19], [18, 26, 22, 29, 23, 31, 28, 33, 40, 36, 32, 38, 42, 43, 37, 34, 39, 41, 46, 47], [45, 44, 51, 52, 49, 48, 54, 53, 50, 55, 56, 58, 59, 57, 60]]
60: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 6, 8, 9, 28, 26, 10, 12, 18, 15, 30, 5, 16, 19], [22, 20, 23, 24, 25, 29, 31, 33, 40, 36, 32, 39, 34, 46, 37, 43, 38, 41, 44, 47], [42, 45, 51, 52, 49, 48, 50, 55, 54, 53, 57, 58, 59, 56, 60]]
61: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 8, 9, 12, 26, 28, 10, 15, 19, 22, 18, 16], [20, 23, 24, 25, 29, 31, 30, 33, 40, 36, 32, 39, 42, 34, 37, 47, 41, 38, 43, 46], [45, 44, 51, 52, 49, 48, 50, 55, 54, 53, 56, 59, 58, 57, 60]]
62: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 6, 5, 8, 9, 18, 10, 30, 15, 12, 16, 19, 24, 20], [22, 23, 28, 25, 29, 31, 26, 33, 40, 36, 32, 39, 42, 46, 34, 38, 37, 43, 41, 47], [45, 44, 51, 52, 49, 48, 50, 55, 54, 53, 57, 56, 59, 58, 60]]
63: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 9, 8, 10, 15, 12, 16, 18, 30, 19, 22, 23], [25, 24, 26, 20, 29, 28, 31, 33, 40, 36, 32, 38, 42, 46, 37, 34, 43, 47, 45, 44], [39, 41, 51, 52, 49, 48, 50, 53, 55, 59, 56, 54, 58, 57, 60]]
64: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 9, 8, 10, 15, 12, 16, 18, 30, 19, 22, 23], [25, 24, 26, 20, 29, 28, 31, 33, 40, 36, 32, 38, 42, 46, 37, 34, 43, 47, 45, 44], [39, 41, 51, 52, 49, 48, 50, 53, 55, 59, 56, 54, 58, 57, 60]]
65: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 8, 9, 15, 10, 16, 18, 12, 23, 24, 20, 19], [26, 22, 30, 31, 28, 25, 29, 33, 40, 36, 32, 38, 42, 39, 34, 37, 43, 47, 45, 41], [44, 46, 51, 52, 49, 48, 50, 53, 55, 54, 57, 56, 59, 58, 60]]
66: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 12, 9, 15, 10, 24, 8, 31, 18, 16, 20, 23], [19, 22, 25, 26, 29, 28, 30, 33, 40, 36, 32, 39, 34, 38, 45, 37, 41, 46, 43, 42], [44, 47, 51, 52, 49, 48, 54, 53, 50, 55, 56, 57, 58, 59, 60]]
67: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 25, 10, 8, 24, 28, 18, 9, 12, 15, 22, 19], [31, 20, 23, 16, 26, 29, 30, 33, 40, 36, 32, 38, 34, 39, 37, 45, 43, 41, 42, 46], [47, 44, 51, 52, 49, 48, 50, 55, 54, 53, 57, 58, 59, 56, 60]]
68: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 12, 8, 9, 10, 6, 15, 19, 31, 24, 23, 16, 22], [20, 18, 30, 26, 25, 29, 28, 33, 40, 36, 32, 38, 42, 46, 39, 34, 44, 43, 37, 45], [47, 41, 51, 52, 49, 48, 50, 53, 54, 55, 57, 56, 59, 58, 60]]
69: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 23, 6, 5, 9, 10, 26, 20, 24, 12, 8, 18, 21, 15, 19], [16, 22, 25, 28, 29, 30, 31, 33, 40, 36, 32, 38, 34, 46, 37, 39, 41, 43, 42, 44], [45, 47, 51, 52, 49, 48, 50, 55, 53, 54, 57, 56, 59, 58, 60]]
70: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 24, 8, 10, 12, 9, 28, 30, 20, 15, 16, 19], [22, 26, 18, 31, 25, 23, 29, 33, 40, 36, 32, 39, 34, 41, 38, 37, 42, 47, 43, 45], [44, 46, 51, 52, 49, 48, 50, 53, 55, 58, 56, 60, 59, 54, 57]]
71: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 24, 8, 9, 10, 30, 12, 15, 23, 31, 16, 19], [22, 20, 25, 18, 26, 29, 28, 33, 44, 36, 32, 38, 42, 34, 46, 41, 40, 47, 43, 37], [39, 45, 51, 52, 49, 48, 50, 53, 55, 54, 57, 59, 56, 58, 60]]
72: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 8, 5, 6, 30, 9, 26, 12, 19, 15, 29, 10, 23, 16], [18, 22, 20, 24, 25, 28, 31, 33, 40, 36, 32, 38, 42, 34, 45, 39, 43, 37, 41, 46], [44, 47, 51, 52, 49, 48, 50, 54, 53, 55, 57, 58, 59, 56, 60]]
73: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 20, 5, 9, 24, 19, 8, 12, 15, 18, 26, 28, 16, 10], [22, 25, 23, 29, 30, 31, 33, 40, 36, 32, 38, 34, 46, 37, 39, 41, 43, 42, 44, 21, 6], [45, 47, 51, 52, 49, 48, 50, 55, 53, 54, 57, 58, 59, 56, 60]]
